,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,883.50M,0.00,,,0.00,160.40M,331.10M,491.50M,491.50M,45.30M,325.40M,-62.90M,-173.30M,-16.30M,137.70M,,,,-114.80M,0.00,1.723B,-187.30M,0.60M,-186.70M,-66.80M,-87.10M,12.20M,-328.40M,-1.25B,37.80M,-1.212B,56.10M,,56.10M,0.00,0.00,-162.30M,-162.30M,-1.40M,-1.320B,5.539B,74.50M,73.90M,5.688B,56.10M,0.00,-1.25B,,311.00M,117.10M
2020-06,927.30M,-454.60M,,,-454.60M,163.00M,314.10M,477.10M,477.10M,46.60M,46.60M,92.70M,105.20M,-16.90M,267.60M,,,,448.60M,0.00,1.445B,-155.40M,0.30M,-155.10M,808.70M,-90.50M,-23.80M,539.30M,-430.10M,-3.767B,-4.197B,1.787B,,1.787B,1.668B,1.668B,-145.00M,-145.00M,-1.00M,-888.00M,4.368B,1.096B,75.30M,5.539B,3.455B,3.320B,-3.75B,,272.20M,78.50M
2020-03,595.10M,,,,,141.40M,156.40M,297.80M,297.80M,45.20M,45.20M,181.60M,-175.60M,79.10M,-197.20M,,,,-112.10M,-7.00M,819.00M,-132.50M,0.50M,-132.00M,-20.73B,-37.30M,35.20M,-20.87B,4.371B,390.20M,4.762B,10.30M,,10.30M,,,-138.10M,-138.10M,-0.30M,4.634B,19.91B,-15.42B,-128.50M,4.368B,10.30M,4.371B,,,60.90M,39.20M
2019-12,792.90M,,,,,143.90M,155.80M,299.70M,299.70M,41.30M,41.30M,-134.10M,143.00M,-187.40M,455.50M,,,,-138.20M,115.50M,1.111B,-179.00M,0.30M,-178.70M,-0.20M,-77.60M,-0.20M,-266.10M,3.086B,2.058B,5.143B,15.10M,,15.10M,0.00,0.00,-141.70M,-141.70M,-37.30M,4.755B,14.25B,5.600B,59.70M,19.91B,15.10M,3.976B,-890.10M,,-494.80M,-112.90M
2019-09,630.70M,0.00,,,0.00,139.80M,155.60M,295.40M,295.40M,41.00M,41.00M,-42.70M,4.90M,11.30M,-48.00M,,,,-74.50M,73.00M,965.60M,-162.10M,0.80M,-161.30M,-4.50M,-71.10M,13.00M,-244.60M,7.460B,144.50M,7.605B,675.40M,,675.40M,0.00,0.00,-151.10M,-151.10M,-1.20M,8.128B,5.434B,8.849B,-30.20M,14.25B,675.40M,8.137B,-677.00M,,298.70M,63.70M
2019-06,676.40M,0.00,,,0.00,142.00M,156.30M,298.30M,298.30M,41.40M,41.40M,-52.20M,-45.20M,56.30M,81.40M,,,,40.30M,115.10M,1.172B,-154.30M,11.20M,-143.10M,-18.40M,-49.10M,8.30M,-228.90M,-3.90M,685.70M,681.80M,45.70M,,45.70M,0.00,0.00,-121.70M,-121.70M,-0.80M,605.00M,3.91B,1.548B,-24.00M,5.434B,45.70M,0.00,-3.90M,,196.10M,7.20M
2019-03,332.30M,,,,,138.70M,157.40M,296.10M,296.10M,35.10M,35.10M,72.60M,-124.60M,167.50M,-66.30M,,,,49.20M,-9.40M,703.30M,-140.10M,0.50M,-139.60M,-308.20M,-43.20M,7.80M,-498.50M,0.00,-86.10M,-86.10M,1.480B,,1.480B,1.600B,1.600B,-112.20M,-112.20M,-4.00M,2.878B,787.80M,3.083B,39.60M,3.91B,3.080B,0.00,,,,42.00M
2018-12,502.20M,,,,,112.70M,88.10M,200.80M,200.80M,26.50M,-109.90M,-183.10M,121.00M,-169.70M,612.40M,,,,128.40M,,1.238B,-142.20M,4.70M,-137.50M,0.00,-84.70M,0.30M,-297.40M,-3.90M,-816.40M,-820.30M,18.70M,,18.70M,0.00,0.00,-112.20M,-112.20M,-1.30M,-915.10M,776.20M,25.10M,-13.50M,787.80M,18.70M,0.00,-3.90M,,,
2018-09,663.70M,,,,,147.40M,174.10M,321.50M,321.50M,38.20M,38.20M,-31.00M,-58.30M,59.40M,-74.00M,,,,-103.90M,,919.50M,-149.60M,0.20M,-149.40M,-105.50M,-61.10M,29.30M,-286.70M,-1.530B,882.10M,-648.00M,27.60M,,27.60M,0.00,0.00,-111.90M,-111.90M,-0.40M,-732.70M,904.00M,-99.90M,-27.90M,776.20M,27.60M,-1.030B,-500.00M,,,
2018-06,673.80M,,,,,153.50M,181.10M,334.60M,334.60M,40.10M,40.10M,-59.40M,-68.20M,61.20M,53.90M,,,,-12.50M,,1.036B,-153.80M,1.00M,-152.80M,-2.068B,0.20M,-22.20M,-2.243B,1.026B,236.60M,1.263B,26.50M,,26.50M,0.00,0.00,-111.80M,-111.80M,-5.40M,1.172B,1.046B,-34.50M,-107.20M,904.00M,26.50M,1.030B,-3.90M,,,
2018-03,566.60M,,,,,148.50M,172.30M,320.80M,320.80M,33.30M,33.30M,219.00M,-128.90M,125.00M,-306.90M,,,,-91.80M,,828.90M,-137.90M,0.40M,-137.50M,0.00,21.90M,-7.10M,-122.70M,,-236.60M,-236.60M,23.20M,,23.20M,0.00,0.00,-97.50M,-97.50M,-10.80M,-321.70M,630.30M,384.50M,30.90M,1.046B,23.20M,,,,,
2017-12,559.00M,,,,,110.80M,85.90M,196.70M,196.70M,22.30M,0.00,-217.10M,101.30M,-255.20M,573.40M,,,,-226.10M,,834.70M,-124.90M,0.20M,-124.70M,-273.80M,137.90M,0.00,-315.50M,-7.90M,-459.40M,-467.30M,19.80M,,19.80M,,,-97.30M,-97.30M,-9.10M,-553.90M,648.60M,-34.70M,16.40M,630.30M,19.80M,98.10M,-106.00M,,,
