,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-04,1.918B,1.918B,910.90M,1.007B,865.20M,865.20M,-153.10M,153.10M,29.90M,0.90M,-29.00M,,865.20M,141.70M,0.90M,29.90M,-29.00M,152.90M,-29.00M,265.60M,34.00M,231.60M,,0.00,,231.60M,98.10M,366.10M,70.60M,295.50M,,2.85,,,1.208,2.85,,2.83,,,1.200,2.83,,81.30M,81.90M,0.0375,,AOR,Restated
2016-01,2.112B,2.112B,1.040B,1.073B,898.50M,898.50M,,0.00,28.50M,0.70M,-27.80M,,898.50M,174.40M,0.70M,28.50M,-27.80M,1.60M,-27.80M,148.20M,14.00M,134.20M,,0.00,,134.20M,134.20M,247.10M,70.40M,176.70M,,1.641,,,1.641,1.641,,1.63,,,1.63,1.63,,81.80M,82.50M,0.0375,,AOR,Restated
2015-10,2.164B,2.164B,1.064B,1.101B,853.80M,853.80M,,0.00,28.40M,1.00M,-27.40M,,853.80M,247.20M,1.00M,28.40M,-27.40M,6.40M,-27.40M,226.20M,4.30M,221.90M,,0.00,,221.90M,221.90M,317.60M,63.00M,254.60M,,2.69,,,2.69,2.69,,2.67,,,2.67,2.67,,82.40M,83.10M,0.0375,,AOR,Restated
2015-07,1.864B,1.864B,861.90M,1.002B,850.50M,850.50M,0.00,0.00,29.20M,1.20M,-28.00M,,850.50M,151.60M,1.20M,29.20M,-28.00M,2.50M,-28.00M,126.10M,23.90M,102.20M,,0.00,,102.20M,102.20M,218.30M,63.00M,155.30M,,1.24,,,1.24,1.24,,1.22,,,1.22,1.22,,82.70M,83.50M,0.0375,,AOR,Restated
2015-04,1.879B,1.879B,893.70M,985.60M,814.90M,814.90M,0.00,0.00,30.90M,1.10M,-29.80M,,814.90M,170.70M,1.10M,30.90M,-29.80M,6.10M,-29.80M,147.00M,32.90M,114.10M,,,,114.10M,114.10M,238.90M,61.00M,177.90M,,1.38,,,1.38,1.38,,1.37,,,1.37,1.37,,82.60M,83.40M,0.0375,,AOR,Restated
2015-01,2.069B,2.069B,997.50M,1.071B,1.066B,1.066B,,0.00,32.80M,0.80M,-32.00M,,1.066B,5.50M,0.80M,32.80M,-32.00M,0.70M,-32.00M,-25.80M,-77.30M,51.50M,,0.00,,51.50M,51.50M,70.30M,63.30M,7.00M,,0.6242,,,0.6242,0.6242,,0.62,,,0.62,0.62,,82.70M,83.60M,0.0375,,AOR,Restated
2014-10,2.233B,2.233B,1.066B,1.168B,892.90M,892.90M,,0.00,33.60M,1.50M,-32.10M,,892.90M,274.60M,1.50M,33.60M,-32.10M,5.30M,-32.10M,247.80M,22.10M,225.70M,,0.00,,225.70M,225.70M,341.70M,60.30M,281.40M,,2.74,,,2.74,2.74,,2.71,,,2.71,2.71,,82.40M,83.30M,0.0375,,AOR,Restated
2014-07,1.976B,1.976B,920.90M,1.055B,895.80M,895.80M,,0.00,35.00M,1.20M,-33.80M,,895.80M,158.90M,1.20M,35.00M,-33.80M,0.40M,-33.80M,125.50M,-1.00M,126.50M,,0.00,,126.50M,126.50M,220.90M,60.40M,160.50M,,1.54,,,1.54,1.54,,1.52,,,1.52,1.52,,82.30M,83.20M,0.0375,,AOR,Restated
2014-04,1.964B,1.964B,930.50M,1.033B,859.10M,859.10M,,-93.10M,42.10M,1.50M,-40.60M,,859.10M,174.10M,1.50M,42.10M,-40.60M,-89.60M,-40.60M,43.90M,8.70M,35.20M,,0.10M,,35.30M,110.06M,146.70M,60.70M,86.00M,,0.43,,,1.339,0.43,,0.42,,,1.319,0.42,,82.20M,83.20M,0.0375,,AOR,Restated
2014-01,2.052B,2.052B,982.80M,1.070B,909.50M,909.50M,,0.00,46.90M,1.50M,-45.40M,,909.50M,160.00M,1.50M,46.90M,-45.40M,0.00,-45.40M,114.60M,152.20M,-37.60M,,0.10M,,-37.50M,-37.50M,232.00M,70.50M,161.50M,,-0.4577,,,-0.4577,-0.4577,,-0.46,,,-0.46,-0.46,,82.10M,82.90M,0.0375,,AOR,Restated
2013-10,2.259B,2.259B,1.087B,1.172B,927.40M,927.40M,,0.00,47.90M,1.90M,-46.00M,,927.40M,244.40M,1.90M,47.90M,-46.00M,4.90M,-46.00M,203.30M,6.70M,196.60M,,0.10M,,196.70M,196.70M,312.90M,61.70M,251.20M,,2.41,,,2.41,2.41,,2.37,,,2.37,2.37,,81.50M,82.80M,0.0375,,AOR,Restated
2013-07,1.965B,1.965B,938.70M,1.026B,941.20M,941.20M,,0.00,49.50M,2.10M,-47.40M,,941.20M,84.90M,2.10M,49.50M,-47.40M,0.80M,-47.40M,38.30M,43.60M,-5.30M,,-0.10M,,-5.40M,-5.40M,185.00M,97.20M,87.80M,,-0.07,,,-0.07,-0.07,,-0.07,,,-0.07,-0.07,,81.30M,81.30M,0.0375,,AOR,Restated
2013-04,1.910B,1.910B,958.30M,951.90M,895.40M,895.40M,,-40.40M,47.90M,2.00M,-45.90M,,895.40M,56.50M,2.00M,47.90M,-45.90M,-38.10M,-45.90M,-27.50M,-17.20M,-10.30M,,0.00,,-10.30M,15.96M,104.60M,84.20M,20.40M,,-0.13,,,0.1982,-0.13,,-0.13,,,0.1982,-0.13,,80.00M,80.00M,0.0375,,AOR,Restated
2013-01,1.636B,1.636B,755.58M,880.63M,771.16M,771.16M,,0.00,31.97M,0.654M,-31.32M,,771.16M,109.47M,0.654M,31.97M,-31.32M,0.357M,-31.32M,78.51M,-2.199M,80.71M,,0.00,0.113M,80.71M,80.71M,148.34M,37.86M,110.48M,,1.121,,,1.121,1.121,,1.09,,,1.09,1.09,,72.07M,74.41M,0.0375,,AOR,Restated
2012-10,1.643B,1.643B,773.69M,869.08M,631.14M,631.14M,,0.00,28.66M,0.376M,-28.28M,,631.14M,237.94M,0.376M,28.66M,-28.28M,3.193M,-28.28M,212.85M,45.16M,167.70M,,0.00,0.078M,167.70M,167.70M,276.27M,34.75M,241.51M,,2.31,,,2.31,2.31,,2.27,,,2.27,2.27,,70.59M,73.98M,0.0375,,AOR,Restated
2012-07,1.337B,1.337B,593.96M,742.66M,589.33M,589.33M,,0.00,28.55M,0.197M,-28.36M,,589.33M,153.33M,0.197M,28.55M,-28.36M,-0.074M,-28.36M,124.90M,34.98M,89.92M,,0.00,,89.92M,89.92M,187.78M,34.33M,153.45M,,1.24,,,1.24,1.24,,1.22,,,1.22,1.22,,70.40M,73.60M,0.0375,,AOR,Restated
2012-04,1.427B,1.427B,670.58M,756.83M,602.67M,602.67M,,0.00,29.52M,0.273M,-29.24M,,602.67M,154.16M,0.273M,29.52M,-29.24M,1.924M,-29.24M,126.84M,31.36M,95.48M,,0.00,0.209M,95.48M,95.48M,189.81M,33.46M,156.36M,,1.33,,,1.33,1.33,,1.30,,,1.30,1.30,,68.54M,73.60M,0.0375,,AOR,Restated
2012-01,1.533B,1.533B,758.63M,774.21M,734.31M,734.31M,,0.00,32.43M,0.402M,-32.03M,,734.31M,39.90M,0.402M,32.43M,-32.03M,0.511M,-32.03M,8.378M,-30.68M,39.06M,,,0.157M,39.06M,39.06M,74.05M,33.24M,40.81M,,1.204,,,1.204,1.204,,1.11,,,1.11,1.11,,67.48M,73.27M,0.0375,,AOR,Restated
2011-10,1.654B,1.654B,825.19M,828.97M,632.98M,632.98M,,0.00,31.68M,0.138M,-31.54M,,632.98M,195.99M,0.138M,31.68M,-31.54M,0.856M,-31.54M,165.30M,53.06M,112.24M,,,0.157M,112.24M,112.24M,229.30M,32.32M,196.98M,,1.57,,,1.57,1.57,,1.54,,,1.54,1.54,,67.22M,72.96M,0.0375,,AOR,Restated
2011-07,1.334B,1.334B,610.31M,724.13M,590.65M,590.65M,,0.00,31.80M,0.353M,-31.45M,,590.65M,133.48M,0.353M,31.80M,-31.45M,0.00,-31.45M,102.03M,35.30M,66.73M,,,,66.73M,66.73M,165.80M,31.97M,133.83M,,0.94,,,0.94,0.94,,0.92,,,0.92,0.92,,67.13M,72.87M,0.0375,,AOR,Restated
2011-04,1.369B,1.369B,640.60M,728.58M,591.90M,591.90M,,-16.23M,33.44M,0.374M,-33.07M,,591.90M,136.68M,0.374M,33.44M,-33.07M,-16.23M,-33.07M,87.37M,29.71M,57.67M,,,0.314M,57.67M,68.38M,155.30M,34.48M,120.82M,,0.81,,,0.9704,0.81,,0.79,,,0.9376,0.79,,66.80M,72.59M,0.0375,,AOR,Restated
2011-01,1.398B,1.398B,661.91M,736.21M,,644.77M,,-140.49M,38.74M,0.642M,-38.10M,,504.28M,231.93M,0.642M,38.74M,-38.10M,-140.49M,-38.10M,53.34M,0.579M,52.77M,,,,52.77M,191.73M,125.61M,33.53M,92.08M,,0.81,,,2.894,0.81,,0.79,,,2.512,0.79,,66.68M,80.69M,0.0375,,AOR,Restated
2010-10,1.516B,1.516B,722.95M,793.47M,,615.18M,,0.00,41.73M,0.509M,-41.22M,,615.18M,178.29M,0.509M,41.73M,-41.22M,,-41.22M,137.07M,37.22M,99.85M,,,,99.85M,99.85M,230.17M,51.37M,178.80M,,1.42,0.00,,1.42,1.42,,1.39,0.00,,1.39,1.39,,66.14M,71.84M,0.0375,,AOR,Restated
