,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-10,533.18M,533.18M,283.94M,249.25M,,177.64M,,,,,,,177.64M,71.61M,,,,,,64.36M,24.07M,40.29M,,,3.229M,40.29M,40.29M,80.44M,8.833M,71.61M,,0.88,0.00,,0.88,0.88,,0.73,0.00,,0.73,0.73,,42.06M,55.41M,0.0375,,,
2005-07,443.47M,443.47M,233.31M,210.16M,,165.03M,,,,,,,165.03M,45.12M,,,,,,37.79M,14.29M,23.50M,,,3.229M,23.50M,23.50M,53.69M,8.569M,45.12M,,0.17,0.00,,0.17,0.17,,0.16,0.00,,0.16,0.16,,32.83M,42.82M,0.0375,,,
2005-04,472.11M,472.11M,262.72M,209.39M,,161.76M,,,,,,,161.76M,47.63M,,,,,,39.65M,14.67M,24.98M,,,5.281M,24.98M,24.98M,56.22M,8.592M,47.63M,,0.60,0.00,,0.60,0.60,,0.46,0.00,,0.46,0.46,,32.83M,42.82M,0.0375,,,
2005-01,413.81M,413.81M,216.02M,197.79M,,166.97M,,,,,,,166.97M,30.82M,,,,,,23.45M,6.156M,17.29M,,,5.281M,17.29M,17.29M,42.20M,11.38M,30.82M,,0.38,0.00,,0.38,0.38,,0.3705,,,0.3705,0.3705,,31.24M,32.41M,0.0375,,,
2004-10,473.46M,473.46M,263.54M,209.91M,,160.41M,,,,,,,160.41M,49.50M,,,,,,41.14M,14.40M,26.74M,,,5.28M,26.74M,26.74M,56.04M,6.539M,49.50M,,0.69,0.00,,0.69,0.69,,0.52,0.00,,0.52,0.52,,31.10M,31.10M,0.0375,,,
2004-07,375.92M,375.92M,202.92M,173.00M,,144.48M,,,,,,,144.48M,28.52M,,,,,,19.98M,6.995M,12.99M,,,5.28M,12.99M,12.99M,35.57M,7.05M,28.52M,,0.25,0.00,,0.25,0.25,,0.24,0.00,,0.24,0.24,,30.84M,32.12M,0.0375,,,
2004-04,378.24M,378.24M,207.95M,170.29M,,149.99M,,,,,,,149.99M,20.29M,,,,,,2.451M,0.858M,1.593M,,,,1.593M,1.593M,27.35M,7.056M,20.29M,,-0.12,0.00,,-0.12,-0.12,,-0.12,0.00,,-0.12,-0.12,,30.77M,30.77M,0.0375,,,
2004-01,356.36M,356.36M,205.85M,150.52M,,155.76M,,0.00,,,,,159.26M,-8.738M,,,,0.00,,-14.20M,-5.052M,-9.152M,,,5.281M,-9.152M,-9.152M,-0.711M,8.027M,-8.738M,,-0.48,0.00,,-0.48,-0.48,,-0.48,0.00,,-0.48,-0.48,,27.56M,27.56M,0.0375,,,
2003-10,453.60M,453.60M,275.27M,178.32M,,142.66M,,,,,,,142.66M,35.67M,,,,,,26.49M,9.452M,17.03M,,,5.177M,17.03M,17.03M,42.54M,6.872M,35.67M,,0.39,0.00,,0.39,0.39,,0.34,0.00,,0.34,0.34,,30.40M,49.73M,0.0375,,,
2003-07,379.38M,379.38M,221.30M,158.08M,,138.03M,,3.496M,,,,,138.03M,20.05M,,,,3.496M,,13.89M,4.909M,8.977M,,,5.076M,8.977M,6.717M,26.95M,6.895M,20.05M,,0.13,0.00,,0.0547,0.13,,0.13,0.00,,0.0547,0.13,,30.01M,30.01M,0.0375,,,
2003-04,383.68M,383.68M,222.06M,161.61M,,156.31M,,,,,,,156.31M,5.302M,,,,,,-3.262M,-1.109M,-2.153M,,,,-2.153M,-2.153M,12.08M,6.776M,5.302M,,-0.22,0.00,,-0.22,-0.22,,-0.22,0.00,,-0.22,-0.22,,30.32M,30.32M,0.0375,,,
2003-01,302.32M,302.32M,183.07M,119.26M,,104.59M,,,,,,,104.59M,14.67M,,,,,,8.866M,3.14M,5.726M,,,,5.726M,5.726M,21.68M,7.012M,14.67M,,0.21,0.00,,0.21,0.21,,0.20,0.00,,0.20,0.20,,27.41M,28.14M,0.0375,,,
2002-10,409.10M,409.10M,258.60M,150.50M,,118.33M,,,,,,,118.33M,32.17M,,,,,,26.47M,8.779M,17.69M,,,,17.69M,17.69M,38.33M,6.16M,32.17M,,0.64,0.00,,0.64,0.64,,0.63,0.00,,0.63,0.63,,27.81M,28.09M,0.0375,,,
2002-07,331.19M,331.19M,201.53M,129.66M,,111.88M,,,,,,,111.88M,17.78M,,,,,,12.27M,4.417M,7.853M,,,,7.853M,7.853M,24.07M,6.298M,17.78M,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,28.05M,28.05M,0.0375,,,
2002-04,349.42M,349.42M,230.54M,118.88M,,114.45M,,,,,,,114.45M,4.426M,,,,,,-1.298M,-0.467M,-0.831M,,,,-0.831M,-0.831M,10.63M,6.208M,4.426M,,-0.03,0.00,,-0.03,-0.03,,-0.03,0.00,,-0.03,-0.03,,27.70M,27.70M,0.0375,,,
2002-01,325.59M,325.59M,204.60M,120.98M,,130.24M,,,,,,,130.24M,-9.26M,,,,,,-14.79M,-5.325M,-9.465M,,,,-9.465M,-9.465M,-2.268M,6.992M,-9.26M,,-0.34,0.00,,-0.34,-0.34,,-0.34,0.00,,-0.34,-0.34,,26.80M,28.05M,0.0375,,,
2001-10,405.00M,405.00M,261.25M,143.75M,,117.77M,,,,,,,117.77M,25.98M,,,,,,19.70M,7.093M,12.61M,,,,12.61M,12.61M,32.93M,6.948M,25.98M,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,27.64M,27.84M,0.0375,,,
2001-07,334.38M,334.38M,214.32M,120.06M,,103.02M,,,,,,,103.02M,17.04M,,,,,,10.90M,3.923M,6.974M,,,,6.974M,6.974M,22.93M,5.892M,17.04M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,27.62M,28.35M,0.0375,,,
2001-04,366.92M,366.92M,245.22M,121.71M,,114.34M,,,,,,,114.34M,7.373M,,,,,,0.881M,0.317M,0.564M,,,,0.564M,0.564M,13.28M,5.902M,7.373M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,28.20M,28.20M,0.0375,,,
2001-01,374.03M,374.03M,235.27M,138.76M,,117.61M,,,,,,,123.07M,15.69M,,,,,,10.25M,3.687M,6.562M,,,,6.562M,6.562M,21.15M,5.463M,15.69M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,27.29M,27.33M,0.0375,,,
2000-10,443.37M,443.37M,288.64M,154.73M,,111.85M,,,,,,,116.85M,37.88M,,,,,,31.36M,11.92M,19.44M,,,,19.44M,19.44M,42.88M,4.998M,37.88M,,0.71,0.00,,0.71,0.71,,0.71,0.00,,0.71,0.71,,27.29M,27.38M,0.0375,,,
2000-07,327.83M,327.83M,206.94M,120.89M,,101.18M,,,,,,,105.97M,14.93M,,,,,,9.691M,3.682M,6.009M,,,,6.009M,6.009M,19.72M,4.793M,14.93M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,27.31M,27.31M,0.0375,,,
2000-04,310.31M,310.31M,199.27M,111.04M,,104.20M,,,,,,,109.00M,2.045M,,,,,,-3.082M,-1.171M,-1.911M,,,,-1.911M,-1.911M,6.842M,4.797M,2.045M,,-0.07,0.00,,-0.07,-0.07,,-0.07,0.00,,-0.07,-0.07,,27.30M,27.30M,0.0375,,,
2000-01,296.99M,296.99M,182.45M,114.54M,,92.32M,,,,,,,97.23M,17.31M,,,,,,4.28M,1.607M,2.673M,,,,2.673M,2.673M,22.23M,4.917M,17.31M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,26.93M,27.31M,0.0375,,,
1999-10,368.00M,368.00M,234.40M,133.60M,,100.10M,,,,,,,104.90M,28.70M,,,,,,23.00M,7.70M,15.30M,,,,15.30M,15.30M,33.50M,4.80M,28.70M,,0.56,0.00,,0.56,0.56,,0.56,0.00,,0.56,0.56,,27.32M,27.32M,0.0375,,,
1999-07,316.80M,316.80M,200.10M,116.70M,,98.20M,,-2.70M,,,,,103.10M,13.60M,,,,-2.70M,,4.80M,1.20M,3.60M,,,,3.60M,5.625M,18.50M,4.90M,13.60M,,0.13,0.00,,0.2031,0.13,,0.13,0.00,,0.2031,0.13,,27.69M,27.69M,0.0375,,,
1999-04,289.70M,289.70M,184.09M,105.61M,,100.83M,,,,,,,105.63M,-0.026M,,,,,,-6.169M,-1.544M,-4.625M,,,,-4.625M,-4.625M,4.774M,4.80M,-0.026M,,-0.17,0.00,,-0.17,-0.17,,-0.17,0.00,,-0.17,-0.17,,27.29M,27.29M,0.0375,,,
1999-01,326.60M,326.60M,213.10M,113.50M,,98.30M,,-2.10M,,,,,104.50M,9.00M,,,,-2.10M,,0.20M,-0.40M,0.60M,,,,0.60M,1.86M,15.20M,6.20M,9.00M,,0.02,0.00,0.0002,0.0653,0.02,,0.02,0.00,0.0002,0.0653,0.02,,27.82M,27.82M,0.0375,,,
1998-10,374.40M,374.40M,240.60M,133.80M,,98.80M,,-2.10M,,,,,104.50M,29.30M,,,,-2.10M,,19.70M,5.70M,14.00M,,,,14.00M,15.49M,35.00M,5.70M,29.30M,,0.51,0.00,,0.5644,0.51,,0.51,0.00,,0.5644,0.51,,27.45M,27.45M,0.0375,,,
1998-07,306.40M,306.40M,190.60M,115.80M,,95.80M,,-2.30M,,,,,102.50M,13.30M,,,,-2.30M,,4.40M,1.70M,2.70M,,,,2.70M,4.111M,20.00M,6.70M,13.30M,,0.10,0.00,,0.1523,0.10,,0.10,0.00,,0.1523,0.10,,27.00M,27.00M,0.0375,,,
1998-04,295.80M,295.80M,186.50M,109.30M,,102.00M,,-2.00M,,,,,108.80M,0.50M,,,,-2.00M,,-6.90M,-2.40M,-4.50M,,,,-5.60M,-3.196M,7.30M,6.80M,0.50M,,-0.16,-0.04,-0.0393,-0.1134,-0.20,,-0.16,-0.04,-0.0393,-0.1134,-0.20,,28.00M,28.00M,0.0375,,,
1998-01,337.01M,337.01M,254.10M,82.91M,,183.00M,,,,,,,189.00M,-106.09M,,,,,,-69.30M,-26.00M,-43.30M,,,,-43.30M,-43.30M,-100.09M,6.00M,-106.09M,,-1.60,0.00,,-1.60,-1.60,,-1.60,0.00,,-1.60,-1.60,,27.01M,27.95M,0.0375,,,
1997-10,413.60M,413.60M,267.10M,146.50M,,114.20M,,,,,,,120.60M,25.90M,,,,,,20.10M,5.50M,14.60M,,,,14.60M,14.60M,34.60M,8.70M,25.90M,,0.54,0.00,,0.54,0.54,,0.53,0.00,,0.53,0.53,,27.04M,27.55M,0.0375,,,
1997-07,313.50M,313.50M,214.30M,99.20M,,99.60M,,-41.20M,,,,,104.60M,-5.40M,,,,-41.20M,,-51.90M,-18.60M,-33.30M,,,,-33.30M,-6.865M,-0.40M,5.00M,-5.40M,,-1.23,0.00,,-0.2536,-1.23,,-1.23,0.00,,-0.2536,-1.23,,27.07M,27.07M,0.0375,,,
1997-04,285.90M,285.90M,181.40M,104.50M,,100.70M,,,,,,,106.30M,-1.80M,,,,,,-6.60M,-2.10M,-4.50M,,,,-4.50M,-4.50M,3.80M,5.60M,-1.80M,,-0.17,0.00,,-0.17,-0.17,,-0.17,0.00,,-0.17,-0.17,,26.47M,26.47M,0.0375,,,
1997-01,380.90M,380.90M,254.40M,126.50M,,105.80M,,,,,,,111.40M,15.10M,,,,,,9.90M,2.00M,7.90M,,,,7.90M,7.90M,20.70M,5.60M,15.10M,,0.30,0.00,,0.30,0.30,,0.29,0.00,,0.29,0.29,,25.71M,27.29M,0.0375,,,
1996-10,391.20M,391.20M,255.70M,135.50M,,102.80M,,,,,,,108.60M,26.90M,,,,,,20.90M,5.90M,15.00M,,,,15.00M,15.00M,32.70M,5.80M,26.90M,,0.56,0.00,,0.56,0.56,,0.56,0.00,,0.56,0.56,,26.79M,26.79M,0.0375,,,
1996-07,313.80M,313.80M,202.80M,111.00M,,96.40M,,,,,,,102.10M,8.90M,,,,,,3.00M,0.90M,2.10M,,,,2.10M,2.10M,14.60M,5.70M,8.90M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,26.25M,26.25M,0.0375,,,
1996-04,273.70M,273.70M,174.40M,99.30M,,96.40M,,,,,,,102.60M,-3.30M,,,,,,-9.50M,-2.90M,-6.60M,,,,-6.60M,-6.60M,2.90M,6.20M,-3.30M,,-0.24,0.00,,-0.24,-0.24,,-0.24,0.00,,-0.24,-0.24,,27.50M,27.50M,0.0375,,,
1996-01,383.60M,383.60M,260.50M,123.10M,,81.40M,,,,,,,84.40M,38.70M,,,,,,5.80M,1.70M,4.10M,,,,4.10M,4.10M,41.70M,3.00M,38.70M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,38.57M,38.57M,0.075,,,
1995-10,448.00M,448.00M,302.00M,146.00M,,141.70M,,,,,,,148.70M,-2.70M,,,,,,-9.30M,-4.90M,-4.40M,,,,-4.40M,-4.40M,5.20M,7.90M,-2.70M,,-0.16,0.00,,-0.16,-0.16,,-0.16,0.00,,-0.16,-0.16,,27.50M,27.50M,0.0375,,,
1995-07,349.50M,349.50M,222.60M,126.90M,,107.70M,,,,,,,115.00M,11.90M,,,,,,6.00M,2.10M,3.90M,,,,3.90M,3.90M,19.20M,6.40M,11.90M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,26.00M,26.00M,0.0375,,,
1995-04,283.00M,283.00M,177.40M,105.60M,,97.80M,,,,,,,106.00M,-0.40M,,,,,,-5.20M,-1.80M,-3.40M,,,,-3.40M,-3.40M,7.80M,8.20M,-0.40M,,-0.13,0.00,,-0.13,-0.13,,-0.13,0.00,,-0.13,-0.13,,26.15M,26.15M,0.0375,,,
1995-01,353.40M,353.40M,231.80M,121.60M,,104.80M,,,,,,,111.80M,9.80M,,,,,,7.00M,-2.90M,9.90M,,,,9.90M,9.90M,16.80M,7.00M,9.80M,,0.39,0.00,,0.39,0.39,,0.37,0.00,,0.37,0.37,,27.16M,27.16M,0.037,,,
1994-10,379.40M,379.40M,252.30M,127.10M,,91.50M,,,,,,,97.30M,29.80M,,,,,,26.50M,8.60M,17.90M,,,,17.90M,17.90M,35.60M,5.80M,29.80M,,0.66,0.00,,0.66,0.66,,0.66,0.00,,0.66,0.66,,27.12M,27.12M,0.0375,,,
1994-07,283.80M,283.80M,183.30M,100.50M,,82.50M,,,,,,,88.20M,12.30M,,,,,,8.90M,3.20M,5.70M,,,,5.70M,5.70M,18.00M,5.70M,12.30M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,27.14M,27.14M,0.0375,,,
1994-04,238.90M,238.90M,153.90M,85.00M,,81.40M,,,,,,,87.20M,-2.20M,,,,,,-5.50M,-2.00M,-3.50M,,,,-3.50M,-3.50M,3.60M,5.80M,-2.20M,,-0.13,0.00,,-0.13,-0.13,,-0.13,0.00,,-0.13,-0.13,,26.92M,26.92M,0.0375,,,
1994-01,309.10M,309.10M,192.50M,116.60M,,89.80M,,,,,,,95.30M,21.30M,,,,,,19.60M,6.40M,13.20M,,,,1.80M,13.20M,26.80M,5.50M,21.30M,,0.55,-0.44,,0.55,0.11,,0.49,-0.44,,0.49,0.07,,23.24M,26.78M,0.0375,,,
1993-10,357.40M,357.40M,226.50M,130.90M,,84.50M,,-1.20M,,,,,89.00M,41.90M,,,,-1.20M,,36.00M,11.50M,24.50M,,,,24.50M,25.32M,46.40M,4.40M,41.90M,,0.91,0.00,,0.9403,0.91,,0.91,0.00,,0.9403,0.91,,26.92M,26.92M,0.0375,,,
1993-07,264.00M,264.00M,162.40M,101.60M,,81.10M,,-0.10M,,,,,85.70M,15.90M,,,,-0.10M,,11.30M,3.50M,7.80M,,,,7.80M,7.869M,20.50M,4.60M,15.90M,,0.29,0.00,,0.2926,0.29,,0.29,0.00,,0.2926,0.29,,26.90M,26.90M,0.0375,,,
1993-04,221.90M,221.90M,139.20M,82.70M,,76.90M,,,,,,,81.50M,1.20M,,,,,,-3.20M,-1.00M,-2.20M,,,,-2.20M,-2.20M,5.80M,4.60M,1.20M,,-0.08,0.00,,-0.08,-0.08,,-0.08,0.00,,-0.08,-0.08,,27.50M,27.50M,0.0375,,,
1993-01,272.50M,272.50M,164.80M,107.70M,,85.60M,,-0.70M,,,,,90.00M,17.70M,,,,-0.70M,,12.50M,2.80M,9.70M,,,0.00,9.70M,10.24M,22.10M,4.40M,17.70M,,0.44,0.00,,0.4652,0.44,,0.36,0.00,,0.3801,0.36,,21.60M,26.98M,0.0375,,,
1992-10,322.30M,322.30M,201.70M,120.60M,,80.40M,,0.10M,,,,,83.90M,36.70M,,,,0.10M,,32.60M,10.70M,21.90M,,,,21.90M,21.83M,40.20M,3.50M,36.70M,,0.81,0.00,,0.8075,0.81,,0.81,0.00,,0.8075,0.81,,27.04M,27.04M,0.0375,,,
1992-07,239.50M,239.50M,147.20M,92.30M,,75.30M,,0.20M,,,,,78.70M,13.60M,,,,0.20M,,9.70M,3.20M,6.50M,,,0.10M,6.50M,6.366M,17.00M,3.40M,13.60M,,0.24,0.00,,0.2350,0.24,,0.24,0.00,,0.2350,0.24,,26.67M,26.67M,0.0375,,,
1992-04,208.30M,208.30M,128.30M,80.00M,,71.20M,,-1.30M,,,,,74.90M,5.10M,,,,-1.30M,,-0.20M,-0.10M,-0.10M,,,2.00M,-0.10M,0.68M,8.80M,3.70M,5.10M,,-0.12,0.00,,-0.0754,-0.12,,-0.12,0.00,,-0.0754,-0.12,,17.50M,17.50M,0.0375,,,
1992-01,232.10M,232.10M,146.00M,86.10M,,68.20M,,,,,,,71.70M,14.40M,,,,,,10.30M,1.80M,8.50M,,,2.10M,8.50M,8.50M,17.90M,3.50M,14.40M,,0.41,0.00,,0.41,0.41,,0.32,0.00,,0.32,0.32,,14.23M,20.01M,0.0375,,,
1991-10,286.30M,286.30M,183.80M,102.50M,,68.50M,,-0.30M,,,,,71.30M,31.20M,,,,-0.30M,,26.10M,8.60M,17.50M,,,2.00M,17.50M,17.70M,34.00M,2.80M,31.20M,,0.77,0.00,,0.7800,0.77,,0.69,0.00,,0.6990,0.69,,20.13M,22.46M,0.035,,,
1991-07,205.30M,205.30M,126.30M,79.00M,,62.70M,,0.20M,,,,,65.50M,13.50M,,,,0.20M,,8.90M,2.90M,6.00M,,,2.00M,6.00M,5.865M,16.30M,2.80M,13.50M,,0.20,0.00,,0.1933,0.20,,0.20,0.00,,0.1933,0.20,,20.00M,20.00M,0.035,,,
1991-04,180.40M,180.40M,115.20M,65.20M,,58.90M,,,,,,,61.90M,3.30M,,,,,,-1.30M,-0.40M,-0.90M,,,2.00M,-0.90M,-0.90M,6.30M,3.00M,3.30M,,-0.15,0.00,,-0.15,-0.15,,-0.15,0.00,,-0.15,-0.15,,19.33M,19.33M,0.035,,,
1991-01,218.30M,218.30M,140.90M,77.40M,,61.50M,,-2.70M,,,,,64.30M,13.10M,,,,-2.70M,,5.80M,0.60M,5.20M,,,2.10M,5.20M,7.621M,15.90M,2.80M,13.10M,,0.21,0.00,,0.3666,0.21,,0.16,0.00,,0.2855,0.16,,15.46M,19.29M,0.035,,,
1990-10,241.50M,241.50M,154.40M,87.10M,,59.20M,,0.60M,,,,,61.50M,25.60M,,,,0.60M,,20.60M,5.70M,14.90M,,,2.00M,14.90M,14.47M,27.90M,2.30M,25.60M,,0.68,0.00,,0.6571,0.68,,0.68,0.00,,0.6571,0.68,,18.97M,18.97M,0.035,,,
1990-07,191.10M,191.10M,121.00M,70.10M,,55.20M,,0.80M,,,,,57.50M,12.60M,,,,0.80M,,7.90M,2.20M,5.70M,,,2.00M,5.70M,5.123M,14.90M,2.30M,12.60M,,0.19,0.00,,0.1604,0.19,,0.19,0.00,,0.1604,0.19,,19.47M,19.47M,0.035,,,
1990-04,155.40M,155.40M,96.00M,59.40M,,52.00M,,0.70M,,,,,54.40M,5.00M,,,,0.70M,,0.90M,0.30M,0.60M,,,2.00M,0.60M,0.1333M,7.40M,2.40M,5.00M,,-0.08,0.00,,-0.1067,-0.08,,-0.08,0.00,,-0.1067,-0.08,,17.50M,17.50M,0.035,,,
1990-01,185.90M,185.90M,122.30M,63.60M,,52.40M,,-1.90M,,,,,54.10M,9.50M,,,,-1.90M,,3.30M,0.70M,2.60M,,,,2.60M,4.097M,11.20M,1.70M,9.50M,,-0.3078,,,-0.2255,-0.3078,,-0.3078,,,-0.2255,-0.3078,,18.19M,18.19M,0.035,,,
1989-10,232.50M,232.50M,154.00M,78.50M,,51.80M,,0.70M,,,,,53.70M,24.80M,,,,0.70M,,20.10M,5.30M,14.80M,,,,14.80M,14.28M,26.70M,1.90M,24.80M,,0.66,0.00,,0.6370,0.66,,0.60,0.00,,0.5770,0.60,,22.42M,22.42M,0.035,,,
1989-07,166.40M,166.40M,111.60M,54.80M,,43.00M,,0.40M,,,,,44.90M,9.90M,,,,0.40M,,5.30M,1.50M,3.80M,,,,3.80M,3.513M,11.80M,1.90M,9.90M,,0.09,0.00,,0.0742,0.09,,0.09,0.00,,0.0742,0.09,,18.14M,18.14M,0.035,,,
1989-04,148.10M,148.10M,,,,,,,,,,,,148.10M,,,,,,,,3.00M,,,,3.00M,,148.10M,,148.10M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,18.09M,18.09M,0.035,,,
1989-01,164.10M,164.10M,,,,,,,,,,,,-431.20M,,,,,,,,3.40M,0.00,,,3.40M,,-431.20M,,-431.20M,,,0.00,,,0.00,,,0.00,,,0.00,,18.10M,18.10M,0.035,,,
1988-10,210.40M,210.40M,,,,,,,,,,,,210.40M,,,,,,,,12.70M,,,,12.70M,,210.40M,,210.40M,,0.58,0.00,,0.58,0.58,,0.58,0.00,,0.58,0.58,,18.09M,18.09M,0.035,,,
1988-07,143.60M,143.60M,,,,,,,,,,,,143.60M,,,,,,,,2.90M,-0.20M,,,2.70M,,143.60M,,143.60M,,0.05,-0.01,,0.05,0.04,,0.05,-0.01,,0.05,0.04,,18.09M,18.09M,0.035,,,
1988-04,122.90M,122.90M,,,,,,,,,,,,122.90M,,,,,,,,1.90M,,,,1.90M,,122.90M,,122.90M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,18.09M,18.09M,0.035,,,
1988-01,88.00M,88.00M,,,,,,,,,,,,-372.60M,,,,,,,,-6.70M,-2.70M,,,-9.40M,,-372.60M,,-372.60M,,,-0.1494,,,-0.1494,,,-0.1494,,,-0.1494,,18.08M,18.08M,0.035,,,
1987-10,181.80M,181.80M,,,,,,,,,,,,181.80M,,,,,,,,14.30M,5.50M,,,19.80M,,181.80M,,181.80M,,0.52,0.15,,0.52,0.67,,0.52,0.15,,0.52,0.67,,19.77M,19.77M,0.035,,,
1987-07,115.10M,115.10M,,,,,,,,,,,,115.10M,,,,,,,,6.80M,2.90M,,,9.70M,,115.10M,,115.10M,,0.21,0.15,,0.21,0.36,,0.21,0.15,,0.21,0.36,,19.77M,19.77M,0.35,,,
1987-04,115.10M,115.10M,,,,,,,,,,,,115.10M,,,,,,,,6.90M,3.00M,,,9.90M,,115.10M,,115.10M,,0.22,0.15,,0.22,0.37,,0.22,0.15,,0.22,0.37,,19.77M,19.77M,0.023,,,
1987-01,130.40M,130.40M,,,,,,,,,,,,-340.30M,,,,,,,,4.00M,,,,4.00M,,-340.30M,,-340.30M,,,,,,,,,,,,,,30.27M,30.27M,0.02,,,
1986-10,169.00M,169.00M,,,,,,,,,,,,169.00M,,,,,,,,10.00M,,,,10.00M,,169.00M,,169.00M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,30.65M,30.65M,0.02,,,
1986-07,110.90M,110.90M,,,,,,,,,,,,110.90M,,,,,,,,2.40M,,,,2.40M,,110.90M,,110.90M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,30.60M,30.60M,0.02,,,
1986-04,104.10M,104.10M,,,,,,,,,,,,104.10M,,,,,,,,3.80M,,,,3.80M,,104.10M,,104.10M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,30.55M,30.55M,0.02,,,
1986-01,128.60M,128.60M,,,,,,,,,,,,-382.40M,,,,,,,,3.40M,,,,3.40M,,-382.40M,,-382.40M,,,,,,,,,,,,,,30.56M,30.56M,0.02,,,
1985-10,187.10M,187.10M,,,,,,,,,,,,187.10M,,,,,,,,9.00M,,,,9.00M,,187.10M,,187.10M,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,30.53M,30.53M,0.02,,,
1985-07,114.70M,114.70M,,,,,,,,,,,,114.70M,,,,,,,,1.00M,,,,1.00M,,114.70M,,114.70M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,30.39M,30.39M,0.02,,,
1985-04,120.00M,120.00M,,,,,,,,,,,,120.00M,,,,,,,,2.60M,,,,2.60M,,120.00M,,120.00M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,30.45M,30.45M,0.02,,,
1985-01,164.70M,164.70M,,,,,,,,,,,,-390.30M,,,,,,,,1.90M,,,,1.90M,,-390.30M,,-390.30M,,,,,,,,,,,,,,30.46M,30.46M,0.02,,,
1984-10,179.70M,179.70M,,,,,,,,,,,,179.70M,,,,,,,,7.80M,,,,7.80M,,179.70M,,179.70M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,30.39M,30.39M,,,,
1984-07,125.70M,125.70M,,,,,,,,,,,,125.70M,,,,,,,,1.90M,,,,1.90M,,125.70M,,125.70M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,30.33M,30.33M,,,,
1984-04,120.80M,120.80M,,,,,,,,,,,,120.80M,,,,,,,,3.70M,,,,3.70M,,120.80M,,120.80M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,30.33M,30.33M,,,,
