,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.558B,17.96B,27.15B,45.11B,346.00M,,346.00M,45.46B,,,,,,,,1.897B,5.19B,418.00M,5.608B,87.17B,2.167B,,85.00B,28.28B,129.09B,147.39B,,0.00,0.00,0.00,0.00,3.569B,3.569B,122.48B,0.00,126.05B,129.28B,,1.666B,3.77B,12.73B,1.371B,1.656B,1.315B,18.11B,,AOR,
2020-09,1.972B,13.47B,27.01B,40.48B,347.00M,,347.00M,40.83B,,,,,,,,1.896B,5.187B,396.00M,5.583B,89.55B,2.276B,,87.27B,28.20B,131.36B,145.18B,,0.00,0.00,0.00,0.00,4.919B,4.919B,118.44B,,123.36B,127.28B,,1.666B,3.33B,12.71B,1.371B,1.656B,1.565B,17.90B,,AOR,
2020-06,1.619B,13.20B,23.90B,37.10B,343.00M,,343.00M,37.44B,,,,,,,,1.929B,5.193B,386.00M,5.579B,91.70B,2.276B,,89.42B,25.15B,130.53B,144.07B,,0.00,0.00,0.00,0.00,6.408B,6.408B,116.78B,26.00M,123.19B,126.44B,,1.666B,2.978B,12.70B,1.371B,1.656B,1.626B,17.60B,,AOR,
2020-03,2.101B,5.255B,23.78B,29.03B,349.00M,,349.00M,29.38B,,,,,,,,1.935B,4.845B,352.00M,5.197B,88.66B,1.56B,,87.10B,25.07B,127.94B,133.54B,,3.15B,3.15B,3.15B,3.15B,10.10B,10.10B,100.03B,,110.14B,116.21B,,1.32B,3.364B,12.70B,1.371B,1.31B,1.324B,17.33B,,AOR,
2019-12,1.598B,4.114B,22.61B,26.72B,362.00M,,362.00M,27.08B,446.00M,1.783B,1.779B,199.00M,407.00M,4.614B,-2.654B,1.96B,4.845B,450.00M,5.295B,83.60B,869.00M,,82.73B,23.94B,121.76B,126.24B,,2.05B,2.05B,2.05B,2.05B,7.879B,7.879B,97.48B,,105.35B,109.94B,,1.32B,3.751B,12.68B,1.371B,1.31B,-90.00M,16.30B,,AOR,
2019-09,1.966B,5.067B,22.99B,28.05B,377.00M,,377.00M,28.43B,,,,,,,,1.944B,4.845B,418.00M,5.263B,83.33B,869.00M,,82.46B,24.36B,122.70B,128.15B,,5.401B,5.401B,5.401B,5.401B,9.128B,9.128B,94.30B,,103.43B,111.57B,,1.32B,3.534B,12.80B,1.371B,1.31B,295.00M,16.58B,,AOR,Restated
2019-06,2.026B,4.488B,22.70B,27.19B,389.00M,,389.00M,27.58B,,,,,,,,1.95B,4.829B,438.00M,5.267B,84.06B,853.00M,,83.21B,24.11B,122.64B,127.52B,,4.25B,4.25B,4.25B,4.25B,9.213B,9.213B,94.97B,,104.18B,110.91B,,1.321B,3.299B,13.38B,1.371B,1.31B,-21.00M,16.61B,,AOR,Restated
2019-03,1.666B,3.807B,23.79B,27.59B,388.00M,,388.00M,27.98B,,,,,,,,2.026B,4.829B,494.00M,5.323B,84.75B,853.00M,,83.90B,25.24B,124.61B,128.80B,,1.60B,1.60B,1.60B,1.60B,12.96B,12.96B,95.72B,11.00M,108.68B,113.28B,,831.00M,3.066B,13.58B,1.371B,820.00M,-598.00M,15.51B,,AOR,Restated
2018-12,2.018B,3.538B,22.73B,26.27B,375.00M,,375.00M,26.64B,481.00M,1.83B,1.693B,220.00M,379.00M,4.603B,-2.558B,2.045B,4.829B,533.00M,5.362B,83.46B,840.00M,,82.62B,24.21B,121.78B,125.69B,,1.60B,1.60B,1.60B,1.60B,12.42B,12.42B,94.49B,,106.92B,110.60B,,831.00M,2.828B,13.77B,1.371B,820.00M,-964.00M,15.09B,,AOR,Restated
2018-09,1.911B,3.495B,22.67B,26.17B,360.00M,,360.00M,26.53B,,,,,,,,2.051B,4.829B,528.00M,5.357B,82.15B,840.00M,,81.31B,24.20B,120.72B,124.58B,,3.25B,3.25B,3.25B,3.25B,11.18B,11.18B,93.26B,,104.43B,109.81B,,831.00M,2.582B,14.12B,1.371B,820.00M,-1.394B,14.77B,,AOR,Restated
