,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-12,335.00M,0.00,,-13.00M,-53.00M,127.00M,127.00M,146.00M,,,,85.00M,-325.00M,-97.00M,119.00M,,-303.00M,293.00M,,-1.00M,,-1.00M,0.00,-44.00M,-70.00M,-802.00M,,2.054B,-100.00M,1.954B,,-500.00M,-500.00M,,,,0.00,-16.00M,-16.00M,,-7.00M,729.00M,,3.761B,220.00M,3.981B,,,3.805B,-1.751B,-500.00M,,AOR,Restated
2017-09,311.00M,0.00,,-8.00M,-32.00M,136.00M,136.00M,1.00M,,,,210.00M,-63.00M,134.00M,79.00M,,150.00M,852.00M,,-22.00M,,-22.00M,0.00,-16.00M,-37.00M,559.00M,,-658.00M,0.00,-658.00M,,-500.00M,-500.00M,,,,-105.00M,-16.00M,-121.00M,,0.00,-1.781B,,4.131B,-370.00M,3.761B,,,1.594B,-2.252B,-500.00M,,AOR,Restated
2017-06,316.00M,,,-1.00M,-31.00M,134.00M,134.00M,0.00,,,,-4.00M,6.00M,-40.00M,-9.00M,,-43.00M,420.00M,,-10.00M,,-10.00M,,-44.00M,-29.00M,-433.00M,,748.00M,600.00M,1.348B,,-125.00M,-125.00M,,,,-84.00M,-16.00M,-100.00M,,-22.00M,-230.00M,,4.374B,-243.00M,4.131B,,,1.25B,-502.00M,-125.00M,,AOR,Restated
2017-03,301.00M,,,,-24.00M,140.00M,140.00M,62.00M,,,,239.00M,-28.00M,51.00M,-79.00M,,-56.00M,732.00M,,-8.00M,,-8.00M,,-208.00M,-15.00M,-125.00M,,-1.75B,,-1.75B,,-150.00M,-150.00M,,,,-157.00M,-16.00M,-173.00M,,,-1.684B,,5.451B,-1.077B,4.374B,,,,-1.75B,-150.00M,,AOR,Restated
2016-12,295.00M,,,-5.00M,-20.00M,149.00M,149.00M,49.00M,,,,76.00M,-256.00M,-67.00M,32.00M,-23.00M,-314.00M,283.00M,,-29.00M,,-29.00M,,-588.00M,-89.00M,-197.00M,,1.744B,0.00,1.744B,,-270.00M,-270.00M,,,,-81.00M,-16.00M,-97.00M,,4.00M,1.127B,,4.238B,1.213B,5.451B,,,1.75B,-6.00M,-270.00M,,AOR,Restated
2016-09,320.00M,,,0.00,-36.00M,158.00M,158.00M,8.00M,,,,34.00M,154.00M,-14.00M,-40.00M,-3.00M,97.00M,610.00M,,-11.00M,,-11.00M,,-111.00M,-66.00M,573.00M,,-2.91B,-2.00M,-2.912B,,-215.00M,-215.00M,,,,-82.00M,-16.00M,-98.00M,,-1.00M,-1.182B,,4.237B,1.00M,4.238B,,,0.00,-2.91B,-215.00M,,AOR,Restated
2016-06,275.00M,,,-6.00M,-44.00M,137.00M,137.00M,-10.00M,,,,-99.00M,-234.00M,32.00M,234.00M,-7.00M,25.00M,356.00M,,-19.00M,,-19.00M,,-198.00M,16.00M,-420.00M,,1.108B,2.00M,1.11B,,-179.00M,-179.00M,,,,-76.00M,-16.00M,-92.00M,,-19.00M,-89.00M,,4.39B,-153.00M,4.237B,,,1.108B,0.00,-179.00M,,AOR,Restated
2016-03,273.00M,,,5.00M,-16.00M,130.00M,130.00M,20.00M,,,,113.00M,108.00M,51.00M,-37.00M,33.00M,155.00M,788.00M,,-5.00M,,-5.00M,,-79.00M,-57.00M,-656.00M,,-501.00M,-10.00M,-511.00M,,-175.00M,-175.00M,,,,-78.00M,-16.00M,-94.00M,,,-1.056B,,5.314B,-924.00M,4.39B,,,499.00M,-1.00B,-175.00M,,AOR,Restated
2015-12,285.00M,,,-11.00M,-28.00M,139.00M,139.00M,133.00M,,,,127.00M,-116.00M,-30.00M,-354.00M,-37.00M,-537.00M,188.00M,,-369.00M,,0.00,,-667.00M,193.00M,-1.943B,,999.00M,10.00M,1.009B,,-79.00M,-79.00M,,,,-78.00M,-16.00M,-94.00M,,-27.00M,2.061B,,5.008B,306.00M,5.314B,,,999.00M,0.00,-79.00M,,AOR,Restated
2015-09,258.00M,,,-7.00M,-29.00M,132.00M,132.00M,28.00M,,,,91.00M,25.00M,-77.00M,252.00M,4.00M,204.00M,744.00M,,-4.00M,,-4.00M,,17.00M,-119.00M,-1.132B,,3.749B,-1.846B,1.903B,,-270.00M,-270.00M,,,,-79.00M,-16.00M,-95.00M,,0.00,1.641B,,3.755B,1.253B,5.008B,,,3.749B,0.00,-270.00M,,AOR,Restated
