,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,493.60M,,,,,20.30M,74.00M,94.30M,94.30M,-31.10M,,0.00,29.60M,,3.70M,-296.60M,22.70M,10.60M,105.70M,,,9.50M,-148.10M,442.00M,-58.30M,,-111.50M,0.00,-79.60M,0.00,0.00,-137.90M,-9.90M,-250.00M,-259.90M,,-100.20M,-100.20M,10.90M,-1.70M,-350.90M,744.20M,-46.80M,3.60M,701.00M,,0.00,-259.90M,-100.20M
2020-06,136.20M,,,,,20.50M,73.10M,93.60M,93.60M,-19.10M,,0.00,19.90M,,8.80M,-130.20M,-14.70M,44.70M,84.10M,,,-0.30M,-16.40M,223.00M,-35.00M,,-11.40M,0.00,0.00,0.00,-1.30M,-36.30M,-9.70M,-250.00M,-259.70M,,0.10M,0.10M,18.10M,-0.20M,-241.70M,799.80M,-55.00M,-0.60M,744.20M,,0.00,-259.70M,0.10M
2020-03,94.90M,,,,,20.70M,73.00M,93.70M,93.70M,283.70M,,0.00,15.70M,,14.30M,-17.90M,-18.40M,-343.70M,-20.70M,,,16.10M,-384.60M,117.70M,-31.60M,,-13.40M,,111.30M,0.00,-1.40M,78.30M,-268.10M,750.00M,481.90M,,-267.60M,-267.60M,17.90M,-9.60M,222.60M,381.50M,418.60M,-0.30M,799.80M,,750.00M,-268.10M,-267.60M
2019-12,385.80M,,,,,21.60M,72.80M,94.40M,94.40M,-327.90M,,30.20M,18.10M,,0.50M,17.60M,-14.90M,-1.60M,-78.00M,,,-10.30M,-87.20M,113.90M,-31.50M,,-20.10M,,-11.80M,-2.40M,,-45.70M,6.20M,0.00,6.20M,,-285.90M,-285.90M,18.70M,-28.90M,-289.90M,601.80M,-221.70M,1.40M,381.50M,,16.00M,-9.80M,-285.90M
2019-09,-123.50M,,,,,22.80M,90.60M,113.40M,113.40M,-40.90M,,241.60M,13.50M,,9.50M,-66.80M,18.70M,14.10M,56.80M,,,10.50M,33.30M,247.70M,-31.40M,,-69.20M,0.00,-19.40M,0.00,-30.00M,-80.80M,-0.40M,0.00,-0.40M,,0.00,0.00,13.90M,-4.30M,9.20M,427.90M,176.10M,-2.20M,601.80M,,0.00,-0.40M,0.00
2019-06,93.90M,,,,,22.90M,90.40M,113.30M,113.30M,-21.50M,,0.00,13.90M,,9.90M,-28.30M,-27.70M,-4.60M,19.60M,,,-4.80M,-45.80M,163.70M,-30.30M,,-11.00M,-4.50M,-0.80M,0.00,-1.70M,-32.80M,26.50M,-85.00M,-58.50M,,-50.00M,-50.00M,7.10M,-3.10M,-104.50M,401.00M,26.40M,0.50M,427.90M,,43.00M,-101.50M,-50.00M
2019-03,-272.60M,,,,,23.10M,94.50M,117.60M,117.60M,-123.30M,,443.80M,17.50M,,2.70M,18.20M,-26.10M,-18.90M,-30.80M,,,5.40M,-52.20M,133.50M,-29.30M,,-15.80M,,-2.00M,-3.00M,-2.10M,-36.40M,-18.40M,0.00,-18.40M,,-3.10M,-3.10M,15.30M,-1.80M,-8.00M,311.10M,89.10M,0.80M,401.00M,,0.00,-18.40M,-3.10M
2018-12,98.60M,,,,,23.70M,95.10M,118.80M,118.80M,-50.00M,,0.00,17.10M,,11.70M,0.40M,-27.90M,0.20M,-67.60M,,,3.30M,-91.60M,104.60M,-22.60M,,-13.10M,,-106.60M,0.00,-1.50M,-130.70M,34.60M,-215.00M,-180.40M,,-147.00M,-147.00M,13.50M,-14.30M,-328.20M,666.70M,-354.30M,-1.30M,311.10M,,1.98B,-2.160B,-147.00M
2018-09,50.50M,,,,0.00,23.80M,95.30M,119.10M,119.10M,-7.00M,,0.00,11.90M,,4.90M,-24.40M,-11.30M,8.00M,85.90M,,,-5.20M,53.00M,232.40M,-32.10M,,-70.00M,0.00,-72.10M,0.00,-3.30M,-107.50M,-7.90M,60.00M,52.10M,,-88.50M,-88.50M,9.10M,-0.60M,-27.90M,575.40M,97.00M,-5.70M,666.70M,,195.20M,-143.10M,-88.50M
2018-06,112.90M,,,,0.00,25.80M,94.70M,120.50M,120.50M,-36.70M,,0.00,17.20M,,1.40M,-16.30M,-11.80M,17.30M,23.80M,,,5.70M,18.70M,234.00M,-24.70M,,-11.40M,0.00,0.00,0.00,-1.70M,-26.40M,-233.50M,85.00M,-148.50M,,-96.60M,-96.60M,7.80M,-4.20M,-241.50M,614.20M,-33.90M,-4.90M,575.40M,,278.80M,-427.30M,-96.60M
