,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,701.00M,,701.00M,1.029B,,1.029B,152.30M,46.50M,196.30M,395.10M,97.30M,,,,2.222B,0.0,40.70M,167.30M,933.60M,80.70M,44.30M,1.267B,-694.40M,572.20M,2.658B,1.308B,3.965B,11.40M,325.70M,,15.50M,34.00M,4.974B,7.196B,178.80M,125.30M,304.10M,136.10M,440.20M,,250.00M,74.90M,324.90M,25.40M,350.30M,186.10M,186.10M,,,1.239B,103.70M,2.714B,83.00M,2.797B,201.80M,12.90M,214.70M,11.10M,23.00M,2.10M,99.80M,3.249B,4.488B,2.90M,-1.573B,5.905B,1.580B,,-49.70M,2.705B
2020-06,744.20M,,744.20M,728.00M,,728.00M,165.60M,56.50M,191.50M,413.60M,97.00M,,,,1.983B,0.0,40.60M,164.60M,899.70M,,43.70M,1.149B,-692.40M,456.20M,2.593B,1.252B,3.845B,,,,,518.70M,4.820B,6.803B,127.30M,,127.30M,476.00M,603.30M,,500.00M,65.50M,565.50M,1.80M,567.30M,175.10M,175.10M,,,1.346B,,2.731B,17.90M,2.749B,214.10M,12.60M,226.70M,,,3.50M,222.90M,3.199B,4.544B,2.90M,-2.068B,5.862B,1.480B,,-61.90M,2.255B
2020-03,799.80M,,799.80M,597.20M,,597.20M,155.10M,56.40M,189.80M,401.30M,138.30M,,,,1.937B,0.0,40.60M,162.90M,876.00M,,42.80M,1.122B,-677.00M,445.30M,2.592B,1.329B,3.921B,,,,,519.10M,4.885B,6.822B,134.40M,,134.40M,366.00M,500.40M,,750.00M,56.10M,806.10M,1.80M,807.90M,172.60M,172.60M,,,1.481B,,2.749B,18.40M,2.768B,235.90M,15.00M,250.90M,,,5.10M,231.10M,3.250B,4.731B,2.90M,-2.206B,5.828B,1.480B,,-58.90M,2.086B
2019-12,370.80M,,370.80M,581.80M,,581.80M,154.50M,54.00M,172.30M,380.80M,93.60M,,,,1.638B,0.0,40.70M,170.20M,848.50M,,43.60M,1.103B,-651.00M,452.00M,2.594B,1.367B,3.961B,,,,,261.10M,4.674B,6.312B,123.70M,,123.70M,381.50M,505.20M,,,302.20M,302.20M,1.80M,304.00M,156.20M,156.20M,,77.90M,1.043B,,2.769B,18.80M,2.788B,5.70M,15.30M,21.00M,,,6.90M,201.70M,3.011B,4.054B,2.90M,-2.302B,5.750B,1.171B,,-28.70M,2.251B
2019-09,601.80M,,601.80M,648.70M,,648.70M,166.10M,54.50M,224.30M,444.90M,97.70M,,,,1.793B,0.0,46.30M,196.70M,824.20M,,61.70M,1.129B,-658.00M,470.90M,2.564B,1.460B,4.024B,54.10M,,,17.20M,38.70M,4.649B,6.442B,186.50M,56.10M,242.60M,151.40M,394.00M,,0.00,271.40M,271.40M,1.80M,273.20M,179.50M,179.50M,,,1.070B,106.80M,2.784B,52.90M,2.836B,275.30M,15.80M,291.10M,10.20M,,0.00,11.70M,3.256B,4.326B,2.90M,-2.689B,5.770B,926.00M,,-42.30M,2.116B
2019-06,427.90M,,427.90M,586.80M,,586.80M,173.50M,58.40M,236.00M,467.90M,109.20M,,,,1.592B,0.0,46.30M,195.50M,841.00M,,61.00M,1.144B,-674.00M,469.80M,2.566B,1.788B,4.354B,,,,,106.50M,4.931B,6.522B,161.50M,,161.50M,419.30M,580.80M,,0.00,262.00M,262.00M,1.80M,263.80M,170.60M,170.60M,,,1.015B,,2.792B,19.60M,2.811B,312.70M,15.90M,328.60M,,,,150.90M,3.291B,4.306B,2.90M,-2.565B,5.739B,926.00M,,-34.20M,2.216B
2019-03,401.00M,,401.00M,557.50M,,557.50M,162.80M,55.00M,225.60M,443.40M,109.10M,,,,1.511B,0.0,46.30M,189.40M,827.20M,,64.30M,1.127B,-657.50M,469.70M,2.564B,1.875B,4.439B,,,,,105.20M,5.014B,6.525B,165.20M,,165.20M,394.10M,559.30M,,85.00M,225.70M,310.70M,1.70M,312.40M,173.50M,173.50M,,,1.045B,,2.800B,20.10M,2.820B,335.40M,17.00M,352.40M,,,,148.10M,3.320B,4.366B,2.90M,-2.659B,5.722B,876.00M,,-30.50M,2.160B
2018-12,311.10M,,311.10M,578.60M,,578.60M,149.40M,52.70M,216.50M,418.60M,93.60M,,,,1.402B,0.0,46.30M,188.70M,813.10M,,63.10M,1.111B,-638.60M,472.60M,2.563B,2.402B,4.965B,,,,,91.90M,5.530B,6.932B,176.30M,,176.30M,413.20M,589.50M,,85.00M,234.40M,319.40M,1.70M,321.10M,167.10M,167.10M,,,1.078B,,2.808B,20.50M,2.828B,456.50M,18.10M,474.60M,,,,156.40M,3.459B,4.537B,2.90M,-2.386B,5.686B,876.00M,,-31.90M,2.394B
2018-09,666.70M,,666.70M,579.20M,,579.20M,134.90M,52.10M,197.10M,384.10M,93.20M,,,,1.723B,0.0,46.30M,175.10M,809.90M,,63.00M,1.094B,-616.10M,478.20M,2.533B,2.399B,4.932B,8.80M,,,12.90M,31.80M,5.508B,7.231B,192.20M,57.20M,249.40M,182.90M,432.30M,,300.00M,299.70M,599.70M,1.70M,601.40M,172.90M,172.90M,,,1.403B,92.60M,2.705B,56.40M,2.761B,498.20M,18.20M,516.40M,9.90M,,,19.60M,3.400B,4.802B,2.90M,-2.494B,5.671B,725.90M,,-25.50M,2.429B
2018-06,575.40M,,575.40M,551.70M,,551.70M,124.90M,52.10M,193.50M,370.50M,97.80M,,,,1.595B,0.0,46.40M,173.50M,788.90M,,62.30M,1.071B,-609.60M,461.50M,2.493B,2.449B,4.942B,,,,,92.10M,5.496B,7.091B,167.30M,,167.30M,364.90M,532.20M,,240.00M,285.20M,525.20M,1.70M,526.90M,176.10M,176.10M,,,1.235B,,2.722B,21.40M,2.743B,494.90M,18.90M,513.80M,,,,149.60M,3.407B,4.642B,2.90M,-2.544B,5.647B,637.40M,,-18.60M,2.450B
