,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,9.848B,9.848B,778.00M,778.00M,73.00M,-50.00M,126.00M,-126.00M,572.00M,1.373B,126.00M,-126.00M,,-126.00M,1.508B,334.00M,1.174B,,2.418B,2.462B,73.00M,1.634B,,5.357,,,5.454,5.357,,5.34,,,5.437,5.34,,451.37M,453.30M,0.78,,AOR,
2020-09,9.464B,9.464B,733.00M,733.00M,72.00M,0.00,130.00M,-130.00M,-6.00M,799.00M,130.00M,-130.00M,,-130.00M,1.336B,142.00M,1.194B,,1.194B,1.194B,72.00M,1.466B,,2.64,,,2.64,2.64,,2.63,,,2.63,2.63,,451.79M,453.27M,0.78,,AOR,
2020-06,8.985B,8.985B,727.00M,727.00M,72.00M,0.00,128.00M,-128.00M,-15.00M,784.00M,128.00M,-128.00M,,-128.00M,-393.00M,-62.00M,-331.00M,,-331.00M,-331.00M,72.00M,-265.00M,,-0.73,,,-0.73,-0.73,,-0.73,,,-0.73,-0.73,,451.40M,451.40M,0.78,,AOR,
2020-03,7.697B,7.697B,741.00M,741.00M,73.00M,0.00,132.00M,-132.00M,84.00M,898.00M,132.00M,-132.00M,,-132.00M,467.00M,215.00M,252.00M,,252.00M,252.00M,73.00M,599.00M,,0.56,,,0.56,0.56,,0.55,,,0.55,0.55,,451.87M,454.52M,0.75,,AOR,
2019-12,8.738B,8.738B,810.00M,810.00M,76.00M,-14.00M,134.00M,-134.00M,-6.00M,866.00M,134.00M,-134.00M,,-134.00M,1.342B,169.00M,1.173B,,1.173B,1.185B,76.00M,1.476B,,2.595,,,2.622,2.595,,2.573,,,2.600,2.573,,452.68M,455.88M,0.75,,AOR,
2019-09,9.045B,9.045B,752.00M,752.00M,76.00M,-2.00M,138.00M,-138.00M,24.00M,850.00M,138.00M,-138.00M,,-138.00M,1.321B,230.00M,1.091B,,1.091B,1.093B,76.00M,1.459B,,2.40,,,2.404,2.40,,2.38,,,2.384,2.38,,454.98M,458.15M,0.75,,AOR,Restated
2019-06,8.527B,8.527B,758.00M,758.00M,77.00M,-4.00M,140.00M,-140.00M,20.00M,851.00M,140.00M,-140.00M,,-140.00M,1.358B,208.00M,1.15B,,1.15B,1.153B,77.00M,1.498B,,2.52,,,2.527,2.52,,2.50,,,2.507,2.50,,457.22M,460.17M,0.75,,AOR,Restated
2019-03,7.876B,7.876B,710.00M,710.00M,76.00M,-3.00M,140.00M,-140.00M,-17.00M,766.00M,140.00M,-140.00M,,-140.00M,1.228B,188.00M,1.04B,,1.04B,1.043B,76.00M,1.368B,,2.27,,,2.276,2.27,,2.25,,,2.256,2.25,,458.81M,461.54M,0.73,,AOR,Restated
2018-12,7.626B,7.626B,728.00M,728.00M,86.00M,-20.00M,153.00M,-153.00M,33.00M,827.00M,153.00M,-153.00M,,-153.00M,514.00M,159.00M,355.00M,,355.00M,368.81M,86.00M,667.00M,,0.77,,,0.8000,0.77,,0.76,,,0.7898,0.76,,460.58M,463.20M,0.73,,AOR,Restated
2018-09,8.75B,8.75B,719.00M,719.00M,83.00M,-16.00M,164.00M,-164.00M,33.00M,819.00M,164.00M,-164.00M,,-164.00M,1.414B,183.00M,1.231B,,1.231B,1.245B,83.00M,1.578B,,2.66,,,2.690,2.66,,2.64,,,2.670,2.64,,462.98M,466.02M,0.73,,AOR,Restated
