,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,522.94M,522.94M,121.52M,401.42M,48.15M,,,-15.04M,98.11M,0.756M,-102.24M,,228.45M,172.97M,0.756M,98.11M,-102.24M,-57.49M,-102.24M,13.24M,-9.441M,22.68M,,,-0.108M,,22.57M,33.55M,291.65M,180.30M,111.35M,0.2,,,,0.2982,0.2,0.2,,,,0.2966,0.2,111.78M,113.70M,0.465
2020-06,507.23M,507.23M,111.50M,395.72M,49.09M,,,-10.80M,98.02M,0.699M,-102.51M,,227.79M,167.93M,0.699M,98.02M,-102.51M,-42.46M,-102.51M,22.95M,-0.165M,23.12M,,,-0.305M,,22.81M,30.69M,299.68M,178.71M,120.98M,0.2,,,,0.2705,0.2,0.2,,,,0.2694,0.2,111.74M,113.63M,0.465
2020-03,517.07M,517.07M,115.51M,401.55M,49.62M,,,-34.37M,98.26M,0.885M,-102.51M,,232.20M,169.36M,0.885M,98.26M,-102.51M,-261.32M,-102.51M,-194.47M,-66.54M,-127.93M,,,0.875M,,-127.06M,-104.45M,86.36M,182.58M,-96.21M,-1.14,,,,-0.938,-1.14,-1.14,,,,-0.938,-1.14,111.91M,111.91M,0.465
2019-12,513.66M,513.66M,121.26M,392.40M,43.96M,,,-15.93M,98.59M,0.808M,-104.92M,,223.45M,168.95M,0.808M,98.59M,-104.92M,20.32M,-104.92M,84.35M,16.79M,67.56M,,,-0.206M,,67.35M,80.11M,362.43M,179.49M,182.94M,0.6,,,,0.7136,0.6,0.59,,,,0.7016,0.59,112.28M,114.30M,0.37
2019-09,507.55M,507.55M,123.51M,384.04M,42.27M,,,-13.13M,97.23M,1.311M,-101.08M,,217.26M,166.78M,1.311M,97.23M,-101.08M,-46.94M,-101.08M,18.76M,-3.002M,21.77M,,,-0.087M,,21.68M,31.27M,290.98M,174.99M,115.99M,0.19,,,,0.2748,0.19,0.19,,,,0.2732,0.19,113.04M,115.18M,0.37
2019-06,500.15M,500.15M,124.45M,375.70M,55.52M,,,-11.83M,98.10M,1.581M,-101.63M,,227.09M,148.61M,1.581M,98.10M,-101.63M,0.603M,-101.63M,47.58M,15.61M,31.97M,,,0.00,,31.97M,39.92M,317.24M,171.56M,145.68M,0.28,,,,0.3502,0.28,0.28,,,,0.3492,0.28,113.20M,114.94M,
2019-03,493.29M,493.29M,123.82M,369.48M,50.96M,,,-7.897M,99.31M,1.80M,-102.57M,,222.00M,147.48M,1.80M,99.31M,-102.57M,-8.716M,-102.57M,36.20M,10.21M,25.99M,,,0.00,,25.99M,31.66M,306.54M,171.04M,135.50M,0.23,,,,0.2803,0.23,0.23,,,,0.2796,0.23,112.71M,114.34M,
2018-12,483.85M,483.85M,122.30M,361.55M,35.62M,,,-6.146M,98.58M,1.759M,-101.84M,,205.08M,156.47M,1.759M,98.58M,-101.84M,18.40M,-101.84M,73.03M,15.88M,57.15M,,,0.00,,57.15M,61.96M,341.06M,169.45M,171.61M,0.5,,,,0.5424,0.5,0.5,,,,0.5401,0.5,113.50M,119.93M,
2018-09,467.22M,467.22M,116.74M,350.48M,34.91M,,,-9.863M,96.35M,2.006M,-99.32M,,202.61M,147.87M,2.006M,96.35M,-99.32M,-34.38M,-99.32M,14.16M,-1.979M,16.14M,,,0.00,,16.14M,23.34M,278.22M,167.70M,110.51M,0.14,,,,0.2028,0.14,0.14,,,,0.202,0.14,114.60M,116.11M,
2018-06,456.32M,456.32M,114.41M,341.91M,35.94M,,,-24.34M,94.28M,1.671M,-97.50M,,205.50M,136.41M,1.671M,94.28M,-97.50M,-114.54M,-97.50M,-75.64M,-18.25M,-57.39M,,,,,-57.39M,-38.93M,188.20M,169.56M,18.64M,-0.5,,,,-0.3395,-0.5,-0.5,,,,-0.3395,-0.5,115.06M,115.06M,
2018-03,458.30M,458.30M,115.34M,342.96M,36.05M,,,-12.20M,89.66M,1.295M,-93.75M,,201.45M,141.52M,1.295M,89.66M,-93.75M,-7.642M,-93.75M,40.13M,8.582M,31.54M,,,,,31.54M,41.13M,295.18M,165.40M,129.78M,0.27,,,,0.3523,0.27,0.27,,,,0.351,0.27,116.49M,118.29M,
2017-12,443.07M,443.07M,114.53M,328.54M,30.52M,,,-16.30M,87.07M,2.689M,-89.72M,,193.16M,135.38M,2.689M,87.07M,-89.72M,-34.94M,-89.72M,10.73M,3.07M,7.66M,,,,,7.66M,19.30M,260.44M,162.64M,97.80M,0.07,,,,0.1693,0.07,0.06,,,,0.1579,0.06,117.20M,118.91M,
2017-09,433.94M,433.94M,111.47M,322.48M,32.56M,,,-11.00M,82.08M,2.505M,-84.53M,,194.47M,128.01M,2.505M,82.08M,-84.53M,9.062M,-84.53M,52.54M,3.378M,49.16M,,,,,49.16M,59.45M,296.53M,161.91M,134.62M,0.41,,,,0.496,0.41,0.41,,,,0.495,0.41,119.75M,121.03M,
2017-06,427.29M,427.29M,109.34M,317.95M,33.39M,,,-12.41M,79.17M,2.909M,-81.21M,,192.91M,125.04M,2.909M,79.17M,-81.21M,-31.20M,-81.21M,12.62M,3.39M,9.233M,,,,,9.233M,18.31M,251.32M,159.52M,91.80M,0.08,,,,0.1547,0.08,0.08,,,,0.1541,0.08,121.46M,122.44M,
2017-03,423.36M,423.36M,110.97M,312.39M,34.22M,,,-11.32M,78.31M,3.234M,-81.77M,,193.25M,119.14M,3.234M,78.31M,-81.77M,3.628M,-81.77M,41.00M,3.398M,37.60M,,,,,37.60M,47.98M,278.33M,159.03M,119.30M,0.31,,,,0.3958,0.31,0.31,,,,0.3953,0.31,121.05M,121.73M,
2016-12,416.50M,416.50M,106.27M,310.24M,33.02M,,,-29.42M,78.96M,3.224M,-80.84M,,191.58M,118.66M,3.224M,78.96M,-80.84M,-27.28M,-80.84M,10.55M,5.285M,5.262M,,,,,5.262M,22.91M,248.06M,158.55M,89.51M,0.04,,,,0.1839,0.04,0.04,,,,0.1832,0.04,122.67M,123.29M,
2016-09,411.32M,411.32M,105.47M,305.85M,32.26M,,,-39.79M,84.01M,3.101M,-86.36M,,192.37M,113.48M,3.101M,84.01M,-86.36M,-40.93M,-86.36M,-13.80M,1.574M,-15.37M,,,,,-15.37M,8.502M,230.33M,160.11M,70.22M,-0.12,,,,0.0716,-0.12,-0.12,,,,0.0716,-0.12,124.60M,124.60M,
2016-06,405.53M,405.53M,106.57M,298.96M,47.66M,,,-17.51M,84.14M,2.737M,-86.73M,,207.39M,91.58M,2.737M,84.14M,-86.73M,29.86M,-86.73M,34.71M,2.001M,32.71M,,,,,32.71M,49.21M,278.58M,159.72M,118.85M,0.26,,,,0.3919,0.26,0.26,,,,0.3912,0.26,125.12M,125.78M,
2016-03,399.77M,399.77M,102.60M,297.17M,30.41M,,,-9.365M,84.26M,1.866M,-87.66M,,190.21M,106.97M,1.866M,84.26M,-87.66M,36.54M,-87.66M,55.84M,2.205M,53.64M,,,,,53.64M,62.63M,299.90M,159.80M,140.10M,0.43,,,,0.5017,0.43,0.43,,,,0.5013,0.43,125.40M,126.12M,
2015-12,406.94M,406.94M,109.44M,297.50M,28.93M,,,-25.76M,84.38M,1.61M,-87.95M,,190.40M,107.11M,1.61M,84.38M,-87.95M,13.81M,-87.95M,32.97M,1.949M,31.02M,,,,,31.02M,55.26M,278.81M,161.46M,117.35M,0.25,,,,0.4424,0.25,0.24,,,,0.4324,0.24,125.98M,125.98M,
2015-09,410.74M,410.74M,111.73M,299.00M,27.87M,,,-63.72M,82.33M,1.276M,-85.85M,,192.20M,106.80M,1.276M,82.33M,-85.85M,-174.97M,-85.85M,-154.02M,1.926M,-155.95M,,,,,-155.95M,-117.72M,92.64M,164.33M,-71.69M,-1.23,,,,-0.9294,-1.23,-1.23,,,,-0.9294,-1.23,127.17M,127.17M,
2015-06,410.70M,410.70M,112.11M,298.59M,28.26M,,,-9.79M,79.23M,0.715M,-83.14M,,190.64M,107.95M,0.715M,79.23M,-83.14M,5.717M,-83.14M,30.53M,2.224M,28.30M,,,,,28.30M,37.38M,272.14M,162.38M,109.76M,0.22,,,,0.2905,0.22,0.22,,,,0.2898,0.22,128.81M,129.95M,
2015-03,410.09M,410.09M,111.11M,298.98M,29.88M,,,-8.161M,77.93M,0.293M,-82.18M,,201.74M,97.25M,0.293M,77.93M,-82.18M,-91.13M,-82.18M,-76.07M,2.963M,-79.03M,,,,,-79.03M,-74.13M,173.72M,171.85M,1.867M,-0.61,0.0,,,-0.5721,-0.61,-0.61,0.0,,,-0.5721,-0.61,129.24M,129.24M,
2014-12,404.73M,404.73M,112.00M,292.73M,26.61M,,,-8.441M,77.18M,0.249M,-81.39M,,188.82M,103.91M,0.249M,77.18M,-81.39M,-18.20M,-81.39M,4.315M,3.925M,0.39M,,,,,0.39M,5.877M,243.71M,162.21M,81.50M,0.003,,,,0.0455,0.003,0.003,,,,0.0455,0.003,129.11M,129.11M,
