,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,31.54M,,,,,,165.40M,165.40M,2.277M,,8.446M,10.41M,2.784M,-5.198M,-9.277M,-29.47M,,1.665M,,-42.28M,,178.58M,-31.10M,,,-117.62M,-0.686M,-2.193M,-151.60M,71.85M,,71.85M,,-38.54M,-38.54M,,,6.901M,-6.155M,34.05M,104.30M,61.03M,-0.504M,164.82M,,896.85M,-825.00M,-38.54M,2.148M,104.01M
2017-12,7.66M,,,20.40M,,,162.64M,162.64M,1.22M,,10.11M,9.355M,0.25M,-8.943M,1.28M,23.54M,,-3.431M,,12.45M,,227.00M,-40.73M,,,-280.54M,0.216M,6.866M,-314.19M,346.06M,,346.06M,,-331.16M,-331.16M,,,,-46.82M,23.03M,172.46M,-64.17M,-4.001M,104.30M,,851.06M,-505.00M,-331.16M,3.33M,57.30M
2017-09,49.16M,,,-18.41M,,,161.91M,161.91M,-0.619M,,8.597M,9.423M,5.044M,-10.87M,-7.093M,-18.11M,,8.241M,,-27.83M,,187.27M,-36.88M,,,-78.83M,-0.382M,-6.191M,-122.27M,274.66M,,274.66M,,-378.93M,-378.93M,,,,10.78M,-93.49M,197.19M,-28.49M,3.762M,172.46M,,314.66M,-40.00M,-378.93M,2.762M,103.69M
2017-06,9.234M,,,22.38M,,,159.52M,159.52M,-0.601M,,6.672M,10.19M,5.063M,-2.523M,-6.298M,27.31M,,0.945M,,19.43M,,231.89M,-33.69M,,,-39.53M,,-11.15M,-84.36M,5.153M,,5.153M,,-140.02M,-140.02M,,,,23.03M,-111.84M,165.47M,35.69M,-3.969M,197.19M,,850.15M,-845.00M,-140.02M,5.755M,55.69M
2017-03,37.60M,,,-13.66M,,,159.03M,159.03M,,,7.047M,9.277M,6.733M,1.444M,-4.777M,-29.19M,,-1.199M,,-33.72M,,172.31M,-35.75M,,,-42.65M,,-5.879M,-84.28M,-115.00M,,-115.00M,,-4.419M,-4.419M,,,,7.147M,-112.27M,185.97M,-24.24M,3.744M,165.47M,,0.00,-115.00M,-4.419M,2.806M,102.88M
2016-12,5.262M,,,17.12M,,,158.55M,158.55M,,,6.643M,8.163M,7.294M,-3.626M,-9.316M,11.57M,,11.62M,,10.26M,,215.29M,-35.66M,,,-85.43M,,-7.539M,-128.02M,-294.44M,,-294.44M,,-343.34M,-343.34M,,,,15.69M,-622.09M,720.93M,-534.82M,-0.142M,185.97M,,289.63M,-584.06M,-343.34M,1.522M,69.41M
2016-09,-15.37M,,,37.68M,,,160.11M,160.11M,,,1.298M,8.075M,2.675M,-12.41M,-5.131M,-15.85M,,8.415M,,-24.98M,,172.50M,-33.66M,,,-42.70M,,5.571M,-70.79M,513.18M,,513.18M,,-52.32M,-52.32M,,,,-3.022M,457.83M,162.64M,559.54M,-1.249M,720.93M,,1.919B,-1.406B,-52.32M,2.272M,100.41M
2016-06,32.71M,,,-47.37M,,,159.72M,159.72M,,,13.56M,8.892M,4.798M,8.679M,-13.58M,16.60M,,8.578M,,20.28M,,210.09M,-34.60M,,,-56.87M,,-5.615M,-97.09M,15.00M,,15.00M,,-100.02M,-100.02M,,,,-5.96M,-90.98M,131.63M,22.03M,8.977M,162.64M,,70.00M,-55.00M,-100.02M,3.502M,70.15M
2016-03,53.64M,,,-44.76M,,,159.80M,159.80M,,,4.196M,7.785M,5.144M,0.09M,-12.27M,-22.83M,,-6.151M,,-41.16M,,144.64M,-36.06M,,,-91.83M,,-4.447M,-132.34M,15.00M,,15.00M,,-50.01M,-50.01M,,,,1.689M,-33.32M,146.62M,-21.02M,6.032M,131.63M,,70.00M,-55.00M,-50.01M,2.359M,98.43M
2015-12,31.02M,,,-39.11M,,,161.46M,161.46M,,,19.51M,6.844M,3.913M,-8.267M,-10.01M,10.23M,,11.80M,,3.762M,,188.29M,-46.40M,,,-200.82M,,-12.85M,-170.33M,44.08M,,44.08M,,-50.01M,-50.01M,,,0.00,3.162M,-2.762M,73.27M,15.20M,-0.302M,146.62M,,489.08M,-445.00M,-50.01M,1.862M,69.97M
2015-09,-155.95M,,,112.13M,,,164.33M,164.33M,-0.192M,,61.99M,6.702M,2.799M,17.78M,-28.78M,-6.649M,,-14.75M,,-32.39M,,159.20M,-43.92M,,,-85.63M,,-0.573M,-130.12M,230.00M,,230.00M,,-250.04M,-250.04M,,,0.00,4.77M,-15.27M,69.85M,13.81M,-10.39M,73.27M,,320.00M,-90.00M,-250.04M,1.902M,95.27M
2015-06,28.30M,,,-15.70M,,,162.38M,162.38M,-0.365M,,2.875M,8.213M,3.894M,2.016M,-17.86M,15.16M,,7.997M,,7.313M,,197.12M,-50.29M,,,-269.80M,,5.039M,-315.06M,287.40M,,287.40M,,-150.02M,-150.02M,,,-15.64M,3.575M,125.31M,62.37M,7.381M,0.094M,69.85M,,804.90M,-517.50M,-150.02M,4.153M,64.24M
2015-03,-79.03M,,,84.00M,,,171.85M,171.85M,0.557M,,5.027M,6.988M,3.293M,4.445M,-6.286M,-11.38M,,-1.056M,,-14.28M,,178.41M,-68.10M,,,-53.28M,,-0.175M,-121.55M,102.50M,,102.50M,,0.00,0.00,,,-135.24M,1.207M,-31.53M,39.44M,25.32M,-2.397M,62.37M,,135.00M,-32.50M,0.00,1.514M,92.91M
2014-12,0.39M,0.00,,11.63M,,,162.21M,162.21M,1.573M,,8.475M,5.44M,-1.809M,-25.60M,-18.26M,12.35M,,32.28M,,0.776M,,189.05M,-79.90M,,,-536.47M,2.998M,13.24M,-600.14M,288.47M,,288.47M,,0.00,0.00,,,-282.15M,-1.38M,4.935M,450.26M,-406.15M,-2.503M,97.90M,,1.643B,-1.355B,0.00,1.148M,62.26M
2014-09,-16.62M,0.00,,14.89M,,,159.41M,159.41M,-1.08M,,4.646M,6.417M,9.87M,-9.993M,-27.53M,-12.44M,,22.77M,,-27.19M,,150.34M,-59.20M,,,-81.27M,0.00,3.134M,-137.34M,659.74M,,659.74M,,0.00,0.00,,,-326.61M,-1.763M,331.37M,107.65M,344.38M,-1.77M,450.26M,,1.032B,-372.61M,0.00,2.023M,86.41M
2014-06,-9.468M,0.00,,8.236M,,,161.00M,161.00M,-0.437M,,2.405M,6.196M,14.76M,-9.30M,-17.59M,10.11M,,8.816M,,-7.963M,,174.73M,-39.91M,,,-39.82M,0.00,-5.36M,-85.09M,-23.81M,,-23.81M,,0.00,0.00,,,-276.23M,-5.131M,-305.17M,322.91M,-215.53M,0.269M,107.65M,,99.98M,-123.79M,0.00,2.403M,59.37M
2014-03,1.407M,-17.89M,,-15.94M,,,144.44M,144.44M,0.474M,,2.858M,4.618M,14.11M,8.644M,1.196M,-4.556M,,2.959M,,8.243M,,160.22M,-32.24M,,,-927.65M,17.89M,0.444M,-941.56M,975.47M,,975.47M,,,,,,0.00,-11.31M,964.16M,122.11M,182.82M,17.98M,322.91M,,1.658B,-683.00M,,1.951M,70.32M
2013-12,-19.16M,6.893M,27.87M,29.00M,,,133.33M,133.33M,-3.972M,,10.72M,4.195M,-11.06M,5.434M,-12.84M,4.578M,,14.32M,,11.49M,,154.54M,-65.52M,,,-330.32M,,28.11M,-367.73M,212.31M,,212.31M,,,,,,-65.66M,2.671M,149.33M,189.41M,-63.86M,-3.433M,122.11M,,214.81M,-2.50M,,1.437M,58.72M
2013-09,21.53M,-6.893M,-27.87M,-34.76M,,,133.28M,133.28M,-1.274M,,5.671M,4.206M,16.20M,-14.26M,-34.97M,-3.684M,,22.94M,,-29.96M,,114.89M,-33.17M,,,-91.65M,,0.747M,-124.07M,3.751M,,3.751M,,,,,,-14.71M,19.48M,8.512M,189.44M,-0.669M,0.636M,189.41M,,-1.081M,4.832M,,1.959M,67.25M
2013-06,-35.90M,,,5.618M,,,141.09M,141.09M,0.406M,,4.534M,4.93M,14.69M,-6.588M,-15.22M,9.311M,,11.06M,,-1.441M,,133.93M,-33.78M,,,-45.87M,,-1.095M,-80.74M,-98.89M,,-98.89M,,,,,,-21.87M,135.96M,15.20M,122.23M,68.39M,-1.175M,189.44M,,1.431B,-1.530B,,1.596M,56.53M
2013-03,-22.38M,,,0.142M,,,125.64M,125.64M,-1.802M,,2.892M,3.874M,21.13M,-13.69M,-18.43M,-2.494M,,-0.656M,,-35.27M,,94.23M,-36.42M,,,-209.54M,,1.308M,-244.66M,-4.50M,,-4.50M,,,,,,4.325M,37.98M,37.80M,233.10M,-112.63M,1.759M,122.23M,,0.00,-4.50M,,1.653M,61.63M
2012-12,-52.53M,,4.649M,6.656M,,,131.36M,131.36M,-0.096M,,3.828M,3.382M,16.70M,-4.584M,-34.38M,11.55M,,21.50M,,-5.907M,-0.053M,103.34M,-38.80M,,,-1.364B,,98.91M,-1.304B,-12.82M,,-12.82M,-0.007M,,-0.007M,,,-20.94M,25.14M,-8.624M,1.441B,-1.209B,1.267M,233.10M,-0.007M,98.43M,-111.24M,,1.606M,48.30M
2012-09,-53.67M,0.00,-4.649M,17.99M,,,101.01M,101.01M,0.064M,,1.56M,3.679M,25.95M,-10.36M,-14.82M,12.84M,,4.649M,,-7.685M,0.969M,89.72M,-26.17M,,,62.70M,,-0.867M,35.66M,1.226B,,1.226B,0.00,,0.00,,,7.341M,-4.173M,1.229B,86.74M,1.354B,0.049M,1.441B,0.00,2.171B,-945.48M,,1.015M,40.25M
2012-06,-54.83M,,,27.15M,,,94.00M,94.00M,1.375M,,0.646M,3.85M,16.46M,-2.605M,-23.42M,7.928M,,12.18M,,-5.918M,1.38M,84.11M,-23.44M,,,-900.24M,,-1.286M,-924.96M,390.88M,,390.88M,-0.023M,,-0.023M,,,7.841M,3.448M,402.14M,525.55M,-438.71M,-0.101M,86.74M,-0.023M,876.31M,-485.44M,,2.264M,43.92M
2012-03,-22.65M,,,,,,82.10M,82.10M,0.017M,,0.349M,3.057M,19.34M,-1.259M,-10.14M,-10.97M,,6.054M,,-16.32M,,66.04M,-24.85M,,,-51.15M,,0.11M,-75.89M,198.46M,,198.46M,283.90M,,283.90M,,,5.763M,-0.033M,488.09M,47.32M,478.24M,-0.003M,525.55M,283.90M,200.00M,-1.541M,,0.419M,50.00M
2011-12,-29.17M,,,0.00,,,79.44M,79.44M,-0.651M,-6.781M,4.07M,2.774M,25.93M,-5.195M,-14.85M,6.082M,,,-2.542M,-12.98M,,62.63M,-30.23M,,,-169.96M,0.00,-0.441M,-200.64M,-1.266M,,-1.266M,-8.25M,-0.001M,-8.251M,,,15.80M,-0.31M,5.974M,179.30M,-132.03M,0.044M,47.32M,-8.25M,-0.016M,-1.25M,-0.001M,0.966M,39.09M
2011-09,-33.44M,,,0.00,,,78.14M,78.14M,-0.511M,2.381M,1.106M,2.773M,16.02M,-1.121M,-4.255M,-0.536M,,,2.979M,-2.933M,,63.54M,-40.97M,,,-43.31M,,-2.389M,-86.67M,-18.33M,,-18.33M,8.25M,-75.00M,-66.75M,,,-6.346M,16.41M,-75.02M,277.75M,-98.15M,-0.294M,179.30M,8.25M,-0.041M,-18.29M,-75.00M,0.961M,45.64M
2011-06,-29.91M,,,0.00,,,76.69M,76.69M,-0.226M,2.201M,0.296M,3.141M,15.65M,1.347M,-6.997M,7.403M,,,0.102M,1.855M,,69.70M,-35.58M,-0.018M,-0.018M,-75.75M,-1.686M,1.20M,-111.83M,297.62M,0.648M,315.30M,-4.919M,-75.04M,-79.95M,,,6.346M,-17.00M,224.69M,95.10M,182.56M,0.086M,277.75M,-4.919M,568.26M,-270.00M,-75.04M,2.291M,76.53M
2011-03,-34.38M,,,1.696M,,,74.88M,74.88M,-0.298M,2.199M,0.00,2.781M,15.98M,1.26M,-1.319M,-9.077M,,,-0.539M,-9.675M,,53.19M,-20.16M,0.018M,0.018M,-90.30M,1.686M,,-108.75M,175.00M,-0.648M,157.31M,4.919M,-75.04M,-70.12M,,,,-0.796M,86.40M,64.25M,30.84M,0.009M,95.10M,4.919M,174.35M,0.00,-75.04M,,
2010-12,-38.58M,,,0.006M,,,72.72M,72.72M,-0.409M,-6.892M,5.862M,2.696M,25.07M,-1.592M,-3.468M,0.412M,,,-7.24M,-1.517M,,58.33M,-18.65M,-0.038M,-0.038M,-156.63M,29.48M,-29.71M,-175.55M,-989.25M,,-989.25M,-12.49M,-10.34M,-22.83M,,,16.13M,980.16M,-15.78M,197.24M,-133.00M,0.019M,64.25M,-12.49M,19.94M,-1.009B,-10.34M,0.558M,29.98M
2010-09,-34.58M,,,0.01M,,,69.73M,69.73M,-0.08M,2.186M,0.00,2.453M,14.91M,-3.664M,-5.333M,-3.786M,,,2.601M,-10.18M,,44.68M,-20.47M,0.003M,0.003M,-59.44M,1.464M,0.00,-78.45M,-0.716M,-1.886M,-2.602M,12.49M,0.00,12.49M,,,,-6.81M,3.074M,227.94M,-30.70M,-0.004M,197.24M,12.49M,-0.125M,-0.591M,0.00,0.34M,44.97M
2010-06,-121.26M,,,48.93M,,,68.83M,68.83M,-0.134M,-12.65M,0.00,5.352M,64.53M,-4.847M,-4.129M,7.441M,,,8.409M,6.874M,,60.72M,-15.34M,0.022M,0.022M,-81.62M,-0.66M,-0.691M,-98.29M,1.214B,-1.299M,1.213B,,-88.40M,-88.40M,,,-4.825M,-972.70M,147.24M,118.27M,109.66M,,227.94M,,1.212B,2.086M,-88.40M,0.647M,78.66M
2010-03,,,,0.112M,,,67.45M,67.45M,-0.114M,17.36M,,,-35.18M,4.184M,-2.093M,-10.68M,,,-3.77M,-12.36M,,37.42M,-12.16M,0.013M,0.013M,-30.34M,-30.28M,0.024M,-72.75M,-2.086M,3.185M,1.099M,,-8.681M,-8.681M,,,4.825M,-4.952M,-7.709M,161.32M,-43.04M,,118.27M,,0.00,-2.086M,-8.681M,,
2009-12,-43.61M,,,1.472M,,,,65.69M,-0.165M,2.465M,,2.327M,14.89M,-4.341M,1.575M,4.544M,,,4.025M,5.803M,,52.76M,-12.64M,0.09M,0.09M,-126.18M,-2.02M,-0.031M,-140.78M,522.59M,-550.24M,-27.66M,4.077M,-1.72M,2.357M,,,0.00,-11.21M,-36.51M,285.84M,-124.53M,,161.32M,4.077M,6.274M,-33.93M,-1.72M,-0.86M,-72.56M
2009-09,-50.19M,,,12.52M,,,,64.95M,-0.076M,2.603M,,1.922M,13.92M,-2.354M,-3.903M,20.02M,,,2.953M,16.71M,,62.36M,-12.47M,0.494M,0.494M,-25.03M,-2.56M,-0.011M,-39.58M,77.17M,,77.17M,1.159M,0.00,1.159M,,,0.00,10.51M,88.84M,174.23M,111.61M,,285.84M,1.159M,728.66M,-651.49M,0.00,0.174M,18.83M
2009-06,-29.43M,,,-2.381M,,,,64.25M,-0.024M,2.812M,,2.325M,12.54M,1.814M,-2.063M,4.329M,,,3.985M,8.065M,,58.16M,-14.07M,0.014M,0.014M,-25.47M,-3.604M,-0.116M,-43.25M,19.57M,1.50M,21.07M,0.444M,-50.00M,-49.56M,,,98.49M,-0.474M,69.53M,89.78M,84.44M,,174.23M,0.444M,488.25M,-467.18M,-50.00M,0.298M,29.12M
2009-03,-17.89M,,,-5.948M,,,,63.65M,0.00,2.576M,,1.626M,9.091M,1.384M,-4.155M,-3.293M,,,2.24M,-3.824M,,49.28M,-7.562M,0.01M,0.01M,-4.119M,0.00,6.20M,-5.471M,-33.54M,-1.50M,-35.04M,1.365M,0.00,1.365M,,,,0.787M,-32.88M,78.86M,10.93M,,89.78M,1.365M,8.507M,-43.54M,0.00,0.388M,24.60M
2008-12,5.953M,,,-44.34M,,,,62.11M,0.039M,2.749M,8.699M,1.58M,11.05M,-0.003M,-1.52M,-9.432M,,,2.696M,-8.259M,,39.59M,-9.443M,0.005M,0.005M,-242.08M,0.144M,-0.117M,-251.49M,1.214M,-149.77M,-148.55M,0.556M,0.00,0.556M,,,0.00,-0.395M,-148.39M,439.16M,-360.30M,,78.86M,0.556M,5.104M,-153.66M,0.00,-0.38M,32.25M
2008-09,-27.65M,,,0.409M,,,,52.72M,0.157M,2.935M,0.49M,1.615M,9.878M,4.236M,-2.984M,10.31M,,,1.873M,13.44M,,54.00M,-9.948M,0.013M,0.013M,-35.92M,0.00,-0.095M,-45.95M,224.76M,0.00,224.76M,1.123M,0.00,1.123M,,,0.00,-2.044M,223.84M,207.27M,231.88M,,439.16M,1.123M,224.76M,0.00,0.00,0.61M,23.19M
2008-06,-26.24M,,,-0.004M,,,,49.25M,0.061M,2.836M,2.533M,2.477M,7.792M,5.799M,-3.789M,0.658M,,,3.993M,6.661M,,45.37M,-8.413M,0.013M,0.013M,-256.11M,0.00,-0.151M,-264.66M,362.98M,0.00,362.98M,3.123M,-120.00M,-116.88M,,,56.18M,-2.701M,299.58M,126.98M,80.29M,,207.27M,3.123M,732.50M,-369.52M,-120.00M,0.071M,24.14M
2008-03,-19.23M,,,0.004M,,,,47.35M,-0.098M,2.226M,2.455M,1.535M,4.509M,4.376M,-2.613M,-5.304M,,,-0.472M,-4.013M,,34.74M,-8.362M,0.02M,0.02M,-50.38M,40.90M,-0.617M,-18.44M,36.83M,0.00,36.83M,1.701M,,1.701M,,,,1.879M,40.41M,70.27M,56.71M,,126.98M,1.701M,40.00M,-3.173M,,0.058M,23.50M
2007-12,-28.88M,,,0.606M,-124.89M,-5.835M,38.50M,38.50M,0.10M,,,,-5.615M,1.191M,-5.725M,3.768M,,,6.68M,5.914M,,40.77M,-7.725M,0.009M,20.06M,-51.72M,50.20M,-0.718M,-9.959M,,,-0.055M,-26.19M,0.00,-26.19M,,,,-4.916M,-3.90M,43.36M,26.91M,,70.27M,-26.19M,,,0.00,,
2007-09,-17.53M,,,-0.061M,42.95M,2.104M,45.05M,45.05M,0.041M,,,,1.595M,-3.90M,-2.314M,1.234M,,,4.77M,-0.21M,,28.88M,-6.768M,0.064M,-6.704M,-54.02M,-19.90M,-0.456M,-81.08M,,,-0.008M,0.936M,0.00,0.936M,,,,-2.909M,-1.981M,97.53M,-54.17M,,43.36M,0.936M,,,0.00,,
2007-06,-15.07M,,,0.301M,41.65M,2.081M,43.73M,43.73M,0.06M,,,,2.753M,-3.188M,-7.25M,3.07M,,,2.327M,-5.041M,,26.73M,-7.507M,0.033M,-7.474M,-43.92M,-101.00M,-0.647M,-153.04M,,,-0.61M,3.364M,0.00,3.364M,,,,1.606M,4.36M,219.48M,-121.95M,,97.53M,3.364M,,,0.00,,
2007-03,-16.39M,,,-0.018M,40.29M,1.65M,41.94M,41.94M,,,,,1.417M,4.714M,-3.03M,-4.427M,,,2.343M,-0.40M,,26.55M,-5.771M,0.025M,-5.746M,-51.80M,,-0.257M,-57.81M,,,264.92M,29.64M,-91.24M,-61.60M,,,,1.266M,204.60M,46.15M,173.34M,,219.48M,29.64M,,,-91.24M,,
2006-12,-24.26M,,,-0.04M,39.89M,1.395M,41.29M,41.29M,,,,,4.424M,4.308M,11.30M,-0.153M,,3.648M,-2.868M,16.23M,,37.69M,-9.43M,0.037M,-9.393M,-15.20M,0.00,-2.373M,-26.96M,,,26.12M,5.77M,,5.063M,,,,-36.17M,-4.993M,40.42M,5.733M,,46.15M,5.77M,,,,,
2006-09,-24.34M,,,-0.094M,39.01M,4.704M,43.72M,43.72M,,,,,1.323M,0.446M,-3.812M,-3.393M,,,-0.799M,-7.558M,,13.05M,-6.877M,0.112M,-6.765M,-30.33M,0.00,-0.151M,-37.24M,,,-0.033M,1.661M,,1.661M,,,,1.385M,3.013M,61.60M,-21.18M,,40.42M,1.661M,,,,,
2006-06,-75.64M,,,-0.186M,33.17M,4.481M,37.65M,37.65M,,,,,55.43M,-2.392M,-7.473M,0.509M,,-0.256M,2.359M,-7.253M,,10.01M,-7.037M,0.037M,-7.00M,-655.76M,0.00,-2.388M,-665.15M,,,655.52M,1.69M,,1.69M,,,,-0.352M,656.86M,59.87M,1.722M,,61.60M,1.69M,,,,,
2006-03,-9.205M,,,0.076M,21.01M,5.479M,26.49M,26.49M,,,,,1.082M,1.275M,0.206M,-4.321M,,0.256M,-0.644M,-3.228M,,15.21M,-5.625M,0.079M,-5.546M,-24.25M,19.90M,-0.63M,-10.52M,,,,1.37M,,1.37M,,,,7.883M,9.253M,45.93M,13.94M,,59.87M,1.37M,,,,,
2005-12,-32.30M,,,-9.598M,22.26M,5.955M,28.21M,28.21M,,,,,,-2.576M,-0.575M,0.595M,5.637M,-4.932M,,-2.43M,,13.62M,-6.241M,0.196M,-6.045M,-22.51M,,-0.128M,-48.32M,,,-92.79M,153.10M,,153.10M,,,,-3.163M,57.15M,23.48M,22.46M,,45.93M,153.10M,,,,,
2005-09,-14.44M,,,0.129M,21.67M,6.729M,28.40M,28.40M,,,,,,-4.705M,1.619M,2.028M,0.422M,4.928M,,4.292M,,18.38M,-6.212M,0.224M,-5.988M,-22.80M,,0.419M,-28.37M,,,11.11M,76.68M,,76.68M,,,,-75.44M,12.35M,21.12M,2.355M,,23.48M,76.68M,,,,,
