,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2005-06,699.94M,699.94M,116.80M,583.15M,,,243.18M,92.34M,1.739M,-13.58M,,,,10.10M,347.36M,235.79M,,,,-13.58M,,255.08M,56.44M,198.63M,,209.20M,266.17M,30.38M,235.79M,,0.00,0.2949,0.28,,2005-06,0.2843,0.27,,737.21M,,,2005-06,,
2005-03,712.68M,712.68M,121.13M,591.55M,,,263.72M,92.06M,0.08M,-3.878M,,,,,356.23M,235.32M,,,,-3.878M,,248.49M,128.81M,119.68M,,122.01M,274.29M,38.98M,235.32M,,0.00,0.1633,0.16,,2005-03,0.1631,0.16,,738.82M,,,2005-03,,
2004-12,695.22M,695.22M,121.50M,573.73M,,,256.49M,85.29M,2.663M,-1.204M,,,,,344.44M,229.29M,,,,-1.204M,,239.68M,76.10M,163.58M,,164.40M,256.88M,27.59M,229.29M,,0.00,0.2412,0.24,,2004-12,0.2211,0.22,,742.45M,,,2004-12,,
2004-09,618.31M,618.31M,109.22M,509.09M,,,229.46M,83.82M,1.781M,-2.051M,,,,,315.06M,194.03M,,,,-2.051M,,197.55M,61.93M,135.62M,,137.03M,227.05M,33.02M,194.03M,,0.00,0.2222,0.22,,2004-09,0.1919,0.19,,736.54M,,,2004-09,,
2004-06,556.63M,556.63M,89.01M,467.62M,,,212.22M,72.88M,12.14M,-3.122M,,,,-11.25M,285.99M,181.63M,,,,-3.122M,,172.40M,55.13M,117.28M,,119.40M,209.48M,27.85M,181.63M,,0.00,0.1934,0.19,,2004-06,0.1629,0.16,,735.85M,,,2004-06,,
2004-03,556.44M,556.44M,56.57M,499.87M,,,221.40M,70.20M,41.77M,-0.15M,,,,-40.99M,292.38M,207.49M,,,,-0.15M,,171.22M,54.30M,116.93M,,117.03M,249.26M,32.78M,207.49M,,0.00,0.1902,0.19,,2004-03,0.1701,0.17,,735.84M,,,2004-03,,
2003-12,493.90M,493.90M,87.61M,406.30M,,,188.73M,61.88M,0.628M,4.359M,,,,,251.24M,155.06M,,,,4.359M,,163.31M,51.83M,111.48M,,108.50M,175.96M,20.90M,155.06M,,0.00,0.1752,0.18,,2003-12,0.1559,0.16,,724.36M,,,2003-12,,
2003-09,428.66M,428.66M,74.81M,353.86M,,,176.88M,59.60M,0.756M,1.829M,,,,,237.23M,116.62M,,,,1.829M,,121.97M,38.54M,83.43M,,82.18M,151.54M,34.92M,116.62M,,0.00,0.1354,0.1375,,2003-09,0.1207,0.1225,,713.66M,,,2003-09,,
2003-06,391.12M,391.12M,67.58M,323.55M,,,168.21M,60.60M,0.791M,-13.03M,,,,,229.60M,93.94M,,,,-13.03M,,85.72M,26.94M,58.78M,,67.71M,122.57M,28.63M,93.94M,,0.00,0.1124,0.0975,,2003-06,0.1028,0.09,,699.95M,,,2003-06,,
2003-03,390.04M,390.04M,68.22M,321.81M,,,167.97M,54.42M,0.793M,-4.075M,,,,,223.18M,98.63M,,,,-4.075M,,98.56M,30.42M,68.14M,,70.96M,123.59M,24.96M,98.63M,,0.00,0.1198,0.115,,2003-03,0.1065,0.1025,,698.05M,,,2003-03,,
2002-12,375.64M,375.64M,65.28M,310.36M,,,158.82M,50.02M,0.793M,-0.114M,,,,,209.64M,100.72M,,,,-0.114M,,104.35M,32.62M,71.73M,,71.81M,126.80M,26.09M,100.72M,,0.00,0.1226,0.1225,,2002-12,0.1101,0.11,,683.23M,,,2002-12,,
2002-09,325.23M,325.23M,61.16M,264.07M,,,142.15M,47.34M,0.665M,-1.211M,,,,,190.16M,73.91M,,,,-1.211M,,77.13M,25.14M,51.99M,,52.81M,97.87M,23.95M,73.91M,,0.00,0.0914,0.09,,2002-09,0.0837,0.0825,,673.96M,,,2002-09,,
2002-06,316.04M,316.04M,55.45M,260.59M,,,130.52M,45.49M,0.536M,-4.808M,,,,,176.55M,84.04M,,,,-4.808M,,83.59M,27.02M,56.57M,,59.82M,104.77M,20.72M,84.04M,,0.00,0.1032,0.0975,,2002-06,0.0948,0.09,,676.11M,,,2002-06,,
2002-03,310.78M,310.78M,52.01M,258.78M,,,129.99M,43.77M,49.53M,-9.404M,,,,,226.35M,32.43M,,,,-9.404M,,29.86M,25.08M,4.779M,,10.42M,105.11M,72.68M,32.43M,,0.00,0.0174,0.0075,,2002-03,0.0174,0.0075,,569.11M,,,2002-03,,
2001-12,290.25M,290.25M,52.30M,237.95M,,,125.31M,40.71M,49.95M,-5.023M,,,,,215.98M,21.97M,,,,-5.023M,,20.76M,20.66M,0.10M,,3.114M,93.10M,71.13M,21.97M,,,0.0056,0.0002,,2001-12,0.0053,0.0002,,588.56M,,,2001-12,,
2001-09,242.37M,242.37M,45.48M,196.89M,,,113.67M,40.02M,49.95M,3.915M,,,,,203.64M,-6.751M,,,,3.915M,,4.53M,16.34M,-11.81M,,-14.16M,56.30M,63.06M,-6.751M,,0.00,-0.0240,-0.02,,2001-09,-0.0240,-0.02,,583.20M,,,2001-09,,
2001-06,228.04M,228.04M,42.12M,185.92M,,,116.11M,39.47M,49.52M,1.938M,,,,,205.10M,-19.18M,,,,1.938M,,-9.655M,11.56M,-21.22M,,-22.38M,46.82M,66.00M,-19.18M,,0.00,-0.0382,-0.0362,,2001-06,-0.0382,-0.0362,,586.40M,,,2001-06,,
2001-03,250.61M,250.61M,33.30M,217.31M,,,124.27M,40.67M,,-20.56M,,,,,187.67M,29.64M,,,,-20.56M,,-13.14M,14.30M,-27.45M,,-15.11M,100.46M,70.82M,29.64M,,0.00,-0.0418,-0.0625,,2001-03,-0.0428,-0.0625,,625.89M,,,2001-03,,
2000-12,219.29M,219.29M,23.76M,195.54M,,,98.39M,31.52M,,-18.71M,,,,,149.38M,46.16M,,,,-18.71M,,36.25M,22.37M,13.87M,,25.10M,65.62M,19.46M,46.16M,,0.00,0.0497,0.0275,,2000-12,0.0477,0.0262,,523.87M,,,2000-12,,
2000-09,192.30M,192.30M,17.56M,174.74M,,,85.07M,28.71M,,4.992M,,,,,128.32M,46.42M,,,,4.992M,,59.37M,20.26M,39.11M,,35.82M,60.96M,14.53M,46.42M,,0.00,0.0733,0.08,,2000-09,0.0698,0.0762,,511.58M,,,2000-09,,
2000-06,191.36M,191.36M,17.27M,174.09M,,,86.98M,25.77M,,6.233M,,,,,128.77M,45.32M,,,,6.233M,,58.31M,19.91M,38.40M,,34.29M,61.34M,16.02M,45.32M,,0.00,0.0703,0.0788,,2000-06,0.0670,0.075,,513.98M,,,2000-06,,
2000-03,187.22M,187.22M,22.36M,164.86M,,,87.50M,24.82M,,0.784M,,,,,123.64M,41.22M,,,,0.784M,,47.49M,15.94M,31.55M,,31.03M,52.54M,11.31M,41.22M,,0.00,0.0639,0.065,,2000-03,0.0565,0.0575,,525.46M,,,2000-03,,
1999-12,200.80M,200.80M,24.30M,176.50M,,,93.30M,28.70M,,88.60M,,,,,133.10M,43.40M,,,,88.60M,,135.20M,46.20M,89.00M,,30.68M,54.50M,11.10M,43.40M,,0.00,0.0652,0.19,,1999-12,0.0606,0.1762,,504.16M,,,1999-12,,
1999-09,182.50M,182.50M,19.80M,162.70M,,,85.90M,28.50M,,4.60M,,,,,130.60M,32.10M,,,,4.60M,,39.10M,13.30M,25.80M,,22.76M,48.30M,16.20M,32.10M,,0.00,0.0496,0.0562,,1999-09,0.0475,0.0538,,483.16M,,,1999-09,,
1999-06,175.10M,175.10M,22.70M,152.40M,,,82.30M,27.60M,,4.90M,,,,,121.90M,30.50M,,,,4.90M,,35.40M,11.70M,23.70M,,20.42M,42.50M,12.00M,30.50M,,0.00,0.0452,0.0525,,1999-06,0.0442,0.0512,,462.44M,,,1999-06,,
1999-03,169.63M,169.63M,21.67M,147.96M,,,81.97M,26.46M,,5.124M,,,,,118.42M,29.54M,,,,5.124M,,36.47M,11.67M,24.80M,,21.32M,39.53M,9.994M,29.54M,,0.00,0.0474,0.055,,1999-03,0.0457,0.0525,,511.79M,,,1999-03,,
1998-12,155.20M,155.20M,17.90M,137.30M,,,80.20M,24.40M,,2.70M,,,,,115.30M,22.00M,,,,2.70M,,26.90M,11.00M,15.90M,,14.28M,32.70M,10.70M,22.00M,,0.00,0.0326,0.0362,,1998-12,0.0314,0.035,,454.29M,,,1998-12,,
1998-09,130.00M,130.00M,13.70M,116.30M,,,80.70M,30.80M,,4.40M,,,,,119.90M,-3.60M,,,,4.40M,,4.40M,2.50M,1.90M,,-0.74M,4.80M,8.10M,-3.60M,,0.00,-0.0015,0.0038,,1998-09,-0.0015,0.0038,,506.67M,,,1998-09,,
1998-06,137.80M,137.80M,13.20M,124.60M,,,79.00M,25.00M,,2.40M,,,,,111.40M,13.20M,,,,2.40M,,15.40M,7.80M,7.60M,,6.16M,20.60M,7.40M,13.20M,,0.00,-0.0144,-0.0112,,1998-06,-0.0144,-0.0112,,462.91M,,,1998-06,,
