,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,594.00M,1.009B,40.00M,1.049B,96.00M,360.00M,,94.00M,,19.00M,1.792B,0.00,16.00M,,546.00M,85.00M,1.00M,60.00M,708.00M,-548.00M,160.00M,2.596B,1.02B,3.616B,188.00M,32.00M,405.00M,120.00M,4.521B,6.313B,66.00M,260.00M,326.00M,,326.00M,,47.00M,47.00M,28.00M,75.00M,1.035B,1.035B,239.00M,1.748B,3.556B,81.00M,3.637B,180.00M,39.00M,219.00M,,,6.789B,,2020-09,2.65B,-3.148B,-476.00M,,2020-09,AOR,
2020-06,500.00M,1.073B,58.00M,1.131B,102.00M,313.00M,,81.00M,,72.00M,1.95B,0.00,1.00M,15.00M,600.00M,62.00M,1.00M,63.00M,742.00M,-592.00M,150.00M,2.588B,1.042B,3.63B,188.00M,38.00M,389.00M,60.00M,4.455B,6.405B,60.00M,342.00M,402.00M,,402.00M,,763.00M,763.00M,26.00M,789.00M,1.028B,1.028B,258.00M,2.548B,2.841B,61.00M,2.902B,170.00M,30.00M,200.00M,,,6.908B,,2020-06,2.713B,-3.212B,-503.00M,,2020-06,AOR,
2020-03,483.00M,2.177B,86.00M,2.263B,111.00M,349.00M,,110.00M,,87.00M,3.079B,0.00,7.00M,108.00M,834.00M,88.00M,1.00M,128.00M,1.166B,-840.00M,326.00M,2.585B,1.067B,3.652B,187.00M,38.00M,387.00M,66.00M,4.656B,7.735B,87.00M,336.00M,423.00M,251.00M,674.00M,,756.00M,756.00M,28.00M,784.00M,1.049B,1.049B,,2.622B,3.465B,73.00M,3.538B,149.00M,27.00M,176.00M,,,7.725B,,2020-03,3.356B,-3.33B,10.00M,,2020-03,AOR,
2019-12,648.00M,12.65B,119.00M,12.77B,171.00M,381.00M,,118.00M,,83.00M,13.57B,0.00,21.00M,213.00M,881.00M,107.00M,3.00M,178.00M,1.403B,-931.00M,472.00M,2.676B,1.119B,3.795B,185.00M,43.00M,404.00M,77.00M,4.976B,18.55B,157.00M,,157.00M,,157.00M,,749.00M,749.00M,32.00M,781.00M,1.019B,1.019B,2.625B,4.713B,3.719B,92.00M,3.811B,165.00M,28.00M,193.00M,,,9.87B,,2019-12,4.853B,3.812B,8.677B,,2019-12,AOR,
2019-09,395.00M,1.697B,134.00M,1.831B,593.00M,742.00M,,118.00M,,22.00M,9.76B,0.00,65.00M,364.00M,1.04B,154.00M,7.00M,355.00M,1.985B,-1.155B,830.00M,2.675B,1.146B,3.821B,197.00M,43.00M,1.498B,80.00M,6.469B,16.23B,120.00M,,120.00M,,120.00M,,1.245B,1.245B,36.00M,1.281B,990.00M,990.00M,2.446B,5.056B,3.219B,137.00M,3.356B,538.00M,26.00M,564.00M,,,10.12B,,2019-09,4.816B,1.298B,6.112B,,2019-09,AOR,Restated
2019-06,270.00M,1.532B,162.00M,1.694B,438.00M,548.00M,,164.00M,,54.00M,2.561B,0.00,65.00M,364.00M,1.303B,183.00M,31.00M,379.00M,2.325B,-1.358B,967.00M,8.449B,2.137B,10.59B,208.00M,43.00M,915.00M,89.00M,12.81B,15.37B,135.00M,,135.00M,,135.00M,,494.00M,494.00M,45.00M,539.00M,2.211B,2.211B,525.00M,3.608B,3.964B,163.00M,4.127B,548.00M,688.00M,1.236B,,,10.12B,,2019-06,4.701B,561.00M,5.25B,,2019-06,AOR,Restated
2019-03,376.00M,1.791B,252.00M,2.043B,708.00M,838.00M,,136.00M,,20.00M,3.186B,0.00,65.00M,364.00M,919.00M,,9.00M,327.00M,1.684B,-1.021B,663.00M,2.677B,1.202B,3.879B,216.00M,34.00M,830.00M,7.13B,12.75B,15.94B,165.00M,246.00M,411.00M,278.00M,689.00M,,491.00M,491.00M,0.00,491.00M,1.032B,1.032B,1.304B,3.766B,3.961B,0.00,3.961B,577.00M,27.00M,604.00M,,,10.20B,,2019-03,4.812B,933.00M,5.738B,,2019-03,AOR,Restated
2018-12,313.00M,2.309B,270.00M,2.579B,723.00M,762.00M,,162.00M,,122.00M,3.724B,0.00,65.00M,364.00M,1.253B,,35.00M,357.00M,2.074B,-1.283B,791.00M,8.344B,2.329B,10.67B,230.00M,31.00M,920.00M,87.00M,12.73B,16.46B,201.00M,,201.00M,,201.00M,,,598.00M,,598.00M,2.214B,2.214B,404.00M,3.643B,4.447B,,4.447B,626.00M,701.00M,1.327B,,,10.55B,,2018-12,4.804B,1.116B,5.906B,,2018-12,AOR,Restated
2018-09,441.00M,2.147B,289.00M,2.436B,537.00M,601.00M,,162.00M,,101.00M,3.418B,0.00,65.00M,365.00M,1.203B,,54.00M,331.00M,2.018B,-1.24B,778.00M,8.328B,2.433B,10.76B,249.00M,26.00M,922.00M,80.00M,12.82B,16.23B,158.00M,,158.00M,,158.00M,,,597.00M,,597.00M,2.113B,2.113B,378.00M,3.411B,4.442B,,4.442B,652.00M,633.00M,1.285B,,,10.28B,,2018-09,4.867B,1.10B,5.95B,,2018-09,AOR,Restated
2018-06,472.00M,2.001B,324.00M,2.325B,502.00M,581.00M,,184.00M,,125.00M,3.328B,0.00,65.00M,365.00M,1.189B,,37.00M,328.00M,1.984B,-1.226B,758.00M,8.322B,2.532B,10.85B,283.00M,29.00M,916.00M,80.00M,12.92B,16.25B,170.00M,,170.00M,,170.00M,,,,,,2.137B,2.137B,403.00M,2.875B,5.032B,,5.032B,598.00M,630.00M,1.228B,,,10.33B,,2018-06,4.78B,1.158B,5.918B,,2018-06,AOR,Restated
