,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,628.00M,0.00,-1.00M,82.00M,81.00M,,,592.00M,592.00M,72.00M,14.00M,-57.00M,17.00M,82.00M,13.00M,-25.00M,163.00M,41.00M,,-24.00M,168.00M,1.596B,,2020-09,-296.00M,,-296.00M,2.00M,35.00M,-3.00M,,2020-09,-16.00M,-16.00M,,0.00,0.00,-201.00M,-201.00M,50.00M,-75.00M,-242.00M,2020-09,3.911B,1.017B,4.00M,,2020-09,,,0.00,-16.00M,0.00,2020-09,AOR,
2020-06,415.00M,,1.00M,,4.00M,,,528.00M,528.00M,-26.00M,37.00M,-227.00M,17.00M,65.00M,-110.00M,-34.00M,49.00M,-27.00M,,-23.00M,-145.00M,664.00M,,2020-06,-280.00M,,-280.00M,14.00M,-15.00M,-3.00M,,2020-06,-107.00M,-107.00M,,0.00,0.00,-201.00M,-201.00M,,17.00M,-291.00M,2020-06,3.818B,89.00M,4.00M,,2020-06,,,0.00,-107.00M,0.00,2020-06,AOR,
2020-03,839.00M,,-593.00M,,-519.00M,,,565.00M,565.00M,-118.00M,93.00M,93.00M,21.00M,-62.00M,300.00M,-87.00M,-171.00M,5.00M,,-20.00M,27.00M,936.00M,,2020-03,-328.00M,,-328.00M,1.164B,252.00M,35.00M,,2020-03,-101.00M,-101.00M,,-321.00M,-321.00M,-112.00M,-112.00M,,-52.00M,-586.00M,2020-03,2.349B,1.473B,-4.00M,,2020-03,,,985.00M,-1.086B,-321.00M,2020-03,AOR,
2019-12,533.00M,-24.00M,32.00M,-8.00M,0.00,,,613.00M,613.00M,-88.00M,25.00M,-91.00M,21.00M,95.00M,24.00M,-42.00M,172.00M,-16.00M,,-38.00M,100.00M,1.205B,,2019-12,-430.00M,,-430.00M,20.00M,-10.00M,11.00M,,2019-12,-644.00M,-644.00M,,-479.00M,-479.00M,-114.00M,-114.00M,,-34.00M,-1.271B,2019-12,2.823B,-475.00M,1.00M,,2019-12,,,0.00,-644.00M,-479.00M,2019-12,AOR,
2019-09,2.252B,-2.366B,1.00M,8.00M,-2.357B,,,548.00M,548.00M,435.00M,5.00M,-19.00M,22.00M,57.00M,-123.00M,-33.00M,50.00M,-14.00M,,-30.00M,-150.00M,791.00M,,2019-09,-428.00M,,-428.00M,9.00M,-5.00M,-14.00M,,2019-09,679.00M,679.00M,,0.00,0.00,-109.00M,-109.00M,0.00,-40.00M,530.00M,2019-09,1.942B,883.00M,-2.00M,,2019-09,,,690.00M,-11.00M,0.00,2019-09,AOR,Restated
2019-06,26.00M,,-32.00M,,-32.00M,,,487.00M,487.00M,-34.00M,104.00M,-35.00M,35.00M,19.00M,-145.00M,-7.00M,-135.00M,41.00M,,-23.00M,-269.00M,299.00M,,2019-06,-380.00M,,-380.00M,228.00M,20.00M,28.00M,,2019-06,-1.266B,-1.266B,,0.00,0.00,-590.00M,-590.00M,,-37.00M,-1.893B,2019-06,3.639B,-1.698B,1.00M,,2019-06,,,0.00,-1.266B,0.00,2019-06,AOR,Restated
2019-03,145.00M,,-1.00M,,-1.00M,,,312.00M,312.00M,21.00M,1.00M,-21.00M,19.00M,88.00M,51.00M,-50.00M,2.00M,18.00M,,-11.00M,10.00M,571.00M,,2019-03,-225.00M,,-225.00M,2.00M,-50.00M,-2.00M,,2019-03,-10.00M,-10.00M,,0.00,0.00,-76.00M,-76.00M,,-57.00M,-143.00M,2019-03,3.489B,153.00M,-3.00M,,2019-03,,,0.00,-10.00M,0.00,2019-03,AOR,Restated
2018-12,10.00M,0.00,100.00M,,100.00M,,,336.00M,336.00M,250.00M,54.00M,,19.00M,-1.00M,-91.00M,24.00M,38.00M,-26.00M,,-21.00M,-76.00M,740.00M,,2018-12,-269.00M,,-269.00M,-2.00M,-20.00M,-2.00M,,2018-12,-1.00M,-1.00M,,-2.00M,-2.00M,-75.00M,-75.00M,,-31.00M,-109.00M,2018-12,3.151B,338.00M,0.00,,2018-12,,,0.00,-1.00M,-2.00M,2018-12,AOR,Restated
2018-09,-140.00M,0.00,-100.00M,,-1.00M,,,299.00M,299.00M,-81.00M,428.00M,,19.00M,61.00M,-55.00M,-63.00M,-15.00M,-6.00M,,-18.00M,-157.00M,425.00M,,2018-09,-274.00M,,-274.00M,-96.00M,-10.00M,13.00M,,2018-09,0.00,0.00,,-26.00M,-26.00M,-76.00M,-76.00M,,-13.00M,-115.00M,2018-09,3.21B,-57.00M,-2.00M,,2018-09,,,0.00,0.00,-26.00M,2018-09,AOR,Restated
2018-06,280.00M,,,,-99.00M,,,279.00M,279.00M,-29.00M,76.00M,,19.00M,34.00M,114.00M,-122.00M,-115.00M,-13.00M,,-23.00M,-159.00M,399.00M,,2018-06,-258.00M,,-258.00M,-42.00M,15.00M,4.00M,,2018-06,-2.00M,-2.00M,,-6.00M,-6.00M,-74.00M,-74.00M,,30.00M,-52.00M,2018-06,3.146B,66.00M,-2.00M,,2018-06,,,,-2.00M,-6.00M,2018-06,AOR,Restated
