,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,3.111B,59.00M,3.17B,211.00M,,119.00M,330.00M,421.00M,196.00M,40.00M,,657.00M,,,,781.00M,4.938B,,,,,,,,12.31B,,,,273.00M,,2.461B,15.54B,20.48B,,2018-03,331.00M,224.00M,,555.00M,236.00M,791.00M,105.00M,7.00M,7.00M,,7.00M,,,,58.00M,1.181B,2.358B,4.088B,596.00M,596.00M,,394.00M,,264.00M,7.747B,8.928B,,2018-03,857.00M,380.00M,9.576B,69.00M,,,,-169.00M,10.58B,,2018-03,AOR,Restated
2017-12,3.259B,62.00M,3.321B,124.00M,,113.00M,237.00M,416.00M,214.00M,49.00M,,679.00M,,,,829.00M,5.066B,222.00M,,15.98B,,1.972B,26.48B,-14.14B,12.34B,,,,280.00M,,2.413B,15.58B,20.65B,,2017-12,375.00M,255.00M,,630.00M,253.00M,883.00M,103.00M,,,4.00M,4.00M,,,,99.00M,1.398B,2.345B,4.061B,595.00M,595.00M,,386.00M,0.00,295.00M,7.729B,9.127B,,2017-12,855.00M,410.00M,9.592B,30.00M,,,,-292.00M,10.54B,,2017-12,AOR,Restated
2017-09,2.969B,76.00M,3.045B,131.00M,,116.00M,247.00M,426.00M,220.00M,46.00M,,692.00M,,,,824.00M,4.808B,,,,,,,,12.17B,,,,292.00M,,2.275B,16.03B,20.84B,,2017-09,315.00M,203.00M,,518.00M,234.00M,752.00M,69.00M,4.00M,4.00M,,4.00M,,,,67.00M,1.15B,2.066B,4.046B,606.00M,606.00M,,380.00M,,309.00M,7.455B,8.605B,,2017-09,853.00M,1.051B,9.526B,,,,,-292.00M,11.14B,,2017-09,AOR,Restated
2017-06,3.105B,61.00M,3.166B,158.00M,,179.00M,337.00M,410.00M,222.00M,33.00M,,665.00M,,,,930.00M,5.098B,,,,,,,,12.26B,,,,306.00M,,2.231B,16.04B,21.14B,,2017-06,304.00M,134.00M,,438.00M,174.00M,612.00M,69.00M,577.00M,577.00M,,577.00M,,,,91.00M,1.572B,2.06B,4.046B,614.00M,614.00M,,434.00M,,324.00M,7.53B,9.102B,,2017-06,853.00M,885.00M,9.508B,,,,,-318.00M,10.93B,,2017-06,AOR,Restated
2017-03,2.919B,51.00M,2.97B,102.00M,,183.00M,285.00M,403.00M,229.00M,34.00M,,666.00M,,,,917.00M,4.838B,,,,,,,,12.38B,,,,208.00M,,2.26B,16.13B,20.97B,,2017-03,305.00M,167.00M,,472.00M,188.00M,660.00M,61.00M,572.00M,572.00M,,572.00M,,,,78.00M,1.565B,2.044B,4.049B,607.00M,607.00M,,427.00M,,308.00M,7.488B,9.053B,,2017-03,853.00M,735.00M,9.489B,,,,,-322.00M,10.76B,,2017-03,AOR,Restated
2016-12,2.756B,56.00M,2.812B,160.00M,,183.00M,343.00M,391.00M,197.00M,29.00M,,617.00M,,,,905.00M,4.677B,218.00M,,15.12B,,2.119B,25.03B,-12.55B,12.48B,,,,207.00M,,2.331B,16.35B,21.03B,,2016-12,320.00M,161.00M,,481.00M,209.00M,690.00M,61.00M,561.00M,561.00M,5.00M,566.00M,,,,129.00M,1.75B,2.029B,4.049B,592.00M,592.00M,,411.00M,,276.00M,7.407B,9.157B,,2016-12,849.00M,716.00M,9.49B,,,,,-334.00M,10.72B,,2016-12,AOR,Restated
2016-09,2.099B,80.00M,2.179B,141.00M,,152.00M,293.00M,386.00M,209.00M,14.00M,,609.00M,,,,908.00M,7.113B,,,,,,,,13.17B,,,,239.00M,,2.264B,16.97B,24.08B,,2016-09,304.00M,104.00M,,408.00M,261.00M,669.00M,62.00M,564.00M,564.00M,,564.00M,,,,1.00B,2.536B,1.587B,4.552B,563.00M,563.00M,,378.00M,,293.00M,7.436B,9.972B,,2016-09,849.00M,1.086B,9.469B,,,,,-302.00M,11.10B,,2016-09,AOR,Restated
2016-06,2.902B,46.00M,2.948B,315.00M,,194.00M,509.00M,457.00M,260.00M,11.00M,,728.00M,,,,1.109B,5.294B,,,,,,,,14.23B,,,,237.00M,,3.674B,19.41B,24.70B,,2016-06,348.00M,132.00M,,480.00M,271.00M,751.00M,69.00M,196.00M,196.00M,,196.00M,,,,133.00M,1.36B,1.835B,5.375B,926.00M,926.00M,,463.00M,,270.00M,8.96B,10.32B,,2016-06,849.00M,1.458B,9.457B,,,,,-341.00M,11.42B,,2016-06,AOR,Restated
2016-03,2.461B,27.00M,2.488B,273.00M,,222.00M,495.00M,459.00M,240.00M,11.00M,,710.00M,,,,1.087B,4.78B,,,,,,,,14.28B,,,,240.00M,,3.716B,19.77B,24.55B,,2016-03,367.00M,83.00M,,450.00M,268.00M,718.00M,70.00M,335.00M,335.00M,,335.00M,,,,139.00M,1.458B,1.821B,5.369B,865.00M,865.00M,,454.00M,,237.00M,8.842B,10.30B,,2016-03,849.00M,1.449B,9.437B,,,,,-386.00M,11.35B,,2016-03,AOR,Restated
2015-12,2.363B,19.00M,2.382B,81.00M,,134.00M,215.00M,372.00M,179.00M,10.00M,,561.00M,,,,865.00M,4.983B,218.00M,,14.33B,,2.783B,24.73B,-11.52B,13.21B,,,,402.00M,,4.823B,20.15B,25.13B,,2015-12,315.00M,46.00M,,361.00M,266.00M,627.00M,63.00M,,,9.00M,9.00M,,,,439.00M,1.416B,1.555B,5.854B,538.00M,538.00M,,409.00M,,203.00M,9.422B,10.84B,,2015-12,847.00M,1.41B,9.427B,,,,,-334.00M,11.35B,,2015-12,AOR,Restated
2015-09,2.964B,25.00M,2.989B,175.00M,,174.00M,349.00M,469.00M,287.00M,10.00M,,766.00M,105.00M,5.00M,193.00M,788.00M,5.195B,,,,,,,,14.34B,105.00M,102.00M,207.00M,378.00M,281.00M,3.245B,20.36B,25.55B,,2015-09,435.00M,122.00M,,557.00M,285.00M,842.00M,62.00M,266.00M,266.00M,,266.00M,,125.00M,125.00M,142.00M,1.691B,1.712B,6.085B,763.00M,763.00M,,419.00M,,195.00M,9.294B,10.98B,,2015-09,846.00M,1.678B,9.409B,,,,,-389.00M,11.54B,,2015-09,AOR,Restated
2015-06,3.308B,33.00M,3.341B,369.00M,,267.00M,636.00M,446.00M,282.00M,20.00M,711.00M,1.459B,96.00M,,212.00M,812.00M,6.556B,,,,,,,,13.65B,105.00M,104.00M,209.00M,249.00M,258.00M,3.051B,19.40B,25.96B,,2015-06,397.00M,170.00M,711.00M,1.278B,250.00M,1.528B,64.00M,243.00M,243.00M,,243.00M,,125.00M,125.00M,169.00M,2.356B,1.653B,6.14B,759.00M,759.00M,,452.00M,,230.00M,9.337B,11.69B,,2015-06,846.00M,1.474B,9.391B,,,,,-440.00M,11.27B,,2015-06,AOR,Restated
2015-03,2.598B,39.00M,2.637B,237.00M,,269.00M,506.00M,455.00M,213.00M,16.00M,1.252B,1.936B,91.00M,,223.00M,758.00M,6.151B,,,,,,,,13.61B,105.00M,107.00M,212.00M,272.00M,284.00M,3.034B,19.45B,25.60B,,2015-03,376.00M,183.00M,1.252B,1.811B,238.00M,2.049B,67.00M,231.00M,231.00M,,231.00M,,132.00M,132.00M,147.00M,2.834B,1.617B,6.221B,707.00M,707.00M,,498.00M,,245.00M,9.405B,12.24B,,2015-03,800.00M,1.413B,8.741B,,,,,-492.00M,10.46B,,2015-03,AOR,Restated
2014-12,2.403B,73.00M,2.476B,186.00M,,414.00M,600.00M,451.00M,237.00M,12.00M,606.00M,1.306B,147.00M,0.00,240.00M,669.00M,5.439B,222.00M,,16.02B,,2.407B,26.18B,-12.54B,13.65B,105.00M,109.00M,214.00M,334.00M,274.00M,3.032B,19.48B,24.92B,,2014-12,406.00M,95.00M,606.00M,1.107B,229.00M,1.336B,83.00M,165.00M,165.00M,1.00M,166.00M,,132.00M,132.00M,174.00M,2.198B,1.606B,6.48B,656.00M,656.00M,,492.00M,,263.00M,9.629B,11.83B,,2014-12,798.00M,1.242B,8.712B,,,,,-478.00M,10.27B,,2014-12,AOR,Restated
2014-09,1.778B,82.00M,1.86B,127.00M,,372.00M,499.00M,484.00M,347.00M,15.00M,1.021B,1.867B,246.00M,,323.00M,693.00M,5.488B,,,,,,,,13.90B,105.00M,111.00M,216.00M,323.00M,265.00M,2.972B,19.63B,25.12B,,2014-09,440.00M,44.00M,1.021B,1.505B,251.00M,1.756B,84.00M,143.00M,143.00M,,143.00M,,136.00M,136.00M,140.00M,2.511B,1.495B,6.63B,734.00M,734.00M,,318.00M,,220.00M,9.511B,12.02B,,2014-09,798.00M,1.239B,8.654B,,,,,-310.00M,10.38B,,2014-09,AOR,Restated
2014-06,1.653B,84.00M,1.737B,147.00M,,396.00M,543.00M,487.00M,354.00M,22.00M,802.00M,1.665B,305.00M,,287.00M,811.00M,5.354B,,,,,,,,14.04B,132.00M,114.00M,246.00M,347.00M,249.00M,2.918B,19.62B,24.98B,,2014-06,435.00M,63.00M,802.00M,1.30B,257.00M,1.557B,91.00M,112.00M,112.00M,,112.00M,,142.00M,142.00M,118.00M,2.252B,1.531B,6.673B,730.00M,730.00M,,345.00M,,230.00M,9.633B,11.88B,,2014-06,798.00M,1.039B,8.636B,,,,,-242.00M,10.23B,,2014-06,AOR,Restated
2014-03,1.475B,83.00M,1.558B,206.00M,,424.00M,630.00M,490.00M,304.00M,20.00M,947.00M,1.761B,265.00M,,239.00M,790.00M,5.247B,,,,,,,,14.14B,132.00M,117.00M,249.00M,393.00M,254.00M,2.897B,19.55B,24.80B,,2014-03,463.00M,38.00M,947.00M,1.448B,284.00M,1.732B,96.00M,615.00M,615.00M,,615.00M,,74.00M,74.00M,120.00M,2.884B,1.519B,6.146B,696.00M,696.00M,,333.00M,,234.00M,9.033B,11.92B,,2014-03,798.00M,968.00M,8.458B,,,,,-205.00M,10.02B,,2014-03,AOR,Restated
2013-12,1.555B,78.00M,1.633B,230.00M,,382.00M,612.00M,486.00M,205.00M,26.00M,679.00M,1.396B,157.00M,,246.00M,841.00M,4.889B,227.00M,,15.94B,,2.535B,26.70B,-12.43B,14.28B,132.00M,98.00M,230.00M,439.00M,229.00M,2.868B,19.72B,24.61B,,2013-12,478.00M,19.00M,679.00M,1.176B,303.00M,1.479B,98.00M,571.00M,571.00M,24.00M,595.00M,,74.00M,74.00M,153.00M,2.74B,1.513B,6.145B,635.00M,635.00M,,323.00M,,212.00M,8.958B,11.70B,,2013-12,789.00M,848.00M,8.538B,,,,,-182.00M,9.993B,,2013-12,AOR,Restated
