,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2011-03,4.533B,129.00M,4.662B,439.00M,,926.00M,1.365B,1.183B,81.00M,,,1.264B,128.00M,,178.00M,80.00M,7.884B,,,,,,,,13.07B,188.00M,154.00M,342.00M,1.779B,136.00M,2.048B,18.97B,26.85B,,2011-03,420.00M,571.00M,813.00M,1.804B,500.00M,2.304B,,,754.00M,,754.00M,58.00M,58.00M,,145.00M,3.501B,,3.676B,1.531B,1.531B,993.00M,336.00M,,196.00M,6.732B,10.23B,,2011-03,779.00M,3.62B,8.304B,,,,,1.389B,14.09B,,2011-03,AOR,Restated
2010-12,4.056B,113.00M,4.169B,582.00M,,88.00M,670.00M,1.133B,142.00M,,,1.275B,65.00M,,177.00M,897.00M,7.253B,118.00M,,12.42B,638.00M,857.00M,20.72B,-7.81B,12.91B,188.00M,91.00M,279.00M,1.568B,,2.103B,18.41B,25.66B,,2010-12,427.00M,490.00M,617.00M,1.534B,456.00M,1.99B,,,259.00M,,259.00M,54.00M,54.00M,,156.00M,2.747B,,4.182B,1.488B,1.488B,,325.00M,,1.205B,7.20B,9.947B,,2010-12,778.00M,3.18B,8.279B,,,,,1.108B,13.34B,,2010-12,AOR,Restated
2010-09,3.951B,46.00M,3.997B,582.00M,,,582.00M,444.00M,82.00M,,,526.00M,,,195.00M,1.756B,7.056B,,,,,,,,12.53B,188.00M,92.00M,280.00M,1.278B,,2.048B,17.32B,24.38B,,2010-09,396.00M,265.00M,,661.00M,,661.00M,,,516.00M,,516.00M,,,,1.621B,2.798B,,5.109B,1.432B,1.432B,,349.00M,,169.00M,7.059B,9.857B,,2010-09,778.00M,2.442B,8.26B,,,,,768.00M,12.25B,,2010-09,AOR,Restated
2010-06,3.602B,64.00M,3.666B,464.00M,,,464.00M,431.00M,79.00M,,,510.00M,,,202.00M,1.229B,6.071B,,,,,,,,12.40B,188.00M,91.00M,279.00M,1.146B,,1.771B,16.70B,22.77B,,2010-06,366.00M,197.00M,,563.00M,,563.00M,,,295.00M,,295.00M,,,,1.337B,2.195B,,4.28B,1.32B,1.32B,,394.00M,,1.025B,7.019B,9.214B,,2010-06,775.00M,1.979B,8.235B,,,,,526.00M,11.52B,,2010-06,AOR,Restated
2010-03,3.364B,73.00M,3.437B,601.00M,,,601.00M,434.00M,67.00M,,,501.00M,,,229.00M,1.193B,5.961B,,,,,,,,12.46B,188.00M,,188.00M,1.232B,,1.716B,16.68B,22.64B,,2010-03,356.00M,280.00M,,636.00M,,636.00M,,,78.00M,,78.00M,,,,1.299B,2.013B,,4.496B,1.37B,1.37B,,395.00M,,966.00M,7.227B,9.24B,,2010-03,773.00M,1.646B,8.188B,,,,,743.00M,11.35B,,2010-03,AOR,Restated
2009-12,3.215B,56.00M,3.271B,438.00M,,102.00M,540.00M,816.00M,80.00M,,,896.00M,70.00M,,215.00M,830.00M,5.822B,111.00M,,12.10B,462.00M,437.00M,19.18B,-6.815B,12.37B,188.00M,29.00M,217.00M,1.186B,,1.708B,16.48B,22.30B,,2009-12,396.00M,273.00M,671.00M,1.34B,376.00M,1.716B,,,157.00M,,157.00M,17.00M,17.00M,,180.00M,2.32B,,4.652B,1.341B,1.341B,,381.00M,,992.00M,7.366B,9.686B,,2009-12,770.00M,1.149B,8.158B,,,,,626.00M,10.70B,,2009-12,AOR,Restated
2009-09,3.022B,19.00M,3.041B,394.00M,,,394.00M,409.00M,70.00M,,,479.00M,,,189.00M,935.00M,5.038B,,,,,,,,12.15B,188.00M,,188.00M,1.069B,,1.703B,16.11B,21.15B,,2009-09,338.00M,211.00M,,549.00M,,549.00M,,,225.00M,,225.00M,,,,1.427B,2.201B,,4.698B,1.229B,1.229B,,377.00M,,973.00M,7.277B,9.478B,,2009-09,768.00M,641.00M,8.06B,,,,,454.00M,9.923B,,2009-09,AOR,Restated
2009-06,544.00M,19.00M,563.00M,512.00M,,,512.00M,412.00M,69.00M,,,481.00M,,,188.00M,713.00M,2.457B,,,,,,,,11.82B,188.00M,,188.00M,902.00M,,1.613B,15.65B,18.11B,,2009-06,310.00M,90.00M,,400.00M,,400.00M,,,221.00M,,221.00M,,,,1.233B,1.854B,,2.81B,1.237B,1.237B,,404.00M,,1.052B,5.503B,7.357B,,2009-06,768.00M,302.00M,8.052B,,,,,141.00M,9.263B,,2009-06,AOR,Restated
2009-03,1.451B,13.00M,1.464B,549.00M,,,549.00M,421.00M,54.00M,,,475.00M,,,194.00M,669.00M,3.351B,,,,,,,,10.19B,188.00M,,188.00M,753.00M,,1.419B,13.67B,17.02B,,2009-03,276.00M,98.00M,,374.00M,,374.00M,,,223.00M,,223.00M,,,,974.00M,1.571B,,2.749B,1.124B,1.124B,,384.00M,,968.00M,5.225B,6.796B,,2009-03,766.00M,189.00M,8.024B,,,,,-208.00M,8.771B,,2009-03,AOR,Restated
2008-12,435.00M,12.00M,447.00M,327.00M,,,327.00M,466.00M,53.00M,,,519.00M,,,286.00M,782.00M,2.361B,105.00M,,9.158B,5.214B,1.753B,16.23B,-6.098B,10.13B,188.00M,,188.00M,655.00M,,1.358B,13.48B,15.84B,,2008-12,412.00M,58.00M,,470.00M,,470.00M,,,169.00M,,169.00M,,8.00M,8.00M,949.00M,1.596B,,3.373B,1.051B,1.051B,,379.00M,,2.338B,7.141B,8.737B,,2008-12,709.00M,7.00M,6.639B,,,,,-253.00M,7.102B,,2008-12,AOR,Restated
2008-09,854.00M,26.00M,880.00M,322.00M,,,322.00M,379.00M,67.00M,,62.00M,508.00M,,,104.00M,811.00M,2.625B,,,,,,15.85B,-5.68B,10.17B,188.00M,,188.00M,,,2.579B,14.07B,16.70B,,2008-09,331.00M,,,331.00M,260.00M,591.00M,,,142.00M,,142.00M,,5.00M,5.00M,812.00M,1.55B,,3.355B,1.156B,1.156B,,,,1.086B,5.597B,7.147B,,2008-09,704.00M,43.00M,6.624B,,,,,704.00M,8.075B,,2008-09,,Restated
2008-06,1.036B,72.00M,1.108B,410.00M,,,410.00M,340.00M,78.00M,,36.00M,454.00M,,,102.00M,773.00M,2.847B,,,,,,15.71B,-5.68B,10.03B,186.00M,,186.00M,,,3.108B,14.40B,17.24B,,2008-06,321.00M,,,321.00M,279.00M,600.00M,,,261.00M,,261.00M,7.00M,12.00M,5.00M,743.00M,1.616B,,3.085B,1.277B,1.277B,,,,1.123B,5.485B,7.101B,,2008-06,703.00M,-154.00M,6.651B,,,,,1.395B,8.595B,,2008-06,,Restated
2008-03,1.014B,59.00M,1.073B,451.00M,,,451.00M,327.00M,63.00M,,33.00M,423.00M,,,108.00M,491.00M,2.546B,,,,,,15.42B,-5.68B,9.744B,186.00M,,186.00M,,,2.601B,13.47B,16.01B,,2008-03,304.00M,,,304.00M,294.00M,598.00M,,,261.00M,,261.00M,1.00M,126.00M,125.00M,433.00M,1.418B,,2.886B,1.084B,1.084B,,,,1.241B,5.211B,6.629B,,2008-03,698.00M,-430.00M,6.677B,,,,,937.00M,7.882B,,2008-03,,Restated
2007-12,1.231B,61.00M,1.292B,345.00M,,,345.00M,399.00M,64.00M,,,463.00M,,,112.00M,460.00M,2.672B,88.00M,,7.786B,5.116B,1.83B,14.82B,-5.68B,9.14B,186.00M,,186.00M,1.531B,,1.042B,12.93B,15.60B,,2007-12,339.00M,88.00M,,427.00M,,427.00M,,,255.00M,,255.00M,,132.00M,132.00M,686.00M,1.50B,,2.683B,1.025B,1.025B,,226.00M,,2.616B,6.55B,8.05B,,2007-12,696.00M,-801.00M,6.696B,,,,,957.00M,7.548B,,2007-12,,Restated
2007-09,1.053B,1.085B,2.138B,499.00M,,,499.00M,294.00M,63.00M,,425.00M,782.00M,,,143.00M,130.00M,3.692B,,,,,,12.79B,-5.455B,7.334B,1.32B,,1.32B,,,1.634B,11.29B,14.98B,,2007-09,265.00M,,,265.00M,305.00M,570.00M,,,288.00M,,288.00M,4.00M,137.00M,133.00M,627.00M,1.622B,,2.745B,422.00M,422.00M,,,,1.06B,4.227B,5.849B,,2007-09,690.00M,-512.00M,6.708B,,,,,743.00M,7.629B,,2007-09,,
2007-06,668.00M,1.028B,1.696B,366.00M,,,366.00M,299.00M,85.00M,,359.00M,743.00M,,,138.00M,128.00M,3.071B,,,,,,12.48B,-5.455B,7.024B,1.32B,,1.32B,,,1.771B,10.79B,13.86B,,2007-06,274.00M,,,274.00M,286.00M,560.00M,,,161.00M,,161.00M,2.00M,2.00M,,551.00M,1.274B,,2.493B,383.00M,383.00M,,,,1.101B,3.977B,5.251B,,2007-06,683.00M,-908.00M,6.738B,,,,,789.00M,7.302B,,2007-06,,
2007-03,786.00M,130.00M,916.00M,417.00M,,,417.00M,301.00M,60.00M,,20.00M,381.00M,,,149.00M,432.00M,2.295B,,,,,,12.49B,-5.455B,7.036B,2.986B,,2.986B,,,2.22B,12.88B,15.18B,,2007-03,291.00M,,,291.00M,,291.00M,,,164.00M,,164.00M,,,,1.011B,1.466B,,1.726B,569.00M,569.00M,,,,1.064B,3.359B,4.825B,,2007-03,680.00M,1.199B,6.726B,,,,,582.00M,9.187B,,2007-03,,
2006-12,1.166B,109.00M,1.275B,348.00M,,,348.00M,272.00M,61.00M,,427.00M,760.00M,,,156.00M,93.00M,2.632B,,,,,,12.05B,-5.455B,6.594B,1.343B,,1.343B,,,4.236B,12.97B,15.60B,,2006-12,340.00M,,,340.00M,284.00M,624.00M,,,159.00M,,159.00M,9.00M,18.00M,9.00M,920.00M,1.721B,,1.752B,626.00M,626.00M,,,,1.067B,3.445B,5.166B,,2006-12,677.00M,1.284B,6.703B,,,43.00M,630.00M,673.00M,9.337B,,2006-12,,
2006-09,1.059B,273.00M,1.332B,298.00M,,,298.00M,269.00M,78.00M,,25.00M,372.00M,,,140.00M,451.00M,2.593B,,,,,,11.94B,-5.388B,6.547B,2.895B,,2.895B,,,2.272B,12.53B,15.12B,,2006-09,158.00M,,,158.00M,214.00M,372.00M,,,,,,,,,1.266B,1.638B,,1.799B,571.00M,571.00M,,,,1.081B,3.451B,5.089B,,2006-09,675.00M,1.106B,6.683B,,,,,572.00M,9.036B,,2006-09,,
2006-06,1.135B,354.00M,1.489B,353.00M,,,353.00M,279.00M,58.00M,,12.00M,349.00M,,,192.00M,435.00M,2.818B,,,,,,11.57B,-5.388B,6.185B,2.902B,,2.902B,,,2.315B,12.01B,14.83B,,2006-06,231.00M,,,231.00M,,231.00M,,,205.00M,,205.00M,,,,1.213B,1.649B,,1.709B,461.00M,461.00M,,,,1.066B,3.236B,4.885B,,2006-06,673.00M,953.00M,6.669B,,,,,602.00M,8.897B,,2006-06,,
2006-03,979.00M,535.00M,1.514B,274.00M,,,274.00M,256.00M,67.00M,,26.00M,349.00M,,,180.00M,392.00M,2.709B,,,,,,11.40B,-5.388B,6.011B,2.902B,,2.902B,,,2.143B,11.72B,14.42B,,2006-03,232.00M,,,232.00M,,232.00M,,,202.00M,,202.00M,,,,1.068B,1.502B,,1.705B,509.00M,509.00M,,,,1.061B,3.275B,4.777B,,2006-03,669.00M,838.00M,6.631B,,,,,533.00M,8.671B,,2006-03,,
2005-12,1.082B,817.00M,1.899B,229.00M,,,229.00M,226.00M,72.00M,,247.00M,545.00M,,,159.00M,168.00M,3.00B,3.295B,6.447B,,212.00M,911.00M,10.86B,-5.284B,5.581B,2.879B,,2.879B,,,2.017B,10.99B,13.99B,,2005-12,227.00M,,,227.00M,240.00M,467.00M,,,195.00M,,195.00M,17.00M,17.00M,,660.00M,1.339B,,1.723B,446.00M,446.00M,,,,1.177B,3.346B,4.685B,,2005-12,666.00M,754.00M,6.578B,,,57.00M,321.00M,378.00M,8.376B,,2005-12,,
2005-09,1.095B,952.00M,2.047B,278.00M,,,278.00M,230.00M,94.00M,,18.00M,342.00M,,,,469.00M,3.136B,,,,,,10.53B,-4.999B,5.527B,,2.992B,2.992B,,,1.667B,10.82B,13.96B,,2005-09,237.00M,,,237.00M,,237.00M,,,217.00M,,217.00M,,,,786.00M,1.24B,,1.79B,519.00M,519.00M,,,,1.142B,3.451B,4.691B,,2005-09,664.00M,737.00M,6.546B,,,,,399.00M,8.346B,,2005-09,,
2005-06,741.00M,1.098B,1.839B,293.00M,,,293.00M,203.00M,67.00M,,279.00M,549.00M,,,,257.00M,2.938B,,,,,,10.34B,-4.999B,5.344B,,2.992B,2.992B,,,1.582B,10.50B,13.43B,,2005-06,204.00M,,,204.00M,,204.00M,,,287.00M,,287.00M,,,,569.00M,1.06B,,1.795B,502.00M,502.00M,,,,1.187B,3.484B,4.544B,,2005-06,660.00M,655.00M,6.541B,,,,,195.00M,8.051B,,2005-06,,
2005-03,1.059B,1.11B,2.169B,257.00M,,,257.00M,194.00M,61.00M,,34.00M,289.00M,,,176.00M,324.00M,3.215B,,,,,,10.40B,-4.999B,5.40B,,3.025B,3.025B,,,1.327B,10.27B,13.48B,,2005-03,216.00M,,,216.00M,,216.00M,,,292.00M,,292.00M,,,,601.00M,1.109B,,1.89B,491.00M,491.00M,,,,1.162B,3.543B,4.652B,,2005-03,659.00M,651.00M,6.534B,,,,,177.00M,8.021B,,2005-03,,
2004-12,781.00M,943.00M,1.724B,207.00M,,,207.00M,179.00M,61.00M,,9.00M,249.00M,,,,518.00M,2.698B,,,,,,10.16B,-4.999B,5.165B,,2.994B,2.994B,,,1.427B,10.08B,12.78B,,2004-12,224.00M,,,224.00M,,224.00M,,,286.00M,,286.00M,,,,576.00M,1.086B,,1.316B,460.00M,460.00M,,,,1.201B,2.977B,4.063B,,2004-12,656.00M,611.00M,6.524B,,,,,147.00M,7.938B,,2004-12,,
2004-09,1.417B,132.65M,1.550B,253.31M,,,253.31M,178.04M,56.81M,,4.83M,239.68M,,,193.96M,349.55M,2.586B,,,,,,9.976B,-4.712B,5.264B,,3.089B,3.089B,,,1.118B,9.831B,12.42B,,2004-09,207.93M,,,207.93M,,207.93M,,,329.00M,,329.00M,,,,526.78M,1.064B,,1.361B,377.58M,377.58M,,,,1.129B,2.868B,3.931B,,2004-09,651.07M,464.96M,6.461B,,,,,85.41M,7.662B,,2004-09,,
2004-06,1.475B,201.93M,1.677B,188.46M,,,188.46M,189.48M,61.34M,,8.306M,259.13M,,,257.60M,333.05M,2.715B,78.63M,6.241B,,3.362B,297.65M,9.980B,-4.712B,5.268B,,3.089B,3.089B,,,827.30M,9.893B,12.61B,,2004-06,221.87M,,,221.87M,,221.87M,,,289.79M,,289.79M,,,,499.45M,1.011B,,1.466B,744.84M,744.84M,,,,1.128B,3.339B,4.350B,,2004-06,644.76M,369.59M,6.461B,,,,,19.92M,7.495B,,2004-06,,
2004-03,1.549B,269.24M,1.818B,75.65M,,139.33M,214.98M,189.12M,60.46M,,33.10M,282.68M,,,182.09M,457.55M,2.955B,78.62M,6.330B,1.241B,146.56M,236.11M,8.032B,-4.115B,3.918B,,3.085B,3.085B,,,2.088B,9.857B,12.81B,,2004-03,216.15M,,,216.15M,,216.15M,,,380.87M,,380.87M,,,,592.58M,1.190B,,1.527B,734.95M,734.95M,,,,1.146B,3.408B,4.598B,,2004-03,643.48M,365.32M,6.451B,,,,,13.20M,7.473B,,2004-03,,
2003-12,1.131B,458.00M,1.589B,91.00M,,,91.00M,109.00M,64.00M,,53.00M,226.00M,,,45.00M,408.00M,2.359B,72.00M,4.208B,,3.161B,171.00M,7.612B,-3.897B,3.715B,,3.043B,3.043B,,,1.177B,8.339B,10.70B,,2003-12,163.00M,,,163.00M,,163.00M,,,191.00M,,191.00M,,,,489.00M,843.00M,,887.00M,273.00M,273.00M,,,,963.00M,2.123B,2.966B,,2003-12,638.00M,301.00M,6.423B,,,,,23.00M,7.385B,,2003-12,,
2003-09,419.41M,124.77M,544.18M,52.80M,,,52.80M,104.80M,65.81M,,249.60M,420.22M,21.28M,,54.29M,232.39M,1.325B,79.36M,4.207B,,1.330B,200.84M,5.817B,-3.439B,2.378B,,4.411B,4.411B,,,1.153B,8.830B,10.16B,,2003-09,148.89M,,,148.89M,,148.89M,,,175.93M,,175.93M,,3.793M,3.793M,495.32M,823.93M,,1.198B,802.94M,802.94M,,,,998.05M,2.999B,3.823B,,2003-09,585.39M,169.72M,5.180B,,,,,29.15M,5.964B,,2003-09,,
2003-06,274.74M,12.03M,286.77M,44.97M,,,44.97M,104.75M,41.78M,,23.92M,170.46M,19.32M,,53.48M,483.33M,1.058B,76.74M,4.156B,,1.290B,143.83M,5.667B,-3.324B,2.343B,,4.474B,4.474B,,,1.397B,9.093B,10.15B,,2003-06,151.04M,,,151.04M,,151.04M,,,176.42M,,176.42M,,9.171M,9.171M,545.16M,881.79M,,1.277B,742.24M,742.24M,,,,1.087B,3.107B,3.989B,,2003-06,579.73M,71.67M,5.153B,,,,,-3.867M,5.801B,,2003-06,,
2003-03,380.32M,12.02M,392.34M,27.52M,,,27.52M,106.78M,25.83M,,370.60M,503.21M,19.36M,,47.91M,70.61M,1.061B,1.481B,4.171B,,1.205B,97.67M,6.954B,-3.186B,3.769B,,3.006B,3.006B,,,1.498B,9.108B,10.17B,,2003-03,126.88M,,,126.88M,431.70M,558.57M,,,82.86M,,82.86M,,7.478M,7.478M,53.37M,702.28M,,1.577B,678.04M,678.04M,,,,1.263B,3.518B,4.220B,,2003-03,566.28M,-2.958M,5.033B,,,,,-23.00M,5.573B,,2003-03,,
2002-12,402.00M,13.00M,415.00M,82.00M,,,82.00M,103.00M,46.00M,,349.00M,498.00M,,,51.00M,67.00M,1.113B,72.00M,4.093B,,1.005B,69.00M,5.239B,-2.952B,2.287B,,4.44B,4.44B,,,1.546B,9.034B,10.15B,,2002-12,105.00M,,,105.00M,,105.00M,,,115.00M,,115.00M,,28.00M,28.00M,438.00M,686.00M,,1.701B,656.00M,656.00M,,,,1.33B,3.687B,4.373B,,2002-12,565.00M,-120.00M,5.038B,,,,,-64.00M,5.419B,,2002-12,,
2002-09,292.15M,15.42M,307.57M,39.04M,,,39.04M,,,,,522.04M,36.87M,,33.76M,157.57M,1.097B,1.800B,3.942B,,1.433B,187.30M,7.362B,-3.171B,4.191B,,2.615B,2.615B,,,1.272B,8.577B,9.674B,,2002-09,124.90M,,,124.90M,325.80M,450.70M,,,100.93M,,100.93M,,14.59M,14.59M,65.03M,631.25M,,1.725B,545.65M,545.65M,,,,1.066B,3.337B,3.968B,,2002-09,559.73M,-218.05M,5.061B,,,,,-27.18M,5.375B,,2002-09,,
2002-06,285.40M,20.95M,306.36M,55.54M,,,55.54M,112.95M,342.18M,,66.36M,521.48M,30.06M,,32.37M,105.23M,1.051B,,,,,,7.039B,-2.810B,4.230B,,2.615B,2.615B,,,1.371B,8.699B,9.750B,,2002-06,138.10M,,,138.10M,,138.10M,,,120.68M,,120.68M,,18.84M,18.84M,346.43M,624.05M,,1.669B,559.65M,559.65M,,,,1.156B,3.385B,4.009B,,2002-06,556.54M,-237.71M,5.068B,,,,,50.40M,5.437B,,2002-06,,
2002-03,511.56M,101.91M,613.47M,50.75M,,,50.75M,115.13M,338.16M,,56.29M,509.58M,13.34M,,29.75M,157.64M,1.375B,,,,,,7.142B,-2.810B,4.333B,,2.553B,2.553B,,,1.284B,8.651B,10.03B,,2002-03,85.26M,,,85.26M,312.45M,397.71M,,,440.08M,,440.08M,,147.66M,147.66M,,985.44M,,1.737B,571.71M,571.71M,,,,1.186B,3.495B,4.480B,,2002-03,548.64M,-302.71M,4.977B,,11.50M,,,22.92M,5.245B,,2002-03,,
2001-12,149.43M,75.10M,224.53M,19.09M,,,19.09M,92.56M,32.30M,,327.26M,452.11M,29.23M,,7.792M,114.27M,847.02M,86.39M,3.491B,,842.41M,97.85M,4.518B,-2.588B,1.930B,,177.00M,177.00M,,,783.97M,3.295B,4.142B,,2001-12,80.88M,,,80.88M,214.06M,294.95M,,,192.15M,,192.15M,,32.92M,32.92M,,520.02M,,1.235B,140.80M,140.80M,,,,483.54M,1.859B,2.379B,,2001-12,325.38M,-274.54M,1.458B,,11.50M,,,-9.448M,1.500B,,2001-12,,
2001-09,90.52M,69.68M,160.19M,26.38M,,,26.38M,96.40M,222.29M,,9.111M,327.80M,20.13M,,9.626M,46.86M,590.99M,,,,,,4.844B,-2.582B,2.262B,,,,,,782.88M,3.386B,3.977B,,2001-09,72.40M,,,72.40M,186.48M,258.88M,,,189.19M,,189.19M,,7.983M,7.983M,,456.05M,,1.092B,123.05M,123.05M,,,,615.75M,1.831B,2.287B,,2001-09,325.06M,-311.47M,1.461B,,11.50M,,,-14.65M,1.460B,,2001-09,,
2001-06,76.75M,58.17M,134.92M,21.72M,,,21.72M,104.92M,224.79M,,0.001M,329.71M,19.51M,,9.627M,42.80M,558.28M,,,,,,4.823B,-2.582B,2.241B,,,,,,786.96M,3.355B,3.914B,,2001-06,84.34M,,,84.34M,162.55M,246.89M,,,194.95M,,194.95M,,8.325M,8.325M,,450.17M,,1.086B,112.38M,112.38M,,,,620.10M,1.818B,2.268B,,2001-06,324.85M,-333.05M,1.464B,,11.50M,,,-21.81M,1.434B,,2001-06,,
2001-03,47.18M,38.63M,85.80M,,,,23.93M,,,,,329.29M,,,,92.34M,531.36M,,,,,,4.776B,-2.582B,2.194B,,,,,,1.094B,3.288B,3.820B,,2001-03,57.78M,,,57.78M,,57.78M,,,48.33M,,48.33M,,,,180.62M,286.73M,,1.165B,99.97M,99.97M,,,,609.03M,1.874B,2.161B,,2001-03,324.27M,-299.60M,1.464B,,11.50M,,,-30.44M,1.458B,,2001-03,,
2000-12,78.00M,45.00M,123.00M,29.00M,,,29.00M,95.00M,241.00M,,25.00M,361.00M,46.00M,,10.00M,43.00M,612.00M,,,,,,4.773B,-2.582B,2.191B,,,,,,819.00M,3.305B,3.917B,,2000-12,88.00M,,,88.00M,220.00M,308.00M,,,80.00M,,80.00M,,10.00M,10.00M,1.00M,399.00M,,1.129B,105.00M,105.00M,,,,592.00M,1.826B,2.225B,,2000-12,324.00M,-261.00M,1.463B,,12.00M,,,-26.00M,1.501B,,2000-12,,
2000-09,48.31M,5.733M,54.04M,,,,48.00M,,,,,364.76M,,,,81.13M,547.93M,,,,,,3.902B,-1.961B,1.941B,,,,,,975.50M,2.916B,3.464B,,2000-09,47.50M,,,47.50M,,47.50M,,,28.33M,,28.33M,,,,169.75M,245.58M,,1.065B,,,,,,529.86M,1.595B,1.841B,,2000-09,269.07M,70.70M,1.079B,,,,,40.00M,1.459B,,2000-09,,
2000-06,52.16M,5.425M,57.59M,,,,53.26M,,,,,363.52M,,,,80.11M,554.47M,,,,,,3.713B,-1.769B,1.944B,,,,,,917.54M,2.862B,3.416B,,2000-06,42.38M,,,42.38M,,42.38M,,,23.68M,,23.68M,,,,172.63M,238.69M,,1.046B,,,,,,546.13M,1.592B,1.830B,,2000-06,268.83M,94.43M,1.076B,,,,,,1.440B,,2000-06,,
2000-03,90.66M,5.415M,96.08M,,,,48.51M,,,,,334.88M,,,,87.85M,567.31M,,,,,,3.766B,-1.831B,1.935B,,,,,,935.32M,2.870B,3.438B,,2000-03,35.42M,,,35.42M,,35.42M,,,22.63M,,22.63M,,,,158.32M,216.38M,,1.100B,,,,,,527.01M,1.627B,1.843B,,2000-03,268.56M,115.86M,1.073B,,,,,,1.458B,,2000-03,,
1999-12,55.30M,,55.30M,40.60M,,,40.60M,,,,,322.60M,,,,115.60M,534.10M,,,,,,3.741B,-1.769B,1.972B,,,,,,877.00M,2.849B,3.383B,,1999-12,38.00M,,,38.00M,,38.00M,,,23.30M,,23.30M,,,,212.50M,273.80M,,1.014B,,,,,,517.30M,1.532B,1.805B,,1999-12,268.30M,114.20M,1.069B,,,,,,1.452B,,1999-12,,
1999-09,20.70M,10.70M,31.40M,,,,40.30M,,,,,317.40M,,,,101.90M,491.00M,,,,,,3.711B,-1.722B,1.989B,,,,,,803.30M,2.792B,3.283B,,1999-09,34.70M,,,34.70M,,34.70M,,,28.10M,,28.10M,,,,130.30M,193.10M,,1.074B,,,,,,489.60M,1.563B,1.756B,,1999-09,268.10M,73.90M,1.067B,,,,,,1.409B,,1999-09,,
1999-06,81.90M,,81.90M,,,,37.10M,,,,,335.90M,,,,95.20M,550.10M,,,,,,3.639B,-1.663B,1.976B,,,,,,689.00M,2.665B,3.215B,,1999-06,30.70M,,,30.70M,,30.70M,,,36.60M,,36.60M,,,,119.40M,186.70M,,1.197B,,,,,,256.80M,1.454B,1.641B,,1999-06,,123.40M,,,,,,,1.456B,,1999-06,,
1999-03,72.00M,,72.00M,,,,53.30M,,,,,280.30M,,,,102.50M,508.10M,,,,,,3.673B,-1.642B,2.031B,,,,,,669.90M,2.700B,3.209B,,1999-03,28.60M,,,28.60M,,28.60M,,,35.60M,,35.60M,,,,101.30M,165.50M,,1.233B,,,,,,252.30M,1.485B,1.651B,,1999-03,,121.70M,,,,,,,1.453B,,1999-03,,
1998-12,79.10M,,79.10M,,,,52.10M,,,,,280.40M,,,,101.50M,513.10M,,,,,,3.633B,-1.585B,2.049B,,,,,,625.00M,2.674B,3.187B,,1998-12,37.90M,,,37.90M,,37.90M,,,47.60M,,47.60M,,,,126.80M,212.30M,,1.201B,,,,,,241.10M,1.442B,1.654B,,1998-12,,111.20M,,,,,,,1.440B,,1998-12,,
1998-09,55.40M,,55.40M,,,,30.20M,,,,,329.40M,,,,116.10M,531.10M,,,,,,3.886B,-1.344B,2.542B,,,,,,431.80M,2.974B,3.505B,,1998-09,39.40M,,,39.40M,,39.40M,,,51.60M,,51.60M,,,,145.00M,236.00M,,1.180B,,,,,,268.10M,1.448B,1.684B,,1998-09,,572.80M,,,,,,,1.642B,,1998-09,,
1998-06,54.10M,,54.10M,,,,24.50M,,,,,386.20M,,,,138.10M,602.90M,,,,,,4.024B,-1.470B,2.554B,,,,,,356.80M,2.911B,3.514B,,1998-06,39.00M,,,39.00M,,39.00M,,,56.10M,,56.10M,,,,168.50M,263.60M,,1.175B,,,,,,275.60M,1.450B,1.714B,,1998-06,,570.50M,,,,,,,1.639B,,1998-06,,
