,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,-13.52B,,-53.00M,-70.00M,3.359B,3.236B,6.979B,6.979B,-573.00M,16.36B,,431.00M,-1.386B,3.495B,-5.234B,,-77.00M,-3.202B,10.08B,,-2.392B,,2.845B,53.00M,-328.00M,178.00M,,-2.38B,-1.757B,-4.137B,17.00M,-15.00M,2.00M,0.00,,0.00,-3.741B,-3.741B,-2.363B,-10.24B,,9.849B,21.00M,9.87B,,17.00M,1.00M,-4.138B,-15.00M,,AOR,
2020-09,3.168B,,16.00M,44.00M,-687.00M,-627.00M,7.03B,7.03B,1.595B,73.00M,,4.218B,-575.00M,-1.058B,-2.244B,,131.00M,-3.746B,12.12B,,-3.911B,9.372B,-322.00M,397.00M,328.00M,-3.448B,,-9.372B,-1.25B,-10.62B,4.00M,-3.00M,1.00M,0.00,,0.00,-3.741B,-3.741B,-1.495B,-15.86B,,17.03B,-7.182B,9.849B,,4.00M,11.93B,-22.55B,-3.00M,,AOR,
2020-06,1.563B,,-705.00M,25.00M,-747.00M,-781.00M,7.285B,7.285B,394.00M,2.442B,,2.29B,518.00M,37.00M,-2.325B,,217.00M,-1.553B,12.06B,,-4.434B,-4.434B,-843.00M,53.00M,,-5.256B,,3.841B,-169.00M,3.672B,26.00M,-17.00M,9.00M,0.00,,0.00,-3.737B,-3.737B,244.00M,188.00M,,10.04B,6.991B,17.03B,,26.00M,22.01B,-18.34B,-17.00M,,AOR,
2020-03,4.963B,,,39.00M,-748.00M,-1.355B,7.222B,7.222B,259.00M,,,1.813B,2.23B,-3.884B,-3.267B,,105.00M,-4.816B,8.866B,,-4.938B,-4.938B,-50.00M,-6.00M,,-5.022B,,-65.00M,3.132B,3.067B,58.00M,-5.463B,-5.405B,3.869B,,3.869B,-3.737B,-3.737B,-3.893B,-6.099B,,12.30B,-2.255B,10.04B,,3.927B,7.489B,-4.422B,-5.463B,,AOR,
2019-12,2.704B,,-204.00M,214.00M,418.00M,428.00M,6.961B,6.961B,767.00M,1.458B,,3.113B,9.00M,-588.00M,-3.515B,,-114.00M,-4.208B,11.94B,,-3.592B,-19.44B,3.634B,-88.00M,-3.442B,-3.688B,,-1.219B,-2.456B,-3.675B,55.00M,-2.008B,-1.953B,1.164B,,1.164B,-3.726B,-3.726B,5.448B,-2.742B,,6.782B,5.513B,12.30B,,1.219B,2.005B,-5.68B,-2.008B,,AOR,
2019-09,3.949B,,-109.00M,5.00M,1.428B,1.324B,6.949B,6.949B,-41.00M,0.00,,1.923B,-1.377B,2.12B,-3.915B,,-182.00M,-3.354B,11.39B,,-5.301B,10.54B,-4.083B,127.00M,3.442B,-5.703B,,-3.24B,-750.00M,-3.99B,121.00M,-169.00M,-48.00M,0.00,,0.00,-3.726B,-3.726B,206.00M,-7.558B,,8.654B,-1.872B,6.782B,,121.00M,5.949B,-9.939B,-169.00M,,AOR,Restated
2019-06,3.974B,,-905.00M,-36.00M,1.26B,319.00M,7.101B,7.101B,327.00M,0.00,,2.334B,1.951B,630.00M,-2.912B,,-239.00M,-570.00M,14.28B,,-5.421B,-5.421B,3.177B,397.00M,,-1.898B,,-5.436B,174.00M,-5.262B,288.00M,-51.00M,237.00M,0.00,,0.00,-3.722B,-3.722B,-1.615B,-10.36B,,6.63B,2.024B,8.654B,,288.00M,3.619B,-8.881B,-51.00M,,AOR,Restated
2019-03,4.348B,,,112.00M,63.00M,175.00M,7.206B,7.206B,753.00M,,,1.947B,2.777B,-3.686B,-2.51B,,-375.00M,-3.794B,11.05B,,-5.121B,-5.121B,-218.00M,-1.00M,,-5.401B,,-658.00M,-136.00M,-794.00M,167.00M,-189.00M,-22.00M,0.00,,0.00,-3.714B,-3.714B,109.00M,-4.421B,,5.40B,1.23B,6.63B,,167.00M,9.478B,-10.27B,-189.00M,,AOR,Restated
2018-12,5.13B,,-238.00M,-20.00M,-1.072B,-1.33B,7.892B,7.892B,594.00M,,,1.746B,-1.022B,2.987B,-3.713B,,-801.00M,-2.549B,12.08B,,-4.063B,-4.063B,943.00M,51.00M,0.00,-3.158B,,-5.514B,-727.00M,-6.241B,386.00M,-32.00M,354.00M,,,,-3.635B,-3.635B,-2.788B,-12.31B,,8.788B,-3.388B,5.40B,,386.00M,3.596B,-9.837B,-32.00M,,AOR,Restated
2018-09,4.816B,,-472.00M,77.00M,171.00M,-224.00M,8.166B,8.166B,2.052B,,,1.07B,-1.771B,2.505B,-3.768B,,-932.00M,-3.966B,12.35B,,-5.736B,-5.736B,-1.463B,-16.00M,0.00,-7.352B,,-2.285B,-4.36B,-6.645B,347.00M,-13.00M,334.00M,,,,-3.631B,-3.631B,-17.00M,-9.959B,,13.75B,-4.965B,8.788B,,347.00M,9.633B,-16.28B,-13.00M,,AOR,Restated
