,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.648B,2.648B,1.507B,1.141B,,,,,,187.00M,,-187.00M,,,1.141B,,187.00M,-187.00M,14.00M,-187.00M,968.00M,232.00M,736.00M,,,,,736.00M,736.00M,1.503B,348.00M,1.155B,0.96,,,,0.96,0.96,0.96,,,,0.96,0.96,765.00M,767.00M,0.26
2020-06,2.255B,2.255B,1.427B,828.00M,,,,,,191.00M,,-191.00M,,,828.00M,,191.00M,-191.00M,15.00M,-191.00M,652.00M,153.00M,499.00M,,,,,499.00M,499.00M,1.187B,344.00M,843.00M,0.65,,,,0.65,0.65,0.65,,,,0.65,0.65,766.00M,767.00M,0.26
2020-03,2.855B,2.855B,1.677B,1.178B,,,,,,187.00M,,-187.00M,,,1.178B,,187.00M,-187.00M,22.00M,-187.00M,1.013B,243.00M,770.00M,,,,,770.00M,770.00M,1.544B,344.00M,1.20B,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,772.00M,773.00M,0.26
2019-12,2.885B,2.885B,1.822B,1.063B,,,,,,189.00M,,-141.00M,,,1.063B,,189.00M,-141.00M,59.00M,-141.00M,981.00M,210.00M,771.00M,,,,,771.00M,771.00M,1.514B,344.00M,1.17B,0.9974,,,,0.9974,0.9974,0.99,,,,0.99,0.99,775.00M,777.00M,0.24
2019-09,2.978B,2.978B,1.691B,1.287B,,,,,,186.00M,,-186.00M,,,1.287B,,186.00M,-186.00M,24.00M,-186.00M,1.125B,269.00M,856.00M,,,,,856.00M,856.00M,1.649B,338.00M,1.311B,1.08,,,,1.08,1.08,1.08,,,,1.08,1.08,790.00M,792.00M,0.24
2019-06,3.061B,3.061B,1.756B,1.305B,,,,,,184.00M,,-184.00M,,,1.305B,,184.00M,-184.00M,25.00M,-184.00M,1.146B,276.00M,870.00M,,,,,870.00M,870.00M,1.667B,337.00M,1.33B,1.08,,,,1.08,1.08,1.08,,,,1.08,1.08,805.00M,807.00M,0.24
2019-03,3.013B,3.013B,1.794B,1.219B,,,,,,178.00M,,-178.00M,,,1.219B,,178.00M,-178.00M,23.00M,-178.00M,1.064B,230.00M,834.00M,,,,,834.00M,834.00M,1.572B,330.00M,1.242B,1.02,,,,1.02,1.02,1.02,,,,1.02,1.02,814.00M,817.00M,0.24
2018-12,3.143B,3.143B,1.911B,1.232B,,,,,,171.00M,,-139.00M,,,1.232B,,171.00M,-139.00M,5.00M,-139.00M,1.098B,255.00M,843.00M,,,,,843.00M,843.00M,1.614B,345.00M,1.269B,1.031,,,,1.031,1.031,1.01,,,,1.01,1.01,830.00M,834.00M,0.22
2018-09,3.129B,3.129B,1.86B,1.269B,,,,,,162.00M,,-162.00M,,,1.269B,,162.00M,-162.00M,43.00M,-162.00M,1.15B,256.00M,894.00M,,,,,894.00M,894.00M,1.646B,334.00M,1.312B,1.05,,,,1.05,1.05,1.05,,,,1.05,1.05,850.00M,854.00M,0.22
2018-06,3.102B,3.102B,1.849B,1.253B,,,,,,157.00M,,-157.00M,,,1.253B,,157.00M,-157.00M,48.00M,-157.00M,1.144B,267.00M,877.00M,,,,,877.00M,877.00M,1.63B,329.00M,1.301B,1.02,,,,1.02,1.02,1.01,,,,1.01,1.01,864.00M,868.00M,0.22
2018-03,2.876B,2.876B,1.857B,1.019B,,,,,,149.00M,,-149.00M,,,1.019B,,149.00M,-149.00M,42.00M,-149.00M,912.00M,217.00M,695.00M,,,,,695.00M,695.00M,1.384B,323.00M,1.061B,0.78,,,,0.78,0.78,0.78,,,,0.78,0.78,885.00M,888.00M,0.22
2017-12,2.863B,2.863B,1.894B,969.00M,,,,,-29.00M,140.00M,,-127.00M,,-29.00M,969.00M,,140.00M,-127.00M,141.00M,-127.00M,983.00M,-3.157B,4.14B,,,,,4.14B,4.157B,1.46B,337.00M,1.123B,4.652,,,,4.671,4.652,4.62,,,,4.638999999999999,4.62,896.00M,899.00M,0.2
2017-09,2.743B,2.743B,1.893B,850.00M,,,,,-1.00M,132.00M,,-132.00M,,-1.00M,850.00M,,132.00M,-132.00M,32.00M,-132.00M,750.00M,291.00M,459.00M,,,,,459.00M,459.61M,1.213B,331.00M,882.00M,0.51,,,,0.5107,0.51,0.51,,,,0.5107,0.51,902.00M,906.00M,0.2
2017-06,2.933B,2.933B,1.877B,1.056B,,,,,-122.00M,137.00M,,-137.00M,,-122.00M,1.056B,,137.00M,-137.00M,-92.00M,-137.00M,827.00M,317.00M,510.00M,,,,,510.00M,585.27M,1.291B,327.00M,964.00M,0.55,,,,0.6318,0.55,0.55,,,,0.6315,0.55,920.00M,924.00M,0.2
2017-03,2.869B,2.869B,2.003B,866.00M,,,,,-173.00M,137.00M,,-137.00M,,-173.00M,866.00M,,137.00M,-137.00M,-147.00M,-137.00M,582.00M,220.00M,362.00M,,,,,362.00M,469.61M,1.039B,320.00M,719.00M,0.39,,,,0.5061,0.39,0.39,,,,0.5058,0.39,927.00M,929.00M,0.18
2016-12,3.037B,3.037B,2.059B,978.00M,,,,,-88.00M,156.00M,,-146.00M,,-88.00M,978.00M,,156.00M,-146.00M,-81.00M,-146.00M,751.00M,293.00M,458.00M,,,,,458.00M,511.67M,1.255B,348.00M,907.00M,0.4935,,,,0.5511,0.4935,0.49,,,,0.5475,0.49,932.00M,933.00M,0.18
2016-09,2.71B,2.71B,1.869B,841.00M,,,,,0.00,139.00M,,-139.00M,,0.00,841.00M,,139.00M,-139.00M,13.00M,-139.00M,715.00M,260.00M,455.00M,,,,,455.00M,455.00M,1.175B,321.00M,854.00M,0.48,,,,0.48,0.48,0.48,,,,0.48,0.48,942.00M,943.00M,0.18
2016-06,2.704B,2.704B,1.864B,840.00M,,,,,0.00,141.00M,,-141.00M,,0.00,840.00M,,141.00M,-141.00M,8.00M,-141.00M,707.00M,262.00M,445.00M,,,,,445.00M,445.00M,1.167B,319.00M,848.00M,0.47,,,,0.47,0.47,0.47,,,,0.47,0.47,952.00M,952.00M,0.18
2016-03,2.618B,2.618B,1.914B,704.00M,,,,,0.00,143.00M,,-143.00M,,0.00,704.00M,,143.00M,-143.00M,7.00M,-143.00M,568.00M,212.00M,356.00M,,,,,356.00M,356.00M,1.024B,313.00M,711.00M,0.37,,,,0.37,0.37,0.37,,,,0.37,0.37,962.00M,963.00M,0.18
2015-12,2.781B,2.781B,2.03B,751.00M,,,,,,140.00M,,-134.00M,,,751.00M,,140.00M,-134.00M,124.00M,-134.00M,741.00M,275.00M,466.00M,,,,,466.00M,466.00M,1.193B,312.00M,881.00M,0.4824,,,,0.4824,0.4824,0.48,,,,0.48,0.48,974.00M,975.00M,0.18
2015-09,2.939B,2.939B,2.006B,933.00M,,,,,,136.00M,,-136.00M,,,933.00M,,136.00M,-136.00M,2.00M,-136.00M,799.00M,292.00M,507.00M,,,,,507.00M,507.00M,1.237B,302.00M,935.00M,0.52,,,,0.52,0.52,0.52,,,,0.52,0.52,981.00M,982.00M,0.18
2015-06,3.064B,3.064B,2.047B,1.017B,,,,,,134.00M,,-134.00M,,,1.017B,,134.00M,-134.00M,4.00M,-134.00M,887.00M,334.00M,553.00M,,,,,553.00M,553.00M,1.32B,299.00M,1.021B,0.56,,,,0.56,0.56,0.56,,,,0.56,0.56,988.00M,989.00M,0.18
2015-03,3.027B,3.027B,2.184B,843.00M,,,,,,134.00M,,-134.00M,,,843.00M,,134.00M,-134.00M,2.00M,-134.00M,711.00M,269.00M,442.00M,,,,,442.00M,442.00M,1.14B,295.00M,845.00M,0.45,,,,0.45,0.45,0.45,,,,0.45,0.45,991.00M,992.00M,0.16
2014-12,3.192B,3.192B,2.291B,901.00M,,,,,,133.00M,,-128.00M,,,901.00M,,133.00M,-128.00M,2.00M,-128.00M,775.00M,284.00M,491.00M,,,,,491.00M,491.00M,1.198B,290.00M,908.00M,0.495,,,,0.495,0.495,0.49,,,,0.49,0.49,995.00M,996.00M,0.16
2014-09,3.221B,3.221B,2.245B,976.00M,,,,,,137.00M,,-137.00M,,,976.00M,,137.00M,-137.00M,-26.00M,-137.00M,813.00M,304.00M,509.00M,,,,,509.00M,509.00M,1.241B,291.00M,950.00M,0.51,,,,0.51,0.51,0.51,,,,0.51,0.51,999.00M,999.00M,0.16
2014-06,3.244B,3.244B,2.247B,997.00M,,,,,,135.00M,,-135.00M,,,997.00M,,135.00M,-135.00M,-12.00M,-135.00M,850.00M,321.00M,529.00M,,,,,529.00M,529.00M,1.272B,287.00M,985.00M,0.53,,,,0.53,0.53,0.53,,,,0.53,0.53,1.003B,1.003B,0.16
2014-03,3.012B,3.012B,2.273B,739.00M,,,,,,140.00M,,-140.00M,,,739.00M,,140.00M,-140.00M,7.00M,-140.00M,606.00M,208.00M,398.00M,,,,,398.00M,398.00M,1.029B,283.00M,746.00M,0.4,,,,0.4,0.4,0.4,,,,0.4,0.4,1.008B,1.008B,0.15
2013-12,3.032B,3.032B,2.219B,813.00M,,,,,,139.00M,,-131.00M,,,813.00M,,139.00M,-131.00M,-8.00M,-131.00M,674.00M,248.00M,426.00M,,,,,426.00M,426.00M,1.094B,281.00M,813.00M,0.4222,,,,0.4222,0.4222,0.42,,,,0.42,0.42,1.013B,1.013B,0.15
2013-09,2.985B,2.985B,2.145B,840.00M,,,,,,136.00M,,-136.00M,,,840.00M,,136.00M,-136.00M,5.00M,-136.00M,709.00M,254.00M,455.00M,,,,,455.00M,455.00M,1.122B,277.00M,845.00M,0.45,,,,0.45,0.45,0.45,,,,0.45,0.45,1.017B,1.018B,0.15
2013-06,3.046B,3.046B,2.106B,940.00M,,,,,,140.00M,,-140.00M,,,940.00M,,140.00M,-140.00M,9.00M,-140.00M,809.00M,288.00M,521.00M,,,,,521.00M,521.00M,1.225B,276.00M,949.00M,0.51,,,,0.51,0.51,0.51,,,,0.51,0.51,1.022B,1.023B,0.15
2013-03,2.963B,2.963B,2.083B,880.00M,,,,,,147.00M,,-147.00M,,,880.00M,,147.00M,-147.00M,-3.00M,-147.00M,730.00M,268.00M,462.00M,,,,,462.00M,462.00M,1.147B,270.00M,877.00M,0.45,,,,0.45,0.45,0.45,,,,0.45,0.45,1.022B,1.023B,0.14
2012-12,2.891B,2.891B,2.08B,811.00M,,,,,,145.00M,,-140.00M,,,811.00M,,145.00M,-140.00M,54.00M,-140.00M,725.00M,278.00M,447.00M,,,,,447.00M,447.00M,1.141B,271.00M,870.00M,0.4343,,,,0.4343,0.4343,0.43,,,,0.43,0.43,1.026B,1.028B,0.14
2012-09,2.894B,2.894B,2.04B,854.00M,,,,,,138.00M,,-138.00M,,,854.00M,,138.00M,-138.00M,5.00M,-138.00M,721.00M,266.00M,455.00M,,,,,455.00M,455.00M,1.127B,268.00M,859.00M,0.44,,,,0.44,0.44,0.44,,,,0.44,0.44,1.038B,1.04B,0.14
2012-06,3.012B,3.012B,2.069B,943.00M,,,,,,139.00M,,-139.00M,,,943.00M,,139.00M,-139.00M,5.00M,-139.00M,809.00M,297.00M,512.00M,,,,,512.00M,512.00M,1.211B,263.00M,948.00M,0.49,,,,0.49,0.49,0.49,,,,0.49,0.49,1.041B,1.043B,0.14
