,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,406.40M,,406.40M,1.097B,73.00M,1.199B,58.80M,103.90M,,,6.00M,1.774B,0.0,618.80M,1.377B,7.917B,8.072B,431.60M,18.42B,-9.657B,8.760B,11.71B,127.50M,11.84B,121.40M,,118.30M,83.20M,209.30M,176.00M,21.34B,23.11B,646.30M,135.40M,176.20M,957.90M,469.10M,1.427B,202.10M,,184.30M,184.30M,35.80M,220.10M,341.60M,341.60M,,,2.191B,384.80M,8.594B,217.20M,8.812B,1.222B,,1.345B,1.715B,32.70M,110.20M,4.00M,111.60M,12.55B,14.74B,3.50M,5.653B,5.045B,2.316B,-15.50M,8.370B
2020-06,269.70M,,269.70M,1.066B,57.10M,1.161B,58.50M,74.70M,,,4.70M,1.569B,0.0,624.30M,1.369B,7.962B,7.967B,379.50M,18.30B,-9.571B,8.730B,11.67B,126.70M,11.80B,98.90M,,116.20M,93.90M,196.80M,191.40M,21.26B,22.83B,657.40M,129.00M,144.40M,930.80M,469.60M,1.400B,205.10M,,60.00M,60.00M,34.40M,94.40M,334.60M,334.60M,,,2.066B,379.20M,8.598B,218.10M,8.816B,1.187B,,1.300B,1.724B,32.70M,134.00M,3.80M,109.50M,12.53B,14.60B,3.50M,5.529B,5.027B,2.316B,-16.50M,8.227B
2020-03,281.60M,25.00M,306.60M,1.095B,97.70M,1.296B,57.10M,86.70M,,,8.00M,1.754B,0.0,621.30M,1.360B,7.923B,7.916B,317.00M,18.14B,-9.457B,8.68B,11.67B,130.00M,11.80B,94.20M,,120.80M,82.60M,184.50M,165.40M,21.16B,22.91B,660.60M,128.90M,126.30M,915.80M,457.70M,1.374B,204.40M,,24.50M,24.50M,35.30M,59.80M,342.90M,342.90M,,,1.981B,365.70M,8.952B,222.70M,9.175B,1.192B,,1.294B,1.716B,22.20M,123.60M,3.00M,111.20M,12.81B,14.79B,3.50M,5.434B,5.013B,2.315B,-17.60M,8.117B
2019-12,47.10M,,47.10M,1.126B,120.00M,1.403B,56.80M,87.90M,,,8.00M,1.606B,0.0,618.80M,1.343B,7.766B,7.718B,454.50M,17.90B,-9.273B,8.627B,11.63B,133.90M,11.77B,87.80M,,110.70M,13.60M,204.10M,235.20M,21.08B,22.68B,777.90M,129.20M,140.80M,1.048B,490.80M,1.539B,193.60M,,929.90M,929.90M,51.50M,981.40M,336.00M,336.00M,,14.90M,3.065B,367.10M,7.759B,212.50M,7.971B,1.181B,,1.297B,1.703B,18.20M,23.00M,2.70M,119.00M,11.50B,14.56B,3.50M,5.317B,4.995B,2.200B,2.20M,8.118B
2019-09,55.60M,,55.60M,1.163B,70.40M,1.251B,55.30M,99.80M,,,12.30M,1.474B,0.0,617.40M,1.315B,7.742B,7.511B,515.40M,17.70B,-9.20B,8.501B,11.65B,124.10M,11.77B,58.60M,,110.80M,18.00M,196.10M,162.80M,20.86B,22.33B,697.20M,129.30M,139.70M,966.20M,523.80M,1.49B,187.80M,,912.80M,912.80M,36.60M,949.40M,341.10M,341.10M,,29.10M,2.997B,368.90M,7.706B,226.00M,7.932B,1.075B,,1.188B,1.702B,18.20M,25.80M,2.00M,119.00M,11.35B,14.35B,3.50M,5.156B,4.980B,2.154B,-8.50M,7.976B
2019-06,72.50M,,72.50M,1.147B,53.80M,1.266B,56.20M,75.30M,,,4.50M,1.474B,0.0,617.20M,1.299B,7.585B,7.438B,462.40M,17.40B,-9.076B,8.327B,11.50B,125.80M,11.62B,63.30M,,109.80M,11.60M,195.10M,153.50M,20.52B,22.00B,719.60M,120.20M,130.00M,969.80M,446.70M,1.416B,195.00M,,1.561B,1.561B,35.10M,1.596B,331.30M,331.30M,,31.80M,3.571B,352.20M,6.884B,217.30M,7.101B,1.060B,,1.171B,1.710B,18.20M,0.60M,2.30M,117.50M,10.47B,14.04B,3.50M,4.988B,4.961B,2.003B,3.90M,7.953B
2019-03,68.00M,,68.00M,1.074B,55.60M,1.235B,55.40M,82.60M,,,4.00M,1.445B,0.0,613.50M,1.291B,7.445B,7.398B,364.10M,17.11B,-8.893B,8.218B,11.43B,115.10M,11.55B,61.40M,,109.00M,13.30M,198.70M,154.80M,20.34B,21.78B,629.60M,120.70M,127.80M,878.10M,442.40M,1.320B,187.30M,,1.596B,1.596B,33.70M,1.629B,330.80M,330.80M,,,3.468B,358.20M,6.802B,214.30M,7.016B,1.052B,,1.161B,1.707B,18.20M,12.50M,3.10M,118.10M,10.39B,13.86B,3.50M,4.858B,4.945B,1.911B,24.80M,7.920B
2018-12,70.50M,,70.50M,1.103B,60.10M,1.350B,53.10M,85.80M,,,4.50M,1.564B,0.0,611.10M,1.280B,7.377B,7.106B,377.80M,16.75B,-8.732B,8.020B,11.40B,106.50M,11.51B,73.00M,,98.50M,12.80M,193.40M,148.20M,20.05B,21.62B,761.50M,121.00M,124.20M,1.007B,503.90M,1.511B,178.60M,,690.70M,690.70M,0.00,690.70M,338.70M,338.70M,,,2.719B,348.80M,7.647B,0.00,7.647B,1.028B,,1.124B,1.702B,18.20M,0.00,2.40M,129.20M,10.97B,13.69B,3.50M,4.750B,4.925B,1.783B,30.80M,7.927B
2018-09,81.90M,,81.90M,1.156B,73.20M,1.246B,55.40M,104.20M,,,2.10M,1.492B,0.0,605.90M,1.266B,7.276B,6.923B,407.10M,16.48B,-8.564B,7.914B,11.38B,105.40M,11.49B,38.90M,,100.40M,29.60M,200.00M,139.10M,19.91B,21.40B,661.30M,121.70M,139.50M,922.50M,547.60M,1.470B,178.00M,,690.80M,690.80M,,690.80M,336.40M,336.40M,,,2.675B,345.80M,7.557B,,7.557B,970.00M,,1.076B,1.674B,19.60M,3.50M,2.20M,127.20M,10.80B,13.48B,3.50M,4.572B,4.911B,1.620B,55.90M,7.922B
2018-06,61.30M,,61.30M,1.112B,56.00M,1.176B,52.80M,72.70M,,,2.90M,1.369B,0.0,602.30M,1.229B,7.226B,6.880B,351.40M,16.29B,-8.424B,7.864B,11.35B,115.40M,11.46B,31.40M,,100.20M,23.90M,197.50M,157.10M,19.83B,21.20B,629.80M,112.30M,152.50M,894.60M,529.40M,1.424B,183.00M,,,41.90M,,41.90M,340.60M,340.60M,,,1.990B,342.20M,8.216B,,8.216B,868.40M,,971.70M,1.687B,19.60M,1.50M,2.70M,127.40M,11.37B,13.35B,3.50M,4.431B,4.888B,1.530B,52.80M,7.846B
