,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,260.20M,,8.20M,-31.60M,43.00M,,,,291.40M,34.30M,,9.60M,,-23.40M,-42.10M,-57.10M,0.40M,,,53.10M,-45.70M,575.50M,-234.30M,12.50M,-221.80M,-89.10M,,-0.20M,-311.10M,-2.40M,-2.40M,1.30M,6.70M,8.00M,-129.20M,-129.20M,,-2.30M,-125.90M,350.70M,138.50M,489.20M,1.30M,639.60M,-642.00M,6.70M
2020-06,226.30M,,9.40M,31.60M,44.60M,,,,289.90M,-6.20M,,9.50M,,-13.40M,17.50M,103.90M,2.70M,,,78.20M,202.30M,764.00M,-307.90M,6.30M,-301.60M,-7.10M,,22.30M,-286.40M,-339.20M,-339.20M,,2.80M,2.80M,-128.70M,-128.70M,,-5.20M,-470.30M,343.40M,7.30M,350.70M,,466.00M,-805.20M,2.80M
2020-03,246.80M,,13.20M,4.30M,12.60M,,,,289.50M,17.60M,,9.90M,,-10.20M,28.00M,88.20M,-63.50M,,,-54.30M,-1.60M,569.50M,-346.80M,6.00M,-340.80M,-61.20M,,-33.40M,-435.40M,271.80M,271.80M,,-108.30M,-108.30M,-129.20M,-129.20M,,-2.40M,31.90M,177.40M,166.00M,343.40M,,2.960B,-2.689B,-108.30M
2019-12,290.00M,,85.00M,0.00,93.60M,,,,277.90M,93.20M,,10.30M,,-39.70M,27.00M,-208.00M,15.70M,,,-5.40M,-170.70M,565.20M,-298.80M,10.00M,-288.80M,-118.00M,,4.40M,-402.40M,58.90M,58.90M,4.00M,-45.60M,-41.60M,-129.30M,-129.30M,,-2.00M,-114.00M,128.60M,48.80M,177.40M,4.00M,1.241B,-1.182B,-45.60M
2019-09,298.00M,,4.10M,0.00,-18.10M,,,,287.80M,32.60M,,9.10M,,-23.30M,-12.30M,-3.00M,-22.10M,,,95.10M,57.70M,651.30M,-319.60M,3.80M,-315.80M,-235.20M,,-3.00M,-554.00M,160.80M,160.80M,5.30M,-148.20M,-142.90M,-120.20M,-120.20M,,-10.10M,-112.40M,143.70M,-15.10M,128.60M,5.30M,2.112B,-1.952B,-148.20M
2019-06,250.90M,,11.50M,0.00,12.70M,,,,284.70M,12.60M,,9.00M,,-12.60M,-76.20M,44.50M,58.40M,,,-10.50M,16.20M,581.90M,-289.40M,3.80M,-285.60M,-116.40M,,-1.50M,-403.50M,37.70M,37.70M,,-85.00M,-85.00M,-120.70M,-120.70M,,-3.20M,-171.20M,136.50M,7.20M,143.70M,,1.179B,-1.142B,-85.00M
2019-03,234.90M,,11.60M,0.00,10.20M,,,,272.00M,27.70M,,11.10M,,-16.80M,23.20M,56.80M,-45.60M,,,-27.30M,7.10M,553.70M,-299.30M,4.10M,-295.20M,-62.70M,,-1.20M,-359.10M,52.30M,52.30M,,-120.60M,-120.60M,-121.00M,-121.00M,,-2.10M,-191.40M,133.30M,3.20M,136.50M,,1.105B,-1.053B,-120.60M
2018-12,301.10M,0.00,30.10M,,-27.10M,,,,272.40M,38.40M,,9.60M,,-38.60M,42.50M,-139.00M,27.30M,,,-1.10M,-70.30M,495.90M,-251.30M,23.70M,-227.60M,-68.20M,,-1.60M,-297.40M,82.60M,82.60M,3.30M,-162.00M,-158.70M,-121.80M,-121.80M,,-4.20M,-202.10M,136.90M,-3.60M,133.30M,3.30M,1.051B,-968.10M,-162.00M
2018-09,262.90M,0.00,5.60M,,3.30M,,,,282.50M,61.30M,,9.50M,,-15.40M,-54.40M,-61.50M,27.90M,,,29.00M,-59.00M,555.90M,-278.40M,3.60M,-274.80M,-51.70M,,0.80M,-325.70M,-20.70M,-20.70M,11.70M,-100.90M,-89.20M,-112.30M,-112.30M,,-3.80M,-226.00M,132.70M,4.20M,136.90M,11.70M,878.10M,-898.80M,-100.90M
2018-06,235.70M,31.10M,0.10M,,32.50M,,,,275.70M,27.10M,,8.80M,,-13.20M,-65.20M,43.60M,33.90M,,,23.90M,36.20M,609.60M,-278.80M,0.70M,-278.10M,-50.20M,,-1.00M,-329.30M,46.30M,46.30M,6.90M,-219.50M,-212.60M,-113.30M,-113.30M,,-2.20M,-281.80M,134.20M,-1.50M,132.70M,6.90M,2.107B,-2.060B,-219.50M
2018-03,237.90M,,0.00,,-0.40M,,,,283.50M,25.30M,,11.10M,,-5.00M,47.50M,4.40M,-3.20M,,,-26.50M,22.20M,581.40M,-263.30M,3.60M,-259.70M,-18.00M,,1.00M,-276.70M,20.50M,20.50M,1.30M,-254.50M,-253.20M,-114.40M,-114.40M,,-2.50M,-349.60M,179.10M,-44.90M,134.20M,1.30M,1.094B,-1.073B,-254.50M
2017-12,664.50M,,19.20M,0.10M,13.30M,,,,287.20M,-439.50M,,7.30M,,-22.90M,30.10M,-35.60M,-8.60M,,,25.00M,10.90M,528.60M,-220.80M,1.90M,-218.90M,-200.10M,,0.40M,-418.60M,320.60M,320.60M,10.20M,-257.40M,-247.20M,-115.70M,-115.70M,,-3.70M,-46.00M,115.10M,64.00M,179.10M,10.20M,2.004B,-1.684B,-257.40M
2017-09,223.30M,,2.20M,0.00,-12.00M,,,,280.80M,39.30M,,9.60M,,-19.70M,-57.40M,-27.80M,21.70M,,,37.10M,-26.40M,502.90M,-271.50M,1.10M,-270.40M,-51.00M,,0.30M,-321.10M,74.00M,74.00M,6.90M,-122.60M,-115.70M,-107.80M,-107.80M,,-1.40M,-150.90M,84.20M,30.90M,115.10M,6.90M,1.166B,-1.092B,-122.60M
2017-06,203.40M,,3.10M,0.00,3.60M,,,,278.20M,12.50M,,8.10M,,-23.20M,-65.50M,-6.10M,26.80M,,,-12.40M,-57.20M,434.80M,-273.60M,1.80M,-271.80M,-26.80M,,-0.60M,-299.20M,106.10M,106.10M,6.30M,-131.80M,-125.50M,-108.40M,-108.40M,,-2.70M,-130.50M,79.10M,5.10M,84.20M,6.30M,1.177B,-1.071B,-131.80M
2017-03,187.80M,,2.90M,1.10M,-5.00M,,,,269.90M,8.70M,,9.60M,,-9.90M,-26.10M,33.10M,-18.20M,,,-10.90M,-22.10M,444.40M,-223.90M,1.30M,-222.60M,-69.20M,,0.50M,-291.30M,9.10M,9.10M,13.50M,-98.90M,-85.40M,-108.60M,-108.60M,,-2.10M,-187.00M,113.00M,-33.90M,79.10M,13.50M,1.085B,-1.076B,-98.90M
