,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.441B,2.572B,1.535B,1.037B,250.00M,250.00M,-75.80M,6.10M,88.90M,0.50M,-88.40M,20.70M,547.50M,489.20M,0.50M,88.90M,-88.40M,-82.10M,-88.40M,318.70M,58.50M,260.20M,,-0.20M,260.00M,321.89M,699.00M,291.40M,407.60M,0.81,,,1.004,0.81,0.81,,,1.004,0.81,319.20M,319.70M,0.425
2020-06,2.326B,2.454B,1.468B,986.30M,280.90M,280.90M,-9.30M,11.00M,91.60M,3.30M,-88.30M,20.80M,581.80M,404.50M,3.30M,91.60M,-88.30M,-16.10M,-88.30M,300.10M,73.80M,226.30M,,-0.80M,225.50M,232.50M,681.60M,289.90M,391.70M,0.71,,,0.732,0.71,0.71,,,0.7319,0.71,319.00M,319.60M,0.405
2020-03,2.429B,2.554B,1.550B,1.004B,272.70M,272.70M,-3.70M,4.90M,96.60M,0.30M,-96.30M,20.90M,567.10M,436.70M,0.30M,96.60M,-96.30M,-17.80M,-96.30M,322.60M,75.80M,246.80M,,-0.50M,246.30M,249.13M,708.70M,289.50M,419.20M,0.77,,,0.7789,0.77,0.77,,,0.7788,0.77,319.60M,320.20M,0.405
2019-12,2.460B,2.577B,1.544B,1.033B,259.10M,259.10M,-25.90M,10.60M,95.10M,1.00M,-94.10M,20.50M,547.60M,485.10M,1.00M,95.10M,-94.10M,-106.10M,-94.10M,284.90M,-5.10M,290.00M,,-0.70M,289.30M,308.21M,657.90M,277.90M,380.00M,0.91,,,0.9691,0.91,0.9,,,0.959,0.9,319.90M,320.20M,0.405
2019-09,2.521B,2.647B,1.631B,1.016B,267.90M,267.90M,15.50M,7.50M,98.00M,2.00M,-96.00M,20.50M,563.20M,452.30M,2.00M,98.00M,-96.00M,13.20M,-96.00M,369.50M,71.50M,298.00M,,0.30M,298.30M,285.80M,755.30M,287.80M,467.50M,0.93,,,0.891,0.93,0.93,,,0.8911,0.93,320.60M,321.70M,0.405
2019-06,2.477B,2.605B,1.617B,988.30M,254.20M,254.20M,-3.60M,8.40M,98.50M,1.40M,-97.10M,20.50M,547.30M,441.00M,1.40M,98.50M,-97.10M,-15.30M,-97.10M,328.60M,77.70M,250.90M,,0.60M,251.50M,254.25M,711.80M,284.70M,427.10M,0.78,,,0.7886,0.78,0.78,,,0.7885,0.78,321.70M,322.80M,0.375
2019-03,2.342B,2.471B,1.506B,964.50M,258.90M,258.90M,-3.30M,7.50M,100.40M,1.90M,-98.50M,20.50M,538.40M,426.10M,1.90M,100.40M,-98.50M,-14.80M,-98.50M,312.80M,77.90M,234.90M,,-0.70M,234.20M,236.68M,685.20M,272.00M,413.20M,0.73,,,0.7377,0.73,0.72,,,0.7277,0.72,322.30M,323.50M,0.375
2018-12,2.396B,2.53B,1.526B,1.004B,262.10M,262.10M,23.70M,10.40M,96.50M,0.60M,-95.90M,20.00M,544.90M,459.50M,0.60M,96.50M,-95.90M,-6.30M,-95.90M,357.30M,56.20M,301.10M,,-0.20M,300.90M,280.93M,726.20M,272.40M,453.80M,0.93,,,0.8684,0.93,0.92,,,0.8587,0.92,324.20M,325.70M,0.375
2018-09,2.433B,2.566B,1.577B,988.30M,250.10M,250.10M,-4.60M,10.80M,96.00M,0.50M,-95.50M,20.10M,543.40M,444.90M,0.50M,96.00M,-95.50M,-9.10M,-95.50M,340.30M,77.40M,262.90M,,0.50M,263.40M,266.95M,718.80M,282.50M,436.30M,0.81,,,0.8209,0.81,0.81,,,0.8209,0.81,325.50M,326.90M,0.375
2018-06,2.395B,2.518B,1.577B,940.60M,246.10M,246.10M,-4.10M,6.80M,96.50M,0.20M,-96.30M,20.20M,528.60M,412.00M,0.20M,96.50M,-96.30M,-3.10M,-96.30M,312.60M,76.90M,235.70M,,-0.80M,234.90M,237.99M,684.80M,275.70M,409.10M,0.72,,,0.7294,0.72,0.71,,,0.7194,0.71,327.40M,328.80M,0.345
2018-03,2.297B,2.428B,1.470B,957.70M,254.40M,254.40M,-8.80M,6.80M,94.80M,0.20M,-94.60M,20.40M,544.70M,413.00M,0.20M,94.80M,-94.60M,-7.80M,-94.60M,310.60M,72.70M,237.90M,,-0.20M,237.70M,244.44M,688.90M,283.50M,405.40M,0.72,,,0.7404,0.72,0.72,,,0.7403,0.72,330.70M,332.20M,0.345
2017-12,2.370B,2.56B,1.593B,967.00M,297.10M,297.10M,0.50M,,119.80M,0.00,-119.80M,-7.00M,534.60M,432.40M,0.00,119.80M,-119.80M,-16.90M,-119.80M,295.70M,-368.80M,664.50M,,-0.10M,664.40M,664.10M,702.70M,287.20M,415.50M,1.99,,,1.989,1.99,1.98,,,1.979,1.98,333.80M,335.70M,0.345
2017-09,2.380B,2.562B,1.580B,981.90M,258.70M,258.70M,13.70M,8.00M,81.20M,0.30M,-80.90M,28.80M,556.30M,425.60M,0.30M,81.20M,-80.90M,12.00M,-80.90M,356.70M,133.40M,223.30M,,-0.10M,223.20M,214.62M,718.70M,280.80M,437.90M,0.66,,,0.6345,0.66,0.66,,,0.6347,0.66,336.50M,338.50M,0.345
2017-06,2.344B,2.527B,1.557B,969.30M,253.50M,253.50M,-2.70M,9.40M,80.50M,0.30M,-80.20M,28.90M,550.10M,419.20M,0.30M,80.50M,-80.20M,-5.60M,-80.20M,333.40M,130.00M,203.40M,,-0.50M,202.90M,204.54M,692.10M,278.20M,413.90M,0.6,,,0.6049,0.6,0.6,,,0.6048,0.6,338.10M,340.00M,0.32
2017-03,2.213B,2.393B,1.484B,908.70M,249.20M,249.20M,3.90M,5.40M,80.40M,0.30M,-80.10M,29.00M,533.50M,375.20M,0.30M,80.40M,-80.10M,1.10M,-80.10M,296.20M,108.40M,187.80M,,0.00,187.80M,185.33M,646.50M,269.90M,376.60M,0.55,,,0.5427,0.55,0.55,,,0.5428,0.55,339.90M,341.90M,0.32
2016-12,1.784B,2.379B,1.465B,913.90M,246.80M,246.80M,-7.10M,2.90M,126.10M,0.00,-126.10M,-16.30M,478.80M,435.10M,0.00,126.10M,-126.10M,-14.30M,-126.10M,294.70M,105.10M,189.60M,,-0.10M,189.50M,194.07M,686.00M,265.20M,420.80M,0.56,,,0.5734,0.56,0.55,,,0.5634,0.55,340.00M,341.70M,0.32
2016-09,2.409B,2.409B,1.477B,932.60M,229.40M,229.40M,-203.40M,6.00M,79.50M,0.20M,-79.30M,36.50M,524.30M,408.30M,0.20M,79.50M,-79.30M,-202.10M,-79.30M,126.90M,41.20M,85.70M,,-0.10M,85.60M,222.90M,478.50M,272.10M,206.40M,0.25,,,0.6507,0.25,0.25,,,0.6491,0.25,342.60M,344.00M,0.32
2016-06,2.351B,2.351B,1.441B,910.00M,236.50M,236.50M,-14.50M,7.00M,82.60M,0.20M,-82.40M,29.40M,523.00M,387.00M,0.20M,82.60M,-82.40M,-12.90M,-82.40M,291.70M,110.70M,181.00M,,-0.20M,180.80M,189.79M,644.20M,269.90M,374.30M,0.53,,,0.5561,0.53,0.52,,,0.546,0.52,343.90M,345.20M,0.3
2016-03,2.249B,2.249B,1.381B,867.20M,242.20M,242.20M,-11.90M,4.60M,83.00M,0.50M,-82.50M,29.50M,519.50M,347.70M,0.50M,83.00M,-82.50M,-12.60M,-82.50M,252.60M,95.70M,156.90M,,-0.20M,156.70M,164.09M,598.60M,263.00M,335.60M,0.45,,,0.4714,0.45,0.45,,,0.4713,0.45,345.40M,346.70M,0.3
2015-12,1.758B,2.290B,1.404B,886.50M,262.70M,262.70M,0.00,5.40M,82.90M,0.20M,-82.70M,30.20M,542.60M,343.90M,0.20M,82.90M,-82.70M,0.70M,-82.70M,261.90M,89.50M,172.40M,,-0.20M,172.20M,172.20M,609.30M,264.50M,344.80M,0.5,,,0.5,0.5,0.49,,,0.49,0.49,347.00M,348.40M,0.3
