,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.694B,1.694B,1.348B,345.40M,,127.10M,-8.40M,,24.40M,-24.40M,,127.10M,218.30M,24.40M,-24.40M,-8.20M,-24.40M,185.70M,46.60M,139.10M,,,,139.10M,145.40M,210.10M,,2020-09,1.47,,1.47,,2020-09,1.46,,1.46,,2020-09,0.79,,2020-09,AOR,
2020-06,1.542B,1.542B,1.216B,325.80M,,136.30M,-73.50M,,25.10M,-25.10M,,136.30M,189.50M,25.10M,-25.10M,-72.80M,-25.10M,91.60M,34.90M,56.70M,,,,56.70M,102.12M,116.70M,,2020-06,0.60,,0.60,,2020-06,0.59,,0.59,,2020-06,0.79,,2020-06,AOR,
2020-03,1.709B,1.709B,1.344B,365.00M,,145.90M,-6.40M,,19.60M,-19.60M,,145.90M,219.10M,19.60M,-19.60M,-9.40M,-19.60M,190.10M,48.40M,141.70M,,,,141.70M,146.47M,209.70M,,2020-03,1.50,,1.50,,2020-03,1.49,,1.49,,2020-03,0.79,,2020-03,AOR,
2019-12,1.72B,1.72B,1.337B,383.30M,,137.00M,-7.30M,,60.80M,-60.80M,,137.00M,246.30M,60.80M,-60.80M,-13.10M,-60.80M,172.40M,36.20M,136.20M,,,,136.20M,141.97M,233.20M,,2019-12,1.44,,1.44,,2019-12,1.43,,1.43,,2019-12,0.79,,2019-12,AOR,
2019-09,1.751B,1.751B,1.339B,411.40M,,136.90M,-9.50M,,21.60M,-21.60M,,136.90M,274.50M,21.60M,-21.60M,-13.60M,-21.60M,239.30M,59.50M,179.80M,,,,179.80M,186.93M,260.90M,,2019-09,1.90,,1.90,,2019-09,1.89,,1.89,,2019-09,0.79,,2019-09,AOR,Restated
2019-06,1.760B,1.760B,1.332B,427.90M,,143.70M,-4.50M,,22.40M,-22.40M,,143.70M,284.20M,22.40M,-22.40M,-5.80M,-22.40M,256.00M,62.40M,193.60M,,,,193.60M,197.00M,278.40M,,2019-06,2.05,,2.05,,2019-06,2.04,,2.04,,2019-06,0.79,,2019-06,AOR,Restated
2019-03,1.734B,1.734B,1.312B,421.40M,,140.00M,-4.70M,,24.10M,-24.10M,,140.00M,281.40M,24.10M,-24.10M,-8.00M,-24.10M,249.30M,62.50M,186.80M,,,,186.80M,190.32M,273.40M,,2019-03,1.98,,1.98,,2019-03,1.97,,1.97,,2019-03,0.79,,2019-03,AOR,Restated
2018-12,1.746B,1.746B,1.321B,425.40M,,129.70M,-6.30M,,21.70M,-21.70M,,129.70M,295.70M,21.70M,-21.70M,-9.50M,-21.70M,264.50M,59.90M,204.60M,,,,204.60M,209.47M,286.20M,,2018-12,2.17,,2.17,,2018-12,2.16,,2.16,,2018-12,0.79,,2018-12,AOR,Restated
2018-09,1.810B,1.810B,1.367B,443.20M,,134.20M,-10.90M,,23.90M,-23.90M,,134.20M,309.00M,23.90M,-23.90M,-11.00M,-23.90M,274.10M,67.40M,206.70M,,,,206.70M,214.92M,298.00M,,2018-09,2.19,,2.19,,2018-09,2.18,,2.18,,2018-09,0.79,,2018-09,AOR,Restated
2018-06,1.768B,1.768B,1.347B,420.60M,,137.70M,-11.30M,,23.80M,-23.80M,,137.70M,282.90M,23.80M,-23.80M,-13.80M,-23.80M,245.30M,58.70M,186.60M,,,,186.60M,195.20M,269.10M,,2018-06,1.98,,1.98,,2018-06,1.97,,1.97,,2018-06,0.79,,2018-06,AOR,Restated
2018-03,1.691B,1.691B,1.334B,356.10M,,134.90M,-5.90M,,25.80M,-25.80M,,134.90M,221.20M,25.80M,-25.80M,-8.80M,-25.80M,186.60M,46.50M,140.10M,,,,140.10M,144.53M,212.40M,,2018-03,1.48,,1.48,,2018-03,1.48,,1.48,,2018-03,0.63,,2018-03,AOR,Restated
2017-12,1.684B,1.684B,1.313B,371.40M,,133.00M,15.10M,,27.10M,-27.10M,,133.00M,238.40M,27.10M,-27.10M,12.70M,-27.10M,224.00M,-44.90M,268.90M,,,,268.90M,259.84M,251.10M,,2017-12,2.85,,2.85,,2017-12,2.84,,2.84,,2017-12,0.63,,2017-12,AOR,Restated
2017-09,1.640B,1.640B,1.243B,397.00M,,129.60M,-25.40M,,25.70M,-25.70M,,129.60M,267.40M,25.70M,-25.70M,-24.80M,-25.70M,216.90M,77.80M,139.10M,,,,139.10M,155.38M,242.60M,,2017-09,1.47,,1.47,,2017-09,1.47,,1.47,,2017-09,0.63,,2017-09,AOR,Restated
2017-06,1.584B,1.584B,1.220B,364.30M,,129.60M,-0.40M,,25.50M,-25.50M,,129.60M,234.70M,25.50M,-25.50M,-0.60M,-25.50M,208.60M,65.40M,143.20M,,,,143.20M,143.47M,234.10M,,2017-06,1.52,,1.52,,2017-06,1.52,,1.52,,2017-06,0.63,,2017-06,AOR,Restated
2017-03,1.536B,1.536B,1.198B,338.20M,,127.80M,-5.80M,,24.30M,-24.30M,,127.80M,210.40M,24.30M,-24.30M,-7.00M,-24.30M,179.10M,61.70M,117.40M,,,,117.40M,121.20M,203.40M,,2017-03,1.25,,1.25,,2017-03,1.24,,1.24,,2017-03,0.63,,2017-03,AOR,Restated
