,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,103.20M,,,,-88.80M,-52.20M,48.40M,48.40M,12.60M,-8.30M,-20.60M,,33.00M,69.80M,-38.50M,-47.50M,-6.40M,,69.90M,218.80M,,-13.90M,,-13.90M,14.80M,,-13.70M,-12.80M,,-130.30M,67.20M,-63.10M,-1.10M,1.00M,-0.10M,-53.00M,-53.00M,12.80M,-103.40M,,245.00M,-0.20M,2.80M,,,-1.10M,,97.50M,1.00M,,AOR,
2020-09,104.90M,,,,29.60M,17.40M,47.00M,47.00M,-11.40M,2.00M,7.70M,,2.50M,-56.60M,-8.40M,170.00M,5.00M,,110.00M,261.30M,,-9.30M,,-9.30M,0.00,,5.50M,-3.80M,,-72.50M,-100.20M,-172.70M,0.40M,-1.80M,-1.40M,-52.90M,-52.90M,-0.60M,-227.60M,,208.80M,29.90M,6.30M,245.00M,,0.40M,,-72.50M,-1.80M,,AOR,
2020-06,-6.10M,,,,29.10M,17.40M,46.50M,46.50M,13.90M,29.10M,5.40M,,0.30M,-6.10M,81.20M,-57.90M,4.80M,,22.00M,112.10M,,-18.80M,,-18.80M,0.00,,1.30M,-17.50M,,-12.50M,-319.60M,-332.10M,0.10M,-0.10M,0.00,-52.90M,-52.90M,-11.40M,-396.40M,,505.80M,-301.80M,4.80M,208.80M,,0.10M,0.00,-12.50M,-0.10M,,AOR,
2020-03,45.70M,,,,30.10M,17.40M,47.50M,47.50M,-15.10M,6.60M,7.50M,,7.80M,-7.10M,-34.30M,-64.60M,-3.40M,,-109.40M,10.40M,,-24.20M,,-24.20M,0.00,,6.90M,-17.30M,,-12.50M,352.60M,340.10M,0.60M,-8.20M,-7.60M,-52.70M,-52.70M,-0.80M,279.00M,,247.60M,272.10M,-13.90M,505.80M,,0.60M,0.00,-12.50M,-8.20M,,AOR,
2019-12,86.90M,,,,29.60M,17.60M,47.20M,47.20M,2.10M,3.20M,9.10M,,2.00M,98.40M,5.80M,-0.70M,-2.40M,,101.10M,251.40M,,-40.10M,,-40.10M,-20.80M,,-7.80M,-68.70M,,-12.50M,-115.00M,-127.50M,1.90M,-4.60M,-2.70M,-52.60M,-52.60M,-0.50M,-183.30M,,242.00M,-0.60M,6.20M,247.60M,,1.90M,0.00,-12.50M,-4.60M,,AOR,
2019-09,99.60M,,,,29.50M,18.90M,48.40M,48.40M,-2.40M,2.70M,7.40M,,1.90M,12.80M,14.20M,24.10M,4.10M,,55.20M,212.90M,,-32.50M,,-32.50M,0.00,,3.50M,-29.00M,,-12.60M,-153.80M,-166.40M,0.50M,-2.60M,-2.10M,-52.60M,-52.60M,-0.90M,-222.00M,,289.70M,-38.10M,-9.60M,242.00M,,0.50M,0.00,-12.60M,-2.60M,,AOR,Restated
2019-06,86.30M,,,,29.30M,20.70M,50.00M,50.00M,4.10M,3.30M,8.70M,,1.60M,-40.80M,19.40M,40.00M,-1.60M,,17.00M,172.30M,,-38.70M,,-38.70M,0.00,,-4.60M,-43.30M,,-11.60M,-36.80M,-48.40M,0.40M,-0.70M,-0.30M,-49.80M,-49.80M,-1.80M,-100.30M,,263.30M,28.70M,-2.30M,289.70M,,0.40M,0.00,-11.60M,-0.70M,,AOR,Restated
2019-03,61.10M,,,,29.10M,17.20M,46.30M,46.30M,3.80M,7.60M,7.80M,,-3.30M,-17.40M,13.90M,-86.40M,-2.90M,,-92.80M,31.40M,,-31.80M,,-31.80M,-1.244B,,-1.10M,-1.277B,,992.40M,296.90M,1.289B,6.50M,-8.50M,-2.00M,-49.60M,-49.60M,-1.00M,1.237B,,268.10M,-9.10M,4.30M,263.30M,,6.50M,993.30M,-0.90M,-8.50M,,AOR,Restated
2018-12,53.10M,,-0.50M,-0.80M,26.90M,8.20M,35.10M,35.10M,-6.50M,10.50M,8.90M,,-1.40M,50.40M,-8.50M,36.40M,-2.80M,,75.50M,189.20M,,-37.00M,,-37.00M,-1.30M,,0.80M,-37.50M,,-3.10M,-182.20M,-185.30M,0.50M,-0.20M,0.30M,-49.50M,-49.50M,-10.20M,-244.70M,,363.50M,-93.00M,-2.40M,268.10M,,0.50M,0.00,-3.10M,-0.20M,,AOR,Restated
2018-09,90.00M,,-18.70M,-18.80M,25.90M,7.90M,33.80M,33.80M,0.70M,1.90M,7.40M,,-0.90M,10.10M,7.60M,-14.40M,8.60M,,11.90M,126.50M,,-41.40M,,-41.40M,-17.70M,,-8.80M,-67.90M,,-150.60M,60.10M,-90.50M,3.80M,-4.40M,-0.60M,-49.40M,-49.40M,8.60M,-131.90M,,446.40M,-73.30M,-9.60M,363.50M,,3.80M,0.00,-150.60M,-4.40M,,AOR,Restated
