,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,446.40M,,446.40M,608.90M,1.10M,13.70M,649.80M,320.30M,51.40M,332.20M,634.20M,52.40M,,,1.783B,0.00,42.80M,639.90M,1.257B,,1.940B,-1.230B,709.30M,839.00M,182.50M,1.022B,,,,130.40M,1.861B,3.644B,,450.60M,,,,450.60M,254.40M,705.00M,,,153.70M,,153.70M,,,78.20M,936.90M,1.298B,,1.298B,89.00M,89.00M,,0.40M,191.50M,1.578B,2.515B,,2.00M,2.573B,519.70M,1.917B,,,,-48.70M,1.128B,,AOR,Restated
2018-03,494.60M,,494.60M,577.40M,0.60M,56.50M,658.20M,302.90M,57.30M,307.30M,610.60M,50.70M,,,1.814B,0.00,42.50M,642.30M,1.261B,,1.946B,-1.236B,710.10M,846.80M,191.70M,1.038B,,,,129.70M,1.878B,3.692B,,433.40M,,,,433.40M,297.70M,731.10M,,,154.00M,,154.00M,,,93.00M,978.10M,1.239B,,1.239B,92.70M,92.70M,,0.40M,186.30M,1.518B,2.496B,,2.00M,2.538B,514.60M,1.869B,,,,9.90M,1.196B,,AOR,Restated
2017-12,526.10M,,526.10M,521.40M,0.90M,57.80M,595.10M,283.40M,53.00M,285.60M,571.10M,28.50M,,45.70M,1.766B,0.00,40.60M,626.00M,1.211B,,1.877B,-1.213B,663.90M,822.20M,169.10M,991.30M,38.70M,25.80M,21.40M,28.80M,1.784B,3.551B,,430.30M,47.50M,23.10M,70.60M,571.50M,104.70M,676.20M,3.00M,153.80M,153.80M,,153.80M,12.70M,12.70M,22.10M,976.20M,1.098B,,1.098B,95.30M,112.40M,94.00M,0.60M,17.60M,1.384B,2.36B,,2.00M,2.511B,514.70M,1.828B,,,,-9.50M,1.190B,,AOR,Restated
2017-09,342.90M,,342.90M,553.30M,0.70M,22.80M,585.80M,287.00M,48.30M,266.80M,558.00M,63.00M,,,1.550B,0.00,38.90M,625.50M,1.176B,,1.840B,-1.196B,644.30M,821.40M,171.80M,993.20M,,,,136.50M,1.774B,3.324B,,381.80M,,,,381.80M,264.00M,645.80M,,,153.30M,,153.30M,,,92.40M,891.50M,1.044B,,1.044B,63.00M,63.00M,,0.60M,152.00M,1.259B,2.151B,,2.00M,2.524B,513.90M,1.831B,,,,-36.90M,1.172B,,AOR,Restated
2017-06,335.10M,,335.10M,546.80M,0.30M,26.00M,577.70M,281.40M,50.90M,284.00M,580.00M,47.40M,,,1.540B,0.00,39.10M,610.10M,1.180B,,1.830B,-1.213B,616.20M,816.30M,176.20M,992.50M,,,,132.60M,1.741B,3.282B,,388.30M,,,,388.30M,263.70M,652.00M,,,3.40M,,3.40M,,,86.30M,741.70M,1.184B,,1.184B,57.00M,57.00M,,0.50M,165.70M,1.406B,2.148B,,2.00M,2.490B,504.60M,1.800B,,,,-63.80M,1.133B,,AOR,Restated
2017-03,268.60M,,268.60M,522.50M,0.50M,24.30M,555.40M,257.90M,57.80M,274.70M,556.20M,32.90M,,,1.413B,0.00,38.40M,595.40M,1.141B,,1.775B,-1.186B,588.80M,812.70M,174.60M,987.30M,,,,130.30M,1.706B,3.120B,,387.80M,,,,387.80M,241.70M,629.50M,,,3.40M,,3.40M,,,83.70M,716.60M,1.120B,,1.120B,51.90M,51.90M,,1.40M,165.70M,1.338B,2.054B,,2.00M,2.452B,499.50M,1.793B,,,,-96.20M,1.064B,,AOR,Restated
2016-12,281.90M,,281.90M,449.40M,1.40M,15.00M,486.60M,245.10M,52.60M,255.70M,519.60M,1.30M,,35.50M,1.325B,0.00,37.70M,559.40M,1.134B,,1.731B,-1.165B,565.50M,791.30M,164.90M,956.20M,32.10M,25.10M,23.90M,42.80M,1.659B,2.984B,,351.10M,45.40M,21.20M,76.80M,494.50M,93.70M,588.20M,3.50M,3.60M,3.60M,,3.60M,14.40M,14.40M,27.40M,706.60M,956.20M,,956.20M,69.40M,87.40M,110.80M,2.40M,29.10M,1.184B,1.890B,,2.00M,2.410B,506.20M,1.714B,,,,-113.60M,1.092B,,AOR,Restated
2016-09,317.30M,,317.30M,506.50M,1.90M,24.80M,543.80M,258.20M,46.30M,240.00M,518.60M,,,33.60M,1.413B,0.00,38.50M,549.40M,1.136B,,1.724B,-1.170B,554.10M,800.50M,177.70M,978.20M,,,,124.70M,1.657B,3.070B,,334.90M,,,,334.90M,264.20M,599.10M,,,1.00M,,1.00M,,,86.80M,686.90M,1.055B,,1.055B,53.40M,53.40M,,2.40M,171.00M,1.280B,1.967B,,2.00M,2.376B,501.70M,1.701B,,,,-77.20M,1.101B,,AOR,Restated
2016-06,284.80M,,284.80M,489.00M,1.30M,32.50M,534.70M,252.00M,43.10M,258.80M,523.40M,,,37.20M,1.380B,0.00,39.30M,545.20M,1.124B,,1.709B,-1.156B,553.10M,800.10M,175.20M,975.30M,,,,123.30M,1.652B,3.032B,,339.80M,,,,339.80M,266.90M,606.70M,,,3.60M,,3.60M,,,88.70M,699.00M,1.044B,,1.044B,44.60M,44.60M,,2.30M,178.30M,1.267B,1.966B,,2.00M,2.329B,504.70M,1.695B,,,,-77.00M,1.063B,,AOR,Restated
2016-03,250.20M,,250.20M,474.60M,1.20M,43.90M,531.30M,245.90M,42.70M,255.50M,522.10M,,,38.30M,1.342B,0.00,40.40M,559.80M,1.119B,,1.719B,-1.165B,554.70M,817.00M,180.30M,997.30M,,,,130.50M,1.682B,3.024B,,332.10M,,,,332.10M,256.30M,588.40M,,,3.50M,,3.50M,,,88.10M,680.00M,1.032B,,1.032B,44.10M,44.10M,,12.10M,177.10M,1.253B,1.933B,,2.00M,2.254B,528.10M,1.644B,,,,-61.50M,1.079B,,AOR,Restated
2015-12,253.20M,,253.20M,448.30M,0.40M,38.90M,520.20M,241.80M,42.60M,242.80M,504.60M,33.20M,,,1.311B,0.00,40.00M,548.20M,1.099B,,1.687B,-1.146B,540.80M,806.10M,188.40M,994.50M,27.60M,0.40M,33.30M,44.30M,1.652B,2.964B,,307.20M,43.50M,23.90M,75.10M,449.70M,107.10M,556.80M,4.20M,3.40M,3.40M,,3.40M,12.60M,12.60M,39.00M,701.20M,941.50M,,941.50M,58.50M,76.40M,114.60M,12.10M,32.30M,1.165B,1.866B,,2.00M,2.209B,529.50M,1.564B,,,,-91.10M,1.086B,,AOR,Restated
2015-09,251.20M,,251.20M,486.40M,0.40M,35.90M,529.60M,255.40M,41.60M,252.80M,504.60M,,,94.30M,1.380B,0.00,40.90M,551.60M,1.105B,,1.698B,-1.154B,543.70M,815.40M,200.30M,1.016B,,,,127.10M,1.686B,3.066B,,343.50M,,,,343.50M,312.70M,656.20M,,,3.40M,,3.40M,,,91.40M,751.00M,989.10M,,989.10M,45.80M,45.80M,,11.00M,179.90M,1.215B,1.966B,,2.00M,2.173B,521.20M,1.539B,,,,-68.40M,1.089B,,AOR,Restated
2015-06,275.10M,,275.10M,486.30M,0.30M,37.20M,549.60M,259.10M,44.10M,264.80M,510.80M,,,100.70M,1.436B,0.00,40.10M,552.70M,1.098B,,1.691B,-1.152B,538.60M,822.70M,207.00M,1.030B,,,,139.20M,1.708B,3.144B,,358.60M,,,,358.60M,316.10M,674.70M,,,201.70M,,201.70M,,,87.60M,964.00M,831.70M,,831.70M,50.70M,50.70M,,10.40M,187.30M,1.070B,2.034B,,2.00M,2.123B,513.80M,1.503B,,,,-36.30M,1.100B,,AOR,Restated
