,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2009-12,349.00M,,,-20.00M,599.00M,-722.00M,,116.00M,116.00M,117.00M,,,-757.00M,,,,,,,,-31.00M,,514.00M,,-562.00M,,-562.00M,,,260.00M,-71.00M,-373.00M,,-78.00M,323.00M,245.00M,,,,0.00,0.00,-168.00M,-168.00M,2.00M,79.00M,,130.00M,220.00M,,350.00M,,,26.00M,-292.00M,0.00,304.00M,156.00M,,AOR,Restated
2009-09,488.00M,,,-17.00M,-694.00M,255.00M,,255.00M,255.00M,70.00M,,,488.00M,,,,,,,,-55.00M,,552.00M,,-416.00M,,-416.00M,,,105.00M,102.00M,-209.00M,,-311.00M,-126.00M,-437.00M,,,,0.00,0.00,-169.00M,-169.00M,0.00,-606.00M,,393.00M,-263.00M,,130.00M,,,224.00M,-347.00M,0.00,447.00M,90.00M,,AOR,Restated
2009-06,311.00M,,,-128.00M,-346.00M,260.00M,-29.00M,231.00M,231.00M,120.00M,,,-296.00M,,,,,,,,-620.00M,,-600.00M,,-414.00M,,-414.00M,,,366.00M,3.00M,-45.00M,,-357.00M,333.00M,-24.00M,,,,0.00,0.00,-168.00M,-168.00M,-2.00M,-194.00M,,1.232B,-839.00M,,393.00M,,,0.00,-338.00M,0.00,604.00M,178.00M,,AOR,Restated
2009-03,444.00M,,,-281.00M,-251.00M,207.00M,29.00M,236.00M,236.00M,19.00M,,,14.00M,,,,,,,,927.00M,,1.389B,,-402.00M,,-402.00M,,,236.00M,1.00M,-165.00M,,-124.00M,-19.00M,-143.00M,,,,0.00,0.00,-168.00M,-168.00M,-2.00M,-313.00M,,321.00M,911.00M,,1.232B,,,209.00M,-352.00M,0.00,9.00M,76.00M,,AOR,Restated
2008-12,234.00M,-10.00M,32.00M,-17.00M,-287.00M,,,194.00M,194.00M,70.00M,26.00M,,440.00M,,,,,,,,76.00M,,753.00M,,-534.00M,,-534.00M,,925.00M,16.00M,-723.00M,-316.00M,,-93.00M,-162.00M,-255.00M,,0.00,0.00,,,-163.00M,-163.00M,73.00M,-345.00M,,229.00M,92.00M,,321.00M,,,259.00M,-468.00M,0.00,87.00M,182.00M,,,Restated
2008-09,656.00M,0.00,5.00M,-92.00M,-83.00M,-387.00M,-48.00M,164.00M,164.00M,-89.00M,75.00M,,-337.00M,,,,,,,,583.00M,,969.00M,,-498.00M,,-498.00M,,0.00,-34.00M,775.00M,243.00M,,-61.00M,-738.00M,-799.00M,,-92.00M,-92.00M,,,-164.00M,-164.00M,-11.00M,-1.066B,,84.00M,146.00M,-1.00M,229.00M,,,-738.00M,-61.00M,-92.00M,411.00M,96.00M,,,Restated
2008-06,-150.00M,-1.00M,-16.00M,-6.00M,-37.00M,194.00M,24.00M,218.00M,218.00M,87.00M,,,447.00M,,,,,,,,-985.00M,,-420.00M,,-416.00M,,-416.00M,,,-13.00M,-12.00M,-441.00M,,99.00M,791.00M,890.00M,,,,,,-164.00M,-164.00M,-33.00M,693.00M,,251.00M,-168.00M,1.00M,84.00M,,,1.191B,-301.00M,,321.00M,190.00M,,,Restated
2008-03,448.00M,,-21.00M,-24.00M,-46.00M,193.00M,24.00M,217.00M,217.00M,3.00M,,,21.00M,,,,,,,,400.00M,,1.043B,,-323.00M,,-323.00M,,,64.00M,-2.00M,-261.00M,,-766.00M,63.00M,-703.00M,,,,,,-164.00M,-164.00M,-44.00M,-911.00M,,380.00M,-129.00M,,251.00M,,,363.00M,-1.066B,,133.00M,89.00M,,,Restated
2007-12,225.00M,,,,-259.00M,,,,218.00M,74.00M,,,26.00M,,,,,,,143.00M,143.00M,,379.00M,,-375.00M,0.00,-375.00M,,,,963.00M,588.00M,,,,-850.00M,1.00M,,1.00M,,,,-149.00M,11.00M,-987.00M,,421.00M,-20.00M,-1.00M,381.00M,,1.00M,,,,218.00M,237.00M,,,
2007-09,506.00M,,,,-102.00M,,,,239.00M,-79.00M,,,213.00M,,,,,,,-34.00M,-34.00M,,743.00M,,-314.00M,3.00M,-311.00M,,,,-17.00M,-328.00M,,,,-32.00M,14.00M,,14.00M,,,,-149.00M,2.00M,-165.00M,,170.00M,250.00M,1.00M,421.00M,,14.00M,,,,240.00M,122.00M,,,
2007-06,275.00M,,,,6.00M,,,,219.00M,137.00M,,,-71.00M,,,,,,,-718.00M,-718.00M,,-152.00M,,-384.00M,40.00M,-344.00M,,,,316.00M,-28.00M,,,,-5.00M,35.00M,,35.00M,,,,-148.00M,9.00M,-109.00M,,440.00M,-289.00M,,170.00M,,35.00M,,,,135.00M,230.00M,,,
2007-03,329.00M,,,,-90.00M,,,,221.00M,-13.00M,,,61.00M,,,,,,,440.00M,440.00M,,948.00M,,-275.00M,,-275.00M,,,,42.00M,-233.00M,,,,-271.00M,33.00M,,33.00M,,,,-148.00M,5.00M,-381.00M,,106.00M,334.00M,,440.00M,,33.00M,,,,85.00M,126.00M,,,
2006-12,-47.00M,,,,144.00M,,,,229.00M,-84.00M,,,191.00M,,,,,,,73.00M,73.00M,-19.00M,487.00M,,-267.00M,2.00M,-265.00M,,,,75.00M,-190.00M,,,,-129.00M,27.00M,,27.00M,,,,-144.00M,-203.00M,-449.00M,,292.00M,-152.00M,1.00M,141.00M,,27.00M,,,,74.00M,263.00M,,,
2006-09,374.00M,,,,-173.00M,,,,259.00M,6.00M,,,-114.00M,,,,,,,66.00M,66.00M,228.00M,646.00M,,-275.00M,3.00M,-272.00M,,,-181.00M,171.00M,-282.00M,,,,-71.00M,22.00M,,22.00M,,,,-144.00M,-5.00M,-198.00M,,119.00M,166.00M,0.00,292.00M,,22.00M,,,,116.00M,139.00M,,,
2006-06,209.00M,,,,154.00M,,,,229.00M,-14.00M,,,-42.00M,,,,,,,-420.00M,-420.00M,-228.00M,-112.00M,,-233.00M,,-233.00M,,,181.00M,514.00M,462.00M,,,,-309.00M,17.00M,,17.00M,,,,-143.00M,-6.00M,-441.00M,,218.00M,-91.00M,-1.00M,119.00M,,17.00M,,,,171.00M,237.00M,,,
2006-03,203.00M,,,,,,,,230.00M,3.00M,,,47.00M,,,,,,,427.00M,427.00M,,910.00M,,-240.00M,,-240.00M,,,,7.00M,-233.00M,,,,-605.00M,17.00M,,17.00M,,,,-143.00M,-15.00M,-746.00M,,288.00M,-69.00M,-1.00M,218.00M,,17.00M,,,,25.00M,134.00M,,,
2005-12,205.00M,,,,-213.00M,,,,220.00M,69.00M,,,-176.00M,,,,,,,-216.00M,-216.00M,,67.00M,,-302.00M,223.00M,-79.00M,,,,-247.00M,-11.00M,,,,-315.00M,478.00M,,478.00M,,,,-140.00M,-392.00M,-369.00M,,600.00M,-313.00M,1.00M,288.00M,,478.00M,,,,1.00M,165.00M,,,
2005-09,253.00M,,,,41.00M,,,,231.00M,139.00M,,,45.00M,,,,,,,-369.00M,-369.00M,,340.00M,,-271.00M,6.00M,-265.00M,,,,178.00M,-87.00M,,,,193.00M,18.00M,,18.00M,,,,-134.00M,-14.00M,63.00M,,281.00M,316.00M,3.00M,600.00M,,18.00M,,,,1.00M,187.00M,,,
2005-06,-82.00M,,,,116.00M,,,,198.00M,12.00M,,,-75.00M,,,,,,,-263.00M,-263.00M,,-94.00M,,-283.00M,,-283.00M,,,,136.00M,-147.00M,,,,317.00M,19.00M,,19.00M,,,,-133.00M,-4.00M,199.00M,,324.00M,-42.00M,-1.00M,281.00M,,19.00M,,,,100.00M,259.00M,,,
2005-03,285.00M,,,,-74.00M,,,,212.00M,4.00M,,,37.00M,,,,,,,193.00M,193.00M,,657.00M,,-197.00M,,-197.00M,,,,37.00M,-160.00M,,,,-295.00M,18.00M,,18.00M,,,,-134.00M,-24.00M,-435.00M,,263.00M,62.00M,-1.00M,324.00M,,18.00M,,,,1.00M,172.00M,,,
2004-12,87.00M,,,,-142.00M,,,,211.00M,111.00M,,,-64.00M,,,,,,,149.00M,149.00M,,352.00M,,-360.00M,,-360.00M,,,,-139.00M,-61.00M,,,,-186.00M,20.00M,,20.00M,,,,-131.00M,-36.00M,-333.00M,,316.00M,-42.00M,1.00M,263.00M,,20.00M,,,,9.00M,293.00M,,,
2004-09,244.00M,,,,111.00M,,,,212.00M,22.00M,,,27.00M,,,,,,,-194.00M,-194.00M,,422.00M,,-308.00M,,-308.00M,,,,-89.00M,-397.00M,,,,131.00M,18.00M,,18.00M,,,,-131.00M,19.00M,37.00M,,253.00M,62.00M,1.00M,316.00M,,18.00M,,,,11.00M,102.00M,,,
2004-06,124.00M,,,,-40.00M,,,,179.00M,-33.00M,,,-81.00M,,,,,,,-270.00M,-270.00M,,-121.00M,,-344.00M,,-344.00M,,,,231.00M,-113.00M,,,,131.00M,24.00M,,24.00M,,,,-130.00M,-8.00M,17.00M,,470.00M,-217.00M,0.00,253.00M,,24.00M,,,,83.00M,276.00M,,,
2004-03,271.00M,,,,-12.00M,,,,197.00M,67.00M,,,90.00M,,,,,,,340.00M,340.00M,,953.00M,,-235.00M,,-235.00M,,,,52.00M,-183.00M,,,,-617.00M,21.00M,,21.00M,,,,-130.00M,-25.00M,-751.00M,,452.00M,19.00M,-1.00M,470.00M,,21.00M,,,,1.00M,180.00M,,,
2003-12,139.00M,,,,-376.00M,,,,188.00M,209.00M,,,178.00M,,,,,,,327.00M,327.00M,,665.00M,,-369.00M,,-369.00M,,,,-24.00M,-363.00M,,,,-82.00M,378.00M,,223.00M,,,,-175.00M,33.00M,-1.00M,,149.00M,301.00M,,452.00M,,378.00M,,,,-95.00M,420.00M,,,
2003-09,207.00M,,,,60.00M,,,,185.00M,89.00M,,,131.00M,,,,,,,-426.00M,-426.00M,,246.00M,,-372.00M,,-372.00M,,,,-53.00M,-425.00M,,,,348.00M,21.00M,,21.00M,,,,-122.00M,-34.00M,213.00M,,115.00M,34.00M,,149.00M,,21.00M,,,,-29.00M,164.00M,,,
2003-06,133.00M,,,,44.00M,,,,121.00M,67.00M,,,-16.00M,,,,,,,-408.00M,-408.00M,,-59.00M,,-346.00M,,-346.00M,,,,-24.00M,-370.00M,,,,466.00M,21.00M,,21.00M,,,,-122.00M,-36.00M,329.00M,,214.00M,-100.00M,,115.00M,,21.00M,,,,-2.00M,211.00M,,,
2003-03,681.00M,,,,-272.00M,,,,122.00M,,,,31.00M,,,,,,,79.00M,79.00M,,641.00M,,-315.00M,,-315.00M,,,,-22.00M,-337.00M,,,,-139.00M,21.00M,,21.00M,,,,-122.00M,1.00M,-239.00M,,149.00M,65.00M,,214.00M,,21.00M,,,,147.00M,180.00M,,,
2002-12,235.00M,,,,294.00M,,,,152.00M,58.00M,,,-139.00M,,,,,,,-171.00M,-171.00M,,429.00M,,-239.00M,,-239.00M,,-272.00M,,-146.00M,-259.00M,,,,-652.00M,910.00M,,910.00M,,,,-122.00M,-271.00M,-135.00M,,147.00M,35.00M,-13.00M,171.00M,,910.00M,,,,-43.00M,344.00M,,,
2002-09,204.00M,,,,-297.00M,,,,194.00M,-43.00M,,,-31.00M,,,,,,,295.00M,295.00M,,322.00M,,-421.00M,,-421.00M,,-16.00M,,59.00M,-378.00M,,,,-397.00M,21.00M,,21.00M,,,,-111.00M,444.00M,-43.00M,,246.00M,-99.00M,2.00M,147.00M,,21.00M,,,,-203.00M,354.00M,,,
2002-06,-264.00M,,,,782.00M,,,,177.00M,-170.00M,,,5.00M,,,,,,,-342.00M,-342.00M,,188.00M,,-498.00M,,-498.00M,,,,-119.00M,-617.00M,,,,597.00M,20.00M,,20.00M,,,,-112.00M,-5.00M,500.00M,,175.00M,71.00M,2.00M,246.00M,,20.00M,,,,272.00M,-43.00M,,,
2002-03,60.00M,,,,74.00M,,,,131.00M,16.00M,,,26.00M,,,,,,,41.00M,41.00M,,348.00M,,-391.00M,,-391.00M,,,,-70.00M,-461.00M,,,,214.00M,16.00M,,16.00M,,,,-111.00M,4.00M,123.00M,,169.00M,10.00M,-4.00M,175.00M,,16.00M,,,,119.00M,188.00M,,,
2001-12,194.00M,,,,-165.00M,,,,148.00M,-75.00M,,,-68.00M,,,,,,,245.00M,245.00M,,279.00M,,-433.00M,,-433.00M,,-300.00M,132.00M,-112.00M,-713.00M,,,,479.00M,,357.00M,357.00M,,,,-111.00M,-490.00M,235.00M,,371.00M,-199.00M,,167.00M,,,,,357.00M,-44.00M,157.00M,,,
2001-09,172.00M,,,,97.00M,,,,170.00M,-70.00M,,,-37.00M,-107.00M,,,32.00M,313.00M,,-300.00M,-62.00M,,270.00M,,-689.00M,,-689.00M,,-532.00M,640.00M,-505.00M,-1.086B,,,,905.00M,,0.00,0.00,,,,-112.00M,-30.00M,763.00M,,425.00M,-53.00M,,371.00M,,,,,0.00,-131.00M,233.00M,,,
2001-06,143.00M,,,,-67.00M,,,,144.00M,42.00M,,,191.00M,65.00M,-162.00M,,173.00M,-308.00M,,21.00M,-211.00M,,242.00M,,-633.00M,,-633.00M,,,-582.00M,-174.00M,-1.389B,,,,1.896B,,-208.00M,-208.00M,,,,-113.00M,-201.00M,1.374B,,198.00M,227.00M,,425.00M,,,,,-208.00M,254.00M,215.00M,,,
2001-03,261.00M,,,,,,,,135.00M,-15.00M,,,-154.00M,42.00M,162.00M,,-205.00M,-5.00M,,217.00M,211.00M,,438.00M,,-356.00M,,-356.00M,,,-58.00M,,-414.00M,,,,426.00M,,-240.00M,-240.00M,,,,-112.00M,-2.00M,72.00M,,102.00M,96.00M,,198.00M,,,,,-240.00M,8.00M,108.00M,,,
2000-12,210.00M,,,,169.00M,,,,179.00M,-14.00M,,,,-492.00M,-145.00M,,385.00M,80.00M,-165.00M,,-337.00M,,207.00M,,-385.00M,,-385.00M,,,-67.00M,-2.00M,-454.00M,,,,575.00M,,-226.00M,-226.00M,,,,-116.00M,1.00M,234.00M,,115.00M,-13.00M,,102.00M,,,,,-226.00M,105.00M,196.00M,,,
2000-09,142.00M,,,,-2.00M,,,,92.00M,-60.00M,,,,269.00M,2.00M,,-464.00M,169.00M,85.00M,,61.00M,,233.00M,,-224.00M,,-224.00M,,,-468.00M,-31.00M,-723.00M,,,,587.00M,,0.00,0.00,,,,-114.00M,-1.00M,472.00M,,133.00M,-18.00M,,115.00M,,,,,0.00,57.00M,120.00M,,,
2000-06,142.00M,,,,59.00M,,,,105.00M,34.00M,,,-35.00M,29.00M,-139.00M,,275.00M,-265.00M,-47.00M,-229.00M,-376.00M,,-71.00M,,-201.00M,,-201.00M,,,-6.00M,-8.00M,-215.00M,,,,487.00M,,-72.00M,-72.00M,,,,-117.00M,,298.00M,,121.00M,12.00M,,133.00M,,,,,-72.00M,322.00M,138.00M,,,
2000-03,270.00M,,,,-32.00M,,,,116.00M,29.00M,,,35.00M,-105.00M,137.00M,,64.00M,24.00M,,229.00M,349.00M,,767.00M,,-149.00M,,-149.00M,,,-62.00M,-8.00M,-219.00M,,,,-569.00M,,,,,,,-117.00M,,-686.00M,,259.00M,-138.00M,,121.00M,,,,,,1.00M,96.00M,,,
1999-12,133.00M,,,,-4.00M,,,,150.00M,12.00M,,,114.00M,-109.00M,9.00M,,-117.00M,110.00M,-80.00M,59.00M,-128.00M,,277.00M,,-302.00M,,-302.00M,,,-980.00M,827.00M,-455.00M,,,,552.00M,,-91.00M,-91.00M,,,,-117.00M,10.00M,354.00M,,84.00M,176.00M,,259.00M,,,,,-91.00M,108.00M,149.00M,,,
1999-09,221.00M,,,,-42.00M,,,,148.00M,-21.00M,,,,33.00M,-64.00M,,37.00M,144.00M,-69.00M,-35.00M,46.00M,,352.00M,,-108.00M,,-108.00M,,,,-199.00M,-307.00M,,,,89.00M,,-9.00M,-9.00M,,,,-119.00M,1.00M,-38.00M,,77.00M,7.00M,,84.00M,,,,,-9.00M,119.00M,116.00M,,,
1999-06,181.00M,,,,81.00M,,,,145.00M,-133.00M,,,-9.00M,-86.00M,-54.00M,,288.00M,-268.00M,149.00M,-304.00M,-275.00M,,-10.00M,,-93.00M,,-93.00M,,,2.00M,-679.00M,-770.00M,,,,971.00M,,-65.00M,-65.00M,,,,-118.00M,,788.00M,,69.00M,8.00M,,77.00M,,,,,-65.00M,306.00M,122.00M,,,
1999-03,188.00M,,,,50.00M,,,,185.00M,-73.00M,,,9.00M,-74.00M,118.00M,,-151.00M,22.00M,,339.00M,254.00M,,613.00M,,-79.00M,,-79.00M,,,-2.00M,-19.00M,-100.00M,,,,-229.00M,,-235.00M,-235.00M,,,,-120.00M,,-584.00M,,140.00M,-71.00M,,69.00M,,,,,-235.00M,1.00M,107.00M,,,
1998-12,151.00M,,,,-5.00M,,,,198.00M,-55.00M,,,,118.00M,-46.00M,,-73.00M,174.00M,28.00M,-63.00M,138.00M,,520.00M,,-172.00M,,-172.00M,,,,-3.00M,-267.00M,,,,56.00M,0.00,-116.00M,-116.00M,,,,-123.00M,-9.00M,-192.00M,,78.00M,61.00M,,139.00M,,0.00,,,-116.00M,79.00M,130.00M,,,
1998-09,180.00M,,,,103.00M,,,,188.00M,-9.00M,,,,-158.00M,-59.00M,,133.00M,111.00M,-80.00M,29.00M,-24.00M,,438.00M,,-168.00M,,-168.00M,,,,-22.00M,-190.00M,,,,-187.00M,150.00M,-91.00M,59.00M,,,,-125.00M,-32.00M,-285.00M,,115.00M,-37.00M,,78.00M,,150.00M,,,-91.00M,21.00M,135.00M,,,
1998-06,122.00M,,,,74.00M,,,,210.00M,10.00M,,,,105.00M,-77.00M,,-21.00M,-297.00M,42.00M,-213.00M,-461.00M,,-45.00M,,-110.00M,,-110.00M,,,,-99.00M,-209.00M,,,,268.00M,150.00M,,150.00M,,,,-126.00M,0.00,292.00M,,77.00M,38.00M,,115.00M,,150.00M,,,,276.00M,95.00M,,,
1998-03,191.00M,,,,-66.00M,,,,157.00M,-1.00M,,,,48.00M,136.00M,,-73.00M,,10.00M,184.00M,305.00M,,586.00M,,-81.00M,,-81.00M,,,,-1.00M,-82.00M,,,,-600.00M,225.00M,,225.00M,,,,-125.00M,-10.00M,-510.00M,,83.00M,-6.00M,,77.00M,,225.00M,,,,50.00M,109.00M,,,
1997-12,153.00M,,,,-38.00M,,,,181.00M,,,,,-262.00M,20.00M,,21.00M,,257.00M,,21.00M,,317.00M,,-159.00M,,-159.00M,,,,-526.00M,-685.00M,,,,496.00M,0.00,0.00,0.00,,,,-125.00M,-8.00M,363.00M,,88.00M,-5.00M,,83.00M,,0.00,,,0.00,52.00M,114.00M,,,
1997-09,176.00M,,,,7.00M,,,,170.00M,,,,,25.00M,-100.00M,,72.00M,,129.00M,,126.00M,,479.00M,,-154.00M,,-154.00M,,,,-77.00M,-231.00M,,,,-83.00M,0.00,0.00,0.00,,,,-125.00M,-6.00M,-214.00M,,54.00M,34.00M,,88.00M,,0.00,,,0.00,34.00M,115.00M,,,
1997-06,91.00M,,,,58.00M,,,,172.00M,,,,,127.00M,-89.00M,,-20.00M,,-327.00M,-232.00M,-541.00M,,-220.00M,,-122.00M,,-122.00M,,,,-376.00M,-498.00M,,,,624.00M,95.00M,-75.00M,20.00M,,,,-126.00M,-97.00M,421.00M,,351.00M,-297.00M,,54.00M,,95.00M,,,-75.00M,81.00M,113.00M,,,
1997-03,140.00M,,,,-3.00M,,,,167.00M,,,,,15.00M,178.00M,,-84.00M,,-126.00M,232.00M,215.00M,,519.00M,,-107.00M,,-107.00M,,,,-93.00M,-200.00M,,,,-153.00M,,-62.00M,-62.00M,,,,-125.00M,93.00M,-247.00M,,279.00M,72.00M,,351.00M,,,,,-62.00M,3.00M,74.00M,,,
1996-12,128.00M,,,,52.00M,,,,168.00M,40.00M,,,,-227.00M,-7.00M,,98.00M,,5.00M,100.00M,-31.00M,,357.00M,,-158.00M,,-158.00M,,,,332.00M,174.00M,,,,-376.00M,,-202.00M,6.00M,,,,-128.00M,-208.00M,-706.00M,,454.00M,-175.00M,,279.00M,,,,,-202.00M,45.00M,110.00M,,,
1996-09,155.00M,,,,-2.00M,,,,169.00M,-19.00M,,,,68.00M,-117.00M,,12.00M,,73.00M,196.00M,232.00M,,535.00M,,-210.00M,,-210.00M,,,,308.00M,98.00M,,,,4.00M,,-105.00M,-105.00M,,,,-131.00M,-1.00M,-233.00M,,55.00M,400.00M,,454.00M,,,,,-105.00M,28.00M,81.00M,,,
1996-06,135.00M,,,,26.00M,,,,169.00M,20.00M,,,-1.00M,201.00M,-102.00M,,-22.00M,,33.00M,-556.00M,-446.00M,-10.00M,-107.00M,,-122.00M,,-122.00M,,,,-27.00M,-149.00M,,,,-93.00M,,-212.00M,-212.00M,,,,-132.00M,202.00M,-235.00M,,545.00M,-491.00M,,55.00M,,,,,-212.00M,-26.00M,265.00M,,,
1996-03,194.00M,,,,-46.00M,,,,161.00M,24.00M,,,1.00M,-54.00M,162.00M,,-28.00M,,,261.00M,341.00M,10.00M,685.00M,,-96.00M,,-96.00M,,,,-36.00M,-132.00M,,,,62.00M,,,,,,,-132.00M,,-70.00M,,62.00M,483.00M,,545.00M,,,,,,110.00M,7.00M,,,
1995-12,151.90M,,,,5.70M,,,,,24.40M,,,166.90M,-284.90M,58.40M,,156.70M,,4.50M,128.30M,63.00M,,411.90M,,-174.80M,,-174.80M,,,,-12.60M,-187.40M,,,,-35.20M,,,,,,,-132.10M,0.00,-227.30M,,64.80M,-2.80M,,62.00M,,,,,,31.20M,157.60M,,,
1995-09,186.80M,,,,-65.90M,,,,,48.80M,,,163.40M,-34.60M,-50.20M,,-12.90M,,202.60M,150.50M,255.40M,-47.40M,541.10M,,-162.40M,,-162.40M,,,,-94.70M,-257.10M,,,,-213.30M,,,,,,,-132.10M,51.30M,-294.10M,,74.90M,-10.10M,,64.80M,,,,,,29.10M,93.50M,,,
1995-06,110.70M,,,,44.40M,,,,,44.20M,,,154.40M,151.60M,-89.20M,,32.50M,,-43.50M,-569.70M,-518.30M,47.40M,-117.20M,,-163.40M,,-163.40M,,,,-162.70M,-326.10M,,,,514.80M,,,,,,,-132.20M,6.80M,389.40M,,131.10M,-53.90M,,74.90M,,,,,,110.00M,135.80M,,,
1995-03,212.60M,,,,-49.20M,,,,,16.50M,,,187.30M,-1.20M,99.60M,,-60.30M,,20.40M,273.40M,331.90M,,699.10M,,-149.30M,,-149.30M,,,,-15.40M,-164.70M,,,,-339.10M,,,,,,,-132.10M,0.10M,-471.10M,,67.90M,63.30M,,131.10M,,,,,,15.10M,94.40M,,,
1994-12,131.80M,,,,19.20M,,,,,-7.70M,,,187.70M,-178.70M,49.30M,,101.10M,,43.30M,126.30M,141.30M,,472.30M,,-330.40M,,-330.40M,,,,-7.20M,-279.20M,,,,-167.20M,150.00M,-75.00M,75.00M,,,,-132.20M,22.90M,-201.50M,,76.30M,-8.40M,,67.90M,,150.00M,,,-75.00M,306.50M,-151.40M,,,
1994-09,187.20M,,,,-61.70M,,,,,47.60M,,,186.10M,74.60M,-75.90M,,-37.30M,,-5.70M,150.00M,105.70M,,464.90M,,-215.60M,,-215.60M,,,,-1.90M,-217.50M,,,,-224.30M,0.00,0.00,0.00,,,,-132.10M,5.30M,-351.10M,,179.90M,-103.70M,,76.30M,,0.00,,,0.00,31.80M,94.50M,,,
1994-06,129.90M,,,,-49.30M,,,,,53.80M,,,177.90M,188.70M,-107.90M,,-16.80M,,-9.40M,-817.30M,-762.70M,,-450.40M,,-247.90M,,-247.90M,,,,-59.80M,-307.70M,,,,712.40M,0.00,0.00,0.00,,,,-132.10M,-5.40M,574.90M,,363.20M,-183.20M,,179.90M,,0.00,,,0.00,91.30M,122.60M,,,
1994-03,230.10M,,,,-84.10M,,,,,45.20M,,,177.50M,-0.20M,175.70M,,-132.80M,,51.40M,282.20M,376.30M,,745.00M,,-204.80M,,-204.80M,,,,6.70M,-198.10M,,,,-180.80M,103.50M,-45.00M,58.50M,,,,-131.70M,-1.10M,-255.10M,,71.40M,291.80M,,363.20M,,103.50M,,,-45.00M,3.30M,89.40M,,,
