,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-12,956.00M,110.00M,,22.00M,132.00M,312.00M,,312.00M,312.00M,-394.00M,,,-159.00M,1.00M,,-154.00M,-99.00M,,,-68.00M,-320.00M,,527.00M,,-1.171B,,-1.144B,-27.00M,,-5.00M,24.00M,-1.152B,,550.00M,340.00M,890.00M,,,,,,-218.00M,-218.00M,-12.00M,660.00M,,280.00M,35.00M,,315.00M,,,1.05B,-500.00M,,,116.00M,,AOR,Restated
2017-09,395.00M,25.00M,,22.00M,47.00M,303.00M,,303.00M,303.00M,136.00M,,,7.00M,-5.00M,,5.00M,100.00M,,,-10.00M,90.00M,,978.00M,,-1.126B,,-1.065B,-61.00M,,-1.00M,12.00M,-1.115B,,0.00,202.00M,202.00M,,,,,,-217.00M,-217.00M,0.00,-15.00M,,432.00M,-152.00M,,280.00M,,,0.00,0.00,,,72.00M,,AOR,Restated
2017-06,109.00M,-59.00M,,22.00M,-37.00M,688.00M,,688.00M,688.00M,176.00M,,,-28.00M,0.00,,63.00M,-128.00M,,,-285.00M,-350.00M,,558.00M,,-933.00M,,-919.00M,-14.00M,,-6.00M,29.00M,-910.00M,,1.125B,-315.00M,810.00M,,,,,,-217.00M,-217.00M,-6.00M,587.00M,,197.00M,235.00M,,432.00M,,,1.125B,,,,112.00M,,AOR,Restated
2017-03,114.00M,4.00M,,23.00M,27.00M,882.00M,,882.00M,882.00M,-85.00M,,,-52.00M,69.00M,,-4.00M,143.00M,,,103.00M,311.00M,,1.197B,,-1.077B,,-1.062B,-15.00M,,-9.00M,7.00M,-1.079B,,,-73.00M,-73.00M,,,,,,-218.00M,-218.00M,-56.00M,-347.00M,,426.00M,-229.00M,,197.00M,,,,,,,77.00M,,AOR,Restated
2016-12,-98.00M,79.00M,,32.00M,111.00M,846.00M,,846.00M,846.00M,29.00M,,0.00,-70.00M,21.00M,,-72.00M,-199.00M,,,-16.00M,-266.00M,,552.00M,,-1.236B,,-1.214B,-22.00M,,-7.00M,49.00M,-1.194B,,700.00M,133.00M,833.00M,,,,,,-208.00M,-208.00M,-8.00M,617.00M,,450.00M,-25.00M,,426.00M,,,700.00M,0.00,,,113.00M,,AOR,Restated
2016-09,327.00M,19.00M,,32.00M,51.00M,280.00M,,280.00M,280.00M,111.00M,,102.00M,93.00M,-19.00M,,42.00M,108.00M,,,-56.00M,75.00M,,1.039B,,-1.055B,,-1.014B,-41.00M,,-10.00M,15.00M,-1.05B,,-228.00M,255.00M,27.00M,,,,,,-207.00M,-207.00M,-7.00M,-187.00M,,648.00M,-198.00M,,450.00M,,,425.00M,-653.00M,,,76.00M,,AOR,Restated
2016-06,187.00M,169.00M,,31.00M,200.00M,271.00M,,271.00M,271.00M,152.00M,,,-43.00M,0.00,,-42.00M,-50.00M,,,-167.00M,-259.00M,,508.00M,,-926.00M,,-906.00M,-20.00M,,-10.00M,13.00M,-923.00M,,700.00M,-12.00M,688.00M,,,,,,-208.00M,-208.00M,-9.00M,471.00M,,592.00M,56.00M,,648.00M,,,700.00M,0.00,,,110.00M,,AOR,Restated
2016-03,471.00M,-18.00M,,32.00M,14.00M,282.00M,,282.00M,282.00M,182.00M,,,-98.00M,301.00M,,-4.00M,144.00M,,,-78.00M,363.00M,,1.214B,,-1.081B,,-1.065B,-16.00M,,-5.00M,5.00M,-1.081B,,679.00M,-352.00M,327.00M,,,,,,-207.00M,-207.00M,-55.00M,65.00M,,394.00M,198.00M,,592.00M,,,850.00M,-171.00M,,,66.00M,,AOR,Restated
2015-12,309.00M,-92.00M,,40.00M,-52.00M,305.00M,,305.00M,305.00M,455.00M,,0.00,13.00M,-300.00M,,-20.00M,-218.00M,,,199.00M,-339.00M,,691.00M,,-1.187B,,-1.081B,,,-8.00M,94.00M,-1.101B,,382.00M,344.00M,726.00M,,,,,,-197.00M,-197.00M,4.00M,533.00M,,271.00M,123.00M,,394.00M,,,750.00M,-368.00M,,155.00M,116.00M,,AOR,Restated
2015-09,439.00M,-59.00M,,40.00M,-19.00M,369.00M,,369.00M,369.00M,60.00M,,0.00,2.00M,18.00M,,73.00M,56.00M,,,-4.00M,143.00M,,994.00M,,-1.039B,,-1.039B,,,-10.00M,-19.00M,-1.068B,,-66.00M,20.00M,-46.00M,,,,,,-198.00M,-198.00M,-8.00M,-252.00M,,597.00M,-326.00M,,271.00M,,,0.00,-66.00M,,108.00M,70.00M,,AOR,Restated
