,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,2.37B,2.37B,1.542B,828.00M,,122.00M,,149.00M,,-149.00M,,317.00M,511.00M,,149.00M,-149.00M,334.00M,-149.00M,696.00M,121.00M,575.00M,,,,575.00M,385.81M,1.213B,368.00M,845.00M,,1.15,,,,0.7746,1.15,,1.14,,,,0.7668,1.14,,504.00M,507.00M,0.49,,AOR,
2020-06,2.05B,2.05B,1.328B,722.00M,,0.00,,131.00M,18.00M,-113.00M,,315.00M,407.00M,18.00M,131.00M,-113.00M,266.00M,-113.00M,560.00M,109.00M,451.00M,,,,451.00M,289.12M,1.052B,361.00M,691.00M,,0.89,,,,0.5688,0.89,,0.89,,,,0.5707,0.89,,504.00M,507.00M,0.49,,AOR,
2020-03,2.781B,2.781B,1.66B,1.121B,,,,153.00M,,-153.00M,,324.00M,797.00M,,153.00M,-153.00M,-152.00M,-153.00M,492.00M,44.00M,448.00M,,,,448.00M,649.24M,1.016B,371.00M,645.00M,,0.89,,,,1.289,0.89,,0.88,,,,1.277,0.88,,504.00M,507.00M,0.49,,AOR,
2019-12,2.478B,2.478B,1.651B,827.00M,,48.00M,,152.00M,,-136.00M,,320.00M,507.00M,,152.00M,-136.00M,164.00M,-136.00M,535.00M,98.00M,437.00M,,,,437.00M,272.82M,1.048B,361.00M,687.00M,,0.86,,,,0.5342,0.86,,0.86,,,,0.5362,0.86,,504.00M,507.00M,0.47,,AOR,
2019-09,2.302B,2.302B,1.498B,804.00M,,-7.00M,,147.00M,,-147.00M,,307.00M,497.00M,,147.00M,-147.00M,83.00M,-147.00M,433.00M,30.00M,403.00M,,,,403.00M,412.31M,935.00M,355.00M,580.00M,,0.80,,,,0.8185,0.80,,0.79,,,,0.8084,0.79,,504.00M,507.00M,0.47,,AOR,Restated
2019-06,2.316B,2.316B,1.454B,862.00M,,-395.00M,,123.00M,20.00M,-103.00M,,307.00M,555.00M,20.00M,123.00M,-103.00M,-319.00M,-103.00M,133.00M,-20.00M,153.00M,,,,153.00M,412.88M,605.00M,349.00M,256.00M,,0.30,,,,0.8156,0.30,,0.30,,,,0.8126,0.30,,504.00M,507.00M,0.47,,AOR,Restated
2019-03,2.98B,2.98B,1.88B,1.10B,,,,133.00M,,-133.00M,,314.00M,786.00M,,133.00M,-133.00M,196.00M,-133.00M,849.00M,149.00M,700.00M,,,,700.00M,594.46M,1.343B,361.00M,982.00M,,1.39,,,,1.181,1.39,,1.38,,,,1.172,1.38,,504.00M,507.00M,0.47,,AOR,Restated
2018-12,2.468B,2.468B,1.717B,751.00M,,91.00M,,135.00M,,-117.00M,,304.00M,447.00M,,135.00M,-117.00M,-130.00M,-117.00M,200.00M,1.00M,199.00M,,,,199.00M,229.84M,683.00M,348.00M,335.00M,,0.39,,,,0.4512,0.39,,0.39,,,,0.4508,0.39,,504.00M,507.00M,0.45,,AOR,Restated
2018-09,2.394B,2.394B,1.546B,848.00M,,0.00,,127.00M,,-127.00M,,294.00M,554.00M,,127.00M,-127.00M,102.00M,-127.00M,529.00M,117.00M,412.00M,,,,412.00M,376.95M,998.00M,342.00M,656.00M,,0.82,,,,0.7505,0.82,,0.81,,,,0.7409,0.81,,504.00M,507.00M,0.45,,AOR,Restated
2018-06,2.016B,2.016B,1.325B,691.00M,,13.00M,,111.00M,20.00M,-91.00M,,280.00M,411.00M,20.00M,111.00M,-91.00M,46.00M,-91.00M,366.00M,97.00M,269.00M,,,,269.00M,253.56M,802.00M,325.00M,477.00M,,0.53,,,,0.4994,0.53,,0.53,,,,0.4996,0.53,,504.00M,507.00M,0.45,,AOR,Restated
2018-03,2.818B,2.818B,1.706B,1.112B,,14.00M,,103.00M,4.00M,-99.00M,,280.00M,832.00M,4.00M,103.00M,-99.00M,27.00M,-99.00M,760.00M,202.00M,558.00M,,,,558.00M,555.06M,1.193B,330.00M,863.00M,,1.11,,,,1.104,1.11,,1.10,,,,1.094,1.10,,504.00M,507.00M,0.45,,AOR,Restated
2017-12,2.107B,2.107B,1.479B,628.00M,,-14.00M,,102.00M,5.00M,-97.00M,,265.00M,363.00M,5.00M,102.00M,-97.00M,44.00M,-97.00M,310.00M,-646.00M,956.00M,,,,956.00M,878.00M,724.00M,312.00M,412.00M,,1.88,,,,1.726,1.88,,1.88,,,,1.726,1.88,,505.00M,507.00M,0.43,,AOR,Restated
2017-09,2.254B,2.254B,1.309B,945.00M,,14.00M,,100.00M,6.00M,-94.00M,,252.00M,693.00M,6.00M,100.00M,-94.00M,48.00M,-94.00M,647.00M,252.00M,395.00M,,,,395.00M,379.11M,1.05B,303.00M,747.00M,,0.78,,,,0.7485,0.78,,0.78,,,,0.7487,0.78,,505.00M,507.00M,0.43,,AOR,Restated
