,OperatingRevenue,Revenue,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.553B,2.553B,1.704B,0.00,26.80M,-26.80M,-2.00M,1.702B,26.80M,-26.80M,,-26.80M,183.40M,44.40M,139.00M,,0.20M,4.70M,139.20M,139.20M,,210.20M,,2.27,,,2.27,2.27,,2.23,,,2.23,2.23,,59.31M,62.40M,0.66,,AOR,
2020-09,2.500B,2.500B,,-137.80M,25.50M,-25.50M,-2.10M,-139.90M,25.50M,-25.50M,,-25.50M,-4.10M,26.40M,-30.50M,,0.30M,4.70M,-30.20M,70.39M,40.10M,21.40M,,-0.58,,,1.091,-0.58,,-0.58,,,1.091,-0.58,,60.19M,60.19M,0.63,,AOR,
2020-06,2.469B,2.469B,,,26.70M,-26.70M,-2.40M,-2.40M,26.70M,-26.70M,,-26.70M,226.80M,48.40M,178.40M,,-0.30M,4.60M,178.10M,178.10M,31.50M,253.50M,,2.87,,,2.87,2.87,,2.81,,,2.81,2.81,,60.36M,63.35M,0.63,,AOR,
2020-03,2.561B,2.561B,,,25.50M,-25.50M,-4.20M,-4.20M,25.50M,-25.50M,,-25.50M,109.20M,-46.60M,155.80M,,-1.10M,4.70M,154.70M,154.70M,33.50M,134.70M,,2.48,,,2.48,2.48,,2.43,,,2.43,2.43,,60.60M,63.63M,0.63,,AOR,
2019-12,2.609B,2.609B,,0.00,25.40M,-25.40M,2.60M,2.60M,25.40M,-25.40M,,-25.40M,178.80M,50.00M,128.80M,,-1.20M,4.70M,127.60M,127.60M,38.40M,204.20M,,2.01,,,2.01,2.01,,1.98,,,1.98,1.98,,61.16M,61.87M,0.63,,AOR,
2019-09,2.495B,2.495B,,-31.40M,32.20M,-32.20M,-4.40M,-35.80M,32.20M,-32.20M,,-32.20M,-24.60M,28.60M,-53.20M,,-1.60M,4.70M,-54.80M,-31.88M,27.30M,7.60M,,-0.96,,,-0.5891,-0.96,,-0.96,,,-0.5891,-0.96,,61.80M,61.80M,0.60,,AOR,Restated
2019-06,2.541B,2.541B,,,26.50M,-26.50M,-4.70M,-4.70M,26.50M,-26.50M,,-26.50M,183.30M,40.70M,142.60M,,1.50M,4.60M,144.10M,144.10M,30.40M,209.80M,,2.24,,,2.24,2.24,,2.21,,,2.21,2.21,,62.22M,65.29M,0.60,,AOR,Restated
2019-03,2.428B,2.428B,,,26.50M,-26.50M,-7.80M,-7.80M,26.50M,-26.50M,,-26.50M,217.00M,48.40M,168.60M,,-2.90M,4.70M,165.70M,165.70M,29.70M,243.50M,,2.57,,,2.57,2.57,,2.52,,,2.52,2.52,,62.59M,65.78M,0.60,,AOR,Restated
2018-12,2.306B,2.306B,,0.00,26.30M,-26.30M,-10.70M,-10.70M,26.30M,-26.30M,,-26.30M,42.90M,16.30M,26.60M,,-1.60M,4.70M,25.00M,25.00M,36.30M,69.20M,,0.32,,,0.32,0.32,,0.32,,,0.32,0.32,,62.99M,63.60M,0.60,,AOR,Restated
2018-09,2.258B,2.258B,,0.00,26.50M,-26.50M,-12.70M,-12.70M,26.50M,-26.50M,,-26.50M,75.80M,22.80M,53.00M,,0.00,4.70M,53.00M,53.00M,35.70M,102.30M,,0.76,,,0.76,0.76,,0.76,,,0.76,0.76,,63.62M,63.80M,0.56,,AOR,Restated
2018-06,1.817B,1.817B,,,26.00M,-26.00M,-15.00M,-15.00M,26.00M,-26.00M,,-26.00M,78.30M,11.30M,67.00M,,0.00,4.80M,67.00M,67.00M,24.90M,104.30M,,1.09,,,1.09,1.09,,1.09,,,1.09,1.09,,57.06M,57.26M,0.56,,AOR,Restated
2018-03,1.620B,1.620B,,,21.50M,-21.50M,-18.50M,-18.50M,21.50M,-21.50M,,-21.50M,136.50M,30.50M,106.00M,,0.00,,106.00M,106.00M,30.00M,158.00M,,1.99,,,1.99,1.99,,1.96,,,1.96,1.96,,53.17M,54.19M,0.56,,AOR,Restated
2017-12,1.656B,1.656B,,,12.30M,-12.30M,-20.40M,-20.40M,12.30M,-12.30M,,-12.30M,158.30M,-154.60M,312.90M,,,,312.90M,312.90M,,170.60M,,5.79,,,5.79,5.79,,5.76,,,5.76,5.76,,54.66M,55.02M,0.56,,AOR,Restated
2017-09,1.563B,1.563B,,,12.20M,-12.20M,-23.10M,-23.10M,12.20M,-12.20M,,-12.20M,-107.60M,-50.30M,-57.30M,,,,-57.30M,-57.30M,,-95.40M,,-1.05,,,-1.05,-1.05,,-1.05,,,-1.05,-1.05,,54.52M,54.52M,0.53,,AOR,Restated
2017-06,1.577B,1.577B,,,12.40M,-12.40M,-23.40M,-23.40M,12.40M,-12.40M,,-12.40M,178.70M,58.50M,120.20M,,,,120.20M,120.20M,,191.10M,,2.18,,,2.18,2.18,,2.16,,,2.16,2.16,,55.23M,55.51M,0.53,,AOR,Restated
2017-03,1.514B,1.514B,,,12.60M,-12.60M,-37.00M,-37.00M,12.60M,-12.60M,,-12.60M,215.10M,71.30M,143.80M,,,,143.80M,143.80M,,227.70M,,2.56,,,2.56,2.56,,2.53,,,2.53,2.53,,56.20M,56.76M,0.53,,AOR,Restated
2016-12,1.667B,1.667B,,-23.00M,13.90M,-13.90M,-85.30M,-108.30M,13.90M,-13.90M,,-13.90M,54.60M,23.30M,31.30M,,,,31.30M,45.10M,,68.50M,,0.54,,,0.7801,0.54,,0.54,,,0.7761,0.54,,57.48M,58.46M,0.53,,AOR,Restated
2016-09,1.698B,1.698B,,0.00,14.00M,-14.00M,-135.80M,-135.80M,14.00M,-14.00M,,-14.00M,220.90M,76.50M,144.40M,,,,144.40M,144.40M,,234.90M,,2.40,,,2.40,2.40,,2.37,,,2.37,2.37,,60.26M,60.83M,0.50,,AOR,Restated
2016-06,1.672B,1.672B,,0.00,15.20M,-15.20M,-125.80M,-125.80M,15.20M,-15.20M,,-15.20M,235.50M,66.20M,169.30M,,,,169.30M,169.30M,,250.70M,,2.72,,,2.72,2.72,,2.70,,,2.70,2.70,,62.24M,62.72M,0.50,,AOR,Restated
2016-03,2.070B,2.070B,,29.60M,14.50M,-14.50M,-47.60M,-18.00M,14.50M,-14.50M,,-14.50M,337.60M,117.20M,220.40M,,,,220.40M,201.08M,,352.10M,,3.38,,,3.083,3.38,,3.34,,,3.047,3.34,,65.09M,65.92M,0.50,,AOR,Restated
2015-12,2.545B,2.545B,,,13.76M,-13.76M,-3.257M,-3.257M,13.76M,-13.76M,,-13.76M,110.23M,44.44M,65.79M,,,,65.79M,65.79M,,124.00M,,0.99,,,0.99,0.99,,0.97,,,0.97,0.97,,66.72M,68.04M,0.50,,AOR,Restated
2015-09,2.531B,2.531B,,,13.78M,-13.78M,-3.243M,-3.243M,13.78M,-13.78M,,-13.78M,-32.25M,-25.23M,-7.022M,,,,-7.022M,-7.022M,,-18.47M,,-0.10,,,-0.10,-0.10,,-0.10,,,-0.10,-0.10,,67.63M,67.63M,0.30,,AOR,Restated
2015-06,2.642B,2.642B,,0.00,13.78M,-13.78M,-3.242M,-3.242M,13.78M,-13.78M,,-13.78M,40.02M,7.236M,32.79M,,,,32.79M,32.79M,,53.80M,,0.48,,,0.48,0.48,,0.47,,,0.47,0.47,,68.56M,69.24M,0.30,,AOR,Restated
2015-03,2.595B,2.595B,,0.00,13.78M,-13.78M,-3.258M,-3.258M,13.78M,-13.78M,,-13.78M,83.19M,33.15M,50.04M,,,,50.04M,50.04M,,96.97M,,0.72,,,0.72,0.72,,0.71,,,0.71,0.71,,69.77M,70.76M,0.27,,AOR,Restated
2014-12,2.635B,2.635B,,,13.78M,-13.78M,12.46M,12.46M,13.78M,-13.78M,,-13.78M,90.35M,40.59M,49.76M,,,,49.76M,49.76M,,104.12M,,0.70,,,0.70,0.70,,0.69,,,0.69,0.69,,71.04M,72.33M,0.27,,AOR,Restated
2014-09,2.699B,2.699B,,,13.78M,-13.78M,-3.645M,-3.645M,13.78M,-13.78M,,-13.78M,224.75M,84.45M,140.30M,,,,140.30M,140.30M,,238.53M,,1.94,,,1.94,1.94,,1.92,,,1.92,1.92,,72.18M,73.05M,0.27,,AOR,Restated
2014-06,2.604B,2.604B,,,13.78M,-13.78M,-3.644M,-3.644M,13.78M,-13.78M,,-13.78M,193.79M,50.18M,143.61M,,,,143.61M,143.61M,,207.56M,,1.98,,,1.98,1.98,,1.95,,,1.95,1.95,,72.66M,73.54M,0.27,,AOR,Restated
2014-03,2.445B,2.445B,,,17.06M,-17.06M,-3.66M,-3.66M,17.06M,-17.06M,,-17.06M,235.25M,98.01M,137.24M,,,,137.24M,137.24M,,252.32M,,1.88,,,1.88,1.88,,1.86,,,1.86,1.86,,72.85M,73.87M,0.25,,AOR,Restated
2013-12,2.397B,2.397B,,,20.37M,-20.37M,-4.072M,-4.072M,20.37M,-20.37M,,-20.37M,178.54M,69.72M,108.82M,,,,108.82M,108.82M,,198.90M,,1.48,,,1.48,1.48,,1.46,,,1.46,1.46,,73.61M,74.93M,0.25,,AOR,Restated
