,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,,,9.840B,,9.840B,9.840B,,2.589B,1.156B,3.746B,,0.00,,7.140B,44.65B,,16.95B,,,16.95B,16.95B,,,,,,16.95B,2.253B,,2.253B,,,,,,,17.31B,3.40M,,19.56B,38.70B,,,5.242B,,,,709.80M,5.951B,,AOR,
2020-09,2.203B,13.34B,15.55B,11.37B,,11.37B,26.92B,468.40M,2.326B,1.922B,4.247B,771.10M,13.73B,,19.76B,43.58B,,6.243B,,,6.243B,6.243B,,,,,,6.243B,2.009B,,2.009B,,,,361.20M,,,17.12B,3.60M,,19.49B,37.64B,,4.50M,6.126B,4.568B,5.420B,2.90M,658.20M,5.936B,,AOR,
2020-06,2.138B,12.85B,14.98B,11.06B,,11.06B,26.04B,450.10M,2.441B,2.122B,4.563B,790.10M,14.89B,,21.41B,44.23B,,5.925B,,,5.925B,5.925B,200.00M,200.00M,200.00M,,,6.125B,2.008B,,2.008B,,,,346.80M,,,16.56B,16.70M,,18.91B,38.25B,,4.50M,6.194B,4.550B,5.350B,2.90M,568.90M,5.968B,,AOR,
2020-03,2.000B,11.89B,13.89B,11.18B,,11.18B,25.07B,438.10M,2.336B,2.274B,4.610B,795.10M,14.18B,,20.79B,43.42B,,5.863B,,,5.863B,5.863B,200.00M,200.00M,200.00M,,,6.063B,2.008B,,2.008B,,,,352.60M,,,16.67B,16.20M,,19.03B,38.04B,,4.50M,6.061B,4.541B,5.325B,2.90M,88.40M,5.37B,,AOR,
2019-12,1.867B,12.72B,14.59B,11.23B,75.20M,11.29B,25.88B,433.70M,2.343B,2.544B,4.888B,815.00M,15.13B,,21.86B,44.29B,,6.345B,,,6.345B,6.345B,,,,,,6.345B,2.007B,,2.007B,,,,319.40M,,,16.60B,29.30M,,18.93B,38.61B,,4.50M,5.966B,4.538B,5.267B,2.90M,411.50M,5.653B,,AOR,
2019-09,1.749B,12.69B,14.44B,11.28B,,11.28B,25.71B,418.80M,2.331B,2.810B,5.141B,804.60M,15.17B,,22.04B,43.75B,,6.365B,,,6.365B,6.365B,,,,,,6.365B,2.006B,,2.006B,,,,287.90M,,,16.38B,31.80M,,18.68B,38.06B,,4.50M,5.883B,4.524B,5.158B,2.90M,405.20M,5.659B,,AOR,Restated
2019-06,1.490B,12.59B,14.08B,10.91B,,10.91B,24.98B,419.20M,2.338B,3.119B,5.457B,783.10M,15.07B,,22.35B,43.14B,,6.090B,,,6.090B,6.090B,,,,,,6.090B,2.007B,,2.007B,,,,308.00M,,,15.93B,30.10M,,18.25B,37.38B,,4.50M,5.981B,4.509B,5.093B,2.90M,328.70M,5.730B,,AOR,Restated
2019-03,1.274B,12.18B,13.45B,10.76B,,10.77B,24.22B,409.80M,2.331B,3.465B,5.796B,758.10M,14.62B,,22.23B,42.24B,,5.868B,,,5.868B,5.868B,,,,,,5.868B,2.007B,,2.007B,,45.40M,45.40M,294.00M,,,15.64B,31.10M,,17.98B,36.77B,,4.50M,5.880B,4.496B,5.043B,2.90M,103.40M,5.441B,,AOR,Restated
2018-12,1.254B,11.63B,12.88B,10.74B,80.60M,10.81B,23.69B,392.50M,2.322B,3.780B,6.102B,759.60M,13.69B,,21.55B,41.09B,,5.724B,,,5.724B,5.724B,,,,,,5.724B,2.006B,,2.006B,,,,272.00M,,,15.65B,21.90M,,17.93B,35.96B,,4.50M,5.760B,4.496B,4.992B,2.90M,-155.40M,5.112B,,AOR,Restated
2018-09,1.307B,11.72B,13.03B,12.86B,,12.90B,25.93B,381.70M,2.312B,4.548B,6.861B,757.90M,13.71B,,22.29B,43.44B,,6.596B,,,6.596B,6.596B,,,,,,6.596B,2.005B,,2.005B,,81.90M,81.90M,279.00M,,,15.50B,20.30M,,17.86B,38.20B,,4.50M,5.777B,4.479B,4.943B,2.90M,-97.70M,5.219B,,AOR,Restated
2018-06,1.254B,11.64B,12.89B,12.49B,,12.55B,25.44B,370.60M,2.369B,4.627B,6.996B,720.10M,13.33B,,22.04B,42.36B,,6.746B,,,6.746B,6.746B,,,,,,6.746B,2.005B,,2.005B,,94.70M,94.70M,347.10M,,,14.50B,20.40M,,16.95B,37.03B,,4.50M,5.846B,4.460B,4.860B,2.90M,-137.90M,5.312B,,AOR,Restated
2018-03,2.342B,9.365B,11.71B,10.53B,,10.56B,22.27B,355.20M,923.10M,298.40M,1.222B,682.20M,10.77B,,13.40B,32.43B,,5.522B,,,5.522B,5.522B,,,,,,5.522B,2.004B,,2.004B,,109.60M,109.60M,173.60M,,,7.085B,11.20M,,9.372B,27.93B,,4.40M,5.815B,3.479B,4.860B,2.90M,51.70M,4.490B,,AOR,Restated
2017-12,996.80M,9.947B,10.94B,10.92B,121.80M,11.15B,22.10B,347.60M,917.70M,313.00M,1.231B,670.20M,11.06B,,13.70B,31.84B,,6.339B,,,6.339B,6.339B,,,,,,6.339B,1.068B,,1.068B,,128.10M,128.10M,179.80M,,,7.039B,10.90M,,8.415B,27.56B,,1.50M,5.697B,3.198B,4.860B,,234.00M,4.271B,,AOR,Restated
