,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,-30.20M,0.00,-16.60M,,-16.60M,40.10M,40.10M,9.90M,137.80M,15.50M,3.90M,-292.90M,318.40M,-2.20M,449.00M,609.40M,,-34.90M,,-34.90M,-30.30M,-196.20M,0.50M,-243.00M,,-200.00M,,-200.00M,,-68.30M,-68.30M,,,,-37.50M,-4.70M,-42.20M,1.70M,-308.80M,,2.138B,57.60M,7.90M,2.203B,,,0.00,-200.00M,-68.30M,,AOR,
2020-06,178.10M,,-24.10M,,-24.10M,31.50M,31.50M,46.30M,0.00,14.90M,-12.90M,339.20M,-140.00M,-81.30M,180.40M,415.90M,,-24.60M,,-24.60M,-209.10M,12.50M,-0.40M,-214.10M,,-0.50M,,-0.50M,,-29.60M,-29.60M,,,,-39.60M,-4.60M,-44.20M,-5.10M,-79.40M,,2.000B,122.40M,15.20M,2.138B,,,0.00,-0.50M,-29.60M,,AOR,
2020-03,154.70M,,95.30M,,95.30M,33.50M,33.50M,115.90M,,11.50M,6.20M,-98.00M,-116.80M,-288.00M,-540.80M,-123.70M,,-21.60M,,-21.60M,,193.10M,0.30M,181.90M,,199.30M,,199.30M,,-56.60M,-56.60M,,,,-38.00M,-4.70M,-42.70M,-8.60M,91.40M,,1.867B,149.60M,-16.80M,2.000B,,,200.00M,-0.70M,-56.60M,,AOR,
2019-12,127.60M,7.40M,-4.80M,,2.60M,38.40M,38.40M,48.90M,0.00,15.20M,153.10M,-62.30M,1.80M,-63.50M,-9.80M,245.50M,,-39.80M,,-36.50M,-7.60M,46.60M,0.50M,-6.20M,,-6.80M,,-6.80M,,-107.50M,-107.50M,,,,-38.30M,-4.70M,-43.00M,28.20M,-129.10M,,1.749B,110.20M,7.60M,1.867B,,,-6.20M,-0.60M,-107.50M,,AOR,
2019-09,-54.80M,9.60M,-14.90M,,-5.30M,27.30M,27.30M,-13.00M,1.60M,15.00M,9.10M,-384.00M,127.60M,-27.10M,341.20M,442.20M,,-12.70M,,-12.70M,0.00,29.70M,1.50M,-4.00M,,-45.10M,,-45.10M,,-65.80M,-65.80M,,,,-37.30M,-4.70M,-42.00M,-15.80M,-168.70M,,1.490B,269.50M,-10.60M,1.749B,,,335.10M,-380.20M,-65.80M,,AOR,Restated
2019-06,144.10M,,-17.80M,,-17.80M,30.40M,30.40M,17.00M,14.60M,14.20M,54.70M,-197.60M,40.60M,170.70M,212.40M,479.00M,,-25.40M,,-25.40M,0.00,-115.80M,2.20M,-162.40M,,-2.80M,,-2.80M,,-48.50M,-48.50M,,,,-38.30M,-4.60M,-42.90M,-8.10M,-102.30M,,1.274B,214.30M,1.90M,1.490B,,,-2.10M,-0.70M,-48.50M,,AOR,Restated
2019-03,165.70M,,-28.80M,,-28.80M,29.70M,29.70M,36.60M,,11.50M,-53.10M,183.30M,-16.30M,20.00M,85.10M,246.70M,,-32.40M,,-32.40M,,-418.40M,0.30M,-447.20M,,290.20M,,290.20M,,-50.00M,-50.00M,,,,-37.40M,-4.70M,-42.10M,22.80M,220.90M,,1.254B,20.40M,-0.20M,1.274B,,,607.60M,-317.40M,-50.00M,,AOR,Restated
2018-12,25.00M,-19.10M,46.10M,,27.00M,36.30M,36.30M,-4.60M,20.80M,18.00M,-9.30M,-340.10M,281.30M,-220.10M,88.90M,202.10M,,-23.90M,,-23.80M,126.70M,-396.90M,0.90M,-298.10M,,139.40M,,139.40M,,-52.10M,-52.10M,0.00,,0.00,-37.70M,-4.70M,-42.40M,2.70M,47.60M,,1.307B,-48.40M,-4.20M,1.254B,,0.00,139.40M,0.00,-52.10M,,AOR,Restated
2018-09,53.00M,6.60M,5.70M,,12.30M,35.70M,35.70M,0.30M,0.00,17.40M,-47.30M,123.70M,34.40M,-93.20M,210.90M,282.30M,,-20.80M,,-20.80M,36.70M,-371.70M,2.70M,-389.60M,,254.40M,,254.40M,,-80.30M,-80.30M,0.00,,0.00,-35.50M,-4.70M,-40.20M,12.00M,145.90M,,1.254B,60.90M,-8.00M,1.307B,,0.00,549.70M,-295.30M,-80.30M,,AOR,Restated
2018-06,67.00M,34.40M,11.40M,3.60M,49.40M,24.90M,24.90M,11.20M,0.00,12.10M,-40.50M,120.90M,-258.90M,305.70M,123.90M,248.00M,,-21.60M,,-21.60M,-1.214B,-321.80M,2.30M,-1.594B,,337.70M,,337.70M,,0.10M,0.10M,0.00,,0.00,-30.90M,-4.80M,-35.70M,-1.60M,300.50M,,2.342B,-1.068B,-20.60M,1.254B,,0.00,634.00M,-296.30M,0.10M,,AOR,Restated
