,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,305.00M,,,-1.729B,5.191M,5.191M,,-4.672M,15.23M,,1.631B,1.385M,54.10M,58.75M,,,25.57M,139.80M,345.93M,,-3.79M,0.331M,-3.459M,0.00,,,8.166M,,-0.324M,,-0.324M,,-154.50M,-154.50M,18.34M,-0.312M,-136.79M,,2.592B,217.31M,2.810B,,,0.00,-0.324M,-154.50M,76.86M,11.85M,,AOR,
2020-09,256.47M,,,-1.442B,5.547M,5.547M,,-4.702M,13.64M,,1.415B,-0.235M,-160.64M,83.41M,,,41.67M,-35.79M,208.67M,,-4.112M,0.216M,-3.896M,-0.397M,,,-4.293M,,324.79M,,324.79M,,0.00,0.00,36.48M,-1.168M,360.10M,,2.028B,564.48M,2.592B,,,325.04M,-0.253M,0.00,74.47M,12.36M,,AOR,
2020-06,164.08M,,,-1.170B,5.632M,5.632M,,1.117M,14.43M,,1.260B,30.36M,-87.50M,65.95M,,,18.62M,27.43M,302.23M,,-4.707M,0.197M,-4.51M,-0.038M,,,-4.548M,,598.65M,,598.65M,,0.00,0.00,16.98M,-3.582M,612.05M,,1.118B,909.73M,2.028B,,,598.86M,-0.212M,0.00,9.302M,0.419M,,AOR,
2020-03,175.70M,,,-1.152B,5.622M,5.622M,,36.34M,7.492M,,1.212B,-33.19M,-168.35M,-39.44M,,,23.53M,-217.45M,68.44M,,-3.51M,0.252M,-3.258M,,,,-3.258M,,-0.20M,,-0.20M,,-216.58M,-216.58M,109.06M,,-107.72M,,1.161B,-42.54M,1.118B,,,,-0.20M,-216.58M,2.438M,12.17M,,AOR,
2019-12,256.14M,,,-1.453B,5.449M,5.449M,,-0.224M,19.85M,,1.386B,11.24M,149.16M,5.931M,,,-19.83M,146.50M,357.10M,,-5.959M,0.353M,-5.606M,-0.367M,,,-5.963M,,-0.19M,,-0.19M,,-332.88M,-332.88M,26.67M,,-306.39M,,1.116B,44.74M,1.161B,,,0.00,-0.19M,-332.88M,44.80M,0.413M,,AOR,Restated
2019-09,223.79M,,,-1.404B,5.223M,5.223M,,-0.433M,20.77M,,1.460B,1.116M,-98.72M,-4.776M,,,2.067M,-100.31M,206.82M,,-6.041M,0.448M,-5.593M,0.00,,,-4.523M,,-0.104M,,-0.104M,,-61.06M,-61.06M,68.52M,,7.357M,,906.41M,209.65M,1.116B,,,0.00,-0.104M,-61.06M,37.63M,11.99M,,AOR,Restated
2019-06,210.21M,,,-1.265B,5.084M,5.084M,,-0.565M,18.58M,,1.224B,2.408M,-116.56M,11.62M,,,-16.28M,-118.82M,74.76M,,-5.414M,0.585M,-4.829M,0.00,,,-0.919M,,-0.012M,,-0.012M,,-87.98M,-87.98M,79.86M,,-8.135M,,840.70M,65.71M,906.41M,,,0.00,-0.012M,-87.98M,69.17M,0.142M,,AOR,Restated
2019-03,188.41M,,,-1.177B,5.062M,5.062M,,0.542M,19.33M,,1.199B,-12.00M,-28.06M,21.15M,,,10.69M,-8.221M,227.86M,,-5.285M,0.484M,-4.801M,-0.335M,,,-1.879M,,0.00,,0.00,,-216.50M,-216.50M,98.97M,,-117.52M,,732.25M,108.45M,840.70M,,,,0.00,-216.50M,2.316M,11.91M,,AOR,Restated
2018-12,232.16M,,,-1.386B,5.115M,5.115M,,2.449M,24.01M,,1.264B,6.02M,167.96M,-31.91M,,,-53.71M,88.36M,231.31M,,-4.847M,0.515M,-4.332M,0.00,,,-1.69M,,0.00,,0.00,,-188.76M,-188.76M,58.84M,0.00,-129.92M,,632.55M,99.70M,732.25M,,,,0.00,-188.76M,55.40M,0.112M,,AOR,Restated
2018-09,195.82M,,,-1.283B,5.029M,5.029M,,9.267M,23.59M,,1.362B,3.389M,12.54M,12.53M,,,-20.28M,8.19M,322.36M,,-5.567M,0.317M,-5.25M,0.00,,,-3.404M,,0.00,,0.00,,-173.83M,-173.83M,29.17M,-0.234M,-144.89M,,458.48M,174.07M,632.55M,,,,0.00,-173.83M,39.49M,11.92M,,AOR,Restated
