,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.778B,,2.778B,18.30M,,18.30M,38.16M,,1.671B,,1.709B,31.25M,,4.537B,,,14.72M,65.55M,,80.26M,-10.17M,70.09M,,,,,,132.98M,591.76M,1.240B,5.777B,,402.59M,402.59M,440.67M,843.26M,,,,,,843.26M,1.517B,72.66M,1.590B,240.76M,240.76M,,1.831B,2.674B,,0.206M,8.811B,2.214B,7.923B,3.103B,,AOR,
2020-09,2.561B,,2.561B,21.46M,,21.46M,33.62M,,1.730B,,1.763B,31.20M,,4.377B,,,,73.24M,,73.24M,,73.24M,,,,,,,614.16M,1.123B,5.500B,,388.32M,388.32M,387.76M,776.08M,,,,,,776.08M,1.518B,75.75M,1.594B,211.12M,211.12M,,1.805B,2.581B,,0.206M,8.506B,2.188B,7.776B,2.919B,,AOR,
2020-06,2.001B,,2.001B,20.80M,,20.80M,20.38M,,1.582B,,1.603B,26.85M,,3.651B,,,,77.18M,,77.18M,,77.18M,,,,,,,590.33M,1.079B,4.730B,,336.75M,336.75M,349.11M,685.87M,,,,,,685.87M,1.194B,79.76M,1.274B,158.02M,158.02M,,1.432B,2.118B,,0.206M,8.250B,2.152B,7.789B,2.612B,,AOR,
2020-03,1.092B,,1.092B,27.09M,,27.09M,20.66M,,1.495B,,1.516B,26.00M,,2.661B,,,,81.20M,,81.20M,,81.20M,,,,,,,725.44M,1.227B,3.888B,,367.23M,367.23M,274.13M,641.36M,,,,,,641.36M,598.46M,83.63M,682.09M,147.16M,147.16M,,829.25M,1.471B,,0.206M,8.086B,2.127B,7.796B,2.417B,,AOR,
2019-12,1.140B,,1.140B,18.28M,,18.28M,18.32M,,1.329B,,1.347B,20.22M,,2.526B,,,14.62M,77.17M,,91.79M,-8.789M,83.00M,,,,,,115.73M,618.89M,1.284B,3.810B,,306.97M,306.97M,346.04M,653.01M,,,,,,653.01M,598.30M,85.38M,683.68M,131.89M,131.89M,,815.56M,1.469B,,0.206M,7.910B,2.055B,7.624B,2.341B,,AOR,Restated
2019-09,1.095B,,1.095B,29.28M,,29.28M,18.01M,,1.478B,,1.496B,20.83M,,2.641B,,,,83.42M,,83.42M,,83.42M,,,,,,,663.13M,1.202B,3.843B,,325.80M,325.80M,319.35M,645.14M,,,,,,645.14M,598.15M,85.67M,683.82M,142.94M,142.94M,,826.76M,1.472B,,0.206M,7.654B,2.020B,7.303B,2.371B,,AOR,Restated
2019-06,882.32M,,882.32M,28.94M,,28.94M,19.32M,,1.378B,,1.398B,23.80M,,2.333B,,,,85.34M,,85.34M,,85.34M,,,,,,,727.08M,1.270B,3.603B,,352.81M,352.81M,299.47M,652.27M,,,,,,652.27M,597.99M,87.33M,685.32M,146.21M,146.21M,,831.53M,1.484B,,0.206M,7.430B,1.962B,7.273B,2.119B,,AOR,Restated
2019-03,816.45M,,816.45M,30.49M,,30.49M,19.28M,,1.262B,,1.281B,23.95M,,2.152B,,,,84.16M,,84.16M,,84.16M,,,,,,,693.95M,1.211B,3.363B,,326.45M,326.45M,310.88M,637.33M,,,,,,637.33M,597.84M,86.20M,684.04M,142.63M,142.63M,,826.67M,1.464B,,0.206M,7.220B,1.899B,7.220B,1.899B,,AOR,Restated
2018-12,711.88M,,711.88M,18.64M,,18.64M,21.72M,,1.231B,,1.253B,20.05M,,2.004B,,,13.72M,,,13.72M,-7.214M,6.51M,,,,,,112.33M,605.00M,1.162B,3.166B,,288.57M,288.57M,332.87M,621.44M,,,,,,621.44M,597.68M,0.00,597.68M,138.25M,138.25M,,735.93M,1.357B,,0.206M,7.031B,1.820B,7.043B,1.809B,,AOR,Restated
2018-09,609.87M,,609.87M,26.36M,,26.36M,18.62M,,1.402B,,1.421B,22.34M,,2.080B,,,,6.763M,,6.763M,,6.763M,,,,,,,586.66M,1.010B,3.090B,,319.74M,319.74M,322.56M,642.30M,,,,,,642.30M,597.53M,,597.53M,167.68M,167.68M,,765.20M,1.408B,,0.206M,6.799B,1.762B,6.879B,1.682B,,AOR,Restated
