,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,105.40M,,,,,,20.70M,20.70M,,1.10M,1.10M,,,,,,,23.90M,23.90M,,151.10M,-11.90M,,0.00,0.10M,,-11.80M,-167.20M,,-167.20M,,0.00,0.00,-38.70M,-38.70M,1.80M,,-204.10M,442.70M,-64.80M,377.90M,,,,2.90M,0.00
2020-06,67.80M,,,,,,19.90M,19.90M,,1.40M,1.40M,,,,,,,36.10M,36.10M,,125.20M,-12.00M,,0.00,9.80M,,-2.20M,-61.40M,,-61.40M,,0.00,0.00,-38.80M,-38.80M,3.80M,,-96.40M,416.10M,26.60M,442.70M,,,-58.50M,-2.90M,0.00
2020-03,51.70M,,,,,,20.10M,20.10M,,9.00M,9.00M,,,,,,,-26.70M,-26.70M,,54.10M,-12.80M,,,39.20M,,26.40M,58.50M,,58.50M,,-56.70M,-56.70M,-39.00M,-39.00M,-1.20M,,-38.40M,374.00M,42.10M,416.10M,,,58.50M,,-56.70M
2019-12,91.30M,,,,,,20.20M,20.20M,,1.00M,1.00M,,,,,,,21.00M,63.70M,,176.20M,-14.10M,,0.00,123.80M,,109.70M,-35.30M,,-35.30M,,-57.70M,-57.70M,-39.20M,-39.20M,0.90M,0.00,-131.30M,219.40M,154.60M,374.00M,,,,,-57.70M
2019-09,87.30M,,,,,,19.70M,19.70M,,1.50M,1.50M,,,,,,,27.80M,27.80M,,136.30M,-13.80M,,0.00,-10.00M,,-23.80M,-39.40M,,-39.40M,,-97.40M,-97.40M,-36.00M,-36.00M,-0.90M,-1.00M,-174.70M,281.60M,-62.20M,219.40M,,,-137.30M,,-97.40M
2019-06,102.10M,,,,,,18.20M,18.20M,,2.10M,2.10M,,,,,,,-0.30M,-0.30M,,122.10M,-15.60M,,-107.00M,-7.20M,,-129.80M,74.30M,,74.30M,,-87.00M,-87.00M,-36.90M,-36.90M,1.10M,,-48.50M,337.80M,-56.20M,281.60M,,,74.30M,,-87.00M
2019-03,89.30M,,,,,,20.20M,20.20M,,8.70M,8.70M,,,,,,,-96.60M,-96.60M,,21.60M,-20.90M,,,98.70M,,77.80M,63.00M,,63.00M,,-45.60M,-45.60M,-37.10M,-37.10M,-1.60M,,-21.30M,259.70M,78.10M,337.80M,,,63.00M,,-45.60M
2018-12,126.30M,,,,,,18.70M,18.70M,,0.40M,0.40M,,,,,,,61.30M,14.30M,,159.70M,-26.70M,,0.00,-0.40M,,-27.10M,28.10M,,28.10M,,-96.60M,-96.60M,-37.60M,-37.60M,0.20M,0.00,-105.90M,233.00M,26.70M,259.70M,,,,,-96.60M
2018-09,104.60M,,,,,,17.80M,17.80M,,1.80M,1.80M,,,,,,,-8.20M,-8.20M,,116.00M,-19.00M,,0.00,-0.70M,,-19.70M,-54.80M,,-54.80M,,-36.30M,-36.30M,-30.70M,-30.70M,0.80M,-2.30M,-123.30M,260.00M,-27.00M,233.00M,,,,162.30M,-36.30M
2018-06,114.50M,,,,,,17.50M,17.50M,,1.40M,1.40M,,,,,,,-3.40M,-3.40M,,130.00M,-22.20M,,0.00,21.40M,,-0.80M,-45.00M,,-45.00M,,-36.60M,-36.60M,-30.80M,-30.80M,1.30M,,-111.10M,241.90M,18.10M,260.00M,,,,-45.00M,-36.60M
