,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,-37.43M,,76.93M,-22.39M,62.08M,71.70M,71.70M,,0.397M,6.721M,7.118M,10.29M,43.04M,,,-8.269M,45.06M,228.50M,,,,,-3.971M,-0.671M,0.037M,-53.22M,,9.831M,,9.831M,0.00,,0.00,0.00,0.00,-49.60M,-12.22M,-51.99M,,201.69M,123.29M,,324.98M,,0.00,900.00M,-890.17M,0.00,,37.09M,,AOR,
2020-06,748.12M,,-714.26M,-14.94M,-729.20M,73.56M,73.56M,,0.138M,5.577M,5.715M,-29.94M,-6.433M,,,0.439M,-35.93M,82.20M,,,,,-2.901M,228.26M,0.037M,163.15M,,-365.44M,,-365.44M,0.00,,0.00,,,-127.46M,-2.553M,-495.46M,,451.80M,-250.11M,,201.69M,,0.00,-85.00M,-280.44M,,,66.12M,,AOR,
2020-03,90.39M,,-3.847M,-24.61M,-28.45M,69.40M,69.40M,,2.974M,5.905M,8.879M,-1.526M,5.456M,,,-24.79M,-20.86M,155.25M,,,,,-3.368M,0.163M,2.49M,-66.55M,,396.58M,,396.58M,0.981M,,0.981M,,,-127.26M,-31.15M,239.15M,,123.95M,327.85M,,451.80M,,0.981M,475.00M,-78.42M,,,25.38M,,AOR,
2019-12,110.04M,,-30.46M,-16.52M,-46.98M,68.44M,68.44M,,7.508M,5.175M,12.68M,-27.25M,-33.13M,,,2.426M,-57.95M,101.17M,,,,,5.949M,0.103M,6.047M,40.89M,,3.988M,,3.988M,200.66M,,200.66M,-225.00M,-225.00M,-130.28M,-8.782M,-159.42M,,141.31M,-17.36M,,123.95M,,200.66M,7.276M,-3.288M,-225.00M,,57.80M,,AOR,
2019-09,85.45M,,-8.826M,-20.94M,-29.76M,68.87M,68.87M,,19.61M,4.741M,24.35M,-9.067M,37.90M,,,-26.90M,1.935M,168.93M,,,,,1.657M,-0.818M,1.051M,-60.79M,,413.52M,,413.52M,1.54M,,1.54M,-350.00M,-350.00M,-136.05M,-9.826M,-80.82M,,113.99M,27.32M,,141.31M,,1.54M,416.60M,-3.086M,-350.00M,,24.60M,,AOR,Restated
2019-06,101.39M,,-16.34M,-35.80M,-52.14M,69.00M,69.00M,,17.45M,4.807M,22.26M,1.281M,-11.22M,,,-4.637M,-14.58M,158.27M,,,,,-9.309M,0.112M,6.191M,-84.98M,,32.07M,,32.07M,1.13M,,1.13M,,,-132.70M,-3.474M,-102.98M,,143.67M,-29.68M,,113.99M,,1.13M,38.85M,-6.776M,,,59.60M,,AOR,Restated
2019-03,116.68M,,-23.60M,-24.98M,-48.57M,71.56M,71.56M,,4.175M,5.477M,9.652M,0.878M,2.837M,,,-26.30M,-22.58M,155.26M,,,,,-4.203M,-0.118M,1.112M,-15.54M,,-3.832M,,-3.832M,0.681M,,0.681M,,,-132.52M,-3.952M,-139.62M,,143.58M,0.092M,,143.67M,,0.681M,3.30M,-7.132M,,,27.03M,,AOR,Restated
2018-12,87.95M,,-49.38M,-23.59M,-72.97M,74.27M,74.27M,,45.35M,3.766M,49.12M,-1.088M,-35.25M,,,-4.145M,-40.48M,121.60M,,,,,3.411M,-0.22M,17.52M,22.89M,,-14.50M,,-14.50M,0.104M,0.00,0.104M,0.00,0.00,-132.52M,-0.377M,-147.30M,,146.39M,-2.805M,,143.58M,,0.104M,-9.394M,-5.109M,0.00,,58.33M,,AOR,Restated
2018-09,100.72M,,-28.25M,-21.58M,-37.07M,74.97M,74.97M,,3.336M,4.032M,7.368M,-2.989M,31.21M,,,-23.77M,4.451M,164.34M,,,,,-8.411M,0.191M,8.954M,2.604M,,-191.82M,,-191.82M,0.457M,0.00,0.457M,0.00,0.00,-132.52M,-2.261M,-326.14M,,305.58M,-159.19M,,146.39M,,0.457M,152.62M,-344.44M,0.00,,44.40M,,AOR,Restated
2018-06,165.81M,,-95.24M,-28.66M,-123.90M,79.76M,79.76M,,22.87M,5.241M,28.11M,4.082M,-15.51M,,,-11.00M,-22.42M,159.71M,,,,,-6.546M,-0.063M,11.59M,148.72M,,-31.69M,,-31.69M,0.00,-50.85M,-50.85M,,,-134.47M,-4.162M,-221.17M,,218.31M,87.26M,,305.58M,,0.00,0.00,-31.69M,-50.85M,,67.89M,,AOR,Restated
