,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,966.00M,,966.00M,1.299B,1.576B,917.00M,128.00M,,,390.00M,4.023B,48.22B,,48.22B,-10.90B,37.32B,,228.00M,228.00M,3.228B,830.00M,17.00M,,262.00M,45.55B,49.58B,1.332B,238.00M,1.57B,171.00M,1.741B,300.00M,2.093B,2.393B,2.393B,,,1.126B,5.26B,1.514B,14.79B,260.00M,15.05B,6.334B,6.334B,,2.407B,1.00M,,,289.00M,28.48B,33.74B,5.016B,12.14B,,863.00M,,,-452.00M,15.84B
2020-06,431.00M,,431.00M,1.239B,1.585B,816.00M,268.00M,,,501.00M,3.742B,47.43B,,47.43B,-10.61B,36.82B,,185.00M,185.00M,3.289B,829.00M,30.00M,,275.00M,45.04B,48.78B,1.135B,127.00M,1.262B,122.00M,1.384B,1.165B,2.093B,3.258B,3.258B,,,1.141B,5.783B,1.508B,13.58B,263.00M,13.84B,6.481B,6.481B,,2.438B,2.00M,,,242.00M,27.51B,33.29B,5.003B,11.81B,,865.00M,,,-455.00M,15.49B
2020-03,799.00M,,799.00M,1.265B,1.452B,776.00M,124.00M,,,379.00M,3.727B,46.85B,,46.85B,-10.37B,36.48B,,165.00M,165.00M,3.057B,975.00M,69.00M,,258.00M,44.64B,48.36B,1.172B,113.00M,1.285B,176.00M,1.461B,1.062B,1.665B,2.727B,2.727B,,,972.00M,5.16B,1.51B,14.04B,266.00M,14.31B,6.321B,6.321B,,2.476B,3.00M,,,205.00M,27.96B,33.12B,4.994B,11.60B,,868.00M,,,-481.00M,15.25B
2019-12,147.00M,,147.00M,1.313B,1.573B,897.00M,79.00M,,,392.00M,3.231B,1.879B,1.884B,46.23B,-10.10B,36.13B,0.00,149.00M,149.00M,3.274B,963.00M,24.00M,,286.00M,44.50B,47.73B,1.358B,41.00M,1.399B,116.00M,1.515B,1.115B,1.365B,2.48B,2.48B,,,1.052B,5.047B,1.436B,13.74B,273.00M,14.02B,6.256B,6.256B,,2.483B,1.00M,,,218.00M,27.59B,32.64B,5.003B,11.41B,,831.00M,,,-489.00M,15.09B
2019-09,120.00M,,120.00M,1.184B,1.345B,925.00M,249.00M,,,402.00M,3.059B,45.78B,,45.78B,-10.09B,35.69B,16.00M,188.00M,204.00M,3.193B,789.00M,27.00M,,258.00M,43.76B,46.82B,1.244B,37.00M,1.281B,174.00M,1.455B,346.00M,1.056B,1.402B,1.402B,,,1.21B,4.067B,1.434B,14.45B,275.00M,14.72B,6.143B,6.143B,,2.137B,5.00M,,,244.00M,27.82B,31.89B,4.989B,11.21B,,832.00M,,,-438.00M,14.92B
2019-06,82.00M,,82.00M,1.118B,1.311B,809.00M,348.00M,,,449.00M,3.156B,45.00B,,45.00B,-9.842B,35.16B,16.00M,162.00M,178.00M,3.203B,787.00M,79.00M,,253.00M,43.12B,46.28B,1.153B,39.00M,1.192B,115.00M,1.307B,365.00M,1.056B,1.421B,1.421B,,,1.254B,3.982B,1.409B,14.30B,273.00M,14.57B,6.03B,6.03B,,2.084B,8.00M,,,213.00M,27.54B,31.53B,4.98B,11.04B,,835.00M,,,-432.00M,14.75B
2019-03,65.00M,,65.00M,1.454B,1.791B,718.00M,112.00M,,,321.00M,3.027B,45.11B,,45.11B,-10.07B,35.04B,16.00M,156.00M,172.00M,3.188B,631.00M,4.00M,,271.00M,42.73B,45.76B,1.135B,73.00M,1.208B,158.00M,1.366B,1.151B,900.00M,2.051B,2.051B,,,1.056B,4.473B,1.431B,13.22B,250.00M,13.47B,5.929B,5.929B,,2.093B,7.00M,,,206.00M,26.47B,30.94B,4.969B,11.12B,,839.00M,,,-441.00M,14.81B
2018-12,177.00M,,177.00M,1.435B,1.917B,902.00M,94.00M,,,406.00M,3.507B,1.594B,2.181B,44.20B,-9.838B,34.36B,16.00M,143.00M,159.00M,2.998B,624.00M,1.00M,,275.00M,41.82B,45.33B,1.451B,26.00M,1.477B,110.00M,1.587B,1.016B,1.294B,2.31B,2.31B,,,1.038B,4.935B,1.39B,13.17B,0.00,13.17B,5.713B,5.713B,,2.105B,4.00M,,,232.00M,26.01B,30.95B,4.98B,10.58B,,808.00M,,,-377.00M,14.38B
2018-09,88.00M,,88.00M,1.24B,1.62B,919.00M,214.00M,,,363.00M,3.215B,,,43.61B,-9.832B,33.78B,16.00M,107.00M,123.00M,3.244B,682.00M,2.00M,,265.00M,41.86B,45.07B,1.317B,36.00M,1.353B,159.00M,1.512B,419.00M,1.45B,1.869B,1.869B,,,1.104B,4.485B,1.407B,12.91B,,12.91B,5.72B,5.72B,,2.529B,2.00M,,,224.00M,26.23B,30.71B,4.966B,10.61B,,811.00M,,,-407.00M,14.36B
2018-06,95.00M,,95.00M,1.163B,1.463B,792.00M,324.00M,,,307.00M,3.005B,,,42.81B,-9.658B,33.15B,16.00M,127.00M,143.00M,3.197B,688.00M,21.00M,,277.00M,40.70B,43.71B,1.348B,104.00M,1.452B,105.00M,1.557B,270.00M,1.55B,1.82B,1.82B,,,867.00M,4.244B,1.379B,12.51B,,12.51B,5.475B,5.475B,,2.576B,1.00M,,,250.00M,25.30B,29.55B,4.955B,10.43B,,813.00M,,,-410.00M,14.16B
