,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,1.035B,,1.035B,2.321B,2.506B,531.30M,781.60M,1.288B,116.50M,,38.00M,4.992B,0.0,159.10M,1.036B,5.426B,433.90M,250.70M,,7.306B,-3.725B,3.580B,5.958B,3.023B,8.981B,,155.60M,347.80M,13.11B,18.10B,1.108B,134.20M,216.00M,,1.459B,50.90M,1.510B,20.70M,225.00M,1.60M,247.30M,124.40M,371.70M,84.60M,84.60M,684.60M,3.106B,6.668B,310.70M,6.978B,580.60M,580.60M,1.081B,34.70M,301.10M,8.941B,12.05B,362.10M,8.080B,6.177B,6.659B,,,,,-1.946B,6.015B
2020-06,1.369B,1.369B,,1.369B,2.256B,2.380B,503.90M,750.00M,1.229B,127.10M,,25.60M,5.166B,0.0,155.10M,1.008B,5.342B,439.90M,267.40M,,7.212B,-3.634B,3.579B,5.760B,3.019B,8.779B,42.60M,141.10M,339.50M,12.92B,18.08B,1.088B,134.10M,241.90M,,1.464B,52.20M,1.516B,17.30M,516.90M,0.70M,534.90M,122.80M,657.70M,74.00M,74.00M,572.10M,3.228B,6.752B,319.40M,7.071B,577.20M,577.20M,1.056B,35.00M,260.30M,8.964B,12.19B,362.00M,7.968B,6.155B,6.640B,,,,,-1.990B,5.855B
2020-03,,1.662B,,1.662B,2.856B,3.006B,543.20M,976.30M,1.530B,148.90M,,33.40M,6.437B,0.0,213.80M,1.366B,6.111B,558.50M,379.50M,,8.628B,-4.149B,4.479B,7.232B,3.592B,10.82B,43.10M,153.90M,369.20M,15.90B,22.34B,1.280B,135.90M,269.30M,,1.685B,69.40M,1.754B,36.20M,1.001B,1.20M,1.038B,152.50M,1.191B,88.30M,88.30M,710.70M,4.257B,6.744B,406.90M,7.151B,737.40M,737.40M,1.072B,38.50M,261.30M,9.222B,13.48B,360.80M,10.14B,6.018B,5.58B,,,,,-2.114B,8.822B
2019-12,,186.40M,,186.40M,2.796B,2.930B,559.80M,936.50M,1.506B,118.80M,,33.10M,4.828B,0.0,215.10M,1.363B,6.035B,577.50M,406.70M,,8.598B,-4.065B,4.532B,7.252B,3.672B,10.92B,25.40M,155.60M,372.00M,16.04B,20.87B,1.284B,135.60M,256.20M,,1.676B,40.90M,1.717B,24.60M,55.10M,300.90M,380.60M,153.20M,533.80M,84.70M,84.70M,695.60M,3.631B,5.974B,425.20M,6.399B,740.40M,740.40M,1.088B,40.50M,285.60M,8.513B,12.14B,359.60M,9.994B,5.907B,5.485B,,,,,-2.090B,8.685B
2019-09,,135.90M,,135.90M,2.722B,2.877B,580.90M,1.004B,1.587B,149.90M,,24.90M,4.870B,0.0,215.10M,1.336B,5.907B,570.30M,345.30M,,8.374B,-3.942B,4.432B,7.221B,3.728B,10.95B,54.80M,109.80M,375.70M,15.97B,20.84B,1.269B,132.60M,181.40M,,1.583B,65.40M,1.649B,19.10M,459.30M,300.70M,779.10M,151.70M,930.80M,83.60M,83.60M,720.10M,3.920B,5.967B,418.90M,6.386B,821.60M,821.60M,793.60M,44.70M,302.70M,8.304B,12.22B,359.40M,9.700B,5.874B,5.481B,,,,,-1.885B,8.568B
2019-06,,85.70M,,85.70M,2.747B,2.905B,568.00M,1.06B,1.625B,153.90M,,26.50M,4.854B,0.0,212.80M,1.316B,5.779B,549.80M,390.70M,,8.248B,-3.832B,4.417B,7.234B,3.776B,11.01B,33.30M,106.50M,363.70M,15.97B,20.83B,1.298B,132.30M,193.60M,,1.624B,46.50M,1.670B,22.50M,746.30M,300.60M,1.069B,151.30M,1.221B,83.20M,83.20M,693.00M,4.128B,5.987B,398.60M,6.386B,791.20M,791.20M,928.20M,44.00M,325.40M,8.430B,12.56B,358.90M,9.368B,5.816B,5.481B,,,,,-1.836B,8.225B
2019-03,,79.00M,,79.00M,2.692B,2.832B,570.70M,1.08B,1.646B,136.50M,,29.80M,4.751B,0.0,216.10M,1.309B,5.725B,570.90M,417.80M,,8.238B,-3.789B,4.450B,7.324B,3.877B,11.20B,13.20M,108.00M,361.40M,16.18B,20.93B,1.238B,132.70M,196.80M,,1.567B,71.10M,1.638B,43.90M,787.50M,300.90M,1.132B,159.10M,1.291B,85.40M,85.40M,662.70M,4.156B,6.008B,412.20M,6.420B,792.30M,792.30M,942.30M,46.20M,349.70M,8.505B,12.66B,358.20M,9.132B,5.731B,5.265B,,,,,-1.735B,8.221B
2018-12,,114.70M,,114.70M,2.662B,2.807B,525.60M,1.017B,1.546B,132.10M,,35.00M,4.678B,0.0,214.50M,1.279B,5.545B,,400.20M,,7.440B,-3.604B,3.836B,7.078B,3.798B,10.88B,11.80M,105.10M,529.20M,15.40B,20.07B,1.256B,132.40M,217.50M,,1.606B,44.50M,1.65B,176.80M,165.40M,401.40M,743.60M,0.00,743.60M,75.80M,75.80M,636.50M,3.686B,6.302B,0.00,6.302B,764.60M,764.60M,944.30M,50.40M,324.80M,8.335B,12.02B,357.00M,8.910B,5.633B,5.135B,,,,,-1.762B,8.003B
2018-09,,203.60M,,203.60M,2.653B,2.827B,513.90M,1.062B,1.588B,133.20M,,37.20M,4.822B,0.0,214.70M,1.249B,5.549B,,443.60M,,7.457B,-3.679B,3.778B,7.078B,3.820B,10.90B,,98.50M,316.40M,15.14B,19.96B,1.195B,118.40M,152.70M,,1.466B,71.40M,1.538B,38.50M,81.20M,649.70M,769.40M,,769.40M,81.90M,81.90M,672.50M,3.590B,6.335B,,6.335B,711.80M,711.80M,966.90M,53.60M,376.30M,8.390B,11.98B,356.50M,8.647B,5.586B,4.895B,,,,,-1.765B,7.929B
2018-06,,54.20M,,54.20M,2.635B,2.772B,478.60M,1.056B,1.558B,160.40M,,45.20M,4.608B,0.0,218.10M,1.246B,5.470B,,436.10M,,7.371B,-3.612B,3.759B,7.191B,3.910B,11.10B,,100.90M,336.40M,15.34B,19.95B,1.242B,118.40M,154.70M,,1.515B,51.80M,1.567B,37.90M,189.10M,647.50M,874.50M,,874.50M,87.30M,87.30M,617.30M,3.624B,6.343B,,6.343B,688.30M,688.30M,981.00M,59.00M,406.90M,8.419B,12.04B,355.90M,8.330B,5.546B,4.789B,,,,,-1.593B,7.850B
