,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,3.168B,,16.00M,44.00M,-687.00M,-627.00M,7.03B,7.03B,1.595B,73.00M,,4.218B,-575.00M,-1.058B,-2.244B,,131.00M,-3.746B,12.12B,-3.911B,9.372B,-322.00M,397.00M,328.00M,-3.448B,-9.372B,-1.25B,-10.62B,4.00M,-3.00M,1.00M,0.00,,0.00,-3.741B,-3.741B,-1.495B,-15.86B,17.03B,-7.182B,9.849B,4.00M,11.93B,-22.55B,-3.00M
2020-06,1.563B,,-705.00M,25.00M,-747.00M,-781.00M,7.285B,7.285B,394.00M,2.442B,,2.29B,518.00M,37.00M,-2.325B,,217.00M,-1.553B,12.06B,-4.434B,-4.434B,-843.00M,53.00M,,-5.256B,3.841B,-169.00M,3.672B,26.00M,-17.00M,9.00M,0.00,,0.00,-3.737B,-3.737B,244.00M,188.00M,10.04B,6.991B,17.03B,26.00M,22.01B,-18.34B,-17.00M
2020-03,4.963B,,,39.00M,-748.00M,-1.355B,7.222B,7.222B,259.00M,,,1.813B,2.23B,-3.884B,-3.267B,,105.00M,-4.816B,8.866B,-4.938B,-4.938B,-50.00M,-6.00M,,-5.022B,-65.00M,3.132B,3.067B,58.00M,-5.463B,-5.405B,3.869B,,3.869B,-3.737B,-3.737B,-3.893B,-6.099B,12.30B,-2.255B,10.04B,3.927B,7.489B,-4.422B,-5.463B
2019-12,2.704B,,-204.00M,214.00M,418.00M,428.00M,6.961B,6.961B,767.00M,1.458B,,3.113B,9.00M,-588.00M,-3.515B,,-114.00M,-4.208B,11.94B,-3.592B,-19.44B,3.634B,-88.00M,-3.442B,-3.688B,-1.219B,-2.456B,-3.675B,55.00M,-2.008B,-1.953B,1.164B,,1.164B,-3.726B,-3.726B,5.448B,-2.742B,6.782B,5.513B,12.30B,1.219B,2.005B,-5.68B,-2.008B
2019-09,3.949B,,-109.00M,5.00M,1.428B,1.324B,6.949B,6.949B,-41.00M,0.00,,1.923B,-1.377B,2.12B,-3.915B,,-182.00M,-3.354B,11.39B,-5.301B,10.54B,-4.083B,127.00M,3.442B,-5.703B,-3.24B,-750.00M,-3.99B,121.00M,-169.00M,-48.00M,0.00,,0.00,-3.726B,-3.726B,206.00M,-7.558B,8.654B,-1.872B,6.782B,121.00M,5.949B,-9.939B,-169.00M
2019-06,3.974B,,-905.00M,-36.00M,1.26B,319.00M,7.101B,7.101B,327.00M,0.00,,2.334B,1.951B,630.00M,-2.912B,,-239.00M,-570.00M,14.28B,-5.421B,-5.421B,3.177B,397.00M,,-1.898B,-5.436B,174.00M,-5.262B,288.00M,-51.00M,237.00M,0.00,,0.00,-3.722B,-3.722B,-1.615B,-10.36B,6.63B,2.024B,8.654B,288.00M,3.619B,-8.881B,-51.00M
2019-03,4.348B,,,112.00M,63.00M,175.00M,7.206B,7.206B,753.00M,,,1.947B,2.777B,-3.686B,-2.51B,,-375.00M,-3.794B,11.05B,-5.121B,-5.121B,-218.00M,-1.00M,,-5.401B,-658.00M,-136.00M,-794.00M,167.00M,-189.00M,-22.00M,0.00,,0.00,-3.714B,-3.714B,109.00M,-4.421B,5.40B,1.23B,6.63B,167.00M,9.478B,-10.27B,-189.00M
2018-12,5.13B,,-238.00M,-20.00M,-1.072B,-1.33B,7.892B,7.892B,594.00M,,,1.746B,-1.022B,2.987B,-3.713B,,-801.00M,-2.549B,12.08B,-4.063B,-4.063B,943.00M,51.00M,0.00,-3.158B,-5.514B,-727.00M,-6.241B,386.00M,-32.00M,354.00M,,,,-3.635B,-3.635B,-2.788B,-12.31B,8.788B,-3.388B,5.40B,386.00M,3.596B,-9.837B,-32.00M
2018-09,4.816B,,-472.00M,77.00M,171.00M,-224.00M,8.166B,8.166B,2.052B,,,1.07B,-1.771B,2.505B,-3.768B,,-932.00M,-3.966B,12.35B,-5.736B,-5.736B,-1.463B,-16.00M,0.00,-7.352B,-2.285B,-4.36B,-6.645B,347.00M,-13.00M,334.00M,,,,-3.631B,-3.631B,-17.00M,-9.959B,13.75B,-4.965B,8.788B,347.00M,9.633B,-16.28B,-13.00M
2018-06,5.248B,,-31.00M,237.00M,-2.729B,-2.523B,6.378B,6.378B,1.063B,,,1.438B,657.00M,-1.928B,425.00M,,-899.00M,-1.745B,10.23B,-5.002B,-5.002B,-40.51B,-102.00M,233.00M,-45.48B,-623.00M,7.066B,6.443B,1.00M,-419.00M,-418.00M,,,,-3.074B,-3.074B,-3.169B,-218.00M,49.22B,-35.47B,13.75B,1.00M,30.98B,-24.54B,-419.00M
2018-03,4.759B,,2.00M,-2.00M,-930.00M,-930.00M,5.994B,5.994B,1.222B,,,-428.00M,66.00M,-1.962B,614.00M,,-826.00M,-2.108B,8.947B,-5.957B,-5.957B,-1.185B,-116.00M,267.00M,-7.152B,-2.346B,0.00,-2.346B,11.00M,-145.00M,-134.00M,,,,-3.07B,-3.07B,2.048B,-3.502B,50.93B,-1.707B,49.22B,11.00M,2.565B,-4.911B,-145.00M
2017-12,19.14B,,-168.00M,3.00M,486.00M,321.00M,6.071B,6.071B,-18.52B,,,-49.00M,-2.024B,2.253B,-672.00M,,-320.00M,-763.00M,9.537B,-4.891B,-4.891B,-28.00M,214.00M,311.00M,-4.579B,2.00M,0.00,2.00M,7.00M,-3.00M,4.00M,,,,-3.008B,-3.008B,230.00M,-2.772B,48.75B,2.186B,50.93B,7.00M,2.032B,-2.03B,-3.00M
2017-09,3.123B,,-126.00M,4.00M,0.00,-122.00M,6.042B,6.042B,2.29B,,,-548.00M,-845.00M,1.324B,-576.00M,,-306.00M,-403.00M,10.80B,-5.006B,-5.006B,-65.00M,66.00M,283.00M,-4.967B,18.46B,0.00,18.46B,2.00M,-2.00M,0.00,,,,-3.009B,-3.009B,1.639B,17.08B,25.82B,22.92B,48.75B,2.00M,22.65B,-4.191B,-2.00M
2017-06,4.014B,,-49.00M,-15.00M,-259.00M,-323.00M,6.147B,6.147B,484.00M,,,-526.00M,-195.00M,-1.179B,241.00M,,-360.00M,-1.493B,8.705B,-4.966B,-4.966B,1.431B,152.00M,197.00M,-3.428B,8.61B,-2.00M,8.608B,3.00M,-281.00M,-278.00M,,,,-3.012B,-3.012B,250.00M,5.568B,14.98B,10.84B,25.82B,3.00M,11.68B,-3.067B,-281.00M
2017-03,3.574B,,61.00M,182.00M,0.00,243.00M,6.127B,6.127B,480.00M,,,-902.00M,839.00M,-1.582B,229.00M,,-436.00M,-950.00M,8.965B,-5.784B,-5.784B,-156.00M,17.00M,185.00M,-5.969B,9.387B,,9.387B,21.00M,-177.00M,-156.00M,,,,-3.009B,-3.009B,-173.00M,6.049B,5.935B,9.045B,14.98B,21.00M,12.44B,-3.053B,-177.00M
2016-12,2.515B,,-81.00M,-15.00M,1.024B,928.00M,6.129B,6.129B,-64.00M,,,-377.00M,-1.409B,1.291B,-96.00M,,-476.00M,-690.00M,9.24B,-6.233B,-6.233B,426.00M,171.00M,,-5.129B,-135.00M,0.00,-135.00M,9.00M,-68.00M,-59.00M,,,,-2.947B,-2.947B,-1.082B,-4.223B,5.895B,-112.00M,5.935B,9.00M,0.00,-135.00M,-68.00M
2016-09,3.418B,,-3.00M,0.00,0.00,-3.00M,6.579B,6.579B,1.244B,,,-315.00M,-1.001B,1.859B,-424.00M,,-693.00M,-259.00M,11.00B,-5.581B,-5.581B,-2.36B,1.00M,,-8.172B,-1.559B,,-1.559B,18.00M,-247.00M,-229.00M,,,,-2.951B,-2.951B,603.00M,-4.136B,7.208B,-1.313B,5.895B,18.00M,0.00,-1.559B,-247.00M
2016-06,3.515B,,-41.00M,-9.00M,0.00,-50.00M,6.576B,6.576B,421.00M,,,-1.309B,-397.00M,958.00M,910.00M,,-648.00M,823.00M,10.31B,-5.251B,-5.251B,-294.00M,55.00M,,-5.709B,-2.671B,0.00,-2.671B,30.00M,-197.00M,-167.00M,,,,-2.952B,-2.952B,-1.608B,-7.398B,10.01B,-2.80B,7.208B,30.00M,4.162B,-6.833B,-197.00M
2016-03,3.885B,,-44.00M,-13.00M,,-57.00M,6.563B,6.563B,1.346B,,,-1.495B,497.00M,-3.99B,1.319B,,-542.00M,-2.716B,7.90B,-4.451B,-4.451B,-84.00M,445.00M,,-4.308B,3.682B,0.00,3.682B,89.00M,0.00,89.00M,,,,-2.947B,-2.947B,471.00M,1.295B,5.121B,4.887B,10.01B,89.00M,5.978B,-2.296B,0.00
2015-12,4.086B,,137.00M,-13.00M,,-2.028B,6.477B,6.477B,2.578B,,,1.823B,-2.048B,22.00M,-1.728B,,-553.00M,-4.307B,9.185B,-5.862B,-5.862B,-61.00M,55.00M,2.00M,-6.097B,-78.00M,1.00M,-77.00M,10.00M,-269.00M,-259.00M,,,,-2.889B,-2.889B,-944.00M,-4.169B,6.202B,-1.081B,5.121B,10.00M,2.00M,-79.00M,-269.00M
2015-09,3.078B,,4.00M,-13.00M,,-9.00M,6.265B,6.265B,295.00M,,,800.00M,-1.379B,2.457B,-186.00M,,-884.00M,8.00M,10.80B,-5.028B,-5.028B,-9.733B,-400.00M,1.00M,-15.39B,-7.034B,-1.00M,-7.035B,113.00M,0.00,113.00M,,,,-2.438B,-2.438B,-804.00M,-10.16B,20.96B,-14.75B,6.202B,113.00M,9.00M,-7.044B,0.00
2015-06,3.184B,,-17.00M,-23.00M,,-40.00M,4.696B,4.696B,992.00M,,,-633.00M,-305.00M,692.00M,324.00M,,,711.00M,9.16B,-4.48B,-8.328B,-1.376B,0.00,-1.00M,-6.073B,15.06B,,15.06B,12.00M,0.00,12.00M,,,,-2.439B,-2.439B,789.00M,13.42B,4.444B,16.51B,20.96B,12.00M,17.39B,-2.323B,0.00
2015-03,3.339B,,-33.00M,0.00,,-33.00M,4.578B,4.578B,252.00M,,,-1.013B,739.00M,-1.817B,408.00M,,,-670.00M,6.738B,-3.848B,,-19.51B,1.89B,,-21.59B,15.98B,,15.98B,8.00M,,8.00M,,,,-2.434B,-2.434B,-2.86B,10.69B,8.603B,-4.159B,4.444B,8.00M,16.57B,-596.00M,
2014-12,-3.918B,,-87.00M,18.00M,,7.80B,4.567B,4.567B,498.00M,,,1.81B,-4.467B,-2.48B,-178.00M,,,-7.472B,5.745B,-4.37B,,958.00M,106.00M,5.00M,-3.357B,7.445B,0.00,7.445B,5.00M,0.00,5.00M,,,,-2.382B,-2.382B,-1.311B,3.757B,2.458B,6.145B,8.603B,5.00M,7.469B,-24.00M,0.00
