,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,42.34B,42.34B,19.84B,22.50B,9.266B,,-73.00M,1.972B,,-1.972B,16.30B,6.205B,,1.972B,-1.972B,-299.00M,-1.972B,3.934B,766.00M,3.168B,,,-352.00M,54.00M,2.816B,2.875B,12.94B,7.03B,5.906B,0.39,,,,0.3982,0.39,0.39,,,,0.3982,0.39,7.147B,7.173B,0.52
2020-06,40.95B,40.95B,17.98B,22.97B,9.831B,2.319B,-2.319B,2.041B,,-2.041B,17.12B,5.851B,,2.041B,-2.041B,-1.312B,-2.041B,2.498B,935.00M,1.563B,,,-282.00M,52.00M,1.281B,2.730B,11.82B,7.285B,4.539B,0.17,,,,0.3729,0.17,0.17,,,,0.3721,0.17,7.145B,7.17B,0.52
2020-03,42.78B,42.78B,19.28B,23.50B,8.79B,,,2.018B,,-2.018B,16.01B,7.486B,,2.018B,-2.018B,797.00M,-2.018B,6.265B,1.302B,4.963B,,,-353.00M,32.00M,4.61B,4.61B,15.50B,7.222B,8.283B,0.63,,,,0.63,0.63,0.63,,,,0.63,0.63,7.187B,7.214B,0.52
2019-12,46.82B,46.82B,22.74B,24.08B,10.34B,,-1.458B,2.049B,,-2.049B,17.31B,6.779B,,2.049B,-2.049B,-1.592B,-2.049B,3.138B,434.00M,2.704B,,,-310.00M,,2.394B,3.650B,12.15B,6.961B,5.187B,0.33,,,,0.5018,0.33,0.33,,,,0.5011,0.33,7.313B,7.342B,0.52
2019-09,44.59B,44.59B,20.15B,24.43B,9.584B,,0.00,2.083B,,-2.083B,16.53B,7.901B,,2.083B,-2.083B,-932.00M,-2.083B,4.886B,937.00M,3.949B,,,-249.00M,,3.70B,3.70B,13.92B,6.949B,6.969B,0.5,,,,0.5,0.5,0.5,,,,0.5,0.5,7.327B,7.356B,0.51
2019-06,44.96B,44.96B,20.51B,24.44B,9.844B,0.00,0.00,2.149B,,-2.149B,16.94B,7.50B,,2.149B,-2.149B,-278.00M,-2.149B,5.073B,1.099B,3.974B,,,-261.00M,,3.713B,3.713B,14.32B,7.101B,7.222B,0.51,,,,0.51,0.51,0.51,,,,0.51,0.51,7.323B,7.353B,0.51
2019-03,44.83B,44.83B,20.74B,24.09B,9.649B,,,2.141B,,-2.141B,16.86B,7.233B,,2.141B,-2.141B,279.00M,-2.141B,5.371B,1.023B,4.348B,,,-252.00M,,4.096B,4.096B,14.72B,7.206B,7.512B,0.56,,,,0.56,0.56,0.56,,,,0.56,0.56,7.313B,7.342B,0.51
2018-12,47.99B,47.99B,23.31B,24.68B,10.59B,,,2.112B,,-2.112B,18.48B,6.206B,,2.112B,-2.112B,1.651B,-2.112B,5.745B,615.00M,5.13B,,,-272.00M,,4.858B,4.858B,15.75B,7.892B,7.857B,0.66,,,,0.66,0.66,0.66,,,,0.66,0.66,7.303B,7.334B,0.51
2018-09,45.74B,45.74B,20.71B,25.03B,9.598B,,,2.051B,,-2.051B,17.76B,7.269B,,2.051B,-2.051B,989.00M,-2.051B,6.207B,1.391B,4.816B,,,-98.00M,,4.718B,4.718B,16.42B,8.166B,8.258B,0.65,,,,0.65,0.65,0.65,,,,0.65,0.65,7.284B,7.32B,0.5
2018-06,38.99B,38.99B,17.46B,21.53B,8.684B,,,2.023B,,-2.023B,15.06B,6.466B,,2.023B,-2.023B,2.337B,-2.023B,6.78B,1.532B,5.248B,,,-116.00M,,5.132B,5.132B,15.18B,6.378B,8.803B,0.81,,,,0.81,0.81,0.81,,,,0.81,0.81,6.351B,6.374B,0.5
2018-03,38.04B,38.04B,17.95B,20.09B,7.897B,,,1.771B,,-1.771B,13.89B,6.201B,,1.771B,-1.771B,1.711B,-1.771B,6.141B,1.382B,4.759B,,,-97.00M,,4.662B,4.662B,13.91B,5.994B,7.912B,0.75,,,,0.75,0.75,0.75,,,,0.75,0.75,6.161B,6.18B,0.5
2017-12,41.68B,41.68B,21.93B,19.75B,9.484B,,,1.926B,,-1.926B,15.56B,4.195B,,1.926B,-1.926B,-3.552B,-1.926B,-1.283B,-20.42B,19.14B,,,-99.00M,,19.04B,19.04B,6.714B,6.071B,643.00M,3.08,,,,3.08,3.08,3.08,,,,3.08,3.08,6.164B,6.18B,0.5
2017-09,39.67B,39.67B,19.17B,20.50B,8.65B,,,1.686B,,-1.686B,14.69B,5.807B,,1.686B,-1.686B,853.00M,-1.686B,4.974B,1.851B,3.123B,,,-94.00M,,3.029B,3.029B,12.70B,6.042B,6.66B,0.49,,,,0.49,0.49,0.49,,,,0.49,0.49,6.162B,6.182B,0.49
2017-06,39.84B,39.84B,18.60B,21.23B,8.559B,,,1.395B,,-1.395B,14.71B,6.526B,,1.395B,-1.395B,939.00M,-1.395B,6.07B,2.056B,4.014B,,,-99.00M,,3.915B,3.915B,13.61B,6.147B,7.465B,0.63,,,,0.63,0.63,0.63,,,,0.63,0.63,6.165B,6.184B,0.49
2017-03,39.36B,39.36B,18.11B,21.26B,8.772B,,,1.293B,,-1.293B,14.90B,6.356B,,1.293B,-1.293B,315.00M,-1.293B,5.378B,1.804B,3.574B,,,-105.00M,,3.469B,3.469B,12.80B,6.127B,6.671B,0.56,,,,0.56,0.56,0.56,,,,0.56,0.56,6.166B,6.186B,0.49
2016-12,41.84B,41.84B,21.42B,20.42B,10.48B,,,1.221B,,-1.221B,16.61B,3.805B,,1.221B,-1.221B,607.00M,-1.221B,3.191B,676.00M,2.515B,,,-78.00M,,2.437B,2.437B,10.54B,6.129B,4.412B,0.39,,,,0.39,0.39,0.39,,,,0.39,0.39,6.159B,6.183B,0.49
2016-09,40.89B,40.89B,18.89B,22.00B,9.013B,,,1.224B,,-1.224B,15.59B,6.408B,,1.224B,-1.224B,9.00M,-1.224B,5.193B,1.775B,3.418B,,,-90.00M,,3.328B,3.328B,13.00B,6.579B,6.417B,0.54,,,,0.54,0.54,0.54,,,,0.54,0.54,6.168B,6.189B,0.48
2016-06,40.52B,40.52B,18.48B,22.04B,8.909B,,,1.258B,,-1.258B,15.48B,6.56B,,1.258B,-1.258B,119.00M,-1.258B,5.421B,1.906B,3.515B,,,-107.00M,,3.408B,3.408B,13.26B,6.576B,6.679B,0.55,,,,0.55,0.55,0.55,,,,0.55,0.55,6.174B,6.195B,0.48
2016-03,40.54B,40.54B,18.40B,22.14B,8.441B,,,1.207B,,-1.207B,15.00B,7.131B,,1.207B,-1.207B,83.00M,-1.207B,6.007B,2.122B,3.885B,,,-82.00M,,3.803B,3.803B,13.78B,6.563B,7.214B,0.62,,,,0.62,0.62,0.61,,,,0.61,0.61,6.172B,6.19B,0.48
2015-12,42.12B,42.12B,19.69B,22.43B,8.384B,,,1.143B,,-1.143B,14.86B,7.567B,,1.143B,-1.143B,-117.00M,-1.143B,6.307B,2.221B,4.086B,,,-80.00M,,4.006B,4.006B,13.93B,6.477B,7.45B,0.65,,,,0.65,0.65,0.65,,,,0.65,0.65,6.171B,6.195B,0.48
2015-09,39.09B,39.09B,17.80B,21.30B,9.107B,,,1.146B,,-1.146B,15.37B,5.923B,,1.146B,-1.146B,-42.00M,-1.146B,4.735B,1.657B,3.078B,,,-84.00M,,2.994B,2.994B,12.15B,6.265B,5.881B,0.5,,,,0.5,0.5,0.5,,,,0.5,0.5,5.924B,5.943B,0.47
2015-06,33.02B,33.02B,15.08B,17.94B,7.467B,,,932.00M,,-932.00M,12.16B,5.773B,,932.00M,-932.00M,81.00M,-932.00M,4.922B,1.738B,3.184B,,,-102.00M,,3.082B,3.082B,10.55B,4.696B,5.854B,0.59,,,,0.59,0.59,0.59,,,,0.59,0.59,5.204B,5.22B,0.47
2015-03,32.58B,32.58B,14.48B,18.10B,7.961B,,,899.00M,,-899.00M,12.54B,5.557B,,899.00M,-899.00M,70.00M,-899.00M,4.728B,1.389B,3.339B,,,-76.00M,,3.263B,3.263B,10.20B,4.578B,5.627B,0.63,,,,0.63,0.63,0.63,,,,0.63,0.63,5.203B,5.219B,0.47
2014-12,34.44B,34.44B,18.46B,15.98B,14.76B,,,856.00M,,-856.00M,19.33B,-3.349B,,856.00M,-856.00M,-2.008B,-856.00M,-6.213B,-2.295B,-3.918B,,,-81.00M,,-3.999B,-3.999B,-790.00M,4.567B,-5.357B,-0.77,,,,-0.77,-0.77,-0.77,,,,-0.77,-0.77,5.196B,5.212B,0.47
2014-09,32.96B,32.96B,14.34B,18.62B,8.475B,,,1.016B,,-1.016B,13.01B,5.607B,,1.016B,-1.016B,40.00M,-1.016B,4.631B,1.444B,3.187B,,,-57.00M,,3.13B,3.13B,10.19B,4.539B,5.647B,0.6,,,,0.6,0.6,0.6,,,,0.6,0.6,5.198B,5.214B,0.46
2014-06,32.58B,32.58B,14.21B,18.36B,8.197B,,,881.00M,,-881.00M,12.75B,5.616B,,881.00M,-881.00M,1.371B,-881.00M,6.106B,2.485B,3.621B,,,-74.00M,,3.547B,3.547B,11.54B,4.55B,6.987B,0.68,,,,0.68,0.68,0.68,,,,0.68,0.68,5.204B,5.22B,0.46
2014-03,32.48B,32.48B,13.32B,19.16B,8.26B,,,860.00M,,-860.00M,12.88B,6.278B,,860.00M,-860.00M,233.00M,-860.00M,5.651B,1.917B,3.734B,,,-82.00M,,3.652B,3.652B,11.13B,4.617B,6.511B,0.7,,,,0.7,0.7,0.7,,,,0.7,0.7,5.222B,5.238B,0.46
2013-12,33.16B,33.16B,11.96B,21.20B,4.008B,,,1.459B,,-1.459B,8.688B,12.51B,,1.459B,-1.459B,374.00M,-1.459B,11.43B,4.262B,7.164B,,,-82.00M,,7.082B,7.082B,17.56B,4.68B,12.88B,1.31,,,,1.31,1.31,1.31,,,,1.31,1.31,5.266B,5.283B,0.46
2013-09,32.16B,32.16B,13.40B,18.76B,7.952B,,,829.00M,,-829.00M,12.57B,6.188B,,829.00M,-829.00M,141.00M,-829.00M,5.50B,1.595B,3.905B,,,-91.00M,,3.814B,3.814B,10.94B,4.615B,6.329B,0.72,,,,0.72,0.72,0.72,,,,0.72,0.72,5.315B,5.331B,0.45
2013-06,32.08B,32.08B,13.27B,18.80B,8.121B,,,825.00M,,-825.00M,12.69B,6.113B,,825.00M,-825.00M,506.00M,-825.00M,5.794B,1.914B,3.88B,,,-58.00M,,3.822B,3.822B,11.19B,4.571B,6.619B,0.71,,,,0.71,0.71,0.71,,,,0.71,0.71,5.381B,5.397B,0.45
2013-03,31.36B,31.36B,12.55B,18.80B,8.333B,,,827.00M,,-827.00M,12.86B,5.94B,,827.00M,-827.00M,217.00M,-827.00M,5.33B,1.557B,3.773B,,,-73.00M,,3.70B,3.70B,10.69B,4.529B,6.157B,0.67,,,,0.67,0.67,0.67,,,,0.67,0.67,5.513B,5.53B,0.45
2012-12,32.58B,32.58B,17.56B,15.02B,16.41B,,,820.00M,,-820.00M,20.98B,-5.958B,,820.00M,-820.00M,227.00M,-820.00M,-6.551B,-2.772B,-3.779B,,,-78.00M,,-3.857B,-3.857B,-1.159B,4.572B,-5.731B,-0.68,,,,-0.68,-0.68,-0.68,,,,-0.68,-0.68,5.66B,5.677B,0.45
2012-09,31.46B,31.46B,12.60B,18.86B,8.308B,,,824.00M,,-824.00M,12.82B,6.037B,,824.00M,-824.00M,229.00M,-824.00M,5.442B,1.741B,3.701B,,,-66.00M,,3.635B,3.635B,10.78B,4.512B,6.266B,0.63,,,,0.63,0.63,0.63,,,,0.63,0.63,5.771B,5.792B,0.44
2012-06,31.58B,31.58B,12.25B,19.32B,8.005B,,,941.00M,,-941.00M,12.50B,6.817B,,941.00M,-941.00M,155.00M,-941.00M,6.031B,2.066B,3.965B,,,-63.00M,,3.902B,3.902B,11.47B,4.499B,6.972B,0.67,,,,0.67,0.67,0.66,,,,0.66,0.66,5.855B,5.876B,0.44
2012-03,31.82B,31.82B,12.82B,19.00B,8.344B,,,859.00M,,-859.00M,12.90B,6.101B,,859.00M,-859.00M,275.00M,-859.00M,5.517B,1.865B,3.652B,,,-68.00M,,3.584B,3.584B,10.94B,4.56B,6.376B,0.6,,,,0.6,0.6,0.6,,,,0.6,0.6,5.918B,5.94B,0.44
2011-12,40.72B,32.50B,16.68B,15.82B,17.33B,,,952.00M,,-952.00M,21.90B,-6.08B,,952.00M,-952.00M,-2.658B,-952.00M,-9.69B,-3.062B,-6.628B,,,-50.00M,,-6.678B,-6.678B,-4.165B,4.573B,-8.738B,-1.12,0.0,,,-1.12,-1.12,-1.12,0.0,,,-1.12,-1.12,5.919B,5.95B,0.44
2011-09,28.76B,31.48B,12.66B,18.82B,7.969B,,,889.00M,,-889.00M,12.59B,6.235B,,889.00M,-889.00M,239.00M,-889.00M,5.585B,1.899B,3.686B,,,-63.00M,,3.623B,3.623B,11.09B,4.618B,6.474B,0.61,,,,0.61,0.61,0.61,,,,0.61,0.61,5.936B,5.954B,0.43
2011-06,28.69B,31.50B,12.76B,18.74B,7.972B,,,848.00M,,-848.00M,12.57B,6.165B,,848.00M,-848.00M,234.00M,-848.00M,5.551B,1.893B,3.658B,,,-67.00M,,3.591B,3.591B,11.00B,4.602B,6.399B,0.6,,,,0.6,0.6,0.6,,,,0.6,0.6,5.932B,5.953B,0.43
2011-03,28.55B,31.25B,12.81B,18.43B,8.042B,,,846.00M,,-846.00M,12.63B,5.808B,,846.00M,-846.00M,308.00M,-846.00M,5.27B,1.802B,3.468B,,,-60.00M,,3.408B,3.408B,10.70B,4.584B,6.116B,0.57,,,,0.57,0.57,0.57,,,,0.57,0.57,5.925B,5.945B,0.43
2010-12,28.42B,31.36B,11.82B,19.54B,12.46B,,,746.00M,,-746.00M,17.37B,2.173B,,746.00M,-746.00M,120.00M,-746.00M,1.547B,388.00M,1.159B,2.00M,,-72.00M,,1.089B,1.087B,7.20B,4.907B,2.293B,0.18,0.0,,,0.18,0.18,0.18,0.0,,,0.18,0.18,5.928B,5.941B,0.43
2010-09,28.56B,31.58B,13.60B,17.98B,7.672B,,,729.00M,,-729.00M,12.54B,5.431B,,729.00M,-729.00M,341.00M,-729.00M,5.043B,-6.573B,11.62B,780.00M,,-77.00M,,12.32B,11.54B,10.64B,4.873B,5.772B,1.95,0.13,,,1.95,2.08,1.94,0.13,,,1.94,2.07,5.909B,5.938B,0.42
2010-06,28.28B,30.81B,12.45B,18.36B,7.454B,,,754.00M,,-754.00M,12.27B,6.083B,,754.00M,-754.00M,918.00M,-754.00M,6.247B,2.16B,4.087B,-5.00M,,-79.00M,,4.003B,4.008B,11.82B,4.819B,7.001B,0.68,0.0,,,0.68,0.68,0.67,0.0,,,0.67,0.67,5.909B,5.937B,0.42
2010-03,28.02B,30.53B,12.38B,18.15B,7.396B,,,765.00M,,-765.00M,12.18B,5.971B,,765.00M,-765.00M,195.00M,-765.00M,5.401B,2.863B,2.538B,2.00M,,-87.00M,,2.453B,2.451B,10.95B,4.78B,6.166B,0.42,0.0,,,0.42,0.42,0.41,0.0,,,0.41,0.41,5.905B,5.935B,0.42
2009-12,27.92B,30.71B,12.97B,17.73B,8.445B,,,795.00M,,-795.00M,13.35B,4.388B,,795.00M,-795.00M,293.00M,-795.00M,3.886B,1.205B,2.681B,14.00M,,-73.00M,,2.622B,2.608B,9.582B,4.901B,4.681B,0.51,0.0,,,0.51,0.51,0.51,0.0,,,0.51,0.51,5.903B,5.93B,0.42
