,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,9.758B,,9.758B,19.38B,,19.38B,,,1.42B,,19.41B,49.97B,,,,,358.34B,,358.34B,-205.08B,153.27B,143.69B,153.74B,297.43B,2.325B,,35.56B,488.58B,538.55B,42.73B,3.741B,1.336B,47.80B,,47.80B,1.754B,3.97B,5.724B,174.00M,5.898B,5.862B,5.862B,,59.56B,151.25B,23.79B,175.04B,60.45B,60.45B,17.93B,19.50B,,30.52B,283.93B,343.50B,7.621B,55.09B,130.14B,17.95B,,649.00M,175.55B
2020-06,,16.94B,,16.94B,19.13B,,19.13B,,,1.439B,,19.05B,56.56B,,,,,357.58B,,357.58B,-203.94B,153.64B,143.65B,155.68B,299.33B,2.302B,,36.08B,491.34B,547.90B,41.88B,3.741B,2.548B,48.17B,,48.17B,,,15.58B,,15.58B,5.723B,5.723B,,69.47B,153.39B,22.23B,175.62B,58.39B,58.39B,18.17B,17.56B,,32.80B,284.98B,354.44B,7.621B,56.04B,130.05B,17.94B,,129.00M,175.90B
2020-03,3.287B,9.955B,,9.955B,19.91B,,19.91B,,,1.60B,,21.24B,52.70B,,,,,353.20B,,353.20B,-200.27B,152.93B,145.55B,154.46B,300.01B,3.606B,,36.10B,492.65B,545.35B,40.77B,3.737B,2.169B,46.68B,,46.68B,,,17.07B,,17.07B,5.96B,5.96B,,69.70B,147.20B,21.58B,168.79B,58.49B,58.49B,18.32B,17.67B,,34.60B,280.20B,349.90B,7.621B,58.53B,129.97B,17.96B,,-385.00M,177.78B
2019-12,2.654B,12.13B,,12.13B,22.64B,,22.64B,,,1.631B,,18.36B,54.76B,0.0,2.651B,38.92B,287.79B,24.04B,4.176B,357.58B,-203.41B,154.17B,146.24B,157.62B,303.86B,3.695B,,35.19B,496.91B,551.67B,29.64B,3.781B,1.212B,34.63B,14.79B,49.42B,0.00,11.68B,11.68B,162.00M,11.84B,6.124B,6.124B,,68.91B,149.44B,23.68B,173.11B,59.50B,59.50B,18.79B,17.71B,,29.42B,280.82B,349.74B,7.621B,57.94B,126.28B,13.08B,,5.47B,184.22B
2019-09,,6.588B,,6.588B,22.92B,,22.92B,,,1.493B,,19.69B,50.70B,,,,,361.72B,,361.72B,-205.92B,155.79B,146.11B,157.75B,303.85B,4.137B,,34.32B,498.10B,548.80B,43.96B,3.725B,2.741B,50.42B,,50.42B,,,11.61B,,11.61B,6.097B,6.097B,,68.13B,153.57B,22.29B,175.86B,57.79B,57.79B,22.85B,11.28B,,29.85B,286.34B,354.47B,7.621B,59.35B,125.14B,11.20B,,2.137B,183.05B
2019-06,,8.423B,,8.423B,22.38B,,22.38B,,,1.441B,,14.97B,47.22B,,,,,357.57B,,357.57B,-202.84B,154.72B,146.66B,160.76B,307.42B,4.133B,,33.42B,499.70B,546.91B,42.08B,3.726B,2.062B,47.87B,,47.87B,,,12.77B,,12.77B,5.734B,5.734B,,66.38B,157.79B,20.57B,178.36B,58.71B,58.71B,21.21B,9.824B,,28.18B,286.46B,352.83B,7.621B,59.39B,125.11B,11.15B,,3.289B,184.26B
2019-03,,6.516B,,6.516B,23.86B,,23.86B,,,1.518B,,14.58B,46.47B,,,,,352.75B,,352.75B,-200.47B,152.29B,146.43B,162.57B,309.01B,6.23B,,34.39B,501.91B,548.38B,42.31B,3.722B,1.13B,47.16B,,47.16B,,,11.54B,,11.54B,5.956B,5.956B,,64.65B,163.94B,18.25B,182.20B,59.21B,59.21B,19.66B,9.839B,,27.72B,288.78B,353.43B,7.621B,59.42B,125.17B,11.45B,,4.345B,185.11B
2018-12,,5.204B,,5.204B,26.47B,,26.47B,,,2.047B,,17.70B,51.43B,0.0,2.714B,38.01B,284.44B,,5.526B,330.69B,-199.22B,131.47B,146.37B,163.83B,310.20B,6.245B,,32.52B,480.44B,531.86B,27.02B,3.854B,1.179B,32.05B,14.70B,46.75B,3.048B,7.207B,10.26B,,10.26B,5.948B,5.948B,,64.42B,166.25B,0.00,166.25B,57.86B,57.86B,19.22B,9.795B,,30.23B,273.56B,337.98B,7.621B,58.75B,125.52B,12.06B,,4.249B,184.09B
2018-09,,8.657B,,8.657B,26.31B,,26.31B,,,1.86B,,16.28B,53.11B,,,,,,,327.68B,-197.33B,130.35B,146.48B,166.10B,312.58B,6.128B,,32.71B,481.76B,534.87B,39.38B,3.635B,1.46B,44.47B,,44.47B,,,14.90B,,14.90B,6.045B,6.045B,,65.42B,168.51B,,168.51B,60.50B,60.50B,28.98B,1.123B,,26.49B,284.48B,349.90B,7.621B,57.62B,125.71B,12.49B,,5.383B,183.85B
2018-06,,13.52B,,13.52B,25.49B,,25.49B,,,1.966B,,14.30B,55.29B,,,,,,,324.89B,-195.33B,129.56B,142.61B,169.44B,312.05B,8.007B,,29.79B,479.40B,534.69B,35.49B,3.63B,1.889B,41.01B,,41.01B,,,21.67B,,21.67B,5.914B,5.914B,,68.59B,168.50B,,168.50B,59.66B,59.66B,28.79B,1.15B,,25.02B,281.97B,350.56B,7.621B,56.56B,125.96B,12.87B,,5.716B,182.98B
