,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,199.79M,-1.576M,,-1.576M,,100.96M,13.70M,8.019M,,6.715M,,,,,24.73M,352.34M,,-45.84M,6.377M,-39.46M,0.00,,5.244M,-34.22M,,-0.006M,0.00,-0.006M,,0.00,0.00,-45.03M,-45.03M,-0.473M,-5.071M,-50.58M,,817.20M,267.53M,1.085B,,,,0.00,-0.006M,0.00,,,,AOR,
2020-06,209.92M,0.258M,,0.258M,,99.47M,16.97M,8.504M,,9.668M,,,,,-1.674M,343.12M,,-80.50M,0.527M,-79.97M,-5.017M,,-4.297M,-89.28M,,499.99M,0.00,499.99M,,0.00,0.00,-45.03M,-45.03M,-0.465M,-11.41M,443.09M,,120.27M,696.93M,817.20M,,,,750.00M,-250.01M,0.00,,,,AOR,
2020-03,60.26M,-0.999M,,-0.999M,,95.48M,19.67M,6.716M,,0.946M,,,,,-99.60M,82.48M,,-142.65M,2.536M,-140.11M,0.00,,9.872M,-130.24M,,-0.006M,0.00,-0.006M,,-26.13M,-26.13M,-45.10M,-45.10M,-15.36M,-19.86M,-106.47M,,274.51M,-154.23M,120.27M,,,,0.00,-0.006M,-26.13M,,,,AOR,
2019-12,141.09M,-12.77M,,-12.77M,,95.67M,13.78M,7.028M,,19.41M,,,,,73.78M,337.99M,,-77.20M,10.55M,-66.65M,-45.27M,,-0.655M,-112.58M,,-0.006M,0.00,-0.006M,,0.00,0.00,-41.03M,-41.03M,-0.987M,0.014M,-42.01M,,91.10M,183.40M,274.51M,,,,0.00,-0.006M,0.00,,,,AOR,
2019-09,215.71M,-0.234M,,-0.234M,,96.25M,27.42M,10.44M,,14.37M,,,,,-19.74M,344.21M,,-81.06M,0.912M,-80.14M,0.00,,-6.765M,-86.91M,,-0.006M,-137.00M,-137.01M,,-2.602M,-2.602M,-41.02M,-41.02M,-12.09M,-0.01M,-192.72M,,26.52M,64.58M,91.10M,,,,6.80M,-143.81M,-2.602M,,,,AOR,Restated
2019-06,197.56M,-3.451M,,-3.451M,,93.50M,34.04M,8.646M,,8.984M,,,,,-153.52M,185.75M,,-103.82M,4.688M,-99.13M,0.00,,2.66M,-96.47M,,-0.005M,-41.50M,-41.50M,,0.00,0.00,-40.99M,-40.99M,-11.37M,-0.004M,-93.87M,,31.11M,-4.586M,26.52M,,,,163.90M,-205.40M,0.00,,,,AOR,Restated
2019-03,63.30M,-7.297M,,-7.297M,,89.18M,0.774M,5.724M,,12.22M,,,,,-47.73M,116.16M,,-122.02M,6.512M,-115.51M,2.866M,,-7.237M,-119.88M,,-0.006M,45.50M,45.49M,,0.00,0.00,-40.94M,-40.94M,-14.14M,,-9.582M,,44.40M,-13.30M,31.11M,,,,196.20M,-150.71M,0.00,,,,AOR,Restated
2018-12,124.02M,-6.57M,,-6.57M,,89.78M,-12.14M,3.565M,,0.624M,,,,,60.86M,260.15M,,-120.85M,9.372M,-111.48M,-8.281M,,-0.634M,-120.39M,,-0.006M,-67.00M,-67.01M,,-34.07M,-34.07M,-36.92M,-36.92M,-0.428M,0.00,-138.42M,,43.07M,1.335M,44.40M,,,,225.00M,-292.01M,-34.07M,,,,AOR,Restated
2018-09,179.15M,-2.104M,,-2.104M,,89.39M,36.23M,6.887M,,-0.264M,,,,,-12.42M,296.87M,,-101.07M,4.315M,-96.76M,5.858M,,-1.99M,-92.89M,,-0.005M,-160.00M,-160.00M,,-25.00M,-25.00M,-37.00M,-37.00M,-0.032M,0.00,-222.03M,,61.12M,-18.05M,43.07M,,,,8.70M,-168.70M,-25.00M,,,,AOR,Restated
2018-06,159.65M,-2.106M,,-2.106M,,85.63M,32.58M,7.969M,,-5.69M,,,,,-95.25M,182.79M,,-118.48M,6.822M,-111.66M,-142.74M,,-10.19M,-264.58M,,-0.006M,160.00M,159.99M,,-19.35M,-19.35M,-37.02M,-37.02M,-7.227M,0.00,96.39M,,46.51M,14.60M,61.12M,,,,254.20M,-94.21M,-19.35M,,,,AOR,Restated
