,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.310B,1.310B,929.39M,380.50M,83.51M,1.576M,35.78M,,-35.78M,10.46M,93.97M,286.53M,,35.78M,-35.78M,7.363M,-35.78M,258.11M,56.98M,201.12M,-1.337M,,,199.79M,199.90M,394.85M,100.96M,293.89M,,1.52,-0.01,,1.511,1.51,,1.51,-0.01,,1.501,1.50,,132.57M,133.27M,0.34,,AOR,
2020-06,1.323B,1.323B,926.06M,396.52M,91.20M,-0.258M,33.95M,,-33.95M,6.16M,97.36M,299.15M,,33.95M,-33.95M,7.109M,-33.95M,272.31M,61.35M,210.96M,-1.041M,,,209.92M,211.16M,405.73M,99.47M,306.26M,,1.59,-0.01,,1.592,1.58,,1.58,-0.01,,1.582,1.58,,132.55M,133.12M,0.34,,AOR,
2020-03,1.049B,1.049B,847.52M,201.72M,86.43M,0.999M,30.77M,,-30.77M,3.991M,90.42M,111.30M,,30.77M,-30.77M,-8.337M,-30.77M,72.19M,12.19M,60.00M,0.26M,,,60.26M,59.17M,198.44M,95.48M,102.96M,,0.45,0.00,,0.4437,0.45,,0.45,0.00,,0.4438,0.45,,132.57M,133.26M,0.34,,AOR,
2019-12,1.186B,1.186B,893.07M,293.08M,95.80M,12.77M,31.99M,,-30.84M,16.47M,112.28M,180.81M,,31.99M,-30.84M,16.06M,-30.84M,166.03M,23.43M,142.60M,-1.503M,,,141.09M,131.63M,293.69M,95.67M,198.02M,,1.08,-0.01,,0.9972,1.07,,1.07,-0.01,,0.9880,1.06,,132.47M,133.72M,0.31,,AOR,
2019-09,1.419B,1.419B,1.018B,400.64M,88.79M,0.234M,32.20M,,-32.20M,8.712M,97.50M,303.14M,,32.20M,-32.20M,0.593M,-32.20M,271.54M,53.47M,218.07M,-2.353M,,,215.71M,217.88M,399.98M,96.25M,303.74M,,1.65,-0.02,,1.649,1.63,,1.63,-0.02,,1.629,1.62,,132.41M,133.38M,0.31,,AOR,Restated
2019-06,1.328B,1.328B,957.18M,370.50M,95.69M,3.451M,33.04M,,-33.04M,2.19M,97.88M,272.62M,,33.04M,-33.04M,5.917M,-33.04M,245.50M,47.60M,197.91M,-0.349M,,,197.56M,195.13M,372.04M,93.50M,278.54M,,1.50,-0.01,,1.479,1.49,,1.48,-0.01,,1.459,1.48,,132.27M,133.35M,0.31,,AOR,Restated
2019-03,996.51M,996.51M,804.84M,191.68M,90.27M,7.297M,32.93M,,-32.93M,4.271M,94.54M,97.14M,,32.93M,-32.93M,10.43M,-32.93M,74.63M,10.69M,63.94M,-0.636M,,,63.30M,57.68M,196.74M,89.18M,107.56M,,0.48,0.00,,0.4326,0.48,,0.48,0.00,,0.433,0.48,,132.04M,133.05M,0.31,,AOR,Restated
2018-12,1.088B,1.088B,812.76M,275.28M,84.38M,6.57M,33.41M,,-32.86M,10.98M,95.36M,179.92M,,33.41M,-32.86M,6.862M,-32.86M,153.92M,29.64M,124.28M,-0.258M,,,124.02M,118.98M,277.12M,89.78M,187.34M,,0.94,0.00,,0.8998,0.94,,0.93,0.00,,0.8903,0.93,,132.06M,133.47M,0.28,,AOR,Restated
2018-09,1.240B,1.240B,897.06M,343.14M,81.61M,2.104M,33.55M,,-33.55M,14.46M,96.06M,247.08M,,33.55M,-33.55M,6.994M,-33.55M,220.53M,40.66M,179.86M,-0.713M,,,179.15M,178.15M,343.46M,89.39M,254.07M,,1.36,-0.01,,1.347,1.35,,1.34,-0.01,,1.327,1.34,,132.39M,133.89M,0.28,,AOR,Restated
2018-06,1.200B,1.200B,876.97M,323.18M,89.04M,2.106M,33.24M,,-33.24M,5.994M,95.04M,228.15M,,33.24M,-33.24M,5.445M,-33.24M,200.35M,40.05M,160.30M,-0.65M,,,159.65M,158.62M,319.22M,85.63M,233.59M,,1.21,0.00,,1.197,1.21,,1.20,-0.01,,1.187,1.19,,132.44M,134.05M,0.28,,AOR,Restated
2018-03,854.47M,854.47M,695.14M,159.33M,78.34M,4.164M,37.77M,,-37.77M,3.963M,82.30M,77.03M,,37.77M,-37.77M,9.235M,-37.77M,48.49M,-4.903M,53.40M,-0.416M,,,52.98M,50.36M,167.70M,81.44M,86.27M,,0.40,0.00,,0.3771,0.40,,0.40,-0.01,,0.3774,0.39,,132.69M,134.36M,0.28,,AOR,Restated
2017-12,977.49M,977.49M,735.97M,241.52M,85.92M,13.20M,140.95M,,-136.51M,19.59M,105.51M,136.00M,,140.95M,-136.51M,14.84M,-136.51M,14.34M,-313.63M,327.97M,-0.423M,,,327.55M,320.05M,233.28M,77.99M,155.29M,,2.47,0.00,,2.410,2.47,,2.43,0.00,,2.371,2.43,,132.52M,134.95M,0.25,,AOR,Restated
2017-09,1.095B,1.095B,790.96M,303.76M,73.61M,1.488M,82.04M,,-82.04M,4.156M,77.77M,225.99M,,82.04M,-82.04M,5.281M,-82.04M,149.23M,39.08M,110.15M,-1.571M,,,108.58M,109.05M,310.91M,79.64M,231.27M,,0.83,-0.01,,0.8217,0.82,,0.82,-0.01,,0.8119,0.81,,132.48M,134.76M,0.25,,AOR,Restated
2017-06,1.031B,1.031B,740.75M,290.02M,83.06M,2.773M,38.46M,,-38.46M,17.77M,100.82M,189.19M,,38.46M,-38.46M,6.663M,-38.46M,157.40M,45.65M,111.75M,8.39M,,,120.14M,109.78M,272.63M,76.78M,195.86M,,0.84,0.07,,0.8251,0.91,,0.83,0.06,,0.8154,0.89,,132.41M,134.74M,0.25,,AOR,Restated
2017-03,787.33M,787.33M,629.11M,158.22M,82.38M,0.369M,34.08M,,-34.08M,5.828M,88.21M,70.01M,,34.08M,-34.08M,4.414M,-34.08M,40.35M,-3.175M,43.52M,1.398M,,,44.92M,43.30M,145.99M,71.56M,74.42M,,0.33,0.01,,0.3283,0.34,,0.32,0.01,,0.3184,0.33,,132.64M,134.97M,0.25,,AOR,Restated
2016-12,872.97M,872.97M,645.20M,227.77M,81.31M,11.35M,33.88M,,-33.08M,-2.304M,79.00M,148.77M,,33.88M,-33.08M,25.65M,-33.08M,141.34M,33.28M,108.06M,4.536M,,,112.60M,99.39M,246.80M,71.58M,175.22M,,0.82,0.03,,0.7545,0.85,,0.80,0.03,,0.7359,0.83,,132.57M,135.36M,0.20,,AOR,Restated
2016-09,1.008B,1.008B,703.93M,304.21M,76.31M,2.713M,33.13M,,-33.13M,3.535M,79.85M,224.36M,,33.13M,-33.13M,3.703M,-33.13M,194.94M,49.80M,145.14M,-3.113M,,,142.02M,143.12M,300.11M,72.05M,228.07M,,1.09,-0.02,,1.075,1.07,,1.07,-0.02,,1.055,1.05,,133.02M,135.82M,0.20,,AOR,Restated
2016-06,956.82M,956.82M,664.64M,292.18M,82.68M,10.46M,33.33M,,-33.33M,6.175M,88.86M,203.33M,,33.33M,-33.33M,10.49M,-33.33M,180.48M,53.24M,127.24M,-2.532M,,,124.71M,119.87M,285.72M,71.91M,213.82M,,0.95,-0.02,,0.8947,0.93,,0.93,-0.02,,0.8759,0.92,,133.42M,136.21M,0.20,,AOR,Restated
2016-03,754.73M,754.73M,590.01M,164.72M,76.47M,-9.091M,33.73M,,-33.73M,14.24M,90.71M,74.01M,,33.73M,-33.73M,-9.785M,-33.73M,30.50M,-11.47M,41.96M,-1.807M,,,40.16M,47.42M,133.63M,69.41M,64.23M,,0.31,-0.01,,0.3508,0.30,,0.31,-0.01,,0.3501,0.30,,133.82M,136.10M,0.20,,AOR,Restated
2015-12,857.28M,857.28M,603.36M,253.93M,79.49M,12.24M,36.66M,,-36.31M,13.64M,93.13M,160.80M,,36.66M,-36.31M,12.84M,-36.31M,137.32M,43.77M,93.56M,-4.671M,,,88.89M,85.22M,232.56M,58.58M,173.98M,,0.70,-0.03,,0.6376,0.67,,0.69,-0.04,,0.6285,0.65,,133.59M,135.55M,0.10,,AOR,Restated
2015-09,1.038B,1.038B,747.17M,291.29M,71.39M,0.351M,37.80M,,-37.80M,8.045M,79.44M,211.86M,,37.80M,-37.80M,-2.467M,-37.80M,171.59M,45.39M,126.20M,-2.397M,,,123.80M,125.94M,279.05M,69.66M,209.39M,,0.95,-0.02,,0.9481,0.93,,0.93,-0.02,,0.9281,0.91,,133.47M,135.56M,0.10,,AOR,Restated
2015-06,895.14M,895.14M,660.69M,234.45M,69.20M,-6.221M,83.65M,,-83.65M,5.255M,74.45M,160.00M,,83.65M,-83.65M,-6.66M,-83.65M,69.69M,19.87M,49.82M,-1.657M,,,48.16M,54.27M,221.72M,68.38M,153.34M,,0.37,-0.01,,0.4034,0.36,,0.37,-0.01,,0.4029,0.36,,133.10M,135.23M,0.10,,AOR,Restated
2015-03,631.29M,631.29M,553.43M,77.86M,66.76M,3.557M,62.48M,,-62.48M,3.90M,70.66M,7.202M,,62.48M,-62.48M,4.536M,-62.48M,-50.74M,-14.08M,-36.67M,-3.011M,,,-39.68M,-39.24M,78.46M,66.72M,11.74M,,-0.28,-0.02,,-0.2994,-0.30,,-0.28,-0.02,,-0.2994,-0.30,,132.66M,132.66M,0.10,,AOR,Restated
2014-12,755.03M,755.03M,585.37M,169.66M,72.48M,3.35M,41.84M,,-40.88M,0.638M,73.12M,96.54M,,41.84M,-40.88M,2.427M,-40.88M,58.09M,19.74M,38.35M,-0.327M,,,38.02M,36.14M,158.97M,59.04M,99.93M,,0.29,0.00,,0.2733,0.29,,0.29,-0.01,,0.2735,0.28,,132.08M,133.69M,0.06,,AOR,Restated
2014-09,873.58M,873.58M,664.54M,209.04M,66.07M,0.252M,40.89M,,-40.89M,2.889M,68.96M,140.08M,,40.89M,-40.89M,-0.341M,-40.89M,98.85M,31.07M,67.78M,-0.842M,,,66.94M,67.61M,210.89M,71.16M,139.74M,,0.51,0.00,,0.5087,0.51,,0.51,-0.01,,0.5087,0.50,,131.80M,133.37M,0.06,,AOR,Restated
2014-06,791.14M,791.14M,616.36M,174.79M,67.62M,1.162M,40.55M,,-40.55M,5.089M,72.70M,102.08M,,40.55M,-40.55M,2.96M,-40.55M,64.49M,17.98M,46.51M,-0.544M,,,45.97M,45.67M,173.37M,68.32M,105.04M,,0.35,0.00,,0.3436,0.35,,0.35,0.00,,0.3437,0.35,,131.15M,132.88M,0.05,,AOR,Restated
2014-03,574.42M,574.42M,540.33M,34.09M,66.12M,236.36M,120.09M,,-120.09M,9.668M,75.79M,-41.70M,,120.09M,-120.09M,239.19M,-120.09M,77.40M,22.90M,54.50M,-0.51M,,,54.00M,-111.90M,266.87M,69.38M,197.49M,,0.42,-0.01,,-0.8521,0.41,,0.41,-0.01,,-0.8476,0.41,,130.81M,132.31M,0.05,,AOR,Restated
2013-12,680.25M,680.25M,562.90M,117.35M,64.02M,2.381M,49.83M,,-48.89M,1.883M,65.90M,51.45M,,49.83M,-48.89M,4.951M,-48.89M,7.511M,-2.585M,10.10M,-1.014M,,,9.082M,8.548M,122.89M,65.55M,57.34M,,0.08,-0.01,,0.0681,0.07,,0.08,-0.01,,0.0683,0.07,,130.39M,131.76M,0.01,,AOR,Restated
2013-09,813.57M,813.57M,654.58M,158.98M,65.85M,9.35M,49.13M,,-49.13M,2.712M,68.57M,90.42M,,49.13M,-49.13M,11.66M,-49.13M,52.94M,10.79M,42.15M,-0.787M,,,41.36M,34.71M,180.40M,78.32M,102.08M,,0.32,0.00,,0.2629,0.32,,0.32,-0.01,,0.2633,0.31,,130.27M,131.32M,0.01,,AOR,Restated
2013-06,696.08M,738.73M,605.84M,132.90M,64.90M,23.41M,50.87M,,-50.87M,4.537M,69.44M,63.46M,,50.87M,-50.87M,23.70M,-50.87M,36.28M,6.151M,30.13M,-1.356M,,,28.77M,10.70M,164.11M,76.96M,87.15M,,0.23,-0.01,,0.0808,0.22,,0.23,-0.01,,0.0821,0.22,,130.25M,131.33M,0.01,,AOR,Restated
2013-03,504.55M,538.16M,520.51M,17.66M,64.66M,2.601M,52.75M,,-52.75M,5.659M,70.31M,-52.66M,,52.75M,-52.75M,4.974M,-52.75M,-100.44M,-38.82M,-61.62M,6.783M,,,-54.84M,-63.22M,27.91M,75.60M,-47.68M,,-0.47,0.05,,-0.4823,-0.42,,-0.47,0.05,,-0.4823,-0.42,,130.19M,130.19M,0.01,,AOR,Restated
2012-12,730.95M,608.43M,529.22M,79.21M,66.87M,46.23M,54.07M,,-52.93M,3.03M,69.90M,9.303M,,54.07M,-52.93M,48.76M,-52.93M,5.134M,0.646M,4.488M,-1.005M,,,3.483M,-35.92M,129.82M,70.61M,59.20M,,0.03,0.00,,-0.2810,0.03,,0.03,0.00,,-0.2810,0.03,,129.96M,129.96M,0.01,,AOR,Restated
2012-09,687.62M,728.86M,601.94M,126.92M,65.44M,-1.047M,53.04M,,-53.04M,4.569M,70.01M,56.91M,,53.04M,-53.04M,0.759M,-53.04M,4.629M,-10.99M,15.62M,-1.361M,,,14.26M,16.30M,141.78M,84.11M,57.67M,,0.12,-0.01,,0.1252,0.11,,0.12,-0.01,,0.1252,0.11,,129.75M,130.22M,0.01,,AOR,Restated
2012-06,648.89M,694.14M,588.20M,105.94M,61.91M,8.601M,53.69M,,-53.69M,32.96M,94.88M,11.06M,,53.69M,-53.69M,7.892M,-53.69M,-34.73M,-17.75M,-16.98M,-1.298M,,,-18.28M,-22.58M,103.07M,84.12M,18.95M,,-0.13,-0.01,,-0.1731,-0.14,,-0.13,-0.01,,-0.1731,-0.14,,129.68M,129.68M,0.01,,AOR,Restated
2012-03,499.85M,535.88M,513.92M,21.96M,64.91M,5.115M,52.27M,,-52.27M,8.44M,73.35M,-51.39M,,52.27M,-52.27M,8.213M,-52.27M,-95.45M,-38.40M,-57.05M,4.997M,,,-52.05M,-60.12M,41.99M,85.17M,-43.18M,,-0.44,0.04,,-0.4637,-0.40,,-0.44,0.04,,-0.4637,-0.40,,129.59M,129.59M,0.01,,AOR,Restated
2011-12,456.99M,614.63M,540.27M,74.36M,71.70M,5.82M,,,-53.34M,,83.32M,-8.965M,,,-53.34M,5.822M,-53.34M,-56.49M,-30.54M,-25.94M,-1.922M,,,-27.86M,-29.73M,155.52M,79.85M,75.67M,,-0.20,-0.02,,-0.2292,-0.22,,-0.20,-0.02,,-0.2292,-0.22,,129.50M,129.50M,0.01,,AOR,Restated
2011-09,760.75M,760.75M,644.97M,115.78M,67.02M,54.16M,,,-50.68M,,67.02M,48.76M,,,-50.68M,54.16M,-50.68M,52.24M,29.83M,22.41M,-2.453M,,,19.96M,-12.79M,139.71M,90.95M,48.76M,,0.17,-0.02,,-0.1019,0.15,,0.17,-0.02,,-0.1013,0.15,,129.49M,129.77M,0.25,,AOR,Restated
2011-06,701.97M,701.97M,601.13M,100.84M,74.06M,-3.31M,,,70.91M,,74.06M,26.78M,,,70.91M,-3.31M,70.91M,-47.44M,-40.34M,-7.102M,-1.037M,,,-8.139M,-4.950M,118.92M,92.14M,26.78M,,-0.05,-0.01,,-0.0334,-0.06,,-0.05,-0.01,,-0.0334,-0.06,,129.45M,129.45M,0.25,,AOR,Restated
2011-03,487.20M,487.20M,494.31M,-7.106M,77.52M,24.82M,,,-42.25M,,77.52M,-84.62M,,,-42.25M,24.82M,-42.25M,-102.05M,-37.43M,-64.62M,9.889M,,,-54.73M,-80.34M,5.964M,90.59M,-84.62M,,-0.50,0.08,,-0.6218,-0.42,,-0.50,0.08,,-0.6218,-0.42,,129.08M,129.08M,0.25,,AOR,Restated
2010-12,433.30M,586.24M,535.49M,50.75M,80.11M,-32.69M,,,-46.20M,-30.85M,49.25M,1.496M,,,-46.20M,-29.61M,-46.20M,-74.32M,-28.17M,-46.14M,-0.852M,,,-47.00M,-25.85M,109.01M,84.28M,24.74M,,-0.36,0.00,,-0.2023,-0.36,,-0.36,0.00,,-0.2023,-0.36,,128.68M,128.68M,0.25,,AOR,Restated
