,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,1.084B,,1.084B,644.21M,,644.21M,65.79M,5.098M,384.58M,,455.46M,,0.63M,,80.94M,2.265B,,,,9.442B,,,9.442B,-4.667B,4.775B,3.172B,1.107B,4.279B,41.78M,229.19M,9.325B,11.59B,,,,,263.30M,,,509.44M,509.44M,509.44M,297.16M,1.070B,,2.777B,407.34M,3.184B,685.52M,174.49M,860.01M,,,547.87M,4.592B,5.662B,,132.45M,3.205B,2.797B,,-206.00M,5.928B,,AOR,
2020-06,816.76M,,816.76M,695.86M,,695.86M,62.88M,5.116M,383.48M,,451.48M,,0.434M,,65.57M,2.030B,,,,9.394B,,,9.394B,-4.584B,4.810B,3.172B,1.115B,4.287B,43.85M,228.43M,9.369B,11.40B,,,,,278.10M,,0.00,500.03M,500.03M,500.03M,260.62M,1.039B,,2.786B,405.58M,3.191B,671.10M,177.53M,848.63M,,,555.97M,4.596B,5.635B,,132.45M,3.050B,2.790B,,-208.04M,5.764B,,AOR,
2020-03,120.04M,,120.04M,597.66M,,597.66M,62.12M,5.01M,403.61M,,470.75M,,0.232M,,88.10M,1.277B,,,,9.370B,,,9.370B,-4.547B,4.822B,3.167B,1.084B,4.251B,57.99M,222.02M,9.353B,10.63B,,,,,243.02M,,0.00,0.025M,0.025M,0.025M,232.63M,475.68M,,2.786B,399.49M,3.185B,648.40M,178.57M,826.97M,,,551.35M,4.563B,5.039B,,132.43M,2.885B,2.783B,,-209.93M,5.590B,,AOR,
2019-12,271.59M,,271.59M,532.01M,38.10M,570.12M,61.04M,5.604M,391.67M,,458.31M,,2.917M,,76.40M,1.379B,2.921B,141.90M,5.362B,609.14M,154.92M,1.677M,9.191B,-4.467B,4.724B,3.167B,1.091B,4.259B,60.71M,226.00M,9.269B,10.65B,,265.16M,265.16M,116.40M,381.55M,,0.00,0.025M,0.025M,0.025M,153.98M,535.56M,210.32M,2.784B,388.04M,3.172B,633.04M,179.88M,835.78M,178.21M,,94.71M,4.491B,5.027B,,132.37M,2.896B,2.791B,,-197.74M,5.622B,,AOR,
2019-09,90.41M,,90.41M,724.94M,,724.94M,59.43M,6.062M,364.16M,,429.66M,,0.691M,,78.54M,1.324B,,,,9.094B,,,9.094B,-4.396B,4.698B,3.167B,1.071B,4.238B,57.06M,221.80M,9.215B,10.54B,,,,,265.01M,,0.00,0.024M,0.024M,0.024M,270.25M,535.28M,,2.783B,391.08M,3.174B,628.73M,180.54M,809.27M,,,478.74M,4.462B,4.997B,,132.35M,2.796B,2.785B,,-171.19M,5.542B,,AOR,Restated
2019-06,26.03M,,26.03M,697.33M,,697.33M,57.51M,6.332M,377.58M,,441.42M,,0.491M,,89.74M,1.255B,,,,9.049B,,,9.049B,-4.340B,4.710B,3.167B,1.077B,4.244B,51.67M,220.46M,9.226B,10.48B,,,,,284.88M,,137.00M,0.024M,137.02M,137.02M,241.69M,663.59M,,2.782B,396.95M,3.179B,601.19M,182.67M,783.86M,,,483.10M,4.446B,5.109B,,132.23M,2.624B,2.787B,,-171.53M,5.371B,,AOR,Restated
2019-03,30.84M,,30.84M,560.53M,,560.53M,54.68M,4.976M,369.74M,,429.40M,,0.27M,,62.82M,1.084B,,,,8.995B,,,8.995B,-4.293B,4.702B,3.162B,1.085B,4.247B,50.95M,213.09M,9.213B,10.30B,,,,,248.12M,,178.50M,0.024M,178.52M,178.52M,232.96M,659.61M,,2.781B,403.43M,3.184B,568.23M,184.74M,752.97M,,,483.05M,4.420B,5.080B,,132.07M,2.467B,2.790B,,-171.92M,5.217B,,AOR,Restated
2018-12,40.04M,,40.04M,512.28M,28.50M,540.78M,53.66M,3.064M,372.60M,,429.33M,,4.367M,,64.63M,1.079B,2.823B,139.95M,5.107B,183.32M,186.12M,18.22M,8.458B,-4.220B,4.237B,3.165B,1.095B,4.261B,44.62M,210.29M,8.753B,9.832B,,216.47M,216.47M,111.59M,328.06M,,133.00M,0.023M,133.02M,133.02M,141.46M,602.55M,225.73M,2.779B,0.00,2.779B,567.28M,186.40M,770.28M,154.86M,,96.45M,4.027B,4.629B,,131.76M,2.445B,2.798B,,-172.22M,5.203B,,AOR,Restated
2018-09,38.03M,,38.03M,645.72M,,645.72M,59.04M,2.668M,346.94M,,408.65M,,5.043M,,78.48M,1.176B,,,,,,,8.386B,-4.198B,4.189B,3.170B,1.099B,4.269B,42.94M,199.09M,8.700B,9.876B,,233.88M,233.88M,,233.88M,,200.00M,0.023M,200.02M,200.02M,256.51M,690.42M,,2.778B,,2.778B,581.03M,186.83M,767.86M,,,493.45M,4.039B,4.730B,,132.04M,2.362B,2.795B,,-143.52M,5.146B,,AOR,Restated
2018-06,55.06M,,55.06M,638.11M,,638.11M,57.93M,1.882M,343.95M,,403.76M,,6.056M,,80.21M,1.183B,,,,,,,8.241B,-4.135B,4.106B,3.164B,1.157B,4.321B,41.99M,192.33M,8.662B,9.845B,,231.91M,231.91M,,231.91M,,360.00M,0.023M,360.02M,360.02M,219.86M,811.80M,,2.777B,,2.777B,545.76M,188.83M,734.58M,,,500.87M,4.012B,4.824B,,132.27M,2.245B,2.788B,,-144.67M,5.021B,,AOR,Restated
