,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.628B,,1.628B,3.297B,1.817B,5.115B,,,,521.70M,7.284B,,,,,3.430B,,3.430B,-1.170B,2.26B,4.875B,949.30M,5.825B,291.40M,414.30M,8.790B,16.07B,5.106B,0.00,,5.106B,644.70M,5.751B,,552.90M,552.90M,263.60M,816.50M,611.30M,611.30M,49.50M,7.228B,3.411B,1.471B,4.883B,,388.20M,38.00M,152.80M,662.60M,6.086B,13.31B,38.90M,2.623B,1.028B,,,,,-967.80M,2.723B
2020-06,1.085B,,1.085B,3.147B,1.464B,4.610B,,,,492.00M,6.214B,,,,,3.317B,,3.317B,-1.164B,2.154B,4.842B,968.10M,5.810B,287.70M,430.80M,8.683B,14.90B,4.328B,21.10M,,4.349B,578.20M,4.927B,,554.90M,554.90M,258.50M,813.40M,557.60M,557.60M,68.10M,6.366B,3.412B,1.348B,4.759B,,375.50M,40.70M,155.20M,749.20M,6.039B,12.41B,38.90M,2.444B,996.30M,,,,,-1.029B,2.450B
2020-03,1.554B,,1.554B,3.662B,1.914B,5.576B,,,,449.80M,7.597B,,,,,3.414B,,3.414B,-1.136B,2.278B,4.826B,990.70M,5.817B,270.70M,466.10M,8.832B,16.43B,5.560B,,,5.560B,539.50M,6.099B,,812.60M,812.60M,257.40M,1.07B,571.50M,571.50M,55.40M,7.796B,3.411B,1.387B,4.798B,,372.80M,42.70M,154.80M,732.60M,6.058B,13.85B,38.90M,2.591B,981.20M,,,,,-1.079B,2.532B
2019-12,1.192B,,1.192B,5.209B,1.934B,7.143B,,,,412.40M,8.771B,0.0,143.30M,,1.116B,1.574B,634.90M,3.469B,-1.116B,2.352B,4.894B,1.014B,5.909B,252.10M,467.90M,8.981B,17.75B,7.205B,,,7.205B,742.80M,7.948B,,554.40M,554.40M,267.20M,821.60M,585.60M,585.60M,65.00M,9.420B,2.772B,1.430B,4.202B,,425.00M,49.70M,164.70M,714.70M,5.506B,14.93B,38.70M,2.690B,977.30M,,,,,-930.00M,2.776B
2019-09,520.50M,,520.50M,4.048B,2.019B,6.066B,,,,440.20M,7.05B,,,,,3.429B,,3.429B,-1.097B,2.332B,4.847B,1.032B,5.880B,279.10M,457.10M,8.948B,16.00B,5.656B,,,5.656B,634.30M,6.290B,,248.10M,248.10M,261.60M,509.70M,562.40M,562.40M,36.00M,7.398B,3.367B,1.434B,4.802B,,394.80M,34.10M,185.40M,714.40M,6.096B,13.49B,38.70M,2.456B,941.00M,,,,,-966.20M,2.469B
2019-06,614.00M,,614.00M,4.390B,1.978B,6.367B,,,,467.90M,7.475B,,,,,3.467B,,3.467B,-1.103B,2.364B,4.884B,1.052B,5.936B,297.80M,454.00M,9.052B,16.53B,6.022B,,,6.022B,626.40M,6.649B,,207.40M,207.40M,261.00M,468.40M,585.20M,585.20M,29.00M,7.731B,3.564B,1.463B,5.027B,,401.60M,34.50M,188.30M,720.30M,6.337B,14.07B,38.60M,2.382B,921.40M,,,,,-917.90M,2.424B
2019-03,630.50M,,630.50M,4.028B,2.077B,6.105B,,,,491.90M,7.247B,,,,,3.184B,,3.184B,-1.062B,2.123B,4.885B,1.074B,5.960B,285.60M,435.10M,8.803B,16.05B,5.734B,,,5.734B,663.60M,6.397B,,272.50M,272.50M,263.00M,535.50M,575.90M,575.90M,22.40M,7.531B,3.664B,1.224B,4.887B,,401.90M,39.30M,161.80M,713.30M,6.164B,13.70B,38.60M,2.303B,903.30M,,,,,-929.70M,2.315B
2018-12,673.40M,,673.40M,5.127B,1.901B,7.027B,,,,476.60M,8.183B,0.0,146.60M,,1.050B,,629.00M,1.826B,-1.035B,790.90M,4.876B,1.095B,5.971B,247.00M,428.90M,7.438B,15.62B,6.698B,,,6.698B,806.90M,7.505B,,73.80M,73.80M,0.00,73.80M,533.90M,533.90M,11.20M,8.124B,3.660B,0.00,3.660B,,422.70M,39.60M,167.90M,812.80M,5.064B,13.19B,38.30M,2.400B,895.90M,,,,,-941.10M,2.393B
2018-09,1.860B,,1.860B,4.009B,1.996B,6.005B,,,,459.60M,8.330B,,,,,,,1.630B,-1.027B,602.90M,3.785B,,3.785B,270.20M,524.80M,5.183B,13.51B,5.515B,,,5.515B,571.00M,6.086B,,,82.70M,,82.70M,514.40M,514.40M,8.50M,6.692B,3.261B,,3.261B,,438.50M,32.30M,159.70M,791.60M,4.651B,11.34B,39.10M,2.158B,1.042B,176.10M,,,,-925.30M,2.138B
2018-06,493.20M,,493.20M,4.248B,1.946B,6.194B,,,,439.30M,7.146B,,,,,,,1.617B,-1.015B,602.00M,3.788B,,3.788B,261.00M,560.90M,5.212B,12.36B,5.739B,,,5.739B,551.50M,6.290B,,,757.70M,,757.70M,510.80M,510.80M,26.50M,7.585B,1.283B,,1.283B,,445.40M,29.90M,165.80M,786.80M,2.681B,10.27B,39.00M,2.077B,1.023B,173.50M,,,,-903.40M,2.062B
2018-03,597.30M,,597.30M,3.942B,1.981B,5.924B,,,,430.60M,6.964B,,,,,,,1.691B,-1.057B,634.20M,3.840B,,3.840B,273.10M,529.60M,5.277B,12.24B,5.467B,,,5.467B,528.10M,5.995B,,,801.50M,,801.50M,507.50M,507.50M,18.30M,7.322B,1.288B,,1.288B,,457.10M,31.80M,246.90M,785.10M,2.777B,10.10B,39.00M,2.010B,963.70M,113.90M,,,,-790.80M,2.108B
2017-12,790.90M,,790.90M,4.585B,1.747B,6.332B,,,,346.50M,7.476B,0.0,79.00M,,966.10M,,641.50M,1.687B,-1.036B,650.40M,3.820B,140.70M,3.961B,234.00M,383.70M,5.229B,12.70B,6.420B,,,6.420B,674.70M,7.095B,,,86.90M,,86.90M,484.70M,484.70M,8.80M,7.675B,1.286B,,1.286B,,476.60M,34.80M,252.10M,768.80M,2.783B,10.46B,38.60M,2.104B,955.20M,59.00M,,,,-827.80M,2.212B
2017-09,704.90M,,704.90M,3.696B,1.742B,5.438B,,,,312.20M,6.464B,,,,,,,1.683B,-1.046B,637.50M,3.800B,,3.800B,270.90M,544.00M,5.252B,11.72B,5.561B,,,5.561B,550.70M,6.112B,,,813.70M,,813.70M,,,20.80M,6.946B,1.285B,,1.285B,,457.20M,26.80M,238.00M,749.40M,2.730B,9.676B,39.90M,1.850B,1.236B,279.30M,,,,-832.70M,2.013B
2017-06,657.60M,3.20M,660.80M,3.762B,1.721B,5.483B,,,,323.10M,6.486B,,,,,,,1.656B,-1.021B,635.00M,3.753B,,3.753B,260.90M,542.70M,5.192B,11.68B,5.872B,,,5.872B,513.10M,6.385B,,,539.40M,,539.40M,,,21.70M,6.946B,1.283B,,1.283B,,461.80M,29.80M,243.40M,731.40M,2.720B,9.666B,39.90M,1.775B,1.220B,178.30M,,,,-874.20M,1.982B
2017-03,775.00M,3.10M,778.10M,3.642B,1.743B,5.384B,,,,318.50M,6.590B,,,,,,,1.605B,-989.00M,616.30M,3.704B,,3.704B,243.60M,545.00M,5.108B,11.70B,5.673B,,,5.673B,572.00M,6.245B,,,634.90M,,634.90M,,,111.20M,6.991B,1.282B,,1.282B,,459.30M,33.40M,241.20M,728.40M,2.711B,9.702B,39.80M,1.751B,1.200B,118.30M,,,,-909.40M,1.963B
2016-12,1.098B,,1.098B,4.390B,1.518B,5.908B,,,,229.40M,7.438B,0.0,73.10M,,910.70M,,599.80M,1.584B,-961.60M,622.00M,3.674B,148.10M,3.822B,220.30M,382.40M,5.047B,12.49B,6.304B,,,6.304B,794.00M,7.098B,,,409.60M,,409.60M,,,198.80M,7.706B,1.281B,,1.281B,,480.70M,39.60M,252.80M,708.30M,2.722B,10.43B,39.40M,1.804B,1.199B,63.30M,,,,-962.50M,2.017B
2016-09,891.60M,3.00M,894.60M,3.714B,1.844B,5.558B,,,,280.50M,6.733B,,,,,,,1.571B,-989.30M,581.60M,3.715B,,3.715B,298.70M,510.70M,5.106B,11.84B,6.026B,,,6.026B,631.70M,6.658B,,,157.50M,,157.50M,,,,6.815B,1.583B,,1.583B,,485.70M,34.10M,246.90M,733.00M,3.049B,9.864B,40.70M,1.547B,1.481B,264.30M,,,,-862.80M,1.941B
2016-06,672.60M,2.80M,675.40M,3.945B,1.710B,5.655B,,,,294.60M,6.625B,,,,,,,1.536B,-966.20M,569.70M,3.662B,,3.662B,274.20M,502.40M,5.008B,11.63B,5.858B,,,5.858B,588.40M,6.446B,,,236.20M,,236.20M,,,,6.682B,1.584B,,1.584B,,408.60M,32.50M,246.30M,685.00M,2.924B,9.606B,40.70M,1.475B,1.460B,183.50M,,,,-797.30M,1.996B
2016-03,673.40M,6.90M,680.30M,3.719B,1.774B,5.493B,,,,312.60M,6.486B,,,,,,,1.535B,-969.70M,565.10M,3.682B,,3.682B,277.00M,506.90M,5.031B,11.52B,5.785B,,,5.785B,620.60M,6.406B,,,133.70M,,133.70M,,,,6.539B,1.610B,,1.610B,,414.10M,32.40M,246.30M,733.20M,3.004B,9.543B,40.70M,1.379B,1.434B,124.70M,,,,-787.50M,1.942B
2015-12,1.503B,6.80M,1.510B,4.361B,1.594B,5.955B,,,,215.90M,7.693B,0.0,78.70M,,880.30M,,570.10M,1.529B,-961.90M,567.20M,3.608B,148.30M,3.757B,228.40M,339.60M,4.892B,12.59B,6.689B,,,6.689B,748.40M,7.438B,,,134.80M,,134.80M,,,11.90M,7.584B,1.610B,,1.610B,,464.20M,36.30M,251.90M,672.60M,2.999B,10.58B,40.40M,1.438B,1.404B,71.00M,,,,-845.60M,1.966B
2015-09,874.30M,6.90M,881.20M,3.848B,1.590B,5.438B,,,,349.10M,6.669B,,,,,,,1.506B,-987.20M,519.20M,3.591B,,3.591B,203.90M,490.90M,4.805B,11.47B,5.753B,,,5.753B,688.90M,6.442B,,,130.30M,,130.30M,,,,6.573B,1.621B,,1.621B,,462.90M,27.80M,226.50M,699.20M,3.010B,9.582B,41.50M,1.226B,1.614B,191.30M,,,,-826.20M,1.864B
2015-06,848.90M,6.70M,855.60M,3.977B,1.452B,5.429B,,,,352.70M,6.637B,,,,,,,1.596B,-1.069B,526.40M,3.626B,,3.626B,204.20M,505.00M,4.862B,11.50B,5.670B,,,5.670B,603.80M,6.274B,,,160.00M,,160.00M,,,,6.434B,1.623B,,1.623B,,480.40M,29.20M,230.10M,719.30M,3.053B,9.486B,41.50M,1.202B,1.597B,121.00M,,,,-735.80M,1.984B
2015-03,734.30M,6.90M,741.20M,3.781B,1.498B,5.279B,,,,367.10M,6.388B,,,,,,,1.581B,-1.058B,523.30M,3.595B,,3.595B,193.00M,501.40M,4.813B,11.20B,5.468B,,,5.468B,618.70M,6.087B,,,137.70M,,137.70M,,,,6.225B,1.621B,,1.621B,,473.20M,32.00M,242.80M,694.00M,3.031B,9.256B,41.40M,1.126B,1.58B,70.20M,,,,-764.70M,1.913B
