,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.169B,2.169B,2.049B,119.90M,,35.10M,,,-24.40M,19.90M,4.00M,-15.90M,,81.10M,38.80M,4.00M,19.90M,-15.90M,-24.40M,-15.90M,-1.50M,12.70M,-16.10M,,,2.00M,,-14.10M,3.712M,64.40M,46.00M,18.40M,-0.04,,,0.0065,-0.04,-0.04,,,0.0065,-0.04,383.40M,383.40M,0.21
2017-12,2.590B,2.590B,2.085B,504.60M,,49.40M,,,-2.80M,23.20M,5.40M,-17.80M,,82.00M,422.60M,5.40M,23.20M,-17.80M,-1.30M,-17.80M,403.50M,135.10M,269.20M,,,-16.90M,,252.30M,254.16M,459.30M,32.60M,426.70M,0.82,,,0.8248,0.82,0.81,,,0.8147,0.81,384.80M,393.40M,0.18
2017-09,2.208B,2.208B,1.897B,310.80M,,13.60M,,,-8.70M,21.00M,4.10M,-16.90M,,55.80M,255.00M,4.10M,21.00M,-16.90M,-9.90M,-16.90M,228.20M,54.90M,172.30M,,,-2.60M,,169.70M,176.31M,291.40M,42.20M,249.20M,0.44,,,0.457,0.44,0.43,,,0.4466,0.43,389.50M,397.20M,0.18
2017-06,2.186B,2.186B,1.898B,287.30M,,20.30M,,,-13.10M,25.70M,4.70M,-21.00M,,61.60M,225.70M,4.70M,25.70M,-21.00M,-15.40M,-21.00M,189.30M,81.60M,107.60M,,,0.10M,,107.70M,115.56M,256.30M,41.30M,215.00M,0.27,,,0.29,0.27,0.27,,,0.2896,0.27,392.30M,400.30M,0.18
2017-03,2.064B,2.064B,1.953B,110.90M,,35.20M,,,0.90M,20.90M,5.20M,-15.70M,,76.20M,34.70M,5.20M,20.90M,-15.70M,0.80M,-15.70M,19.80M,-0.30M,21.30M,,,3.40M,,24.70M,24.16M,81.70M,41.00M,40.70M,0.06,,,0.0586,0.06,0.06,,,0.0586,0.06,391.70M,399.30M,0.18
2016-12,3.474B,3.474B,4.095B,-620.60M,,-1.262B,,,-26.80M,21.80M,4.00M,-17.80M,,-1.102B,481.10M,4.00M,21.80M,-17.80M,-26.80M,-17.80M,436.50M,105.00M,333.40M,,,-19.30M,,314.10M,334.45M,501.00M,42.70M,458.30M,0.81,,,0.8618,0.81,0.78,,,0.8302,0.78,393.10M,405.60M,0.15
2016-09,1.922B,1.922B,1.228B,694.20M,486.20M,486.20M,,,3.90M,21.70M,4.70M,-17.00M,,486.20M,208.00M,4.70M,21.70M,-17.00M,5.30M,-17.00M,196.30M,63.80M,132.70M,,,-4.10M,,128.60M,125.97M,257.70M,39.70M,218.00M,0.32,,,0.3134,0.32,0.32,,,0.3135,0.32,397.70M,407.90M,0.15
2016-06,1.918B,1.918B,1.230B,688.40M,464.10M,464.10M,,,-2.20M,24.50M,5.60M,-18.90M,,464.10M,224.30M,5.60M,24.50M,-18.90M,0.40M,-18.90M,205.80M,43.70M,160.20M,,,-3.30M,,156.90M,158.63M,270.10M,39.80M,230.30M,0.39,,,0.3943,0.39,0.38,,,0.3842,0.38,400.10M,409.80M,0.15
2016-03,1.742B,1.742B,1.269B,473.20M,450.20M,450.20M,,,-16.30M,22.60M,5.80M,-16.80M,,450.20M,23.00M,5.80M,22.60M,-16.80M,-19.20M,-16.80M,-13.00M,-15.60M,2.70M,,,2.70M,,5.40M,15.18M,47.60M,38.00M,9.60M,0.01,,,0.0344,0.01,0.01,,,0.0339,0.01,400.60M,409.30M,0.15
2015-12,2.196B,2.196B,1.232B,964.00M,504.70M,504.70M,,,-12.20M,23.30M,5.00M,-18.30M,,504.70M,459.30M,5.00M,23.30M,-18.30M,-13.20M,-18.30M,427.80M,145.40M,282.90M,,,-22.60M,,260.30M,268.35M,491.80M,40.70M,451.10M,0.65,,,0.67,0.65,0.63,,,0.6496,0.63,403.30M,411.80M,0.12
2015-09,1.866B,1.866B,1.202B,663.30M,471.40M,471.40M,,,-37.60M,21.30M,5.60M,-15.70M,,471.40M,191.90M,5.60M,21.30M,-15.70M,-37.20M,-15.70M,139.00M,61.10M,78.00M,,,-3.10M,,74.90M,97.46M,198.40M,38.10M,160.30M,0.18,,,0.2353,0.18,0.18,,,0.2343,0.18,407.60M,415.50M,0.12
2015-06,1.876B,1.876B,1.205B,670.90M,455.10M,455.10M,,,-0.10M,20.30M,5.00M,-15.30M,,455.10M,215.80M,5.00M,20.30M,-15.30M,0.50M,-15.30M,201.00M,77.70M,123.80M,,,-2.60M,,121.20M,121.26M,260.80M,39.50M,221.30M,0.3,,,0.3001,0.3,0.29,,,0.2901,0.29,410.50M,417.60M,0.12
2015-03,1.676B,1.676B,1.215B,460.80M,453.00M,453.00M,,,-0.10M,20.90M,7.20M,-13.70M,,453.00M,7.80M,7.20M,20.90M,-13.70M,0.30M,-13.70M,-5.60M,-1.40M,-4.20M,,,2.40M,,-1.80M,-1.725M,54.00M,38.70M,15.30M,-0.0044,,,-0.0042,-0.0044,-0.0044,,,-0.0042,-0.0044,411.10M,411.10M,0.12
2014-12,2.207B,2.207B,1.266B,940.70M,507.70M,507.70M,,,-0.40M,21.40M,7.10M,-14.30M,,507.70M,433.00M,7.10M,21.40M,-14.30M,-0.10M,-14.30M,418.60M,87.90M,331.30M,,,-22.40M,,308.90M,309.22M,481.30M,41.30M,440.00M,0.75,,,0.7508,0.75,0.73,,,0.7308,0.73,413.80M,420.00M,0.095
2014-09,1.841B,1.841B,1.195B,645.90M,474.60M,474.60M,,,0.10M,20.70M,7.50M,-13.20M,,474.60M,171.30M,7.50M,20.70M,-13.20M,-0.60M,-13.20M,157.50M,65.00M,92.80M,,,-3.10M,,89.70M,89.64M,219.20M,41.00M,178.20M,0.21,,,0.2098,0.21,0.21,,,0.2098,0.21,419.20M,426.40M,0.095
2014-06,1.851B,1.851B,1.170B,681.20M,485.40M,485.40M,,,-10.10M,22.60M,6.60M,-16.00M,,485.40M,195.80M,6.60M,22.60M,-16.00M,-11.20M,-16.00M,168.60M,65.30M,103.70M,,,-4.30M,,99.40M,105.59M,231.40M,40.20M,191.20M,0.24,,,0.2547,0.24,0.23,,,0.2445,0.23,421.10M,428.10M,0.095
2014-03,1.638B,1.638B,1.189B,448.90M,460.60M,460.60M,,,0.80M,20.20M,6.20M,-14.00M,,460.60M,-11.70M,6.20M,20.20M,-14.00M,1.70M,-14.00M,-24.00M,-1.70M,-22.40M,,,1.50M,,-20.90M,-21.64M,36.70M,40.50M,-3.80M,-0.05,,,-0.0518,-0.05,-0.05,,,-0.0518,-0.05,422.80M,422.80M,0.095
2013-12,2.123B,2.123B,1.200B,923.10M,538.10M,538.10M,,,-61.00M,24.70M,6.70M,-18.00M,,538.10M,385.00M,6.70M,24.70M,-18.00M,-52.90M,-18.00M,314.10M,103.20M,212.10M,,,-19.00M,0.00,193.10M,234.06M,378.30M,39.50M,338.80M,0.45,,,0.5463,0.45,0.44,,,0.5322,0.44,425.30M,444.00M,0.075
2013-09,1.700B,1.700B,1.094B,606.80M,465.30M,465.30M,,,-46.00M,23.70M,5.80M,-17.90M,,465.30M,141.50M,5.80M,23.70M,-17.90M,-46.60M,-17.90M,77.00M,28.40M,49.20M,,,-0.90M,2.90M,48.30M,77.33M,141.20M,40.50M,100.70M,0.11,,,0.1792,0.11,0.11,,,0.1781,0.11,419.70M,426.10M,0.075
2013-06,1.756B,1.756B,1.120B,636.00M,461.20M,461.20M,,,0.50M,37.50M,5.80M,-31.70M,,461.20M,174.80M,5.80M,37.50M,-31.70M,4.80M,-31.70M,147.90M,62.00M,86.10M,,,-3.30M,2.90M,82.80M,82.48M,224.60M,39.20M,185.40M,0.19,,,0.1892,0.19,0.18,,,0.1793,0.18,425.10M,448.30M,0.075
2013-03,1.543B,1.543B,1.132B,410.90M,453.30M,453.30M,,,2.20M,36.80M,6.40M,-30.40M,,453.30M,-42.40M,6.40M,36.80M,-30.40M,1.80M,-30.40M,-71.00M,-12.40M,-58.50M,,,2.20M,2.90M,-56.30M,-58.12M,4.00M,38.20M,-34.20M,-0.14,,,-0.1444,-0.14,-0.14,,,-0.1444,-0.14,414.20M,414.20M,0.075
2012-12,2.063B,2.063B,1.134B,929.50M,520.80M,520.80M,,,94.60M,36.60M,8.10M,-28.50M,,520.80M,408.70M,8.10M,36.60M,-28.50M,96.60M,-28.50M,476.80M,140.50M,337.10M,,,-20.90M,2.90M,316.20M,249.48M,552.30M,38.90M,513.40M,0.73,,,0.5724,0.73,0.67,,,0.5408,0.67,423.50M,516.50M,0.06
2012-09,1.670B,1.670B,1.064B,606.10M,474.70M,474.70M,,,-3.40M,31.60M,6.70M,-24.90M,,474.70M,131.40M,6.70M,31.60M,-24.90M,1.70M,-24.90M,108.20M,41.90M,67.70M,,,3.90M,2.90M,71.60M,73.68M,177.20M,37.40M,139.80M,0.16,,,0.1648,0.16,0.15,,,0.1546,0.15,431.30M,456.10M,0.06
2012-06,1.716B,1.716B,1.089B,626.80M,450.40M,450.40M,,,,32.70M,6.70M,-26.00M,,450.40M,176.40M,6.70M,32.70M,-26.00M,4.70M,-26.00M,155.10M,50.10M,105.50M,,,-3.60M,2.90M,101.90M,101.90M,224.60M,36.80M,187.80M,0.23,,,0.23,0.23,0.22,,,0.22,0.22,437.40M,477.70M,0.06
2012-03,1.507B,1.507B,1.105B,401.90M,441.30M,441.30M,,,,32.60M,8.00M,-24.60M,,441.30M,-39.40M,8.00M,32.60M,-24.60M,-1.30M,-24.60M,-65.30M,-19.20M,-45.70M,,,2.70M,2.90M,-43.00M,-43.00M,1.90M,34.60M,-32.70M,-0.1,,,-0.1,-0.1,-0.1,,,-0.1,-0.1,437.60M,437.60M,0.06
2011-12,2.073B,2.073B,4.402B,-2.330B,-2.716B,-2.716B,,,-11.40M,38.90M,10.10M,-28.80M,,-2.716B,386.30M,10.10M,38.90M,-28.80M,12.90M,-28.80M,370.40M,93.70M,278.30M,,,-16.40M,2.90M,261.90M,270.42M,450.70M,41.40M,409.30M,0.56,,,0.579,0.56,0.49,,,0.5047,0.49,448.10M,579.00M,0.06
2011-09,1.726B,1.726B,,1.726B,1.553B,1.553B,,,137.10M,32.90M,9.70M,-23.20M,,1.553B,173.20M,9.70M,32.90M,-23.20M,137.10M,-23.20M,287.10M,70.40M,217.50M,,,-6.50M,2.90M,211.00M,107.52M,356.20M,36.20M,320.00M,0.45,0.0,,0.2273,0.45,0.4,0.0,,0.2075,0.4,464.70M,537.60M,0.06
2011-06,1.741B,1.741B,,1.741B,1.567B,1.567B,,,5.30M,33.10M,9.70M,-23.40M,,1.567B,174.00M,9.70M,33.10M,-23.40M,5.30M,-23.40M,155.90M,47.60M,108.90M,,,-4.30M,2.90M,104.60M,100.92M,226.70M,37.70M,189.00M,0.21,0.0,,0.2022,0.21,0.19,0.0,,0.1833,0.19,473.10M,546.90M,0.06
2011-03,1.475B,1.475B,,1.475B,1.519B,1.519B,,,-6.90M,31.90M,8.30M,-23.60M,,1.519B,-44.50M,8.30M,31.90M,-23.60M,-6.90M,-23.60M,-75.00M,-21.50M,-53.20M,,,8.00M,2.90M,-45.20M,-40.28M,-7.50M,35.60M,-43.10M,-0.1,0.0,,-0.0897,-0.1,-0.1,0.0,,-0.0897,-0.1,476.00M,476.00M,0.06
