,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-09,1.560B,1.560B,,,,1.504B,,,-10.00M,,,,,1.504B,56.30M,,,,-8.80M,,16.40M,35.80M,-21.90M,,,-3.70M,6.90M,-21.90M,-15.40M,130.40M,74.10M,56.30M,-0.06,0.0,,-0.0458,-0.06,-0.06,0.0,,-0.0458,-0.06,458.60M,458.60M,0.0
2007-06,1.653B,1.653B,,,,1.512B,,,13.20M,,,,,1.512B,140.40M,,,,16.40M,,124.80M,-11.40M,137.00M,,,-2.40M,6.90M,137.00M,128.42M,202.20M,61.80M,140.40M,0.27,0.0,,0.2512,0.27,0.24,0.0,,0.2241,0.24,457.30M,541.30M,0.0
2007-03,1.359B,1.359B,,,,1.484B,,,-0.90M,,,,,1.484B,-124.80M,,,,-0.70M,,-152.20M,-25.70M,-125.90M,,,0.40M,6.90M,-125.90M,-125.15M,-54.40M,70.40M,-124.80M,-0.29,0.0,,-0.2884,-0.29,-0.29,0.0,,-0.2884,-0.29,456.00M,456.00M,0.0
2006-12,1.877B,1.877B,,,,1.660B,,,-101.90M,,,,,1.696B,181.30M,,,,-97.60M,,87.00M,12.00M,69.10M,0.00,,-10.20M,11.90M,69.10M,156.94M,255.50M,74.20M,181.30M,0.13,0.0,,0.3331,0.13,0.13,0.0,,0.3331,0.13,432.60M,432.60M,0.0
2006-09,1.454B,1.454B,,,,1.427B,,,16.40M,,,,,1.427B,27.10M,,,,17.80M,,11.60M,10.50M,-1.30M,5.00M,,-3.80M,11.90M,3.70M,-11.14M,95.30M,68.20M,27.10M,-0.03,0.01,,-0.053,-0.02,-0.03,0.01,,-0.053,-0.02,427.20M,427.20M,0.0
2006-06,1.533B,1.533B,,,,1.456B,,,24.30M,,,,,1.456B,76.90M,,,,25.60M,,75.60M,1.80M,68.90M,,,-6.20M,11.90M,68.90M,45.18M,139.60M,62.70M,76.90M,0.11,0.0,,0.0544,0.11,0.11,0.0,,0.062,0.11,426.60M,494.30M,0.0
2006-03,1.327B,1.327B,,,,1.486B,,,0.40M,,,,,1.486B,-159.40M,,,,0.40M,,-179.20M,-8.80M,-170.20M,,,0.20M,11.90M,-170.20M,-170.58M,-104.00M,55.40M,-159.40M,-0.43,0.0,,-0.4309,-0.43,-0.43,0.0,,-0.4309,-0.43,426.00M,426.00M,0.0
2005-12,1.896B,1.896B,,,,1.745B,,,-87.20M,,,,92.10M,1.837B,59.00M,,,,-79.10M,,44.60M,77.40M,-31.90M,,,-7.20M,11.30M,-22.90M,20.42M,119.90M,60.90M,59.00M,-0.1,0.02,,0.0231,-0.08,-0.1,0.02,,0.0231,-0.08,425.10M,425.10M,0.0
2005-09,1.440B,1.440B,,,,1.541B,,,-8.80M,,,,6.50M,1.548B,-108.10M,,,,-6.50M,,-135.30M,-34.80M,-102.80M,,,-4.60M,5.00M,-102.80M,-96.26M,-52.50M,55.60M,-108.10M,-0.25,0.0,,-0.2346,-0.25,-0.2535,0.0,,-0.2381,-0.2535,425.30M,425.30M,0.0
2005-06,1.611B,1.611B,,,,1.497B,,,2.60M,,,,,1.497B,113.60M,,,,4.90M,,90.50M,79.90M,9.20M,,,-3.70M,5.00M,9.20M,7.64M,163.10M,49.50M,113.60M,0.01,0.0,,0.0063,0.01,0.01,0.0,,0.0064,0.01,424.80M,429.60M,0.0
