,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,2.352B,,,732.00M,732.00M,-179.00M,152.00M,631.00M,194.00M,-2.826B,,,2.829B,3.092B,6.101B,,-574.00M,,-574.00M,-2.813B,-1.45B,-341.00M,-5.178B,,-3.364B,3.009B,-355.00M,-1.206B,-1.709B,-2.915B,-1.184B,-1.184B,2.858B,-1.596B,,17.55B,-673.00M,44.00M,16.92B,,-1.206B,-4.864B,1.50B,-1.709B,,AOR,
2020-09,3.256B,,,719.00M,719.00M,5.00M,139.00M,-76.00M,245.00M,-2.412B,,,1.251B,-916.00M,3.127B,,-557.00M,,-557.00M,-374.00M,-1.959B,21.00M,-2.869B,,-1.50B,-774.00M,-2.274B,336.00M,-850.00M,-514.00M,-1.188B,-1.188B,-1.042B,-5.018B,,22.33B,-4.76B,-17.00M,17.55B,,336.00M,-351.00M,-1.50B,-850.00M,,AOR,
2020-06,6.696B,,,717.00M,717.00M,-88.00M,157.00M,79.00M,2.213B,-19.00M,,,248.00M,2.442B,10.00B,,-451.00M,,-451.00M,-3.023B,543.00M,-21.00M,-2.952B,,4.864B,-10.45B,-5.582B,313.00M,0.00,313.00M,-1.188B,-1.188B,178.00M,-6.279B,,21.57B,772.00M,-14.00M,22.33B,,313.00M,-5.582B,0.00,0.00,,AOR,
2020-03,3.465B,,,723.00M,723.00M,202.00M,231.00M,45.00M,-2.652B,5.257B,,,-4.328B,-1.723B,2.943B,,-469.00M,,-469.00M,-929.00M,30.00M,-165.00M,-1.533B,,0.00,10.80B,10.80B,557.00M,-1.691B,-1.134B,-1.024B,-1.024B,664.00M,9.303B,,10.98B,10.71B,-129.00M,21.57B,,557.00M,10.80B,0.00,-1.691B,,AOR,
2019-12,3.668B,,,718.00M,718.00M,53.00M,172.00M,75.00M,-795.00M,1.626B,,,688.00M,1.519B,6.205B,,-650.00M,,-650.00M,-143.00M,-476.00M,-119.00M,-1.388B,,-500.00M,-3.698B,-4.198B,297.00M,-399.00M,-102.00M,-1.024B,-1.024B,-888.00M,-6.212B,,12.36B,-1.395B,17.00M,10.98B,,297.00M,300.00M,-500.00M,-399.00M,,AOR,
2019-09,3.629B,,,709.00M,709.00M,-18.00M,127.00M,-54.00M,-1.239B,-86.00M,,,82.00M,-1.243B,3.15B,,-444.00M,,-444.00M,-3.449B,-374.00M,-166.00M,-4.433B,,5.444B,-2.926B,2.518B,292.00M,-600.00M,-308.00M,-1.024B,-1.024B,-1.242B,-56.00M,,13.74B,-1.339B,-43.00M,12.36B,,292.00M,-1.48B,0.00,-600.00M,,AOR,Restated
2019-06,3.385B,,,654.00M,654.00M,61.00M,155.00M,-169.00M,3.617B,-1.029B,,,-800.00M,1.788B,5.874B,,-415.00M,,-415.00M,-4.062B,-1.335B,350.00M,-5.462B,,0.00,3.823B,3.823B,125.00M,-1.499B,-1.374B,-1.024B,-1.024B,-510.00M,915.00M,,12.41B,1.327B,11.00M,13.74B,,125.00M,3.823B,0.00,-1.499B,,AOR,Restated
2019-03,3.557B,,,639.00M,639.00M,134.00M,243.00M,42.00M,-1.421B,1.443B,,,-1.403B,-1.381B,3.234B,,-562.00M,,-562.00M,-689.00M,-319.00M,154.00M,-1.416B,,-1.25B,3.101B,1.851B,323.00M,-3.002B,-2.679B,-860.00M,-860.00M,1.416B,-272.00M,,10.87B,1.546B,-5.00M,12.41B,,323.00M,3.101B,-1.25B,-3.002B,,AOR,Restated
2018-12,3.164B,,,637.00M,637.00M,33.00M,126.00M,65.00M,-367.00M,-2.171B,,,909.00M,-1.629B,2.396B,,-558.00M,,-558.00M,-173.00M,-370.00M,-39.00M,-1.14B,,2.971B,-37.00M,2.934B,93.00M,-850.00M,-757.00M,-866.00M,-866.00M,-1.983B,-672.00M,,10.26B,584.00M,19.00M,10.87B,,93.00M,2.971B,-201.00M,-850.00M,,AOR,Restated
2018-09,3.284B,,,611.00M,611.00M,167.00M,154.00M,-146.00M,37.00M,1.032B,,,-4.198B,-3.129B,941.00M,,-545.00M,,-545.00M,-3.188B,-761.00M,-53.00M,-4.547B,,-1.50B,17.00M,-1.483B,267.00M,-500.00M,-233.00M,-866.00M,-866.00M,-1.898B,-4.48B,,18.37B,-8.086B,-19.00M,10.26B,,267.00M,0.00,-1.319B,-500.00M,,AOR,Restated
