,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2009-06,338.00M,569.00M,,-460.00M,-131.00M,-22.00M,,,3.722B,3.722B,,1.232B,1.277B,,-1.439B,1.54B,,,,-2.956B,4.334B,-713.00M,-129.00M,4.266B,101.00M,,101.00M,2.151B,3.599B,-87.00M,6.102B,-3.823B,-4.111B,-7.934B,1.15B,,1.15B,,,,,,,-1.486B,-8.797B,4.029B,1.571B,202.00M,5.802B,1.15B,6.149B,-9.551B,,567.00M,1.799B
2009-03,-5.213B,-262.00M,,57.00M,2.084B,1.879B,,,3.05B,3.05B,,1.495B,4.193B,,646.00M,-472.00M,,,,389.00M,-4.857B,-4.454B,2.174B,3.77B,-101.00M,,-101.00M,704.00M,2.512B,-111.00M,1.432B,-1.389B,-421.00M,-1.81B,0.00,,0.00,,,,,,,-4.672B,-9.644B,8.642B,-4.442B,-171.00M,4.029B,0.00,12.11B,-13.92B,,179.00M,1.466B
2008-12,-59.80B,0.00,1.409B,5.228B,5.683B,12.32B,,,12.72B,12.72B,,-229.00M,20.46B,,-18.38B,-548.00M,,-155.00M,11.80B,13.46B,5.129B,28.99B,,-1.01B,2.976B,-430.00M,2.546B,-5.00B,61.85B,-763.00M,55.12B,-109.01B,-4.985B,-114.00B,-16.00M,0.00,-16.00M,,,,,,1.00M,10.10B,-64.07B,18.57B,-9.961B,33.00M,8.642B,39.98B,52.65B,-166.65B,0.00,55.00M,2.484B
2008-09,-24.70B,0.00,-2.266B,496.00M,2.151B,381.00M,,,928.00M,928.00M,,4.104B,20.41B,,11.12B,478.00M,,103.00M,-11.80B,355.00M,-13.33B,-27.48B,,-15.24B,-621.00M,58.00M,-563.00M,0.00,15.96B,-954.00M,14.19B,66.39B,-9.47B,56.92B,5.00M,0.00,5.00M,,,,,,-593.00M,-38.90B,17.43B,2.229B,16.38B,-40.00M,18.57B,5.00M,114.94B,-58.03B,0.00,496.00M,1.46B
2008-06,-5.399B,0.00,-139.00M,-249.00M,-72.00M,-460.00M,,,914.00M,914.00M,,4.187B,6.822B,,5.848B,-113.00M,,79.00M,,562.00M,319.00M,-4.083B,,7.829B,-1.988B,244.00M,-1.744B,0.00,-24.07B,50.00M,-25.78B,3.558B,1.93B,5.488B,7.34B,0.00,7.34B,,,,,,-538.00M,5.411B,17.70B,2.489B,-247.00M,-13.00M,2.229B,7.34B,44.94B,-39.46B,0.00,-835.00M,1.878B
2008-03,-7.727B,,996.00M,-245.00M,-79.00M,672.00M,,,885.00M,885.00M,,3.156B,5.645B,,11.49B,-166.00M,,-27.00M,,289.00M,-2.709B,-5.82B,,8.299B,-1.625B,128.00M,-1.497B,,5.043B,-41.00M,3.637B,-11.44B,,-11.44B,14.00M,-1.00B,-986.00M,,,,,,-498.00M,1.132B,-11.79B,2.284B,147.00M,58.00M,2.489B,14.00M,12.67B,-24.11B,-1.00B,901.00M,1.615B
2007-12,-5.292B,,-1.318B,-239.00M,-1.424B,-2.981B,,,929.00M,929.00M,,2.487B,3.302B,,11.59B,142.00M,,-121.00M,68.00M,628.00M,5.869B,-2.417B,,7.622B,-713.00M,208.00M,-505.00M,,23.15B,-24.43B,-1.972B,1.076B,-2.864B,-1.788B,2.00M,-1.00B,-998.00M,,,,,,-509.00M,-2.362B,-5.657B,2.249B,-7.00M,42.00M,2.284B,2.00M,31.17B,-30.43B,-1.00B,1.119B,2.628B
2007-09,3.085B,,575.00M,-378.00M,-589.00M,-392.00M,,,1.376B,1.376B,,3.204B,529.00M,,534.00M,164.00M,,386.00M,1.834B,-133.00M,-162.00M,1.782B,,10.12B,-580.00M,67.00M,-513.00M,,-34.43B,9.823B,-25.55B,7.242B,758.00M,8.00B,24.00M,-1.00B,-976.00M,,,,,,-513.00M,9.506B,16.02B,1.635B,587.00M,27.00M,2.249B,24.00M,21.95B,-14.71B,-1.00B,520.00M,2.446B
2007-06,4.277B,,639.00M,-732.00M,-2.747B,-2.84B,-824.00M,-2.868B,-2.084B,-2.084B,,5.911B,884.00M,,765.00M,220.00M,,63.00M,434.00M,879.00M,9.071B,588.00M,,7.501B,-2.173B,1.00M,-2.172B,,-20.76B,3.396B,-22.29B,32.82B,1.768B,34.59B,128.00M,-4.00B,-3.872B,,,,,,-429.00M,-15.55B,14.73B,1.702B,-58.00M,-9.00M,1.635B,128.00M,50.09B,-17.27B,-4.00B,3.524B,3.744B
2007-03,4.13B,,,,,,824.00M,2.868B,3.692B,3.692B,,,,,-659.00M,,,661.00M,,,2.106B,2.767B,,9.93B,-2.176B,27.00M,-2.149B,,-11.93B,-3.944B,-18.02B,-17.66B,,-17.66B,52.00M,-16.00M,36.00M,,,,,,-430.00M,26.27B,8.216B,1.59B,122.00M,-10.00M,1.702B,52.00M,,-17.66B,-16.00M,,
2006-12,3.439B,,,-356.00M,,-2.551B,2.374B,,-8.254B,-8.254B,,,,,-28.90B,16.42B,,2.573B,9.118B,-336.00M,1.458B,25.29B,,2.25B,-2.006B,697.00M,-1.309B,,-27.64B,15.42B,-15.81B,11.04B,-256.00M,34.28B,69.00M,-13.00M,56.00M,,,,,,-429.00M,-20.24B,13.67B,1.425B,110.00M,55.00M,1.59B,69.00M,30.68B,-19.64B,-13.00M,,
2006-09,4.224B,,,-181.00M,,-181.00M,-1.176B,-5.607B,3.845B,3.845B,,,,,29.10B,-16.94B,,-453.00M,-15.76B,5.032B,-6.498B,-38.22B,,-1.228B,-929.00M,-3.783B,-4.712B,,-25.05B,11.55B,-18.21B,23.18B,245.00M,-68.00M,31.00M,-3.00M,28.00M,,,,,,-429.00M,19.18B,18.72B,2.14B,-727.00M,12.00M,1.425B,31.00M,20.11B,99.00M,-3.00M,,
2006-06,3.19B,,,-226.00M,,-226.00M,1.176B,5.607B,6.783B,6.783B,,,,,-3.543B,339.00M,,-453.00M,-841.00M,-5.194B,5.456B,-4.787B,,1.417B,-2.274B,3.624B,1.35B,,-3.853B,-13.32B,-15.82B,740.00M,-1.279B,-539.00M,29.00M,-2.00M,27.00M,,,,,,-390.00M,16.18B,15.27B,1.248B,868.00M,24.00M,2.14B,29.00M,6.73B,-7.269B,-2.00M,,
2006-03,3.195B,,,,,,,,,,,,,,3.119B,,,744.00M,,,1.042B,-2.466B,,3.848B,-1.897B,159.00M,-1.738B,,-2.676B,-13.69B,-18.11B,-427.00M,4.25B,3.823B,34.00M,-2.00M,32.00M,,,,,,-390.00M,10.12B,13.59B,1.897B,-672.00M,23.00M,1.248B,34.00M,13.50B,-9.681B,-2.00M,,
2005-12,444.00M,,,-2.583B,,-2.583B,,,824.00M,824.00M,,,,,4.666B,-7.778B,88.00M,12.90B,-7.881B,12.90B,-8.71B,1.597B,,4.948B,-2.729B,319.00M,-2.41B,,-40.82B,38.49B,-4.744B,1.387B,1.386B,2.773B,38.00M,-6.00M,32.00M,,,,,,-390.00M,-1.892B,423.00M,2.108B,627.00M,-838.00M,1.897B,38.00M,15.01B,-12.24B,-106.00M,,
2005-09,1.745B,,,1.889B,,1.889B,,,645.00M,645.00M,,,,,-4.327B,-2.243B,-1.084B,6.994B,-2.245B,6.994B,-783.00M,6.549B,,6.501B,-839.00M,133.00M,-706.00M,,2.319B,-18.96B,-17.35B,9.221B,-5.03B,4.191B,8.00M,-2.00M,6.00M,,,,,,-390.00M,6.672B,10.48B,1.738B,-367.00M,737.00M,2.108B,8.00M,16.30B,-12.11B,-2.00M,,
2005-06,4.489B,,,-826.00M,,-826.00M,,,384.00M,384.00M,,,,,483.00M,17.82B,-323.00M,-8.289B,17.73B,-8.289B,-8.732B,9.593B,,14.12B,-2.314B,202.00M,-2.112B,,9.618B,-22.62B,-15.11B,-1.879B,-984.00M,-2.863B,5.00M,-2.00M,3.00M,,,,,,-316.00M,4.312B,1.136B,2.361B,147.00M,-770.00M,1.738B,5.00M,11.75B,-14.61B,-2.00M,,
2005-03,3.799B,,,-1.063B,,-1.063B,,,639.00M,639.00M,,,,,349.00M,-6.133B,-944.00M,3.656B,-6.133B,3.656B,2.684B,-4.158B,,-434.00M,-2.329B,41.00M,-2.288B,,-10.91B,-6.922B,-20.12B,3.527B,6.035B,9.562B,31.00M,-166.00M,-135.00M,,,,,,-325.00M,11.86B,20.96B,2.009B,409.00M,-57.00M,2.361B,31.00M,23.83B,-14.26B,-166.00M,,
2004-12,1.441B,,,-1.184B,,-1.184B,,,607.00M,607.00M,,,,,1.015B,6.409B,-1.671B,3.517B,6.409B,3.517B,-2.419B,14.09B,,15.97B,-1.512B,174.00M,-1.338B,,-25.54B,62.00M,-26.81B,1.994B,927.00M,2.921B,28.00M,-575.00M,-547.00M,,0.00,0.00,,,-195.00M,8.107B,10.29B,2.072B,-557.00M,494.00M,2.009B,28.00M,12.15B,-9.23B,-575.00M,,
2004-09,3.084B,,,2.842B,,2.842B,,,640.00M,640.00M,,,,,-3.171B,-7.663B,-863.00M,6.718B,-7.663B,6.718B,5.887B,2.271B,,5.666B,-694.00M,28.00M,-666.00M,,-17.51B,-58.00M,-18.24B,2.993B,2.551B,5.544B,40.00M,-128.00M,-88.00M,,-200.00M,-200.00M,,,-196.00M,7.324B,12.38B,2.033B,-188.00M,227.00M,2.072B,40.00M,12.24B,-6.695B,-328.00M,,
2004-06,2.65B,,,1.809B,,1.809B,,,542.00M,542.00M,,,,,-2.188B,-3.08B,-420.00M,5.538B,-3.75B,5.538B,-993.00M,2.413B,,5.226B,-1.681B,47.00M,-1.634B,,-13.94B,-136.00M,-15.71B,1.844B,1.907B,3.751B,50.00M,-288.00M,-238.00M,,,,,,-169.00M,7.497B,10.84B,1.92B,355.00M,-242.00M,2.033B,50.00M,11.52B,-7.771B,-288.00M,,
2004-03,2.556B,,,-1.204B,,-1.204B,,,560.00M,560.00M,,,,,830.00M,399.00M,-1.081B,6.659B,1.069B,6.659B,-6.647B,5.977B,,8.719B,-2.025B,1.08B,-945.00M,,-18.89B,109.00M,-19.72B,1.485B,1.952B,3.437B,40.00M,-92.00M,-52.00M,,,,,,-170.00M,8.587B,11.80B,922.00M,796.00M,202.00M,1.92B,40.00M,10.16B,-6.725B,-92.00M,,
2003-12,2.707B,,,-2.073B,,-2.073B,,,599.00M,599.00M,,,,,1.783B,-93.00M,-1.72B,10.18B,-93.00M,10.18B,-4.148B,12.58B,,15.60B,-1.551B,404.00M,-1.147B,0.00,-19.84B,-49.00M,-21.03B,81.00M,-442.00M,-361.00M,30.00M,-31.00M,-1.00M,,0.00,0.00,,,-169.00M,5.409B,4.878B,949.00M,-581.00M,,922.00M,30.00M,7.136B,-7.497B,-31.00M,,
2003-09,2.337B,,,-147.00M,,-147.00M,,,1.327B,1.327B,,,,,-283.00M,-545.00M,-730.00M,13.67B,-545.00M,13.67B,-18.73B,4.671B,,7.905B,-1.049B,794.00M,-255.00M,-2.091B,-11.40B,-361.00M,-14.11B,2.116B,-2.259B,-143.00M,21.00M,-100.00M,-79.00M,,0.00,0.00,,,-170.00M,7.143B,6.751B,835.00M,114.00M,,949.00M,21.00M,6.171B,-6.314B,-100.00M,,
2003-06,2.276B,,,,,,,,,,,,,,375.00M,,-627.00M,,,,1.797B,1.17B,,3.821B,-2.039B,14.00M,-2.025B,,-7.496B,-421.00M,-9.942B,4.942B,-2.094B,2.848B,11.00M,0.00,11.00M,,0.00,0.00,,,-122.00M,3.159B,5.896B,660.00M,175.00M,,835.00M,11.00M,7.759B,-4.911B,0.00,,
2003-03,1.954B,,,,,,,,,,,,,,1.271B,,-771.00M,,,,6.377B,5.606B,,8.831B,-2.001B,0.00,-2.001B,,-13.69B,-347.00M,-16.04B,358.00M,2.108B,2.466B,12.00M,-76.00M,-64.00M,,-371.00M,-371.00M,,,-123.00M,4.734B,6.642B,1.165B,-505.00M,,660.00M,12.00M,8.334B,-5.868B,-447.00M,,
2002-12,243.00M,,,-1.975B,,-1.975B,,,994.00M,994.00M,,,,,-9.762B,-489.00M,2.52B,8.467B,-489.00M,8.467B,,17.23B,,6.73B,-1.719B,-92.00M,-1.811B,160.00M,-2.525B,-9.297B,-13.47B,2.118B,364.00M,-6.736B,23.00M,-52.00M,-29.00M,,50.00M,50.00M,,,-123.00M,13.88B,7.046B,893.00M,303.00M,,1.165B,23.00M,8.401B,-3.498B,-2.00M,,
2002-09,1.842B,,,-878.00M,,-878.00M,,,295.00M,295.00M,,,,,-1.775B,-392.00M,-859.00M,4.025B,-392.00M,4.025B,,5.548B,,5.032B,-722.00M,52.00M,-670.00M,-158.00M,-8.538B,-1.844B,-11.21B,2.658B,-1.58B,1.078B,16.00M,-176.00M,-160.00M,,0.00,0.00,,,-123.00M,5.546B,6.341B,730.00M,163.00M,,893.00M,16.00M,4.572B,-3.494B,-176.00M,,
2002-06,1.801B,,,918.00M,,918.00M,,,411.00M,411.00M,,,,,-5.073B,-2.949B,-651.00M,5.53B,-2.949B,5.53B,,3.86B,,1.917B,-1.97B,3.00M,-1.967B,18.00M,-8.05B,-845.00M,-10.84B,2.584B,-73.00M,2.511B,64.00M,-242.00M,-178.00M,,-16.00M,-16.00M,,,-111.00M,6.303B,8.509B,1.148B,-418.00M,,730.00M,64.00M,10.08B,-7.568B,-258.00M,,
2002-03,1.98B,,,-628.00M,,-628.00M,,,388.00M,388.00M,,,,,5.685B,-72.00M,-1.01B,-366.00M,-72.00M,-366.00M,,-2.896B,,4.529B,-1.815B,37.00M,-1.778B,-20.00M,-9.445B,-192.00M,-11.44B,1.858B,-1.132B,726.00M,65.00M,-314.00M,-249.00M,,-34.00M,-34.00M,,,-110.00M,7.023B,7.356B,698.00M,450.00M,,1.148B,65.00M,6.011B,-5.285B,-348.00M,,
2001-12,1.866B,,,-364.00M,,-364.00M,,,361.00M,361.00M,,,,,1.371B,-4.003B,196.00M,2.821B,-4.003B,2.821B,-1.323B,-3.295B,,-61.00M,-1.035B,2.00M,-1.033B,-762.00M,673.00M,-287.00M,-1.409B,1.775B,-2.768B,-993.00M,76.00M,-3.00M,73.00M,,-560.00M,-560.00M,,,-111.00M,3.274B,1.683B,485.00M,213.00M,,698.00M,76.00M,9.208B,-10.20B,-563.00M,,
2001-09,338.00M,,,482.00M,,482.00M,,,445.00M,445.00M,,,,,-1.535B,-4.108B,299.00M,6.199B,-4.108B,6.199B,1.781B,6.561B,,6.291B,-1.005B,150.00M,-855.00M,-52.00M,-13.58B,-453.00M,-14.94B,704.00M,2.673B,3.377B,114.00M,-822.00M,-708.00M,0.00,-503.00M,-503.00M,,,-458.00M,6.91B,8.618B,248.00M,-29.00M,,485.00M,114.00M,6.881B,-3.504B,-1.325B,,
2001-06,1.627B,,,-283.00M,,-283.00M,,,338.00M,338.00M,,,,,-199.00M,-2.109B,-220.00M,-103.00M,-2.109B,-103.00M,1.863B,-3.001B,,-1.518B,-1.725B,67.00M,-1.658B,-64.00M,-5.261B,-45.00M,-7.028B,5.563B,491.00M,6.054B,24.00M,-20.00M,4.00M,0.00,0.00,0.00,,,-87.00M,2.57B,8.541B,253.00M,-5.00M,,248.00M,24.00M,13.10B,-7.05B,-20.00M,,
2001-03,1.532B,,,-861.00M,,-861.00M,,,293.00M,293.00M,,,,,599.00M,-1.02B,-155.00M,1.638B,-1.02B,1.638B,509.00M,1.435B,,2.998B,-1.35B,1.00M,-1.349B,-46.00M,-5.825B,-51.00M,-7.271B,2.103B,1.245B,3.348B,25.00M,-197.00M,-172.00M,0.00,-185.00M,-185.00M,,,-87.00M,1.366B,4.27B,256.00M,-3.00M,,253.00M,25.00M,8.959B,-5.611B,-382.00M,,
2000-12,1.497B,,,-650.00M,,-650.00M,,,325.00M,325.00M,,,,,-147.00M,-6.34B,62.00M,4.491B,-6.34B,4.491B,3.142B,-432.00M,,593.00M,-1.161B,577.00M,-584.00M,-79.00M,-3.953B,782.00M,-3.834B,275.00M,1.866B,2.141B,30.00M,-17.00M,13.00M,0.00,,0.00,,,-86.00M,1.149B,3.217B,280.00M,-24.00M,,256.00M,30.00M,6.451B,-4.31B,-17.00M,,
2000-09,1.386B,,,-538.00M,,-538.00M,,,294.00M,294.00M,,,,,216.00M,-5.378B,-159.00M,5.553B,-6.137B,5.553B,999.00M,272.00M,,1.63B,-918.00M,57.00M,-861.00M,0.00,-4.605B,585.00M,-4.881B,-108.00M,1.983B,1.875B,29.00M,-10.00M,19.00M,0.00,,0.00,,,-94.00M,1.417B,3.217B,314.00M,-34.00M,,280.00M,29.00M,5.259B,-3.384B,-10.00M,,
2000-06,1.407B,,,-763.00M,,-763.00M,,,282.00M,282.00M,,,,,-559.00M,434.00M,-138.00M,-145.00M,1.193B,-145.00M,-214.00M,847.00M,,1.214B,-1.312B,77.00M,-1.235B,0.00,-3.189B,462.00M,-3.962B,478.00M,349.00M,827.00M,38.00M,-9.00M,29.00M,0.00,,0.00,,,-77.00M,2.072B,2.851B,211.00M,103.00M,,314.00M,38.00M,4.897B,-4.07B,-9.00M,,
2000-03,1.346B,,,-396.00M,,-396.00M,,,275.00M,275.00M,,,,,1.661B,129.00M,-245.00M,3.948B,129.00M,3.948B,-8.051B,-387.00M,,2.499B,-1.074B,2.00M,-1.072B,0.00,-3.473B,645.00M,-3.90B,422.00M,1.527B,1.949B,47.00M,-911.00M,-864.00M,350.00M,,350.00M,,,-78.00M,123.00M,1.48B,132.00M,79.00M,,211.00M,397.00M,5.387B,-3.438B,-911.00M,,
1999-12,1.312B,,,793.00M,,793.00M,,,143.00M,143.00M,,,,,2.465B,-338.00M,,670.00M,-338.00M,670.00M,,-2.344B,,2.369B,-777.00M,,922.00M,,-7.01B,2.512B,-3.62B,-46.00M,970.00M,2.516B,38.00M,-50.00M,-12.00M,,,,,,-78.00M,-1.316B,1.11B,273.00M,-141.00M,,132.00M,38.00M,6.883B,-6.919B,-50.00M,,
1999-09,1.267B,,,-357.00M,,-357.00M,,,412.00M,412.00M,,,,,-9.163B,273.00M,,6.733B,273.00M,6.733B,,13.66B,,5.824B,-737.00M,,-737.00M,,-3.986B,679.00M,-4.044B,-937.00M,-1.145B,-1.145B,30.00M,-90.00M,-60.00M,,,,,,-85.00M,-387.00M,-1.677B,170.00M,103.00M,,273.00M,30.00M,57.00M,-994.00M,-90.00M,,
1999-06,1.277B,,,643.00M,,643.00M,,,267.00M,267.00M,,,,,1.041B,-2.624B,,1.768B,-2.624B,1.768B,,-2.049B,,1.179B,-1.323B,,-1.323B,,-3.605B,148.00M,-4.78B,2.342B,200.00M,200.00M,23.00M,-109.00M,-86.00M,,,,,,-71.00M,3.482B,3.525B,246.00M,-76.00M,,170.00M,23.00M,6.859B,-4.517B,-109.00M,,
1999-03,1.199B,,,2.44B,,2.44B,,,249.00M,249.00M,,,,,1.947B,-4.295B,,2.025B,-4.295B,2.025B,,-4.886B,,949.00M,-1.13B,,-1.13B,,-6.179B,-1.005B,-8.314B,187.00M,-15.00M,-15.00M,129.00M,-26.00M,103.00M,,,,,,-69.00M,7.289B,7.308B,303.00M,-57.00M,,246.00M,129.00M,3.16B,-2.973B,-26.00M,,
1998-12,1.12B,,,1.967B,,1.967B,,,274.00M,274.00M,-413.00M,,,,-1.008B,3.155B,,-801.00M,3.155B,-1.026B,,3.73B,,5.67B,-463.00M,,-463.00M,,-5.018B,-2.62B,-8.101B,203.00M,346.00M,346.00M,12.00M,-43.00M,-31.00M,,,,,,-90.00M,2.299B,2.524B,210.00M,93.00M,,303.00M,12.00M,1.835B,-1.632B,-43.00M,,
1998-09,1.076B,,,-444.00M,,-444.00M,,,240.00M,240.00M,413.00M,,,,6.587B,1.785B,,-5.438B,1.785B,-5.438B,,-7.358B,,514.00M,-913.00M,,-913.00M,,-1.869B,-1.087B,-3.869B,1.868B,-295.00M,-295.00M,5.00M,-11.00M,-6.00M,,,,,,-84.00M,3.787B,3.402B,163.00M,47.00M,,210.00M,5.00M,582.00M,1.286B,-11.00M,,
1998-06,1.076B,,,-511.00M,,-511.00M,,,225.00M,225.00M,,,,,-1.814B,-2.483B,,3.189B,-2.483B,3.189B,,1.301B,,277.00M,-1.307B,,-1.307B,,-1.607B,-186.00M,-3.10B,1.006B,648.00M,648.00M,11.00M,-4.00M,7.00M,,,,,,-75.00M,2.261B,2.841B,145.00M,18.00M,,163.00M,11.00M,2.969B,-1.963B,-4.00M,,
