,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-03,1.211B,100.00M,,-338.00M,-109.00M,-347.00M,,,1.012B,1.012B,,,173.00M,,-1.00M,,,,,,653.00M,-12.38B,,-10.34B,,,,24.00M,15.41B,-297.00M,14.50B,-451.00M,,-451.00M,,-3.585B,-3.585B,,,,-307.00M,,-307.00M,295.00M,-4.048B,2.107B,115.00M,-82.00M,2.192B,,151.00M,-602.00M,-3.585B,68.00M,354.00M
2016-12,-2.47B,-194.00M,,-839.00M,1.003B,-30.00M,,,1.276B,1.276B,,,244.00M,,-2.00M,,,,,,294.00M,2.731B,,1.749B,,,,2.809B,3.587B,-2.241B,2.927B,-1.875B,,-1.875B,,-2.954B,-2.954B,,,,-321.00M,,-321.00M,-386.00M,-5.536B,2.498B,-860.00M,-33.00M,2.107B,,-5.476B,3.601B,-2.954B,285.00M,322.00M
2016-09,433.00M,-128.00M,,48.00M,-95.00M,-175.00M,,,544.00M,544.00M,,,236.00M,,-14.00M,,,,,,1.061B,158.00M,,1.182B,,,,0.00,1.941B,-120.00M,589.00M,-22.00M,,-22.00M,,-2.258B,-2.258B,,,,-338.00M,,-338.00M,1.511B,-1.107B,1.784B,664.00M,50.00M,2.498B,,4.742B,-4.764B,-2.258B,91.00M,359.00M
2016-06,1.934B,-225.00M,,-653.00M,-201.00M,-1.079B,,,1.073B,1.073B,,,186.00M,,7.00M,,,,,,449.00M,-582.00M,,1.539B,,,,0.00,-650.00M,819.00M,-649.00M,1.438B,,1.438B,,-2.762B,-2.762B,,,,-350.00M,,-350.00M,1.031B,-643.00M,1.499B,247.00M,38.00M,1.784B,,3.399B,-1.961B,-2.762B,78.00M,288.00M
2016-03,-156.00M,2.00M,,876.00M,346.00M,1.224B,,,1.197B,1.197B,,,450.00M,,83.00M,,,,,,-1.568B,-3.766B,,-968.00M,,,,0.00,1.162B,522.00M,385.00M,2.331B,,2.331B,,-3.486B,-3.486B,,,,-363.00M,,-363.00M,1.971B,453.00M,1.629B,-130.00M,0.00,1.499B,,3.289B,-958.00M,-3.486B,39.00M,362.00M
2015-12,-1.849B,1.00M,,-423.00M,203.00M,-219.00M,,,1.127B,1.127B,,,614.00M,,0.00,,,,,,-990.00M,970.00M,,643.00M,,,,,4.025B,-754.00M,1.782B,-1.044B,,-1.044B,,-3.218B,-3.218B,,,,-341.00M,,-341.00M,2.238B,-2.365B,1.569B,60.00M,0.00,1.629B,,418.00M,-1.462B,-3.218B,105.00M,256.00M
2015-09,-180.00M,3.00M,,881.00M,31.00M,915.00M,,,1.092B,1.092B,,,415.00M,,346.00M,,,,,,1.024B,-847.00M,,1.741B,,,,,2.206B,746.00M,1.394B,-967.00M,,-967.00M,,-3.73B,-3.73B,,,,-352.00M,,-352.00M,1.551B,-3.498B,1.937B,-363.00M,-5.00M,1.569B,,3.675B,-4.642B,-3.73B,68.00M,352.00M
2015-06,1.775B,1.00M,,-1.574B,-353.00M,-1.926B,,,1.184B,1.184B,,,259.00M,,342.00M,,,,,,-808.00M,-1.529B,,105.00M,,,,,5.393B,958.00M,4.972B,-1.619B,,-1.619B,,-2.345B,-2.345B,,,,-165.00M,,-165.00M,-833.00M,-4.962B,1.823B,115.00M,-1.00M,1.937B,,189.00M,-1.808B,-2.345B,198.00M,453.00M
2015-03,2.476B,6.00M,,-517.00M,-362.00M,-873.00M,,,1.226B,1.226B,,,212.00M,,68.00M,,,,,,-715.00M,-2.721B,,388.00M,,,,,1.926B,-1.002B,314.00M,692.00M,,692.00M,,-1.398B,-1.398B,,,,-170.00M,,-170.00M,272.00M,-604.00M,1.758B,98.00M,-33.00M,1.823B,,2.585B,-1.893B,-1.398B,140.00M,307.00M
2014-12,710.00M,-1.00M,,-604.00M,-288.00M,-893.00M,,,1.076B,1.076B,,,195.00M,,1.268B,,,,,,157.00M,-1.706B,,650.00M,,,,0.00,12.69B,-1.515B,9.417B,-3.739B,,-3.739B,,-1.499B,-1.499B,,,,-173.00M,,-173.00M,-4.776B,-10.19B,1.933B,-120.00M,-55.00M,1.758B,,860.00M,-4.599B,-1.499B,123.00M,871.00M
2014-09,2.199B,-18.00M,,-1.07B,-419.00M,-1.507B,,,1.029B,1.029B,,,156.00M,,742.00M,,,,,,1.67B,97.00M,,2.716B,,,,0.00,1.761B,38.00M,1.205B,-2.735B,,-2.735B,,-1.554B,-1.554B,,,,-178.00M,,-178.00M,668.00M,-3.799B,1.827B,122.00M,-16.00M,1.933B,,2.799B,-5.534B,-1.554B,132.00M,769.00M
