,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,-28.88M,,,0.606M,-124.89M,-5.835M,38.50M,38.50M,0.10M,,,,-5.615M,1.191M,-5.725M,3.768M,,,6.68M,5.914M,,,2007-12,-7.725M,0.009M,20.06M,-51.72M,50.20M,-0.718M,-9.959M,2007-12,,,-0.055M,-26.19M,0.00,-26.19M,,,,-4.916M,-3.90M,2007-12,43.36M,26.91M,,,2007-12,-26.19M,,,0.00,,,2007-12,,Restated
2007-09,-17.53M,,,-0.061M,42.95M,2.104M,45.05M,45.05M,0.041M,,,,1.595M,-3.90M,-2.314M,1.234M,,,4.77M,-0.21M,,,2007-09,-6.768M,0.064M,-6.704M,-54.02M,-19.90M,-0.456M,-81.08M,2007-09,,,-0.008M,0.936M,0.00,0.936M,,,,-2.909M,-1.981M,2007-09,97.53M,-54.17M,,,2007-09,0.936M,,,0.00,,,2007-09,,
2007-06,-15.07M,,,0.301M,41.65M,2.081M,43.73M,43.73M,0.06M,,,,2.753M,-3.188M,-7.25M,3.07M,,,2.327M,-5.041M,,,2007-06,-7.507M,0.033M,-7.474M,-43.92M,-101.00M,-0.647M,-153.04M,2007-06,,,-0.61M,3.364M,0.00,3.364M,,,,1.606M,4.36M,2007-06,219.48M,-121.95M,,,2007-06,3.364M,,,0.00,,,2007-06,,
2007-03,-16.39M,,,-0.018M,40.29M,1.65M,41.94M,41.94M,,,,,1.417M,4.714M,-3.03M,-4.427M,,,2.343M,-0.40M,,,2007-03,-5.771M,0.025M,-5.746M,-51.80M,,-0.257M,-57.81M,2007-03,,,264.92M,29.64M,-91.24M,-61.60M,,,,1.266M,204.60M,2007-03,46.15M,173.34M,,,2007-03,29.64M,,,-91.24M,,,2007-03,,
2006-12,-24.26M,,,-0.04M,39.89M,1.395M,41.29M,41.29M,,,,,4.424M,4.308M,11.30M,-0.153M,,3.648M,-2.868M,16.23M,,,2006-12,-9.43M,0.037M,-9.393M,-15.20M,0.00,-2.373M,-26.96M,2006-12,,,26.12M,5.77M,,5.063M,,,,-36.17M,-4.993M,2006-12,40.42M,5.733M,,,2006-12,5.77M,,,,,,2006-12,,
2006-09,-24.34M,,,-0.094M,39.01M,4.704M,43.72M,43.72M,,,,,1.323M,0.446M,-3.812M,-3.393M,,,-0.799M,-7.558M,,,2006-09,-6.877M,0.112M,-6.765M,-30.33M,0.00,-0.151M,-37.24M,2006-09,,,-0.033M,1.661M,,1.661M,,,,1.385M,3.013M,2006-09,61.60M,-21.18M,,,2006-09,1.661M,,,,,,2006-09,,
2006-06,-75.64M,,,-0.186M,33.17M,4.481M,37.65M,37.65M,,,,,55.43M,-2.392M,-7.473M,0.509M,,-0.256M,2.359M,-7.253M,,,2006-06,-7.037M,0.037M,-7.00M,-655.76M,0.00,-2.388M,-665.15M,2006-06,,,655.52M,1.69M,,1.69M,,,,-0.352M,656.86M,2006-06,59.87M,1.722M,,,2006-06,1.69M,,,,,,2006-06,,
2006-03,-9.205M,,,0.076M,21.01M,5.479M,26.49M,26.49M,,,,,1.082M,1.275M,0.206M,-4.321M,,0.256M,-0.644M,-3.228M,,,2006-03,-5.625M,0.079M,-5.546M,-24.25M,19.90M,-0.63M,-10.52M,2006-03,,,,1.37M,,1.37M,,,,7.883M,9.253M,2006-03,45.93M,13.94M,,,2006-03,1.37M,,,,,,2006-03,,
2005-12,-32.30M,,,-9.598M,22.26M,5.955M,28.21M,28.21M,,,,,,-2.576M,-0.575M,0.595M,5.637M,-4.932M,,-2.43M,,,2005-12,-6.241M,0.196M,-6.045M,-22.51M,,-0.128M,-48.32M,2005-12,,,-92.79M,153.10M,,153.10M,,,,-3.163M,57.15M,2005-12,23.48M,22.46M,,,2005-12,153.10M,,,,,,2005-12,,
2005-09,-14.44M,,,0.129M,21.67M,6.729M,28.40M,28.40M,,,,,,-4.705M,1.619M,2.028M,0.422M,4.928M,,4.292M,,,2005-09,-6.212M,0.224M,-5.988M,-22.80M,,0.419M,-28.37M,2005-09,,,11.11M,76.68M,,76.68M,,,,-75.44M,12.35M,2005-09,21.12M,2.355M,,,2005-09,76.68M,,,,,,2005-09,,
2005-06,-26.26M,,,8.08M,21.64M,7.947M,29.59M,29.59M,,,,,,-4.35M,-0.435M,1.60M,-5.074M,-1.391M,,-9.65M,,,2005-06,-4.065M,0.345M,-3.72M,-5.806M,,-0.069M,-9.595M,2005-06,,,-66.99M,1.485M,,1.485M,,,,75.44M,9.934M,2005-06,19.02M,2.105M,,,2005-06,1.485M,,,,,,2005-06,,
2005-03,-21.71M,,,1.468M,21.64M,8.107M,29.75M,29.75M,,,,,,9.404M,0.145M,-3.944M,-0.985M,1.873M,,6.493M,,,2005-03,-3.13M,0.57M,-2.56M,-10.21M,,-0.234M,-13.00M,2005-03,,,-53.89M,0.278M,,0.278M,,,,,-53.61M,2005-03,69.63M,-50.61M,,,2005-03,0.278M,,,,,,2005-03,,
2004-12,-41.84M,,,-28.10M,22.45M,7.705M,30.15M,30.15M,,,,,,-14.03M,1.213M,2.356M,1.657M,-2.068M,,-9.426M,,,2004-12,-2.604M,0.394M,-2.21M,-0.911M,,4.486M,1.365M,2004-12,,,45.09M,2.019M,,2.019M,,,,,47.11M,2004-12,21.00M,48.63M,,,2004-12,2.019M,,,,,,2004-12,,
2004-09,-34.28M,,,1.835M,26.86M,7.734M,34.59M,34.59M,,,,,,4.191M,1.455M,0.27M,-0.768M,-8.27M,,-3.122M,,,2004-09,-1.226M,0.298M,-0.928M,-0.479M,,-0.05M,-1.457M,2004-09,,,1.584M,0.011M,,0.011M,,,,,1.595M,2004-09,21.83M,-0.832M,,,2004-09,0.011M,,,,,,2004-09,,
2004-06,-19.74M,,,3.124M,18.43M,7.447M,25.88M,25.88M,,,,,,-1.452M,-2.794M,1.57M,-0.522M,6.488M,,3.29M,,,2004-06,-1.39M,0.406M,-0.984M,-0.362M,,4.43M,3.084M,2004-06,,,-13.06M,0.096M,,0.096M,,,,,-12.97M,2004-06,19.16M,2.664M,,,2004-06,0.096M,,,,,,2004-06,,
2004-03,-51.42M,,,22.98M,22.82M,7.362M,30.18M,30.18M,,,,,,1.241M,0.767M,-0.554M,14.83M,-15.54M,,0.748M,,,2004-03,-1.994M,0.398M,-1.596M,-0.039M,,-0.031M,-1.666M,2004-03,,,10.01M,,,,,,,,10.01M,2004-03,8.338M,10.83M,,,2004-03,,,,,,,2004-03,,
2003-12,-54.14M,,,9.088M,38.40M,1.99M,40.39M,40.39M,,,,,,-2.624M,0.086M,-0.429M,-15.20M,13.32M,,-4.844M,,,2003-12,-2.925M,4.001M,1.076M,-0.377M,,13.03M,13.73M,2003-12,,,257.86M,-0.009M,,-296.93M,,,,7.917M,-31.16M,2003-12,35.28M,-26.95M,,,2003-12,-0.009M,,,,,,2003-12,,
2003-09,-30.84M,,,15.77M,21.07M,1.172M,22.24M,22.24M,,,,,-14.95M,3.853M,-0.153M,-0.042M,12.92M,-21.49M,,-4.914M,,,2003-09,-3.121M,45.94M,42.82M,-0.219M,,-11.76M,30.84M,2003-09,,,-3.652M,0.018M,,0.018M,,,,-1.266M,-4.90M,2003-09,22.04M,13.24M,,,2003-09,0.018M,,,,,,2003-09,,
2003-06,-56.41M,,,17.05M,16.80M,1.105M,17.91M,17.91M,,,,,14.15M,5.46M,-1.005M,-2.354M,-15.70M,18.12M,,4.52M,,,2003-06,-2.957M,142.51M,139.55M,-0.227M,,-20.00M,119.33M,2003-06,,,-134.80M,0.022M,,0.022M,,,,-7.587M,-142.36M,2003-06,47.86M,-25.82M,,,2003-06,0.022M,,,,,,2003-06,,
2003-03,-33.76M,,,1.74M,25.60M,6.068M,31.67M,31.67M,,,,,0.794M,6.44M,0.729M,-2.933M,-1.197M,-8.312M,,-5.273M,,,2003-03,-6.133M,,-6.133M,-2.303M,,,-8.436M,2003-03,,,-0.027M,,,,,,,,-0.027M,2003-03,61.14M,-13.28M,,,2003-03,,,,,,,2003-03,,
2002-12,-6.164M,,,-4.929M,9.103M,8.637M,17.74M,17.74M,,,,,,12.58M,0.915M,21.38M,-8.581M,8.597M,,34.89M,,,2002-12,-1.873M,,-1.873M,-29.72M,,,-18.23M,2002-12,,,-5.777M,0.07M,,0.07M,,,,1.191M,-4.516M,2002-12,42.35M,18.79M,,,2002-12,0.07M,,,,,,2002-12,,
2002-09,-31.67M,,,2.413M,26.38M,8.461M,34.84M,34.84M,,,,,-1.112M,-3.394M,3.824M,-7.771M,-1.326M,-10.14M,,-18.81M,,,2002-09,-13.51M,,-13.51M,,,,-13.51M,2002-09,,,39.96M,0.047M,,0.047M,,,,-1.126M,38.88M,2002-09,31.31M,11.04M,,,2002-09,0.047M,,,,,,2002-09,,
2002-06,-47.34M,,,56.58M,24.19M,8.285M,32.48M,32.48M,,,,,-30.77M,0.691M,-3.405M,-10.99M,6.207M,20.55M,,13.06M,,,2002-06,-41.40M,,-41.40M,16.51M,,,-24.89M,2002-06,,,-0.154M,0.137M,,0.137M,,,,-0.065M,-0.082M,2002-06,32.28M,-0.962M,,,2002-06,0.137M,,,,,,2002-06,,
2002-03,-163.82M,,,97.58M,26.05M,8.002M,34.06M,34.06M,,,,,31.88M,7.259M,0.022M,-17.85M,-1.066M,-21.45M,,-33.09M,,,2002-03,-29.58M,,-29.58M,-16.51M,,,-46.10M,2002-03,,,97.78M,0.075M,,0.075M,,,,,97.86M,2002-03,13.90M,18.37M,,,2002-03,0.075M,,,,,,2002-03,,
2001-12,-30.36M,,,14.84M,12.58M,7.86M,20.44M,20.44M,,,,,,-3.758M,1.491M,0.768M,0.171M,10.31M,,8.982M,,,2001-12,107.61M,,107.61M,,,,-139.53M,2001-12,,,68.68M,0.397M,,0.397M,,,,,69.08M,2001-12,70.45M,-56.54M,,,2001-12,0.397M,,,,,,2001-12,,
2001-09,-49.12M,,,25.42M,20.14M,7.614M,27.76M,27.76M,,,,,,2.112M,-3.233M,10.88M,-0.22M,-6.028M,,3.516M,,,2001-09,-87.85M,,-87.85M,,,,-87.85M,2001-09,,,-0.536M,0.379M,,0.379M,,,,,-0.157M,2001-09,150.88M,-80.43M,,,2001-09,0.379M,,,,,,2001-09,,
2001-06,-23.32M,,,1.236M,18.37M,7.288M,25.66M,25.66M,,,,,-20.73M,6.557M,-2.489M,7.116M,5.971M,23.93M,,41.08M,,,2001-06,-169.01M,,-169.01M,,,,-169.01M,2001-06,,,44.56M,1.041M,,1.041M,,,,,45.60M,2001-06,250.36M,-99.49M,,,2001-06,1.041M,,,,,,2001-06,,
2001-03,-23.00M,,,6.256M,15.01M,6.968M,21.98M,21.98M,,,,,20.73M,-8.883M,0.382M,-30.95M,,-3.175M,,-42.63M,,,2001-03,-158.31M,,-158.31M,,,,-158.31M,2001-03,,,408.92M,1.433M,,1.433M,,,,,410.35M,2001-03,14.98M,235.38M,,,2001-03,1.433M,,,,,,2001-03,,
2000-12,-5.379M,,,0.1344M,,,-8.664M,-8.664M,,,,,,-16.17M,,15.59M,-2.541M,16.50M,,13.38M,,,2000-12,283.11M,,283.11M,,,,-162.17M,2000-12,,,24.74M,1.643M,,1.643M,,,,0.1286M,26.51M,2000-12,124.84M,-109.86M,,,2000-12,1.643M,,,,,,2000-12,,
2000-09,-5.905M,,,0.4331M,,,16.16M,16.16M,,,,,,-2.945M,,1.829M,-8.543M,6.217M,,-3.442M,,,2000-09,-119.96M,,-119.96M,,,,-119.96M,2000-09,,,-25.01M,235.43M,,235.43M,,,,-0.0707M,210.35M,2000-09,27.20M,97.64M,,,2000-09,235.43M,,,,,,2000-09,,
2000-06,-7.908M,,,0.5640M,,,14.28M,14.28M,,,,,,-12.58M,,22.21M,-0.6348M,1.314M,,10.31M,,,2000-06,-102.56M,,-102.56M,,,,-102.56M,2000-06,,,-0.0125M,0.8417M,,0.8417M,,,,-0.0134M,0.8157M,2000-06,111.70M,-84.50M,,,2000-06,0.8417M,,,,,,2000-06,,
2000-03,-9.723M,,,0.5316M,,,13.05M,13.05M,,,,,,-3.524M,,-4.289M,-3.690M,4.874M,,-6.629M,,,2000-03,-60.59M,,-60.59M,,,,-60.59M,2000-03,,,-59.51M,231.49M,,231.49M,,,,-0.0445M,171.93M,2000-03,3.131M,108.57M,,,2000-03,231.49M,,,,,,2000-03,,
1999-12,-9.50M,,,0.40M,,,27.60M,27.60M,0.20M,,,,-16.40M,-0.50M,,11.80M,-1.70M,-0.30M,,9.30M,,,1999-12,-60.90M,,-60.90M,,,,-60.90M,1999-12,,,57.00M,0.50M,0.00,0.50M,,,,-7.90M,49.60M,1999-12,2.70M,0.30M,,,1999-12,0.50M,,,0.00,,,1999-12,,
1999-09,-8.00M,,,-10.60M,,,4.30M,4.30M,-0.20M,,,,16.40M,-3.40M,,4.70M,-1.60M,1.80M,,1.50M,,,1999-09,-56.40M,,-56.40M,,,,-56.40M,1999-09,,,40.00M,11.20M,0.00,11.20M,,,,-0.40M,50.80M,1999-09,5.00M,-2.20M,,,1999-09,11.20M,,,0.00,,,1999-09,,
1999-06,-7.60M,,,9.70M,,,-1.60M,-1.60M,,,,,0.10M,2.10M,,8.10M,0.80M,1.00M,,12.00M,,,1999-06,-54.70M,,-54.70M,,,,-54.70M,1999-06,,,-5.00M,82.70M,-32.80M,49.90M,,,,-0.10M,44.80M,1999-06,2.30M,2.70M,,,1999-06,82.70M,,,-32.80M,,,1999-06,,
1999-03,-8.30M,,,1.20M,,,8.30M,8.30M,,,,,-0.10M,-1.80M,,-2.30M,-1.60M,0.10M,,-5.60M,,,1999-03,-36.90M,,-36.90M,,,,-36.90M,1999-03,,,23.00M,,,,,,,-6.10M,16.90M,1999-03,26.70M,-24.50M,,,1999-03,,,,,,,1999-03,,
