,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,271.87M,,271.87M,68.04M,,27.11M,95.15M,11.94M,61.57M,18.05M,458.59M,803.96M,,,51.54M,7.482B,36.64M,8.375B,-3.367B,5.008B,3.063B,3.063B,60.01M,13.86M,317.69M,7.75M,82.02M,23.22M,8.576B,9.035B,29.23M,11.84M,41.07M,84.57M,125.64M,,24.00M,24.00M,229.18M,253.18M,155.80M,155.80M,16.63M,551.25M,10.69B,2.081B,12.77B,,,,15.19M,181.01M,,2020-09,1.114M,-6.178B,2.564B,-4.486B,,2020-09,AOR,
2020-06,207.49M,225.85M,433.34M,91.30M,,18.88M,110.17M,11.03M,41.68M,27.86M,624.09M,751.68M,,,50.25M,7.497B,33.05M,8.332B,-3.298B,5.034B,3.175B,3.175B,,11.79M,318.79M,116.45M,74.76M,35.96M,8.766B,9.391B,26.35M,11.13M,37.49M,104.87M,142.35M,,24.00M,24.00M,229.85M,253.85M,130.67M,130.67M,25.78M,552.66M,10.56B,2.114B,12.67B,,,,14.35M,459.35M,,2020-06,1.119M,-5.973B,2.534B,-4.305B,,2020-06,AOR,
2020-03,184.14M,,184.14M,107.20M,,18.82M,126.02M,11.92M,43.01M,29.97M,395.06M,740.58M,,,48.75M,7.528B,33.02M,8.350B,-3.232B,5.118B,3.294B,3.294B,,11.59M,320.39M,114.72M,68.87M,36.36M,8.964B,9.360B,26.94M,9.39M,36.33M,77.48M,113.81M,,522.69M,522.69M,231.38M,754.08M,133.55M,133.55M,18.12M,1.020B,10.05B,2.154B,12.20B,,,,14.48M,438.05M,,2020-03,1.116M,-5.943B,2.472B,-4.317B,,2020-03,AOR,
2019-12,108.31M,,108.31M,132.12M,0.00,26.31M,158.44M,4.635M,30.24M,32.65M,334.27M,736.38M,,,51.65M,7.736B,33.64M,8.558B,-3.191B,5.367B,3.627B,3.627B,,8.295M,330.66M,47.58M,9.207M,36.33M,9.426B,9.760B,31.85M,9.598M,41.44M,107.29M,148.73M,,522.09M,522.09M,247.02M,769.10M,113.51M,113.51M,16.95M,1.048B,9.812B,2.279B,12.09B,,,,16.05M,270.87M,,2019-12,1.118M,-5.561B,2.461B,-3.667B,,2019-12,AOR,
2019-09,128.78M,0.656M,129.43M,122.72M,0.00,28.30M,151.03M,5.69M,27.50M,15.60M,329.25M,724.36M,,,5.119B,2.450B,36.81M,8.330B,-3.117B,5.213B,3.262B,3.262B,,8.767M,326.22M,,21.32M,40.70M,8.872B,9.201B,35.13M,10.47M,45.60M,87.17M,132.77M,,24.00M,24.00M,230.20M,254.20M,112.38M,112.38M,10.80M,510.15M,9.822B,2.175B,12.00B,,,,14.08M,241.27M,,2019-09,1.126M,-5.387B,2.446B,-3.560B,,2019-09,AOR,Restated
2019-06,101.84M,25.54M,127.37M,117.48M,,25.58M,143.05M,1.409M,22.59M,21.31M,315.73M,692.12M,,,5.090B,2.503B,34.27M,8.319B,-3.054B,5.264B,3.238B,3.238B,,62.32M,326.54M,,14.52M,48.10M,8.954B,9.269B,41.27M,10.00M,51.28M,97.71M,148.99M,,943.16M,943.16M,231.68M,1.175B,95.13M,95.13M,9.181M,1.428B,8.749B,2.236B,10.98B,,,,,195.65M,,2019-06,1.131M,-5.194B,2.408B,-3.339B,,2019-06,AOR,Restated
2019-03,117.61M,,117.61M,113.02M,0.00,23.48M,136.50M,1.649M,23.88M,20.92M,300.57M,679.82M,,,5.032B,2.552B,33.94M,8.299B,-2.985B,5.314B,3.259B,3.259B,,,,,,439.61M,9.012B,9.313B,34.54M,7.768M,42.31M,80.82M,123.14M,,942.44M,942.44M,228.78M,1.171B,98.97M,98.97M,11.33M,1.405B,8.781B,2.283B,11.06B,,,,,147.48M,,2019-03,1.132M,-5.131B,2.359B,-3.303B,,2019-03,AOR,Restated
2018-12,143.44M,,143.44M,111.04M,11.18M,23.78M,146.00M,37.27M,32.46M,14.67M,373.85M,668.46M,,,54.81M,4.951B,35.76M,5.710B,-2.924B,2.786B,3.331B,3.331B,,49.26M,322.07M,0.00,45.35M,41.66M,6.840B,7.214B,34.31M,7.928M,42.24M,104.46M,146.70M,,941.73M,941.73M,0.00,941.73M,108.05M,108.05M,9.802M,1.206B,8.997B,0.00,8.997B,,,,0.00,387.43M,,2018-12,1.124M,-5.136B,2.270B,-3.377B,,2018-12,AOR,Restated
2018-09,136.22M,,136.22M,89.30M,10.88M,17.80M,117.98M,31.32M,24.70M,17.44M,327.66M,656.82M,,,4.952B,,35.34M,5.644B,-2.857B,2.788B,3.388B,3.388B,,45.30M,317.42M,,54.81M,40.45M,6.886B,7.214B,32.09M,9.529M,41.62M,92.79M,134.40M,,,24.00M,,24.00M,96.58M,96.58M,10.53M,265.51M,9.710B,,9.710B,,,,,383.25M,,2018-09,1.142M,-4.852B,2.234B,-3.145B,,2018-09,AOR,Restated
2018-06,134.65M,,134.65M,87.39M,,13.76M,101.16M,31.63M,24.84M,34.60M,326.88M,649.89M,,,4.890B,,34.95M,5.575B,-2.796B,2.778B,3.460B,3.460B,,,314.99M,,51.63M,118.12M,6.963B,7.289B,32.38M,8.913M,41.30M,101.49M,142.78M,,,24.00M,,24.00M,94.55M,94.55M,16.48M,277.81M,9.676B,,9.676B,,,,,377.96M,,2018-06,1.148M,-4.760B,2.217B,-3.042B,,2018-06,AOR,Restated
