,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,469.84M,,469.84M,928.62M,,928.62M,589.78M,46.17M,515.34M,1.151B,383.62M,12.84M,,,2.946B,,,,,3.088B,,3.088B,-1.409B,1.679B,5.427B,2.675B,8.103B,,154.50M,56.19M,,2020-09,505.26M,82.31M,,,587.57M,107.30M,694.87M,,,440.96M,,440.96M,,,480.43M,1.616B,3.891B,3.891B,612.74M,,12.11M,100.00M,517.30M,5.379B,6.995B,16.07M,4.171B,3.848B,1.017B,,,,-939.42M,6.078B,,2020-09,AOR,
2020-06,497.41M,,497.41M,961.57M,,961.57M,600.75M,49.20M,515.91M,1.166B,377.62M,10.12M,,,3.013B,,,,,2.981B,,2.981B,-1.342B,1.639B,5.349B,2.681B,8.030B,,110.38M,56.12M,,2020-06,550.53M,80.17M,,,630.71M,89.38M,720.08M,,,185.20M,,185.20M,,,438.89M,1.344B,4.182B,4.182B,611.72M,,13.11M,98.53M,494.40M,5.644B,6.988B,16.07M,4.168B,3.838B,1.017B,,,,-1.017B,5.988B,,2020-06,AOR,
2020-03,433.25M,,433.25M,943.11M,,943.11M,553.43M,48.30M,474.18M,1.076B,356.32M,9.699M,,,2.818B,,,,,2.920B,,2.920B,-1.293B,1.626B,5.268B,2.677B,7.945B,,96.11M,69.73M,,2020-03,456.16M,80.06M,,,536.22M,87.08M,623.30M,,,385.57M,,385.57M,,,418.12M,1.427B,3.947B,3.947B,616.08M,,12.82M,102.71M,494.19M,5.421B,6.848B,16.07M,4.162B,3.835B,1.022B,,,,-1.164B,5.828B,,2020-03,AOR,
2019-12,606.82M,,606.82M,876.20M,,876.20M,565.07M,44.53M,513.46M,1.123B,319.33M,17.12M,,,2.943B,0.00,73.17M,831.58M,1.598B,292.66M,188.12M,2.983B,-1.304B,1.680B,5.498B,2.852B,8.350B,,125.55M,56.97M,,2019-12,510.37M,80.04M,62.87M,62.90M,716.18M,145.08M,861.26M,,384.96M,384.96M,39.68M,424.63M,,,254.32M,1.552B,3.997B,3.997B,641.46M,,12.24M,99.04M,502.37M,5.506B,7.058B,16.07M,4.118B,3.823B,1.023B,-345.92M,-373.04M,2.068M,-716.89M,6.217B,,2019-12,AOR,
2019-09,494.90M,,494.90M,942.70M,,942.70M,570.43M,52.12M,503.84M,1.126B,325.41M,9.157M,,,2.899B,,,,,2.916B,,2.916B,-1.303B,1.613B,5.381B,2.830B,8.211B,,76.86M,52.51M,,2019-09,416.56M,80.03M,,,496.60M,111.67M,608.26M,,,384.82M,,384.82M,,,419.36M,1.412B,4.008B,4.008B,634.03M,,11.17M,114.54M,530.97M,5.505B,6.918B,16.07M,4.114B,3.816B,1.023B,,,,-867.55M,6.056B,,2019-09,AOR,Restated
2019-06,426.72M,,426.72M,1.046B,,1.046B,615.30M,54.85M,493.50M,1.164B,325.52M,28.10M,,,2.990B,,,,,2.941B,,2.941B,-1.315B,1.625B,5.506B,2.945B,8.451B,,97.63M,54.92M,,2019-06,463.56M,77.90M,,,541.45M,93.91M,635.36M,,,84.23M,,84.23M,,,429.94M,1.150B,4.429B,4.429B,707.36M,,10.61M,115.54M,514.80M,5.989B,7.138B,16.07M,4.069B,3.806B,1.023B,,,,-668.36M,6.199B,,2019-06,AOR,Restated
2019-03,483.50M,,483.50M,1.004B,,1.004B,586.18M,52.03M,476.28M,1.114B,310.24M,13.62M,,,2.926B,,,,,2.882B,,2.882B,-1.287B,1.595B,5.434B,2.974B,8.408B,26.74M,82.93M,48.27M,,2019-03,476.41M,77.80M,,,554.21M,91.29M,645.50M,,,84.00M,,84.00M,,,414.63M,1.144B,4.421B,4.421B,658.80M,,11.27M,114.71M,492.03M,5.913B,7.057B,16.07M,4.011B,3.803B,1.029B,,,,-657.35M,6.143B,,2019-03,AOR,Restated
2018-12,634.90M,,634.90M,937.76M,,937.76M,568.92M,48.82M,460.80M,1.079B,277.04M,13.62M,,,2.942B,0.00,75.53M,760.78M,1.523B,,133.87M,2.493B,-1.252B,1.241B,5.378B,3.039B,8.418B,,89.00M,81.34M,,2018-12,471.38M,77.78M,47.61M,74.15M,670.92M,167.35M,838.27M,,48.64M,48.64M,0.00,48.64M,,,229.87M,1.128B,4.504B,4.504B,655.88M,,10.42M,81.81M,248.44M,5.718B,6.846B,16.07M,3.956B,3.794B,1.031B,-309.98M,-397.00M,4.746M,-702.23M,6.033B,,2018-12,AOR,Restated
2018-09,5.274B,,5.274B,701.11M,,701.11M,372.61M,26.30M,320.60M,719.51M,251.75M,,,,6.947B,,,,,,,2.125B,-1.250B,874.82M,1.153B,385.58M,1.538B,,87.48M,167.98M,,2018-09,312.24M,66.90M,,,379.14M,75.97M,455.11M,,,45.98M,,45.98M,,,257.36M,758.46M,4.331B,4.331B,,33.87M,6.135M,,235.33M,4.819B,5.578B,16.07M,4.021B,2.442B,1.732B,,,,-715.10M,4.032B,,2018-09,AOR,Restated
2018-06,322.42M,,322.42M,723.86M,,723.86M,353.22M,23.67M,318.30M,695.19M,285.11M,,,,2.027B,,,,,,,2.099B,-1.231B,867.63M,1.149B,391.43M,1.540B,,82.20M,157.02M,,2018-06,315.66M,54.49M,,,370.14M,59.28M,429.42M,,,6.50M,,6.50M,,,263.45M,699.37M,1.717B,1.717B,,35.82M,6.348M,,238.64M,2.218B,2.917B,14.47M,3.992B,167.43M,1.732B,,,,-692.50M,1.750B,,2018-06,AOR,Restated
