,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks
2020-09,1.268B,1.268B,743.65M,524.43M,234.52M,89.97M,47.74M,-1.912M,34.84M,-34.84M,372.23M,152.20M,34.84M,-34.84M,-11.86M,-34.84M,105.50M,19.27M,86.23M,-0.539M,85.69M,87.25M,223.68M,83.33M,140.34M,0.76,,0.7739,0.76,,,0.7637,0.75,,2020-09,0.77,,2020-09
2020-06,1.199B,1.199B,716.93M,481.84M,230.41M,80.95M,48.83M,-2.283M,32.06M,-32.06M,360.19M,121.65M,32.06M,-32.06M,13.47M,-32.06M,103.06M,15.70M,87.37M,-2.868M,84.50M,86.43M,214.78M,79.65M,135.13M,0.75,,0.7673,0.75,,,0.7570,0.74,,2020-06,0.75,,2020-06
2020-03,1.347B,1.347B,781.45M,565.87M,229.71M,85.91M,48.35M,-5.672M,32.14M,-32.14M,363.97M,201.89M,32.14M,-32.14M,-16.25M,-32.14M,153.51M,26.30M,127.21M,-2.604M,124.61M,129.31M,266.24M,80.60M,185.65M,1.16,,1.202,1.16,,,1.191,1.15,,2020-03,0.75,,2020-03
2019-12,1.284B,1.284B,781.61M,502.16M,242.01M,85.64M,49.13M,-8.581M,35.56M,-35.56M,376.78M,125.38M,35.56M,-35.56M,6.708M,-35.56M,96.53M,16.15M,80.38M,1.572M,81.95M,89.10M,219.99M,87.90M,132.09M,0.71,,0.7738,0.71,,,0.7628,0.70,,2019-12,0.75,,2019-12
2019-09,1.267B,1.267B,734.26M,533.09M,210.83M,85.08M,48.43M,-4.088M,33.50M,-33.50M,344.34M,188.75M,33.50M,-33.50M,1.611M,-33.50M,156.87M,27.06M,129.81M,-0.947M,128.86M,132.24M,270.98M,80.62M,190.36M,1.15,,1.180,1.15,,,1.160,1.13,,2019-09,0.75,,2019-09
2019-06,1.292B,1.292B,745.33M,546.24M,210.10M,84.82M,47.91M,-3.477M,32.59M,-32.59M,342.82M,203.41M,32.59M,-32.59M,-1.34M,-32.59M,169.48M,30.61M,138.87M,-3.005M,135.86M,138.71M,275.11M,73.04M,202.07M,1.21,,1.235,1.21,,,1.225,1.20,,2019-06,0.73,,2019-06
2019-03,1.297B,1.297B,766.14M,531.26M,213.18M,90.60M,47.62M,-15.99M,36.57M,-36.57M,351.40M,179.86M,36.57M,-36.57M,-8.708M,-36.57M,134.58M,23.36M,111.21M,-2.385M,108.83M,122.03M,252.92M,81.78M,171.15M,0.97,,1.088,0.97,,,1.076,0.96,,2019-03,0.73,,2019-03
2018-12,1.219B,1.219B,741.53M,477.52M,249.61M,83.04M,48.11M,-1.507M,38.80M,-38.80M,380.76M,96.76M,38.80M,-38.80M,8.347M,-38.80M,66.30M,50.80M,15.50M,-2.479M,13.02M,14.12M,182.90M,77.80M,105.10M,0.09,,0.0999,0.09,,,0.0998,0.09,,2018-12,0.73,,2018-12
2018-09,907.55M,907.55M,506.88M,400.67M,157.80M,75.30M,9.003M,-38.11M,23.91M,-23.91M,242.10M,158.56M,23.91M,-23.91M,-33.95M,-23.91M,100.70M,4.986M,95.72M,0.00,95.72M,131.92M,155.64M,31.03M,124.62M,1.18,,1.625,1.18,,,1.613,1.17,,2018-09,0.73,,2018-09
2018-06,920.02M,920.02M,521.30M,398.72M,157.41M,74.77M,9.584M,-2.45M,53.25M,-53.25M,241.76M,156.96M,53.25M,-53.25M,18.20M,-53.25M,121.92M,22.77M,99.15M,0.00,99.15M,101.14M,206.75M,31.58M,175.16M,1.25,,1.275,1.25,,,1.275,1.25,,2018-06,0.69,,2018-06
2018-03,930.93M,930.93M,525.12M,405.81M,142.64M,78.48M,9.185M,-0.648M,16.60M,-16.60M,230.30M,175.50M,16.60M,-16.60M,-0.072M,-16.60M,158.84M,29.42M,129.42M,0.00,129.42M,129.94M,208.82M,33.38M,175.43M,1.63,,1.637,1.63,,,1.637,1.63,,2018-03,0.69,,2018-03
2017-12,854.62M,854.62M,498.63M,356.00M,141.47M,76.82M,10.37M,-5.464M,15.78M,-15.78M,228.66M,127.34M,15.78M,-15.78M,3.627M,-15.78M,115.19M,155.35M,-40.16M,,-40.16M,-36.88M,163.49M,32.52M,130.97M,-0.51,,-0.4685,-0.51,,,-0.4687,-0.51,,2017-12,0.69,,2017-12
2017-09,872.94M,872.94M,492.54M,380.40M,145.65M,73.76M,8.766M,-3.218M,19.22M,-19.22M,228.18M,152.22M,19.22M,-19.22M,8.329M,-19.22M,141.33M,31.06M,110.26M,,110.26M,112.77M,190.19M,29.64M,160.55M,1.39,,1.422,1.39,,,1.422,1.39,,2017-09,0.69,,2017-09
2017-06,842.86M,842.86M,469.88M,372.98M,139.32M,72.76M,8.494M,-0.723M,17.56M,-17.56M,220.57M,152.41M,17.56M,-17.56M,7.186M,-17.56M,142.04M,32.24M,109.80M,,109.80M,110.35M,188.60M,29.00M,159.60M,1.39,,1.397,1.39,,,1.387,1.38,,2017-06,0.64,,2017-06
2017-03,828.29M,828.29M,465.21M,363.08M,143.70M,72.13M,7.066M,-10.12M,12.81M,-12.81M,222.90M,140.19M,12.81M,-12.81M,11.11M,-12.81M,138.49M,22.72M,115.76M,,115.76M,124.23M,178.10M,26.80M,151.29M,1.46,,1.567,1.46,,,1.557,1.45,,2017-03,0.64,,2017-03
2016-12,762.56M,762.56M,439.11M,323.45M,164.15M,67.81M,7.104M,9.538M,12.34M,-12.34M,239.06M,84.38M,12.34M,-12.34M,31.34M,-12.34M,103.38M,23.46M,79.92M,,79.92M,72.54M,143.08M,27.36M,115.72M,1.00,,0.9072,1.00,,,0.9075,1.00,,2016-12,0.64,,2016-12
2016-09,777.00M,777.00M,430.73M,346.27M,152.05M,64.42M,5.468M,0.087M,13.11M,-13.11M,221.93M,124.34M,13.11M,-13.11M,2.162M,-13.11M,113.39M,23.61M,89.78M,,89.78M,89.71M,151.87M,25.37M,126.50M,1.13,,1.129,1.13,,,1.119,1.12,,2016-09,0.64,,2016-09
2016-06,793.48M,793.48M,427.84M,365.64M,132.78M,63.25M,5.13M,0.197M,15.06M,-15.06M,201.17M,164.48M,15.06M,-15.06M,2.635M,-15.06M,152.05M,35.32M,116.73M,,116.73M,116.58M,190.16M,23.05M,167.11M,1.46,,1.458,1.46,,,1.458,1.46,,2016-06,0.56,,2016-06
2016-03,783.31M,783.31M,423.10M,360.21M,123.54M,63.38M,6.061M,2.713M,12.48M,-12.48M,192.99M,167.22M,12.48M,-12.48M,0.154M,-12.48M,154.90M,36.29M,118.60M,,118.60M,116.52M,194.07M,26.70M,167.37M,1.48,,1.454,1.48,,,1.444,1.47,,2016-03,0.56,,2016-03
2015-12,715.65M,715.65M,402.49M,313.16M,122.25M,57.38M,4.747M,-7.764M,11.70M,-11.70M,184.37M,128.78M,11.70M,-11.70M,-14.26M,-11.70M,102.82M,23.65M,79.17M,,79.17M,85.15M,139.02M,24.50M,114.52M,0.89,,0.9647,0.89,,,0.9643,0.89,,2015-12,0.56,,2015-12
2015-09,765.09M,765.09M,417.97M,347.13M,122.25M,62.75M,5.414M,,11.86M,-11.86M,190.41M,156.71M,11.86M,-11.86M,-1.959M,-11.86M,142.90M,36.45M,106.45M,,106.45M,106.45M,178.81M,24.06M,154.75M,1.32,,1.32,1.32,,,1.31,1.31,,2015-09,0.56,,2015-09
2015-06,767.54M,767.54M,422.50M,345.04M,131.02M,62.51M,3.04M,0.358M,11.41M,-11.41M,196.58M,148.46M,11.41M,-11.41M,-0.078M,-11.41M,136.98M,31.60M,105.37M,,105.37M,105.10M,169.44M,21.06M,148.38M,1.30,,1.297,1.30,,,1.287,1.29,,2015-06,0.47,,2015-06
2015-03,774.91M,774.91M,428.63M,346.28M,119.00M,63.46M,1.84M,-0.187M,11.10M,-11.10M,184.30M,161.98M,11.10M,-11.10M,5.523M,-11.10M,156.41M,28.15M,128.26M,,128.26M,128.41M,187.49M,19.98M,167.50M,1.58,,1.582,1.58,,,1.572,1.57,,2015-03,0.47,,2015-03
2014-12,756.08M,756.08M,428.10M,327.98M,127.70M,62.00M,,-0.386M,12.02M,-12.02M,197.03M,130.95M,12.02M,-12.02M,-1.34M,-12.02M,117.59M,27.45M,90.14M,,90.14M,90.43M,150.28M,20.68M,129.61M,1.11,,1.114,1.11,,,1.104,1.10,,2014-12,0.47,,2014-12
2014-09,773.81M,773.81M,433.70M,340.11M,123.21M,63.70M,,-0.608M,10.97M,-10.97M,186.91M,153.20M,10.97M,-10.97M,-0.045M,-10.97M,142.18M,34.77M,107.42M,,107.42M,107.87M,172.70M,19.55M,153.15M,1.32,,1.326,1.32,,,1.316,1.31,,2014-09,0.47,,2014-09
2014-06,788.41M,788.41M,435.77M,352.65M,132.92M,66.43M,,-0.182M,11.40M,-11.40M,199.35M,153.30M,11.40M,-11.40M,4.459M,-11.40M,146.35M,36.07M,110.28M,,110.28M,110.42M,184.06M,26.30M,157.76M,1.35,,1.352,1.35,,,1.352,1.35,,2014-06,0.39,,2014-06
