,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-12,48.97M,-0.656M,,,,-0.656M,15.97M,15.97M,6.075M,3.693M,3.693M,37.44M,6.724M,0.224M,,,-34.33M,10.06M,84.12M,,2008-12,1.367M,-34.96M,,,-1.499M,,-36.46M,,2008-12,43.02M,42.82M,-0.091M,0.00,-0.091M,,-19.65M,,0.042M,23.12M,,2008-12,70.78M,-1.053M,178.47M,,-0.091M,,-99.24M,0.00,-37.96M,-75.10M,,AOR,Restated
2008-09,57.68M,-0.82M,,,,-0.82M,17.49M,17.49M,0.335M,4.655M,4.655M,-13.93M,-1.309M,-14.75M,,,8.299M,-21.69M,57.65M,,2008-09,0.547M,-19.72M,,,-1.716M,,-21.43M,,2008-09,-27.79M,-27.79M,4.604M,0.00,4.604M,,-18.07M,,0.053M,-41.20M,,2008-09,-4.985M,-5.769M,108.74M,,4.604M,,-27.79M,0.00,19.51M,33.81M,,,Restated
2008-06,67.03M,-0.684M,,,,-0.756M,23.04M,23.04M,0.83M,5.013M,5.013M,-23.08M,-20.25M,32.75M,,,-13.36M,-23.94M,71.21M,,2008-06,0.463M,-16.38M,,,-0.199M,,-16.58M,,2008-06,24.24M,24.24M,0.526M,0.00,0.526M,,-18.52M,,0.038M,6.284M,,2008-06,60.92M,-1.883M,119.49M,,0.526M,,24.24M,0.00,8.173M,3.251M,,,Restated
2008-03,55.95M,,,,,0.072M,19.49M,19.49M,0.021M,3.885M,3.885M,-34.80M,-4.897M,-48.81M,,,16.73M,-71.78M,7.641M,,2008-03,0.471M,-11.50M,,,-3.784M,,-15.28M,,2008-03,-36.57M,-36.57M,2.314M,-30.00M,-27.68M,,-18.63M,,,-82.88M,,2008-03,-90.52M,-0.498M,60.46M,,2.314M,,-36.57M,-30.00M,10.27M,38.03M,,,Restated
2007-12,47.22M,,,,,-12.38M,19.96M,19.96M,5.859M,,-7.367M,33.38M,-10.02M,22.30M,,19.34M,-10.42M,54.57M,126.04M,,2007-12,7.82M,-21.29M,,,-2.388M,,-23.68M,,2007-12,,6.758M,1.675M,-0.169M,1.506M,,-20.35M,,0.215M,-11.87M,,2007-12,90.49M,-0.981M,151.47M,,1.675M,,,-0.169M,,,,,Restated
2007-09,58.84M,,,,,5.322M,20.54M,20.54M,-16.83M,,5.062M,-12.30M,-1.123M,,,19.20M,9.476M,15.25M,88.19M,,2007-09,0.388M,-14.78M,,,0.00,,-14.78M,,2007-09,,362.66M,11.98M,-496.12M,-484.14M,,-19.02M,,2.439M,-138.06M,,2007-09,-64.66M,2.45M,61.96M,,11.98M,,,-496.12M,,,,,
2007-06,78.37M,,,,,-5.922M,21.15M,21.15M,-7.066M,,3.971M,-15.60M,-2.906M,62.77M,,-38.54M,0.459M,6.185M,96.69M,,2007-06,8.299M,-4.442M,,,-4.414M,,-8.856M,,2007-06,,-2.399M,20.70M,-49.23M,-28.53M,,-18.47M,,2.182M,-47.22M,,2007-06,40.62M,0.351M,124.17M,,20.70M,,,-49.23M,,,,,
2007-03,62.69M,,,,,-0.815M,21.14M,21.14M,11.70M,,4.277M,-38.45M,1.648M,-62.77M,,,3.738M,-95.84M,3.146M,,2007-03,0.452M,-8.138M,,,4.103M,,-4.035M,,2007-03,,1.903M,15.76M,-31.48M,-15.72M,,-18.76M,,1.732M,-30.84M,,2007-03,-31.73M,0.431M,83.20M,,15.76M,,,-31.48M,,,,,
2006-12,47.98M,,,,,-8.154M,22.82M,22.82M,-3.519M,,5.17M,32.54M,-2.836M,3.648M,,,-53.54M,-20.19M,44.11M,,2006-12,12.35M,-15.05M,,,-17.38M,,-32.43M,,2006-12,,-13.27M,70.37M,-108.78M,-38.40M,,-16.57M,,4.291M,-63.95M,,2006-12,-52.27M,4.017M,114.51M,,70.37M,,,-108.78M,,,,,
2006-09,63.65M,,,,,-10.80M,22.31M,22.31M,-9.233M,,13.02M,0.633M,11.16M,34.44M,,2.336M,-10.97M,37.61M,116.54M,,2006-09,8.384M,-2.693M,,,0.00,,-2.693M,,2006-09,,89.19M,17.35M,-70.91M,-53.56M,,-16.82M,,0.362M,19.17M,,2006-09,133.02M,-0.087M,162.76M,,17.35M,,,-70.91M,,,,,
2006-06,61.18M,,,,,-2.237M,22.34M,22.34M,-9.624M,,-2.862M,-15.16M,2.857M,1.11M,,-4.294M,26.54M,11.05M,79.85M,,2006-06,1.834M,-8.939M,,,0.00,,-8.939M,,2006-06,,-230.89M,16.51M,-15.75M,0.756M,,-16.80M,,-0.083M,-247.02M,,2006-06,-176.10M,0.685M,29.83M,,16.51M,,,-15.75M,,,,,
2006-03,53.69M,,,,,-1.644M,22.26M,22.26M,9.953M,,2.862M,-45.16M,-1.694M,-1.11M,,1.958M,,-46.01M,41.11M,,2006-03,4.67M,-4.363M,,,0.025M,,-4.338M,,2006-03,,-19.40M,6.636M,-75.56M,-68.92M,,-17.19M,,0.083M,-105.44M,,2006-03,-68.66M,1.367M,205.25M,,6.636M,,,-75.56M,,,,,
2005-12,15.24M,,,,,-0.103M,22.38M,22.38M,-7.215M,,,42.93M,1.652M,-10.94M,,,-35.72M,-2.086M,35.57M,,2005-12,2.031M,-30.12M,,,0.00,,-30.12M,,2005-12,,270.82M,1.118M,-14.71M,-13.59M,,-17.29M,,,239.94M,,2005-12,245.39M,-1.132M,272.54M,,1.118M,,,-14.71M,,,,,
2005-09,68.57M,,,,,-0.485M,23.12M,23.12M,-43.16M,,,5.599M,-2.961M,4.576M,,40.52M,-11.73M,36.00M,84.05M,,2005-09,0.323M,-22.81M,,,0.00,,-22.81M,,2005-09,,-58.46M,4.133M,-22.62M,-18.49M,,-17.39M,,,-94.34M,,2005-09,-33.10M,1.526M,28.29M,,4.133M,,,-22.62M,,,,,
2005-06,56.71M,,,,,-0.767M,23.54M,23.54M,5.793M,,,-2.169M,-4.092M,29.45M,21.55M,-34.12M,-24.35M,-13.73M,71.55M,,2005-06,0.232M,-22.23M,,,0.035M,,-22.20M,,2005-06,,34.39M,4.212M,-31.00M,-26.79M,,-16.53M,,,-8.933M,,2005-06,40.42M,-3.372M,59.86M,,4.212M,,,-31.00M,,,,,
2005-03,52.54M,,,,,-0.753M,22.89M,22.89M,11.70M,,,-48.26M,5.284M,-29.45M,-21.55M,-6.406M,,-100.38M,-14.01M,,2005-03,0.201M,-15.49M,,,,,-15.49M,,2005-03,,53.70M,13.55M,-29.99M,-16.43M,,-16.57M,,,20.69M,,2005-03,-8.803M,-0.98M,22.81M,,13.55M,,,-29.99M,,,,,
2004-12,40.91M,,,,,-2.663M,22.61M,22.61M,-1.053M,,,49.11M,-4.786M,-6.868M,27.92M,-19.90M,,45.48M,105.28M,,2004-12,1.049M,-28.48M,,,,,-28.35M,,2004-12,,-51.21M,23.68M,-16.14M,7.536M,,-16.54M,,,-60.21M,,2004-12,16.72M,1.612M,32.60M,,23.68M,,,-16.14M,,,,,
2004-09,42.30M,,,,,-15.60M,22.31M,22.31M,-9.286M,,,11.93M,20.68M,38.13M,-9.69M,-1.095M,13.32M,73.27M,112.99M,,2004-09,37.06M,22.69M,,,,,22.69M,,2004-09,,-106.73M,13.30M,-23.21M,-9.908M,,-16.52M,,,-133.16M,,2004-09,2.52M,0.499M,14.26M,,13.30M,,,-23.21M,,,,,
2004-06,56.50M,,,,,-1.506M,23.10M,23.10M,-1.512M,,,-12.99M,-15.47M,6.819M,,8.36M,-7.007M,-20.28M,56.30M,,2004-06,0.35M,-14.12M,,,,,-14.12M,,2004-06,,-21.28M,10.49M,-16.34M,-5.845M,,-15.16M,,,-42.29M,,2004-06,-0.105M,-0.446M,11.24M,,10.49M,,,-16.34M,,,,,
2004-03,56.36M,,,,,,22.98M,22.98M,5.387M,,,-50.26M,-0.064M,-6.819M,,,-6.311M,-63.45M,21.28M,,2004-03,0.542M,-11.70M,,,,,-11.70M,,2004-03,,-12.91M,28.98M,-10.78M,18.20M,,-15.00M,,,-9.709M,,2004-03,-0.136M,-0.149M,11.80M,,28.98M,,,-10.78M,,,,,
2003-12,38.11M,,,,,,22.30M,22.30M,7.606M,,,62.94M,-7.119M,-32.25M,,12.04M,16.05M,51.67M,119.68M,,2003-12,0.434M,-24.58M,,,0.00,,-30.98M,,2003-12,,-85.07M,5.967M,0.00,5.967M,,-14.96M,,,-94.07M,,2003-12,-5.357M,2.444M,12.08M,,5.967M,,,0.00,,,,,
2003-09,51.07M,,,,,,21.41M,21.41M,1.089M,,,8.201M,11.87M,9.647M,,-5.052M,-5.604M,19.06M,92.62M,,2003-09,0.346M,-13.88M,,,0.00,,-13.88M,,2003-09,,136.05M,10.37M,-19.58M,-9.209M,,-14.98M,,-189.92M,-78.06M,,2003-09,0.692M,-1.124M,14.99M,,10.37M,,,-19.58M,,,,,
2003-06,51.40M,,,,,,21.62M,21.62M,-16.52M,,,3.413M,-1.433M,-21.25M,,5.745M,,-13.53M,42.96M,,2003-06,91.23M,75.81M,,,0.027M,,75.84M,,2003-06,,-282.58M,2.497M,-16.83M,-14.34M,,-14.10M,,189.92M,-121.09M,,2003-06,-2.295M,1.855M,15.43M,,2.497M,,,-16.83M,,,,,
2003-03,32.02M,,,,,,21.40M,21.40M,-3.736M,,,-38.60M,4.376M,11.61M,,-12.74M,,-35.36M,14.33M,,2003-03,5.662M,-5.638M,,,-0.155M,,-5.793M,,2003-03,,18.69M,7.444M,-19.04M,-11.59M,,-14.14M,,,-7.038M,,2003-03,1.495M,-0.487M,15.87M,,7.444M,,,-19.04M,,,,,
2002-12,39.00M,,,,,,21.07M,21.07M,9.786M,,,44.27M,-9.335M,-38.79M,,,-4.313M,-8.17M,61.68M,,2002-12,7.91M,-14.90M,,-3.869M,0.224M,,-18.54M,,2002-12,,-35.45M,1.274M,-4.325M,-3.051M,,-14.18M,,,-52.68M,,2002-12,-9.545M,1.259M,14.86M,,1.274M,,,-4.325M,,,,,
2002-09,49.60M,,,,,,20.99M,20.99M,-7.92M,,,20.31M,0.71M,21.13M,,,-9.421M,32.73M,95.40M,,2002-09,0.00,-17.39M,,-7.922M,-0.162M,,-25.47M,,2002-09,,-44.75M,2.218M,-23.42M,-21.20M,,-14.24M,,,-80.19M,,2002-09,-10.25M,-0.719M,23.14M,,2.218M,,,-23.42M,,,,,
2002-06,45.40M,,,,,,21.92M,21.92M,-10.14M,,,-19.20M,20.01M,-11.45M,,,3.062M,-7.583M,49.61M,,2002-06,51.66M,29.64M,,,0.033M,,29.68M,,2002-06,,-57.79M,17.79M,-27.50M,-9.708M,,-14.19M,,,-81.69M,,2002-06,-2.406M,2.049M,34.12M,,17.79M,,,-27.50M,,,,,
2002-03,41.95M,,,,,,20.47M,20.47M,1.889M,,,-29.92M,5.877M,1.483M,,,-5.093M,-27.66M,36.65M,,2002-03,5.064M,-14.54M,,,-0.014M,,-14.56M,,2002-03,,-12.54M,8.294M,-17.03M,-8.737M,,-14.22M,,,-35.50M,,2002-03,-13.40M,-0.653M,34.47M,,8.294M,,,-17.03M,,,,,
2001-12,29.17M,,,,,,30.31M,30.31M,-9.732M,,,49.12M,-4.75M,-8.113M,,,-21.20M,15.06M,64.81M,,2001-12,9.182M,-8.941M,,,0.021M,,-8.92M,,2001-12,,557.56M,4.348M,-15.28M,-10.93M,,-14.28M,,,-72.78M,,2001-12,-16.89M,-0.97M,48.52M,,4.348M,,,-15.28M,,,,,
2001-09,33.56M,,,,,,30.85M,30.85M,-6.35M,,,11.92M,3.803M,19.39M,,,-3.216M,31.89M,89.95M,,2001-09,3.196M,-10.54M,,,-1.431M,,-11.97M,,2001-09,,-46.36M,1.343M,-15.99M,-14.64M,,-14.36M,,,-75.37M,,2001-09,2.618M,3.077M,66.38M,,1.343M,,,-15.99M,,,,,
2001-06,33.00M,,,,,,32.92M,32.92M,-0.425M,,,-26.47M,-5.716M,2.117M,,,14.39M,-15.68M,49.82M,,2001-06,1.048M,-9.759M,,,-4.962M,,-14.72M,,2001-06,,-15.86M,1.151M,-5.858M,-4.707M,,-14.36M,,,-34.93M,,2001-06,0.165M,-5.41M,60.69M,,1.151M,,,-5.858M,,,,,
2001-03,20.27M,,,,,,29.41M,29.41M,-1.606M,,,-25.64M,5.456M,-33.47M,,,-17.50M,-71.15M,-23.07M,,2001-03,1.474M,-7.879M,,,-5.164M,,-13.04M,,2001-03,,22.42M,,-34.11M,-34.11M,,-14.61M,,,-26.30M,,2001-03,-62.42M,-0.517M,65.93M,,,,,-34.11M,,,,,
2000-12,1.386M,,,,,,24.61M,24.61M,-17.75M,,,29.96M,26.64M,5.593M,,,-17.94M,49.64M,57.89M,,2000-12,,-15.97M,,,-0.048M,,-958.01M,,2000-12,,242.65M,0.068M,-23.88M,-23.81M,,-37.90M,,,927.09M,,2000-12,26.96M,-4.914M,128.87M,,0.068M,,,-23.88M,,,,,
2000-09,28.93M,,,,,,15.04M,15.04M,-4.641M,,,35.63M,-0.724M,14.82M,,,6.728M,56.45M,95.77M,,2000-09,,-12.44M,,,0.652M,,-11.79M,,2000-09,,64.39M,0.00,-51.86M,-51.86M,,-38.56M,,,-26.04M,,2000-09,57.94M,-3.528M,106.82M,,0.00,,,-51.86M,,,,,
2000-06,48.92M,,,,,,15.19M,15.19M,-5.986M,,,-27.92M,17.96M,28.25M,,,-4.415M,13.88M,72.00M,,2000-06,-3.392M,-17.83M,,,-0.276M,,-18.11M,,2000-06,,51.80M,0.203M,-66.04M,-65.84M,,-39.15M,,,-53.19M,,2000-06,0.706M,0.634M,52.40M,,0.203M,,,-66.04M,,,,,
2000-03,43.78M,,,,,,14.50M,14.50M,-2.116M,,,-22.40M,20.71M,-26.64M,,,15.63M,-12.70M,43.46M,,2000-03,3.392M,-14.46M,,,0.127M,,-14.33M,,2000-03,,58.17M,1.116M,-59.17M,-58.06M,,-39.88M,,,-39.77M,,2000-03,-10.65M,-0.425M,51.06M,,1.116M,,,-59.17M,,,,,
1999-12,36.60M,,,,,-37.50M,16.60M,16.60M,-8.40M,,0.10M,16.70M,-17.10M,20.30M,,2.10M,10.20M,32.20M,39.60M,,1999-12,,-20.80M,,,-0.10M,,-20.90M,,1999-12,,37.50M,0.70M,-43.70M,-43.00M,,-40.30M,,-0.10M,-45.90M,,1999-12,-27.20M,-2.10M,62.10M,,0.70M,,,-43.70M,,,,,
1999-09,49.19M,,,,,37.50M,12.71M,12.71M,-0.912M,,,-1.603M,-13.93M,-16.10M,,-2.10M,-6.462M,-40.19M,58.29M,,1999-09,,-18.01M,,,0.543M,,-17.46M,,1999-09,,3.931M,1.164M,-1.753M,-0.589M,,-40.30M,,0.10M,-36.86M,,1999-09,3.964M,1.603M,91.40M,,1.164M,,,-1.753M,,,,,
1999-06,27.41M,,,,,,14.39M,14.39M,-2.388M,,0.10M,-23.80M,-10.27M,44.50M,,-5.20M,6.462M,11.69M,51.21M,,1999-06,,-28.69M,,,-0.143M,,-28.84M,,1999-06,,1.469M,1.836M,-0.047M,1.789M,,-40.30M,,,-37.04M,,1999-06,-14.66M,-1.303M,85.89M,,1.836M,,,-0.047M,,,,,
1999-03,48.80M,,,,,,12.70M,12.70M,7.50M,,-0.10M,-26.70M,7.30M,-8.00M,,5.20M,,-22.20M,46.70M,,1999-03,,-34.40M,,,-0.20M,,-34.60M,,1999-03,,21.00M,0.60M,-0.80M,-0.20M,,-40.30M,,,-19.50M,,1999-03,-7.40M,-5.70M,101.80M,,0.60M,,,-0.80M,,,,,
1998-12,35.00M,,,,,,12.70M,12.70M,10.50M,,0.10M,35.90M,-2.20M,-29.40M,,-4.50M,,-0.20M,58.10M,,1998-12,,-33.00M,,,-0.10M,,-33.20M,,1998-12,,0.10M,0.70M,-13.40M,-12.70M,,-39.40M,,-0.20M,-52.20M,,1998-12,-27.30M,0.00,115.00M,,0.70M,,,-13.40M,,,,,
1998-09,50.30M,,,,,,12.30M,12.30M,3.20M,,-0.10M,15.60M,-9.70M,-1.80M,,-0.30M,,3.80M,69.50M,,1998-09,,-25.70M,,,11.00M,,-14.70M,,1998-09,,10.10M,0.40M,-40.20M,-39.80M,,-39.90M,,0.10M,-69.50M,,1998-09,-14.70M,6.90M,0.00,,0.40M,,,-40.20M,,,,,
1998-06,55.90M,,,,,,12.00M,12.00M,0.60M,,,-4.00M,-9.90M,5.10M,,1.30M,,-7.50M,61.00M,,1998-06,,-18.10M,,,0.90M,,-17.20M,,1998-06,,5.30M,2.50M,-20.00M,-17.50M,,-39.90M,,-0.10M,-52.20M,,1998-06,-8.40M,-0.80M,0.00,,2.50M,,,-20.00M,,,,,
