,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,129.42M,,,,-4.387M,-4.456M,33.38M,33.38M,18.40M,7.62M,-12.97M,-61.30M,-30.18M,-26.98M,,-1.715M,-62.62M,-182.79M,-11.40M,,2018-03,,-33.10M,,-0.022M,-2.405M,0.293M,-35.24M,,2018-03,,53.69M,,-10.62M,-10.62M,-54.42M,-54.42M,0.00,-3.266M,-14.62M,,2018-03,-61.25M,-1.521M,305.28M,,,53.69M,0.00,-10.62M,24.94M,20.24M,,AOR,Restated
2017-12,-40.16M,,-0.003M,,-2.428M,-2.495M,32.52M,32.52M,62.33M,6.418M,0.00,26.09M,-25.12M,62.93M,,60.20M,8.547M,132.65M,191.27M,,2017-12,,-51.66M,,-1.024M,-0.792M,16.72M,-36.75M,,2017-12,-36.00M,-40.50M,,-4.858M,-4.858M,-54.44M,-54.44M,0.00,-0.259M,-100.05M,,2017-12,54.46M,-2.419M,368.05M,,,-36.00M,-4.499M,-4.858M,30.03M,6.955M,,AOR,Restated
2017-09,110.26M,,0.00,,-5.313M,-5.344M,29.64M,29.64M,-4.944M,7.256M,0.00,-17.36M,10.44M,15.44M,,-4.857M,1.04M,4.698M,141.57M,,2017-09,,-31.16M,,0.00,-0.79M,0.802M,-31.15M,,2017-09,36.00M,-235.60M,,0.00,0.00,-50.49M,-50.49M,0.00,-0.024M,-286.12M,,2017-09,-175.70M,0.316M,316.00M,,,14.40M,-250.00M,0.00,26.39M,16.45M,,AOR,Restated
2017-06,109.80M,,0.00,,-6.294M,-6.362M,29.00M,29.00M,5.271M,7.074M,-61.82M,-16.72M,-4.119M,-17.01M,,-10.39M,-1.108M,-49.36M,39.43M,,2017-06,,-19.49M,,-53.21M,1.068M,1.795M,-69.84M,,2017-06,-107.44M,311.92M,,-15.60M,-15.60M,-50.51M,-50.51M,0.329M,-19.47M,226.68M,,2017-06,196.26M,-4.946M,491.39M,,,311.92M,,-15.60M,30.92M,6.449M,,AOR,Restated
2017-03,115.76M,,-12.21M,,-25.26M,-37.50M,26.80M,26.80M,-3.766M,5.819M,5.819M,-60.86M,-0.109M,-9.564M,,-24.89M,6.799M,-88.63M,18.50M,,2017-03,,-26.66M,,-138.09M,1.948M,0.619M,-162.19M,,2017-03,107.44M,207.92M,,-37.61M,-37.61M,-50.68M,-50.68M,,-2.70M,116.93M,,2017-03,-26.76M,2.835M,300.07M,,,207.92M,,-37.61M,20.04M,25.59M,,AOR,Restated
2016-12,79.92M,,0.00,,-1.991M,-9.829M,27.36M,27.36M,6.027M,5.116M,5.116M,14.53M,15.61M,40.32M,,10.49M,18.76M,99.71M,208.30M,,2016-12,,-56.23M,,-236.84M,0.649M,3.192M,-289.23M,,2016-12,,-2.75M,,-33.30M,-33.30M,-50.85M,-50.85M,0.219M,-1.046M,-87.72M,,2016-12,-168.64M,-6.094M,323.99M,,,0.00,-2.75M,-33.30M,27.85M,5.568M,,AOR,Restated
2016-09,89.78M,,0.00,,-4.846M,-4.934M,25.37M,25.37M,-8.22M,5.697M,5.697M,34.29M,7.111M,16.91M,,13.29M,-9.745M,61.86M,169.54M,,2016-09,,-26.94M,,0.00,0.629M,0.326M,-25.99M,,2016-09,0.00,-115.18M,,-22.43M,-22.43M,-44.59M,-44.59M,0.10M,0.016M,-182.09M,,2016-09,-38.54M,-2.727M,498.73M,,,0.00,-115.18M,-22.43M,27.33M,20.04M,,AOR,Restated
2016-06,116.73M,,0.00,,-32.10M,-32.30M,23.05M,23.05M,12.35M,7.844M,7.844M,-9.706M,-10.53M,3.152M,,10.28M,11.47M,4.676M,132.35M,,2016-06,,-20.72M,,0.00,-0.641M,2.264M,-19.10M,,2016-06,,-13.54M,,-31.71M,-31.71M,-44.64M,-44.64M,0.331M,-6.019M,-95.57M,,2016-06,17.68M,-6.565M,539.99M,,,0.00,-13.54M,-31.71M,28.84M,4.242M,,AOR,Restated
2016-03,118.60M,,0.00,,-7.41M,-10.12M,26.70M,26.70M,4.193M,5.93M,5.93M,-60.66M,3.256M,-18.92M,,-19.62M,-9.42M,-105.36M,39.94M,,2016-03,,-22.51M,,0.00,0.00,1.366M,-21.15M,,2016-03,0.00,430.96M,,-40.01M,-40.01M,-44.83M,-44.83M,0.163M,-15.34M,330.95M,,2016-03,349.75M,-2.859M,528.88M,,,555.56M,-124.60M,-40.01M,23.88M,20.73M,,AOR,Restated
2015-12,79.17M,,,,-6.772M,-7.053M,24.50M,24.50M,-0.091M,4.805M,4.805M,16.85M,-5.973M,29.33M,,-43.03M,74.12M,71.29M,172.62M,,2015-12,,-34.40M,,0.045M,2.393M,0.871M,-31.09M,,2015-12,,-111.96M,,-40.96M,-40.96M,-45.00M,-45.00M,0.598M,-34.60M,-231.91M,,2015-12,-90.38M,0.092M,181.99M,,,-111.96M,0.00,-40.96M,31.57M,3.889M,,AOR,Restated
2015-09,106.45M,,,,-3.632M,-3.987M,24.06M,24.06M,-4.757M,5.495M,5.495M,-16.23M,-21.82M,40.43M,,9.018M,-10.27M,1.12M,128.38M,,2015-09,,-28.70M,,-304.63M,0.00,2.236M,-331.09M,,2015-09,,194.12M,,-42.42M,-42.42M,-37.95M,-37.95M,0.002M,0.096M,113.84M,,2015-09,-88.87M,-16.11M,272.28M,,,163.84M,30.28M,-42.42M,25.10M,19.04M,,AOR,Restated
2015-06,105.37M,,,,-3.445M,-3.465M,21.06M,21.06M,3.959M,7.473M,7.473M,-29.44M,-23.01M,31.44M,,5.505M,15.95M,0.445M,134.84M,,2015-06,,-18.56M,,-188.84M,9.735M,0.613M,-197.04M,,2015-06,,55.61M,,-28.15M,-28.15M,-37.96M,-37.96M,0.059M,3.011M,-7.425M,,2015-06,-69.63M,3.191M,377.25M,,,85.90M,-30.28M,-28.15M,25.44M,4.13M,,AOR,Restated
2015-03,128.26M,,,,-54.05M,-54.01M,19.98M,19.98M,13.93M,5.387M,5.387M,-62.89M,13.17M,17.20M,,,-49.56M,-82.07M,31.48M,,2015-03,,-19.38M,,,,1.45M,-17.93M,,2015-03,,0.265M,,-10.66M,-10.66M,-37.97M,-37.97M,0.227M,8.597M,-39.54M,,2015-03,-26.00M,-8.887M,443.69M,,,0.265M,,-10.66M,20.63M,19.70M,,AOR,Restated
2014-12,90.14M,,,,-9.489M,-10.91M,20.68M,20.68M,15.85M,3.021M,3.021M,45.29M,-18.43M,-8.143M,,,26.55M,82.11M,200.89M,,2014-12,,-45.36M,,0.00,3.776M,0.789M,-40.80M,,2014-12,,-1.085M,,-35.75M,-35.75M,-38.13M,-38.13M,0.503M,0.25M,-74.21M,,2014-12,85.88M,-12.14M,478.57M,,,-1.085M,0.00,-35.75M,29.08M,19.70M,,AOR,Restated
2014-09,107.42M,,,,-24.68M,-25.46M,19.55M,19.55M,-2.732M,5.593M,5.593M,2.307M,-23.46M,39.78M,,,40.49M,59.11M,163.47M,,2014-09,,-37.58M,,0.00,0.00,0.432M,-37.14M,,2014-09,,10.92M,,-18.35M,-18.35M,-31.70M,-31.70M,0.337M,0.292M,-38.50M,,2014-09,87.83M,-9.849M,404.84M,,,10.92M,0.00,-18.35M,17.52M,2.698M,,AOR,Restated
2014-06,110.28M,,,,-4.496M,-5.254M,26.30M,26.30M,1.982M,9.339M,9.339M,-8.667M,2.441M,-32.32M,,,14.93M,-23.62M,119.04M,,2014-06,,-26.41M,,-0.10M,0.00,5.474M,-21.03M,,2014-06,,0.797M,,-13.98M,-13.98M,-31.67M,-31.67M,0.111M,4.45M,-40.30M,,2014-06,57.71M,0.563M,326.85M,,,0.797M,0.00,-13.98M,26.80M,3.676M,,AOR,Restated
2014-03,106.71M,,,,-5.316M,-6.127M,22.83M,22.83M,8.246M,4.695M,4.695M,-41.57M,-0.591M,-10.89M,,,-48.30M,-101.36M,34.99M,,2014-03,,-33.84M,,-102.40M,-0.472M,14.35M,-122.36M,,2014-03,,1.309M,,-20.12M,-20.12M,-31.74M,-31.74M,0.913M,0.315M,-49.33M,,2014-03,-136.69M,-0.228M,268.58M,,,1.309M,,-20.12M,18.68M,20.03M,,AOR,Restated
2013-12,61.48M,,,,,-51.88M,22.14M,22.14M,4.683M,4.817M,4.817M,18.90M,-5.857M,4.234M,,20.09M,71.64M,109.00M,150.25M,,2013-12,,-47.71M,,0.00,0.02M,10.53M,-37.16M,,2013-12,,-0.31M,,-19.44M,-19.44M,-31.82M,-31.82M,0.186M,0.529M,-50.86M,,2013-12,62.23M,0.126M,405.50M,,,0.00,-0.31M,-19.44M,33.30M,0.411M,,AOR,Restated
2013-09,99.04M,,,,,-0.838M,21.28M,21.28M,-10.14M,4.869M,4.869M,-11.30M,-4.015M,12.11M,,8.557M,19.70M,25.06M,139.27M,,2013-09,,-25.76M,,0.00,0.00,0.315M,-25.44M,,2013-09,,-98.85M,,-12.75M,-12.75M,-27.79M,-27.79M,0.047M,0.397M,-138.95M,,2013-09,-25.12M,2.374M,343.15M,,,0.00,-98.85M,-12.75M,33.98M,26.80M,,AOR,Restated
2013-06,102.32M,,,,,-16.94M,20.40M,20.40M,-7.261M,9.527M,9.527M,-26.30M,-3.514M,39.83M,,-13.58M,-5.156M,-8.731M,99.32M,,2013-06,,-30.83M,,0.00,0.096M,16.26M,-14.47M,,2013-06,,14.08M,,-4.932M,-4.932M,-27.73M,-27.73M,1.596M,1.642M,-15.35M,,2013-06,69.50M,-3.654M,365.90M,,,297.79M,-283.71M,-4.932M,50.34M,-1.212M,,AOR,Restated
2013-03,90.70M,,,,,-1.085M,19.40M,19.40M,12.23M,4.523M,4.523M,-34.45M,18.21M,-36.10M,,-15.06M,-39.65M,-107.05M,18.72M,,2013-03,,-29.86M,,0.00,0.53M,0.997M,-28.33M,,2013-03,,-0.352M,,-14.24M,-14.24M,0.00,0.00,1.97M,0.744M,-11.88M,,2013-03,-21.50M,-2.881M,300.05M,,,,-0.352M,-14.24M,21.32M,22.17M,,AOR,Restated
