,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.152B,1.152B,650.80M,501.40M,181.60M,84.60M,-88.30M,34.20M,-34.20M,,266.20M,235.20M,34.20M,-34.20M,-93.50M,-34.20M,107.50M,68.60M,38.90M,8.40M,,2.20M,49.50M,105.56M,141.70M,,141.70M,,0.32,0.06,,,0.8166,0.38,,0.32,0.06,,,0.8132,0.38,,129.80M,130.70M,0.48,,AOR,
2020-09,1.085B,1.085B,618.20M,466.40M,187.70M,71.70M,-6.90M,35.50M,-35.50M,4.00M,263.40M,203.00M,35.50M,-35.50M,-18.60M,-35.50M,148.90M,18.40M,130.50M,-18.40M,,-0.70M,111.40M,135.84M,225.90M,41.50M,184.40M,,1.00,-0.14,,,1.047,0.86,,0.99,-0.14,,,1.036,0.85,,129.89M,130.80M,0.44,,AOR,
2020-06,1.155B,1.155B,632.60M,522.70M,171.00M,64.30M,-16.20M,40.70M,-40.70M,,235.30M,287.40M,40.70M,-40.70M,-21.70M,-40.70M,225.00M,29.20M,195.80M,-10.80M,,-0.60M,184.40M,209.29M,305.80M,40.10M,265.70M,,1.50,-0.08,,,1.609,1.42,,1.49,-0.08,,,1.598,1.41,,129.72M,130.56M,0.44,,AOR,
2020-03,1.25B,1.25B,688.50M,561.50M,189.40M,67.30M,-6.60M,40.80M,-40.80M,6.40M,263.10M,298.40M,40.80M,-40.80M,-9.20M,-40.80M,248.40M,34.70M,213.70M,-7.50M,,0.00,206.20M,219.38M,328.30M,39.10M,289.20M,,1.65,-0.06,,,1.694,1.59,,1.64,-0.06,,,1.684,1.58,,129.53M,130.47M,0.44,,AOR,
2019-12,1.197B,1.197B,641.30M,556.00M,223.80M,76.40M,-47.30M,44.80M,-42.90M,96.40M,396.60M,159.40M,44.80M,-42.90M,-49.90M,-42.90M,66.60M,35.90M,30.70M,-33.50M,,-0.40M,-3.20M,64.83M,150.40M,39.00M,111.40M,,0.23,-0.25,,,0.4962,-0.02,,0.23,-0.25,,,0.4937,-0.02,,129.73M,130.93M,0.44,,AOR,
2019-09,1.014B,1.014B,581.90M,432.40M,188.30M,77.40M,-2.70M,41.60M,-41.60M,4.10M,269.80M,162.60M,41.60M,-41.60M,-1.50M,-41.60M,119.50M,8.70M,110.80M,-21.30M,,0.90M,90.40M,114.20M,197.70M,36.60M,161.10M,,0.85,-0.16,,,0.8692,0.69,,0.85,-0.16,,,0.8690,0.69,,130.39M,131.60M,0.40,,AOR,Restated
2019-06,1.206B,1.206B,655.60M,550.50M,196.90M,73.10M,-7.10M,39.50M,-39.50M,,270.00M,280.50M,39.50M,-39.50M,-16.00M,-39.50M,225.00M,30.60M,194.40M,-18.10M,,-1.80M,174.50M,198.73M,301.70M,37.20M,264.50M,,1.46,-0.14,,,1.507,1.32,,1.46,-0.14,,,1.506,1.32,,131.10M,132.27M,0.40,,AOR,Restated
2019-03,1.192B,1.192B,647.40M,544.70M,183.90M,71.20M,-5.20M,34.50M,-34.50M,2.60M,257.70M,287.00M,34.50M,-34.50M,-8.60M,-34.50M,243.90M,36.30M,207.60M,9.60M,,-1.50M,215.70M,210.53M,315.70M,37.30M,278.40M,,1.56,0.07,,,1.594,1.63,,1.55,0.07,,,1.583,1.62,,131.89M,133.21M,0.40,,AOR,Restated
2018-12,1.099B,1.099B,607.70M,491.70M,202.60M,76.80M,67.30M,32.80M,-31.40M,,301.10M,190.60M,32.80M,-31.40M,-13.10M,-31.40M,146.10M,-10.60M,156.70M,-122.10M,,-2.20M,32.40M,105.37M,217.70M,38.80M,178.90M,,1.17,-0.93,,,0.8018,0.24,,1.17,-0.93,,,0.8056,0.24,,133.44M,134.80M,0.40,,AOR,Restated
2018-09,923.60M,923.60M,528.40M,395.20M,194.60M,70.10M,-24.80M,33.40M,-33.40M,,264.70M,130.50M,33.40M,-33.40M,-24.20M,-33.40M,72.90M,22.00M,50.90M,23.90M,,-2.00M,72.80M,66.21M,144.10M,37.80M,106.30M,,0.36,0.18,,,0.4884,0.54,,0.36,0.18,,,0.4869,0.54,,134.85M,136.36M,0.165,,AOR,Restated
