,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,568.90M,,568.90M,2.330B,,2.330B,,,,1.096B,380.80M,,,,4.376B,,,,,,,,,771.70M,1.469B,2.625B,4.094B,,,229.60M,715.40M,5.811B,10.19B,,946.70M,,82.20M,,1.029B,969.90M,1.999B,,,,,338.30M,,338.30M,347.10M,347.10M,140.60M,2.829B,,2.930B,,2.930B,,,,,,,,1.444B,4.373B,7.202B,,,,,,,,,2.984B,,AOR,
2020-09,297.10M,,297.10M,2.138B,,2.138B,223.20M,875.10M,190.20M,1.156B,424.70M,,,,4.015B,,,,,,,1.158B,-419.20M,739.20M,1.464B,2.611B,4.075B,1.70M,,256.70M,684.60M,5.757B,9.772B,,757.20M,,95.90M,,853.10M,1.214B,2.067B,,,,,194.10M,,194.10M,5.50M,5.50M,97.00M,2.368B,424.40M,3.028B,,3.028B,345.40M,,345.40M,,42.00M,,23.90M,595.40M,4.436B,6.804B,,18.60M,4.519B,854.70M,2.090B,,,-357.90M,2.944B,,AOR,
2020-06,342.70M,,342.70M,2.342B,,2.342B,217.60M,920.70M,132.80M,1.138B,464.60M,,,,4.288B,,,,,,,1.123B,-389.30M,733.80M,1.461B,2.604B,4.065B,1.70M,,249.60M,655.80M,5.706B,9.994B,,842.20M,,93.20M,,935.40M,1.122B,2.057B,,,243.10M,262.80M,505.90M,,505.90M,7.00M,7.00M,108.60M,2.683B,431.80M,3.028B,,3.028B,337.20M,,337.20M,,42.60M,,28.70M,620.80M,4.460B,7.143B,,18.60M,4.465B,846.50M,2.093B,,,-415.20M,2.822B,,AOR,
2020-03,436.20M,,436.20M,2.460B,,2.460B,206.70M,788.10M,200.10M,1.063B,513.00M,,,,4.472B,,,,,,,1.095B,-359.20M,735.70M,1.460B,2.612B,4.071B,0.70M,,234.50M,675.00M,5.717B,10.19B,,838.40M,,66.50M,,904.90M,1.019B,1.924B,,,,250.20M,250.20M,,250.20M,213.50M,213.50M,64.30M,2.456B,450.00M,3.532B,,3.532B,333.90M,,333.90M,,43.10M,,27.30M,671.20M,5.03B,7.486B,,18.60M,4.338B,840.20M,2.094B,,,-426.80M,2.675B,,AOR,
2019-12,339.10M,,339.10M,2.231B,,2.460B,217.30M,559.40M,372.20M,1.017B,205.10M,,,53.00M,4.075B,0.00,94.30M,367.50M,582.10M,164.70M,65.30M,1.274B,-351.20M,922.70M,1.468B,2.746B,4.214B,0.70M,155.80M,277.60M,67.10M,5.798B,9.873B,,900.10M,57.00M,62.20M,,1.019B,598.20M,1.618B,123.40M,,0.00,227.70M,227.70M,31.50M,259.20M,601.90M,601.90M,117.60M,2.724B,553.40M,3.031B,163.20M,3.194B,333.20M,206.00M,568.90M,,44.20M,0.20M,29.10M,102.80M,4.587B,7.311B,,18.60M,4.189B,829.70M,2.093B,,,-412.00M,2.532B,,AOR,
2019-09,419.70M,,419.70M,2.001B,,2.001B,291.30M,626.00M,388.20M,1.167B,489.40M,,,,4.078B,,,,,,,1.050B,-322.10M,728.40M,1.466B,2.632B,4.099B,0.70M,,289.10M,609.30M,5.726B,9.804B,,667.00M,,78.30M,,745.30M,1.124B,1.870B,,,0.00,553.60M,553.60M,,553.60M,19.00M,19.00M,73.00M,2.522B,412.00M,3.032B,,3.032B,335.20M,,335.20M,,45.20M,,30.10M,778.20M,4.603B,7.124B,,18.60M,4.249B,809.30M,2.001B,,,-426.80M,2.649B,,AOR,Restated
2019-06,83.40M,,83.40M,2.384B,,2.384B,283.30M,587.70M,418.00M,1.153B,476.20M,,,,4.097B,,,,,,,1.038B,-307.80M,730.30M,1.471B,2.672B,4.143B,0.70M,,288.90M,564.80M,5.728B,9.824B,,785.70M,,79.20M,,864.90M,1.124B,1.989B,,,535.80M,558.40M,1.094B,,1.094B,68.90M,68.90M,71.50M,3.230B,424.00M,2.144B,,2.144B,340.60M,,340.60M,,46.20M,,31.30M,844.40M,3.800B,7.030B,,18.60M,4.210B,793.90M,1.906B,,,-353.50M,2.764B,,AOR,Restated
2019-03,109.50M,,109.50M,2.530B,,2.530B,327.80M,584.70M,357.70M,1.137B,427.30M,,,,4.204B,,,,,,,1.028B,-294.60M,733.80M,1.470B,2.680B,4.151B,0.70M,,278.00M,578.80M,5.742B,9.946B,,884.50M,,93.50M,,978.00M,997.90M,1.976B,,,493.50M,500.30M,993.80M,,993.80M,283.30M,283.30M,78.40M,3.338B,435.50M,2.145B,,2.145B,329.60M,,329.60M,,46.10M,,30.80M,860.40M,3.817B,7.154B,,18.60M,4.088B,785.60M,1.807B,,,-324.40M,2.761B,,AOR,Restated
2018-12,134.40M,,134.40M,2.144B,,2.359B,206.90M,518.80M,430.40M,1.026B,146.40M,,,59.30M,4.030B,0.00,99.30M,386.40M,508.90M,,50.40M,1.045B,-288.10M,756.90M,1.468B,2.765B,4.233B,0.70M,126.40M,290.50M,423.60M,5.944B,9.974B,,795.50M,53.20M,85.10M,,933.80M,708.30M,1.642B,71.20M,,55.20M,492.50M,547.70M,0.00,547.70M,561.50M,561.50M,164.70M,2.993B,544.50M,2.145B,17.30M,2.162B,330.80M,327.60M,682.70M,,47.20M,0.00,89.30M,142.10M,3.770B,6.764B,,18.60M,4.334B,776.20M,1.699B,,,-308.90M,3.121B,,AOR,Restated
2018-09,176.50M,,176.50M,1.902B,,1.902B,256.20M,609.40M,260.50M,995.40M,417.40M,,,,3.491B,,,,,,,1.469B,-466.30M,1.003B,1.466B,2.740B,4.206B,0.70M,,289.60M,416.40M,5.916B,9.407B,,784.20M,,130.20M,,914.40M,1.135B,2.049B,,,,149.40M,149.40M,,149.40M,30.10M,30.10M,37.00M,2.272B,310.00M,2.593B,,2.593B,330.60M,,330.60M,,15.50M,,31.90M,807.70M,4.057B,6.329B,,18.60M,4.355B,471.50M,1.499B,,,-299.50M,3.046B,,AOR,Restated
