,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.159B,1.159B,1.081B,78.00M,,84.00M,84.00M,0.00,118.00M,-118.00M,71.00M,155.00M,-77.00M,118.00M,-118.00M,17.00M,-118.00M,-178.00M,5.00M,-183.00M,,,-60.00M,,-243.00M,518.00M,-60.00M,,2020-09,-0.80,-0.80,-0.80,,2020-09,-0.80,-0.80,-0.80,,305.00M,0.25,,2020-09,AOR,
2020-06,609.00M,833.00M,875.00M,-42.00M,,89.00M,89.00M,8.00M,119.00M,-119.00M,31.00M,120.00M,-162.00M,119.00M,-119.00M,9.00M,-119.00M,-272.00M,-9.00M,-263.00M,,,-57.00M,,-320.00M,509.00M,-153.00M,,2020-06,-1.05,-1.075,-1.05,,2020-06,-1.05,-1.075,-1.05,,305.00M,0.25,,2020-06,AOR,
2020-03,1.287B,1.354B,1.284B,70.00M,,102.00M,102.00M,-2.126B,113.00M,-113.00M,189.00M,291.00M,-221.00M,113.00M,-113.00M,-2.111B,-113.00M,-2.445B,-79.00M,-2.366B,,,-67.00M,,-2.433B,561.00M,-2.332B,,2020-03,-8.00,-1.233,-8.00,,2020-03,-8.00,-1.233,-8.00,,304.00M,0.25,,2020-03,AOR,
2019-12,1.683B,1.683B,1.431B,252.00M,,131.00M,131.00M,0.00,95.00M,-95.00M,106.00M,237.00M,15.00M,95.00M,-95.00M,16.00M,-95.00M,-64.00M,119.00M,-183.00M,,,-39.00M,0.00,-222.00M,586.00M,31.00M,,2019-12,-0.7280,-0.7280,-0.7280,,2019-12,-0.73,-0.73,-0.73,,302.70M,0.25,,2019-12,AOR,
2019-09,1.58B,1.58B,1.335B,245.00M,,90.00M,90.00M,0.00,90.00M,-90.00M,50.00M,140.00M,105.00M,90.00M,-90.00M,-65.00M,-90.00M,-50.00M,116.00M,-166.00M,,,-46.00M,,-212.00M,544.00M,40.00M,,2019-09,-0.70,-0.70,-0.70,,2019-09,-0.70,-0.70,-0.70,,302.50M,0.25,,2019-09,AOR,Restated
2019-06,1.671B,1.66B,1.302B,358.00M,,89.00M,89.00M,22.00M,97.00M,-97.00M,43.00M,132.00M,226.00M,97.00M,-97.00M,37.00M,-97.00M,166.00M,132.00M,34.00M,,,-40.00M,,-6.00M,494.00M,263.00M,,2019-06,-0.02,-0.0731,-0.02,,2019-06,-0.02,-0.0731,-0.02,,302.20M,0.25,,2019-06,AOR,Restated
2019-03,1.557B,1.572B,1.211B,361.00M,,87.00M,87.00M,0.00,98.00M,-98.00M,34.00M,121.00M,240.00M,98.00M,-98.00M,27.00M,-98.00M,169.00M,94.00M,75.00M,,,-43.00M,4.00M,32.00M,498.00M,267.00M,,2019-03,0.09,0.09,0.09,,2019-03,0.09,0.09,0.09,,299.70M,0.25,,2019-03,AOR,Restated
2018-12,1.521B,1.65B,1.34B,310.00M,,91.00M,91.00M,0.00,99.00M,-99.00M,91.00M,182.00M,128.00M,99.00M,-99.00M,32.00M,-99.00M,61.00M,27.00M,34.00M,,,-38.00M,12.00M,-4.00M,533.00M,160.00M,,2018-12,-0.0549,-0.0549,-0.0549,,2018-12,-0.0549,-0.0549,-0.0549,,291.60M,0.25,,2018-12,AOR,Restated
2018-09,1.841B,1.793B,1.293B,500.00M,,143.00M,143.00M,14.00M,99.00M,-99.00M,169.00M,312.00M,188.00M,99.00M,-99.00M,35.00M,-99.00M,124.00M,121.00M,3.00M,,,-45.00M,11.00M,-42.00M,489.00M,223.00M,,2018-09,-0.18,-0.2147,-0.18,,2018-09,-0.18,-0.2147,-0.18,,294.30M,0.25,,2018-09,AOR,Restated
2018-06,1.581B,1.534B,1.224B,310.00M,,129.00M,129.00M,-15.00M,98.00M,-98.00M,62.00M,191.00M,119.00M,98.00M,-98.00M,6.00M,-98.00M,27.00M,114.00M,-87.00M,,,-43.00M,12.00M,-130.00M,444.00M,125.00M,,2018-06,-0.48,-0.4432,-0.48,,2018-06,-0.48,-0.4432,-0.48,,297.50M,0.25,,2018-06,AOR,Restated
2018-03,1.38B,1.346B,1.102B,244.00M,,110.00M,110.00M,-20.00M,103.00M,-103.00M,40.00M,150.00M,94.00M,103.00M,-103.00M,17.00M,-103.00M,8.00M,73.00M,-65.00M,,,-41.00M,11.00M,-106.00M,417.00M,111.00M,,2018-03,-0.38,-0.3328,-0.38,,2018-03,-0.38,-0.3328,-0.38,,309.50M,0.25,,2018-03,AOR,Restated
2017-12,1.663B,1.663B,1.511B,152.00M,,121.00M,121.00M,-2.062B,80.00M,-80.00M,356.00M,477.00M,-325.00M,80.00M,-80.00M,-2.072B,-80.00M,-2.477B,158.00M,-2.635B,,,-42.00M,12.00M,-2.677B,646.00M,-2.397B,,2017-12,-8.535,-4.589,-8.535,,2017-12,-13.12,-9.174,-13.12,,313.50M,0.25,,2017-12,AOR,Restated
2017-09,1.348B,1.348B,1.477B,-129.00M,,111.00M,111.00M,-2.229B,79.00M,-79.00M,41.00M,152.00M,-281.00M,79.00M,-79.00M,-2.207B,-79.00M,-2.567B,-1.974B,-593.00M,,,-31.00M,11.00M,-624.00M,759.00M,-2.488B,,2017-09,-2.02,2.232,-2.02,,2017-09,-2.02,2.232,-2.02,,314.50M,0.25,,2017-09,AOR,Restated
2017-06,1.197B,1.197B,1.398B,-201.00M,,95.00M,95.00M,2.00M,82.00M,-82.00M,52.00M,147.00M,-348.00M,82.00M,-82.00M,5.00M,-82.00M,-425.00M,-8.00M,-417.00M,,,-32.00M,11.00M,-449.00M,741.00M,-343.00M,,2017-06,-1.46,-1.466,-1.46,,2017-06,-1.46,-1.466,-1.46,,314.40M,0.25,,2017-06,AOR,Restated
2017-03,1.258B,1.258B,1.326B,-68.00M,,95.00M,95.00M,0.00,84.00M,-84.00M,58.00M,153.00M,-221.00M,84.00M,-84.00M,-4.00M,-84.00M,-309.00M,-13.00M,-296.00M,,,-28.00M,12.00M,-324.00M,737.00M,-225.00M,,2017-03,-1.07,-1.07,-1.07,,2017-03,-1.07,-1.07,-1.07,,313.90M,0.25,,2017-03,AOR,Restated
2016-12,1.388B,1.388B,1.734B,-346.00M,,104.00M,104.00M,-139.00M,84.00M,-84.00M,1.033B,1.137B,-1.483B,84.00M,-84.00M,-142.00M,-84.00M,-1.709B,3.189B,-4.898B,,,6.00M,11.00M,-4.892B,768.00M,-1.625B,,2016-12,-15.49,-15.22,-15.49,,2016-12,-15.65,-15.38,-15.65,,313.50M,0.25,,2016-12,AOR,Restated
2016-09,1.177B,1.177B,1.481B,-304.00M,,106.00M,106.00M,-80.00M,84.00M,-84.00M,78.00M,184.00M,-488.00M,84.00M,-84.00M,-61.00M,-84.00M,-633.00M,-316.00M,-317.00M,,,-22.00M,12.00M,-339.00M,811.00M,-549.00M,,2016-09,-1.12,-0.9667,-1.12,,2016-09,-1.12,-0.9667,-1.12,,313.20M,0.25,,2016-09,AOR,Restated
2016-06,1.224B,1.224B,1.557B,-333.00M,,106.00M,106.00M,,85.00M,-85.00M,199.00M,305.00M,-638.00M,85.00M,-85.00M,45.00M,-85.00M,-678.00M,-305.00M,-373.00M,,,-19.00M,12.00M,-392.00M,797.00M,-593.00M,,2016-06,-1.29,-1.29,-1.29,,2016-06,-1.29,-1.29,-1.29,,313.20M,0.25,,2016-06,AOR,Restated
2016-03,973.00M,973.00M,1.512B,-539.00M,,98.00M,98.00M,,85.00M,-85.00M,132.00M,230.00M,-769.00M,85.00M,-85.00M,20.00M,-85.00M,-834.00M,-346.00M,-488.00M,,,-21.00M,6.00M,-509.00M,868.00M,-749.00M,,2016-03,-1.72,-1.72,-1.72,,2016-03,-1.72,-1.72,-1.72,,299.80M,0.25,,2016-03,AOR,Restated
2015-12,1.474B,1.474B,1.835B,-361.00M,,140.00M,140.00M,-1.18B,86.00M,-86.00M,378.00M,518.00M,-879.00M,86.00M,-86.00M,-1.318B,-86.00M,-2.283B,-492.00M,-1.791B,-8.00M,,-22.00M,,-1.821B,983.00M,-2.197B,,2015-12,-6.338,-3.067,-6.366,,2015-12,-6.402,-3.131,-6.43,,283.00M,0.25,,2015-12,AOR,Restated
2015-09,1.671B,1.671B,1.881B,-210.00M,,119.00M,119.00M,0.00,84.00M,-84.00M,144.00M,263.00M,-473.00M,84.00M,-84.00M,18.00M,-84.00M,-539.00M,-300.00M,-239.00M,-13.00M,,-27.00M,,-279.00M,988.00M,-455.00M,,2015-09,-0.94,-0.94,-0.98,,2015-09,-0.94,-0.94,-0.98,,283.50M,0.25,,2015-09,AOR,Restated
2015-06,1.953B,1.953B,1.932B,21.00M,,151.00M,151.00M,-385.00M,86.00M,-86.00M,90.00M,241.00M,-220.00M,86.00M,-86.00M,-403.00M,-86.00M,-709.00M,-156.00M,-553.00M,-14.00M,,0.00,,-567.00M,1.028B,-623.00M,,2015-06,-1.94,-0.8838,-1.99,,2015-06,-1.94,-0.8838,-1.99,,284.30M,0.25,,2015-06,AOR,Restated
2015-03,1.538B,1.538B,1.776B,-238.00M,,147.00M,147.00M,,85.00M,-85.00M,269.00M,416.00M,-654.00M,85.00M,-85.00M,12.00M,-85.00M,-727.00M,-351.00M,-376.00M,-13.00M,,0.00,,-389.00M,956.00M,-642.00M,,2015-03,-1.32,-1.32,-1.37,,2015-03,-1.32,-1.32,-1.37,,283.50M,0.25,,2015-03,AOR,Restated
2014-12,2.557B,2.557B,1.935B,622.00M,,164.00M,164.00M,3.00M,82.00M,-82.00M,171.00M,335.00M,287.00M,82.00M,-82.00M,-29.00M,-82.00M,176.00M,181.00M,-5.00M,-2.00M,,-1.00M,,-8.00M,875.00M,258.00M,,2014-12,-0.0210,-0.0277,-0.0280,,2014-12,-0.0210,-0.0277,-0.03,,292.70M,0.25,,2014-12,AOR,Restated
2014-09,2.678B,2.678B,1.841B,837.00M,,139.00M,139.00M,31.00M,75.00M,-75.00M,90.00M,229.00M,608.00M,75.00M,-75.00M,58.00M,-75.00M,591.00M,232.00M,359.00M,671.00M,,-22.00M,,1.008B,838.00M,666.00M,,2014-09,1.19,1.127,3.35,,2014-09,1.18,1.118,3.31,,305.00M,0.25,,2014-09,AOR,Restated
2014-06,2.829B,2.829B,1.829B,1.00B,,143.00M,143.00M,779.00M,85.00M,-85.00M,460.00M,603.00M,397.00M,85.00M,-85.00M,754.00M,-85.00M,1.066B,92.00M,974.00M,-44.00M,,1.00M,,931.00M,785.00M,1.151B,,2014-06,3.15,0.8517,3.01,,2014-06,3.10,0.8339,2.96,,314.10M,0.25,,2014-06,AOR,Restated
2014-03,2.673B,2.673B,1.647B,1.026B,,142.00M,142.00M,,81.00M,-81.00M,119.00M,261.00M,765.00M,81.00M,-81.00M,-81.00M,-81.00M,603.00M,239.00M,364.00M,57.00M,,-35.00M,,386.00M,726.00M,684.00M,,2014-03,1.14,1.14,1.21,,2014-03,1.13,1.13,1.20,,322.60M,0.25,,2014-03,AOR,Restated
2013-12,2.648B,2.648B,1.781B,867.00M,,204.00M,117.00M,91.00M,97.00M,-97.00M,458.00M,575.00M,292.00M,97.00M,-97.00M,96.00M,-97.00M,291.00M,-627.00M,918.00M,997.00M,,10.00M,,1.925B,713.00M,388.00M,,2013-12,2.653,2.473,5.917,,2013-12,2.582,2.404,5.76,,333.70M,0.25,,2013-12,AOR,Restated
2013-09,2.72B,2.72B,1.615B,1.105B,27.00M,152.00M,179.00M,-5.00M,86.00M,-86.00M,154.00M,333.00M,772.00M,86.00M,-86.00M,-6.00M,-86.00M,680.00M,324.00M,356.00M,62.00M,,2.00M,,420.00M,681.00M,766.00M,,2013-09,1.06,1.070,1.24,,2013-09,1.05,1.059,1.23,,343.30M,0.25,,2013-09,AOR,Restated
2013-06,3.069B,3.069B,1.642B,1.427B,28.00M,168.00M,196.00M,1.111B,117.00M,-117.00M,200.00M,396.00M,1.031B,117.00M,-117.00M,1.093B,-117.00M,2.007B,407.00M,1.60B,16.00M,,-185.00M,,1.431B,604.00M,2.124B,,2013-06,4.16,1.556,4.21,,2013-06,4.11,1.535,4.16,,344.00M,0.10,,2013-06,AOR,Restated
2013-03,6.106B,6.106B,4.458B,1.648B,225.00M,158.00M,383.00M,688.00M,106.00M,-106.00M,219.00M,602.00M,1.046B,106.00M,-106.00M,654.00M,-106.00M,1.594B,451.00M,1.143B,130.00M,,3.00M,,1.276B,689.00M,1.70B,,2013-03,3.38,1.926,3.76,,2013-03,3.34,1.900,3.72,,342.60M,0.10,,2013-03,AOR,Restated
2012-12,2.953B,2.953B,1.792B,1.161B,,166.00M,166.00M,-143.00M,106.00M,-106.00M,362.00M,528.00M,633.00M,106.00M,-106.00M,-109.00M,-106.00M,418.00M,199.00M,219.00M,157.00M,,-2.00M,,374.00M,730.00M,524.00M,,2012-12,1.657,1.932,1.657,,2012-12,1.657,1.930,1.657,,340.30M,0.10,,2012-12,AOR,Restated
2012-09,3.072B,3.072B,1.799B,1.273B,,134.00M,134.00M,168.00M,104.00M,-104.00M,259.00M,393.00M,880.00M,104.00M,-104.00M,214.00M,-104.00M,990.00M,480.00M,510.00M,82.00M,,-35.00M,,557.00M,728.00M,1.094B,,2012-09,1.49,1.167,1.65,,2012-09,1.48,1.159,1.64,,340.00M,0.10,,2012-09,AOR,Restated
