,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,-183.00M,,68.00M,,0.00,68.00M,,518.00M,8.00M,10.00M,16.00M,31.00M,-89.00M,-62.00M,-150.00M,,-31.00M,-332.00M,,136.00M,,-426.00M,,-426.00M,,0.00,0.00,-426.00M,,2020-09,74.00M,71.00M,,0.00,0.00,,,-76.00M,-76.00M,,-66.00M,-71.00M,2020-09,1.646B,-361.00M,,,2020-09,,0.00,-3.00M,0.00,,AOR,
2020-06,-263.00M,,49.00M,,,41.00M,,509.00M,-10.00M,6.00M,18.00M,0.00,370.00M,-130.00M,-257.00M,,-18.00M,-35.00M,,266.00M,,-579.00M,,-579.00M,,0.00,9.00M,-570.00M,,2020-06,12.00M,10.00M,,0.00,0.00,,,-76.00M,-76.00M,,-64.00M,-130.00M,2020-06,2.08B,-434.00M,,,2020-06,,0.00,-2.00M,0.00,,AOR,
2020-03,-2.366B,,70.00M,,,70.00M,,561.00M,-85.00M,2.158B,29.00M,135.00M,258.00M,31.00M,-326.00M,,-20.00M,-57.00M,,445.00M,,-818.00M,,-818.00M,,0.00,,-818.00M,,2020-03,60.00M,1.059B,,0.00,0.00,,,-81.00M,-81.00M,,-70.00M,908.00M,2020-03,1.545B,535.00M,,,2020-03,,1.00B,-1.00M,0.00,,AOR,
2019-12,-183.00M,,29.00M,,5.00M,34.00M,,586.00M,22.00M,3.00M,19.00M,39.00M,-254.00M,28.00M,125.00M,,-133.00M,-234.00M,,286.00M,,-825.00M,,-825.00M,,0.00,0.00,-825.00M,,2019-12,-144.00M,614.00M,,0.00,0.00,,,-75.00M,-75.00M,,-318.00M,221.00M,2019-12,1.863B,-318.00M,,,2019-12,,760.00M,-2.00M,0.00,,AOR,
2019-09,-166.00M,,29.00M,,88.00M,117.00M,,544.00M,-4.00M,3.00M,18.00M,-49.00M,-59.00M,-11.00M,11.00M,,-20.00M,-79.00M,,443.00M,,-709.00M,,-709.00M,,-10.00M,-2.00M,-721.00M,,2019-09,16.00M,11.00M,,0.00,0.00,,,-77.00M,-77.00M,,-1.00M,-67.00M,2019-09,2.208B,-345.00M,,,2019-09,,0.00,-5.00M,0.00,,AOR,Restated
2019-06,34.00M,,29.00M,,,7.00M,,494.00M,0.00,4.00M,21.00M,25.00M,47.00M,-4.00M,80.00M,,-8.00M,115.00M,,675.00M,,-624.00M,,-624.00M,,-16.00M,23.00M,-617.00M,,2019-06,-39.00M,-63.00M,,0.00,0.00,,,-76.00M,-76.00M,,-11.00M,-150.00M,2019-06,2.30B,-92.00M,,,2019-06,,0.00,-24.00M,0.00,,AOR,Restated
2019-03,75.00M,,29.00M,,,29.00M,,498.00M,-1.00M,7.00M,27.00M,34.00M,-117.00M,-29.00M,-196.00M,,-55.00M,-397.00M,,238.00M,,-671.00M,,-671.00M,,-7.00M,-2.00M,-680.00M,,2019-03,199.00M,173.00M,,-25.00M,-25.00M,,,-88.00M,-88.00M,,-12.00M,48.00M,2019-03,2.694B,-394.00M,,,2019-03,,0.00,-26.00M,-25.00M,,AOR,Restated
2018-12,34.00M,,48.00M,,4.00M,52.00M,,533.00M,-92.00M,9.00M,19.00M,33.00M,109.00M,23.00M,217.00M,,-56.00M,293.00M,,881.00M,,-664.00M,,-664.00M,,0.00,-1.00M,-665.00M,,2018-12,0.00,-23.00M,,-245.00M,-245.00M,,,-83.00M,-83.00M,,-175.00M,-526.00M,2018-12,3.004B,-310.00M,,,2018-12,,,-23.00M,-245.00M,,AOR,Restated
2018-09,3.00M,,49.00M,,0.00,35.00M,,489.00M,6.00M,8.00M,21.00M,119.00M,-179.00M,-36.00M,-33.00M,,-10.00M,-258.00M,,423.00M,,-540.00M,,-540.00M,,-26.00M,571.00M,5.00M,,2018-09,0.00,-19.00M,,-230.00M,-230.00M,,,-86.00M,-86.00M,,3.00M,-332.00M,2018-09,2.908B,96.00M,,,2018-09,,,-19.00M,-230.00M,,AOR,Restated
2018-06,-87.00M,,47.00M,,,62.00M,,444.00M,2.00M,10.00M,19.00M,-10.00M,-57.00M,8.00M,38.00M,,-27.00M,-38.00M,,425.00M,,-493.00M,,-493.00M,,-17.00M,26.00M,-484.00M,,2018-06,0.00,-157.00M,,-519.00M,-519.00M,,,-87.00M,-87.00M,,4.00M,-759.00M,2018-06,3.726B,-818.00M,,,2018-06,,,-157.00M,-519.00M,,AOR,Restated
