,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.102B,3.102B,2.448B,654.00M,162.00M,,-27.00M,69.00M,-69.00M,,331.00M,323.00M,69.00M,-69.00M,-27.00M,-69.00M,227.00M,7.00M,227.00M,,,0.00,,227.00M,253.17M,465.00M,169.00M,296.00M,,0.69,,,,0.7700,0.69,,0.68,,,,0.7584,0.68,,327.14M,333.90M,0.15,,AOR,
2020-09,3.093B,3.093B,2.43B,663.00M,121.00M,,-8.00M,68.00M,-69.00M,,281.00M,382.00M,68.00M,-69.00M,-8.00M,-69.00M,305.00M,73.00M,240.00M,,,1.00M,,241.00M,247.09M,533.00M,160.00M,373.00M,,0.74,,,,0.7586,0.74,,0.72,,,,0.7383,0.72,,326.55M,332.65M,0.15,,AOR,
2020-06,2.801B,2.801B,2.23B,571.00M,111.00M,,-112.00M,67.00M,-67.00M,,281.00M,290.00M,67.00M,-67.00M,-112.00M,-67.00M,111.00M,23.00M,92.00M,,,2.00M,,94.00M,182.82M,348.00M,170.00M,178.00M,,0.29,,,,0.5624,0.29,,0.28,,,,0.5477,0.28,,325.99M,331.72M,0.15,,AOR,
2020-03,2.785B,2.785B,2.215B,570.00M,131.00M,,-115.00M,71.00M,-111.00M,,300.00M,270.00M,71.00M,-111.00M,-115.00M,-111.00M,44.00M,-4.00M,23.00M,,,0.00,,23.00M,106.95M,284.00M,169.00M,115.00M,,0.07,,,,0.3280,0.07,,0.07,,,,0.3226,0.07,,325.35M,332.33M,0.15,,AOR,
2019-12,2.719B,2.719B,2.159B,560.00M,89.00M,,-97.00M,80.00M,-83.00M,,257.00M,303.00M,80.00M,-83.00M,-97.00M,-83.00M,123.00M,-2.00M,130.00M,,,30.00M,,160.00M,230.81M,371.00M,168.00M,203.00M,,0.49,,,,0.7071,0.49,,0.48,,,,0.6911,0.48,,326.23M,335.38M,0.15,,AOR,
2019-09,2.953B,2.953B,2.363B,590.00M,90.00M,,-133.00M,79.00M,-79.00M,,259.00M,331.00M,79.00M,-79.00M,-133.00M,-79.00M,119.00M,32.00M,92.00M,,,0.00,,92.00M,189.22M,367.00M,169.00M,198.00M,,0.28,,,,0.5736,0.28,,0.27,,,,0.5554,0.27,,331.15M,340.63M,0.15,,AOR,Restated
2019-06,3.017B,3.017B,2.428B,589.00M,111.00M,,0.00,81.00M,-81.00M,,282.00M,307.00M,81.00M,-81.00M,,-81.00M,226.00M,31.00M,197.00M,,,0.00,,197.00M,197.00M,478.00M,171.00M,307.00M,,0.59,,,,0.59,0.59,,0.58,,,,0.58,0.58,,332.82M,341.64M,0.15,,AOR,Restated
2019-03,2.785B,2.785B,2.253B,532.00M,127.00M,,-14.00M,77.00M,-81.00M,,297.00M,235.00M,77.00M,-81.00M,-14.00M,-81.00M,140.00M,10.00M,117.00M,,,0.00,,117.00M,130.01M,387.00M,170.00M,217.00M,,0.35,,,,0.3889,0.35,,0.34,,,,0.3780,0.34,,334.24M,342.68M,0.10,,AOR,Restated
2018-12,2.803B,2.803B,2.246B,557.00M,126.00M,,-60.00M,75.00M,-75.00M,,299.00M,258.00M,75.00M,-75.00M,-60.00M,-75.00M,123.00M,-35.00M,149.00M,,,2.00M,,151.00M,194.80M,371.00M,173.00M,198.00M,,0.45,,,,0.5796,0.45,,0.44,,,,0.5659,0.44,,337.84M,348.02M,0.10,,AOR,Restated
2018-09,2.946B,2.946B,2.362B,584.00M,113.00M,,-32.00M,76.00M,-76.00M,,284.00M,300.00M,76.00M,-76.00M,-32.00M,-76.00M,192.00M,140.00M,59.00M,,,0.00,,59.00M,82.36M,439.00M,171.00M,268.00M,,0.17,,,,0.2381,0.17,,0.17,,,,0.2368,0.17,,342.98M,349.71M,0.10,,AOR,Restated
2018-06,3.101B,3.101B,2.484B,617.00M,127.00M,,-69.00M,77.00M,-77.00M,,305.00M,312.00M,77.00M,-77.00M,-69.00M,-77.00M,166.00M,46.00M,120.00M,,,-1.00M,,119.00M,168.89M,421.00M,178.00M,243.00M,,0.34,,,,0.4833,0.34,,0.34,,,,0.4806,0.34,,348.22M,354.90M,0.10,,AOR,Restated
2018-03,2.785B,2.785B,2.237B,548.00M,112.00M,,-30.00M,73.00M,-74.00M,,292.00M,256.00M,73.00M,-74.00M,-30.00M,-74.00M,152.00M,34.00M,125.00M,,,0.00,,125.00M,148.28M,405.00M,180.00M,225.00M,,0.36,,,,0.4265,0.36,,0.35,,,,0.4151,0.35,,350.22M,357.55M,0.10,,AOR,Restated
2017-12,2.747B,2.747B,2.134B,613.00M,116.00M,,32.00M,69.00M,-71.00M,,306.00M,307.00M,69.00M,-71.00M,32.00M,-71.00M,268.00M,117.00M,159.00M,,,0.00,,159.00M,139.80M,527.00M,190.00M,337.00M,,0.53,,,,0.4751,0.53,,0.52,,,,0.4655,0.52,,349.63M,352.46M,0.10,,AOR,Restated
2017-09,2.908B,2.908B,2.338B,570.00M,127.00M,,-157.00M,74.00M,-74.00M,,289.00M,281.00M,74.00M,-74.00M,-157.00M,-74.00M,50.00M,4.00M,51.00M,,,-3.00M,,48.00M,192.44M,286.00M,162.00M,124.00M,,0.14,,,,0.5523,0.14,,0.13,,,,0.5328,0.13,,350.33M,358.56M,0.10,,AOR,Restated
2017-06,2.855B,2.855B,2.27B,585.00M,128.00M,,-41.00M,74.00M,-75.00M,,357.00M,228.00M,74.00M,-75.00M,-41.00M,-75.00M,112.00M,22.00M,100.00M,,,-1.00M,,99.00M,131.96M,415.00M,229.00M,186.00M,,0.28,,,,0.3739,0.28,,0.28,,,,0.3718,0.28,,351.07M,358.98M,0.10,,AOR,Restated
2017-03,2.473B,2.473B,1.975B,498.00M,143.00M,,-55.00M,68.00M,-68.00M,,291.00M,207.00M,68.00M,-68.00M,-55.00M,-68.00M,84.00M,22.00M,70.00M,,,-2.00M,,68.00M,108.59M,300.00M,148.00M,152.00M,,0.19,,,,0.3060,0.19,,0.19,,,,0.3034,0.19,,350.05M,357.93M,0.065,,AOR,Restated
2016-12,2.524B,2.524B,2.008B,516.00M,164.00M,,-35.00M,70.00M,-71.00M,,318.00M,198.00M,70.00M,-71.00M,-35.00M,-71.00M,92.00M,48.00M,53.00M,,,0.00,,53.00M,74.00M,316.00M,154.00M,162.00M,,0.04,,,,0.1002,0.04,,0.04,,,,0.0992,0.04,,348.90M,355.01M,0.065,,AOR,Restated
2016-09,2.752B,2.752B,2.275B,477.00M,135.00M,,-63.00M,80.00M,-82.00M,,282.00M,195.00M,80.00M,-82.00M,-63.00M,-82.00M,50.00M,23.00M,34.00M,,,-3.00M,,31.00M,68.80M,277.00M,146.00M,130.00M,,0.09,,,,0.1983,0.09,,0.09,,,,0.1964,0.09,,349.13M,355.40M,0.065,,AOR,Restated
2016-06,2.03B,2.03B,1.596B,434.00M,105.00M,,28.00M,41.00M,-87.00M,,183.00M,251.00M,41.00M,-87.00M,28.00M,-87.00M,192.00M,-114.00M,307.00M,,,,,307.00M,290.20M,311.00M,78.00M,233.00M,,1.08,,,,1.021,1.08,,1.06,,,,1.002,1.06,,284.08M,290.45M,0.065,,AOR,Restated
2016-03,1.756B,1.756B,1.416B,340.00M,108.00M,,-267.00M,38.00M,-99.00M,,183.00M,157.00M,38.00M,-99.00M,-267.00M,-99.00M,-209.00M,-83.00M,-127.00M,,,,,-127.00M,34.00M,-96.00M,75.00M,-171.00M,,-0.45,,,,0.1177,-0.45,,-0.45,,,,0.1177,-0.45,,283.59M,283.59M,0.065,,AOR,Restated
2015-12,1.805B,1.805B,1.434B,371.00M,110.00M,,-57.00M,36.00M,-67.00M,,184.00M,187.00M,36.00M,-67.00M,-57.00M,-67.00M,63.00M,-1.00M,65.00M,,,-10.00M,,55.00M,89.20M,173.00M,74.00M,99.00M,,0.20,,,,0.3248,0.20,,0.195,,,,0.3167,0.195,,273.95M,281.03M,0.065,,AOR,Restated
2015-09,2.097B,2.097B,1.69B,407.00M,107.00M,,-152.00M,38.00M,-59.00M,,179.00M,228.00M,38.00M,-59.00M,-152.00M,-59.00M,17.00M,-31.00M,50.00M,,,-5.00M,,45.00M,136.20M,128.00M,73.00M,55.00M,,0.16,,,,0.4920,0.16,,0.16,,,,0.4837,0.16,,274.67M,281.72M,0.065,,AOR,Restated
2015-06,2.172B,2.172B,1.775B,397.00M,118.00M,,66.00M,31.00M,-36.00M,,189.00M,208.00M,31.00M,-36.00M,66.00M,-36.00M,238.00M,79.00M,160.00M,,,,,160.00M,115.78M,340.00M,71.00M,269.00M,,0.58,,,,0.4196,0.58,,0.565,,,,0.4088,0.565,,275.60M,283.08M,0.065,,AOR,Restated
2015-03,1.923B,1.923B,1.561B,362.00M,116.00M,,-52.00M,38.00M,-98.00M,,184.00M,178.00M,38.00M,-98.00M,-52.00M,-98.00M,28.00M,1.00M,28.00M,,,-7.00M,,21.00M,72.06M,134.00M,68.00M,66.00M,,0.075,,,,0.2612,0.075,,0.075,,,,0.2560,0.075,,274.17M,282.15M,0.065,,AOR,Restated
2014-12,2.032B,2.032B,1.636B,396.00M,123.80M,,-63.20M,39.10M,-39.00M,,195.10M,200.90M,39.10M,-39.00M,-63.20M,-39.00M,98.70M,10.40M,88.40M,,,-12.40M,,76.00M,132.54M,209.10M,71.30M,137.80M,,0.28,0.00,,,0.4869,0.28,,0.27,0.00,,,0.4708,0.27,,273.27M,281.52M,0.065,,AOR,Restated
