,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinPrepaidAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,227.00M,,,,,,169.00M,169.00M,40.00M,29.00M,,,,622.00M,,1.087B,,-430.00M,,,0.00,,0.00,-430.00M,,-22.00M,3.00M,-19.00M,,69.00M,-6.00M,-49.00M,-49.00M,-7.00M,-81.00M,,783.00M,576.00M,22.00M,1.381B,,,-2.552B,2.792B,69.00M,,AOR,
2020-09,240.00M,,,,,,160.00M,160.00M,27.00M,-63.00M,,,,213.00M,,577.00M,,-236.00M,,,-69.00M,,-5.00M,-310.00M,,424.00M,-495.00M,-71.00M,,13.00M,13.00M,-49.00M,-49.00M,-26.00M,-133.00M,,653.00M,134.00M,-4.00M,783.00M,,,1.30B,-876.00M,13.00M,,AOR,
2020-06,92.00M,,,,,,170.00M,170.00M,-14.00M,132.00M,,,,96.00M,,476.00M,,-234.00M,,,0.00,,27.00M,-207.00M,,-369.00M,-1.00M,-370.00M,,6.00M,6.00M,-49.00M,-49.00M,0.00,-413.00M,,811.00M,-144.00M,-14.00M,653.00M,,,0.00,-369.00M,6.00M,,AOR,
2020-03,23.00M,,,,,,169.00M,169.00M,-36.00M,173.00M,,,,-1.037B,,-708.00M,,-213.00M,,,-17.00M,,-4.00M,-234.00M,,-295.00M,493.00M,198.00M,,-88.00M,-88.00M,-51.00M,-51.00M,-34.00M,25.00M,,1.806B,-917.00M,-78.00M,811.00M,,,1.252B,-1.547B,-88.00M,,AOR,
2019-12,130.00M,,,,,,168.00M,168.00M,-29.00M,-36.00M,,,,659.00M,,892.00M,,-173.00M,,,210.00M,,-10.00M,27.00M,,1.103B,-314.00M,789.00M,3.00M,-350.00M,-347.00M,-49.00M,-49.00M,-21.00M,372.00M,,497.00M,1.291B,18.00M,1.806B,,3.00M,1.721B,-618.00M,-350.00M,,AOR,
2019-09,92.00M,,,,,,169.00M,169.00M,-9.00M,159.00M,,,,-8.00M,,403.00M,,-150.00M,,,-50.00M,,15.00M,-185.00M,,-245.00M,-22.00M,-267.00M,16.00M,-226.00M,-210.00M,-50.00M,-50.00M,2.00M,-525.00M,,836.00M,-307.00M,-32.00M,497.00M,,16.00M,52.00M,-297.00M,-226.00M,,AOR,Restated
2019-06,197.00M,,,,,,171.00M,171.00M,-17.00M,-41.00M,,,,72.00M,,382.00M,,-121.00M,,,0.00,,20.00M,-101.00M,,178.00M,-7.00M,171.00M,,-238.00M,-238.00M,-49.00M,-49.00M,-2.00M,-118.00M,,672.00M,163.00M,1.00M,836.00M,,,375.00M,-197.00M,-238.00M,,AOR,Restated
2019-03,117.00M,,,,,,170.00M,170.00M,10.00M,61.00M,,,,-487.00M,,-129.00M,,-154.00M,,,0.00,,-9.00M,-163.00M,,259.00M,160.00M,419.00M,,-150.00M,-150.00M,-34.00M,-34.00M,-10.00M,225.00M,,728.00M,-67.00M,11.00M,672.00M,,,671.00M,-412.00M,-150.00M,,AOR,Restated
2018-12,149.00M,,,,,,173.00M,173.00M,-68.00M,83.00M,,,,202.00M,,539.00M,,-200.00M,,,-12.00M,,21.00M,-191.00M,,-2.00M,69.00M,67.00M,28.00M,-300.00M,-272.00M,-33.00M,-33.00M,-1.00M,-239.00M,,611.00M,109.00M,8.00M,728.00M,,28.00M,0.00,-2.00M,-300.00M,,AOR,Restated
2018-09,59.00M,,,,,,171.00M,171.00M,66.00M,56.00M,,,,241.00M,,593.00M,,-172.00M,,,596.00M,,11.00M,435.00M,,-642.00M,-24.00M,-666.00M,-9.00M,-255.00M,-264.00M,-34.00M,-34.00M,-1.00M,-965.00M,,557.00M,63.00M,-9.00M,611.00M,,-9.00M,49.00M,-691.00M,-255.00M,,AOR,Restated
