,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.366B,,1.366B,1.738B,,1.738B,,,1.353B,,,218.00M,4.675B,,,,,,,,,5.351B,4.484B,1.883B,6.367B,,,,1.859B,13.58B,18.25B,,,,,,,4.427B,,17.00M,,17.00M,,,,4.444B,7.783B,,7.783B,,,,,,,2.688B,10.47B,14.92B,,,,,,,,,,3.337B,,AOR,
2020-09,771.00M,,771.00M,916.00M,856.00M,1.772B,852.00M,551.00M,1.309B,,,173.00M,4.025B,0.00,160.00M,1.533B,5.869B,291.00M,734.00M,8.587B,-3.401B,5.186B,4.401B,1.897B,6.298B,304.00M,,267.00M,450.00M,12.95B,16.97B,,2.832B,,,2.832B,283.00M,3.115B,31.00M,31.00M,61.00M,92.00M,,,557.00M,3.764B,7.679B,,7.679B,589.00M,589.00M,1.573B,,67.00M,,414.00M,10.26B,14.02B,,1.164B,6.014B,,3.137B,,,,-1.155B,2.886B,,AOR,
2020-06,643.00M,,643.00M,906.00M,904.00M,1.81B,881.00M,604.00M,1.388B,,,169.00M,4.01B,0.00,153.00M,1.466B,5.696B,248.00M,626.00M,8.189B,-3.279B,4.91B,4.314B,1.902B,6.216B,295.00M,,278.00M,482.00M,12.60B,16.61B,,2.699B,,,2.699B,275.00M,2.974B,523.00M,523.00M,58.00M,581.00M,,,571.00M,4.126B,7.158B,,7.158B,553.00M,553.00M,1.574B,,68.00M,,369.00M,9.654B,13.78B,,1.153B,5.822B,,3.145B,,,,-1.068B,2.762B,,AOR,
2020-03,801.00M,,801.00M,859.00M,1.003B,1.862B,827.00M,613.00M,1.354B,,,224.00M,4.241B,0.00,151.00M,1.425B,5.467B,261.00M,591.00M,7.895B,-3.135B,4.76B,4.27B,1.914B,6.184B,289.00M,,264.00M,393.00M,12.30B,16.54B,,2.613B,,,2.613B,236.00M,2.849B,522.00M,522.00M,59.00M,581.00M,,,573.00M,4.003B,7.476B,194.00M,7.67B,547.00M,547.00M,1.435B,,70.00M,,190.00M,9.842B,13.84B,,1.151B,5.777B,,3.159B,,,,-1.139B,2.63B,,AOR,
2019-12,1.798B,,1.798B,630.00M,1.001B,1.631B,808.00M,548.00M,1.274B,,,181.00M,4.884B,0.00,153.00M,1.433B,5.513B,239.00M,434.00M,7.772B,-3.063B,4.709B,4.419B,2.002B,6.421B,291.00M,,241.00M,377.00M,12.48B,17.36B,,3.136B,,,3.136B,285.00M,3.421B,1.48B,1.48B,58.00M,1.538B,,,618.00M,5.577B,6.337B,181.00M,6.518B,561.00M,561.00M,1.486B,,70.00M,,199.00M,8.764B,14.34B,,1.178B,5.803B,,3.122B,,,,-910.00M,2.949B,,AOR,
2019-09,483.00M,,483.00M,914.00M,1.043B,1.957B,720.00M,541.00M,1.18B,,,209.00M,3.829B,0.00,148.00M,1.352B,5.203B,242.00M,508.00M,7.453B,-2.891B,4.562B,4.371B,2.027B,6.398B,282.00M,,203.00M,402.00M,12.41B,16.24B,,2.658B,,,2.658B,256.00M,2.914B,361.00M,361.00M,56.00M,417.00M,,,442.00M,3.773B,6.623B,186.00M,6.809B,602.00M,602.00M,1.383B,,100.00M,,205.00M,8.999B,12.77B,,1.177B,5.694B,,2.79B,,,,-716.00M,3.365B,,AOR,Restated
2019-06,764.00M,,764.00M,1.008B,948.00M,1.956B,698.00M,564.00M,1.183B,,,160.00M,4.533B,0.00,152.00M,1.296B,5.197B,240.00M,547.00M,7.432B,-2.807B,4.625B,4.433B,2.104B,6.537B,284.00M,,189.00M,369.00M,12.58B,17.11B,,2.739B,,,2.739B,256.00M,2.995B,392.00M,392.00M,55.00M,447.00M,,,692.00M,4.134B,6.916B,185.00M,7.101B,606.00M,606.00M,1.465B,,104.00M,,239.00M,9.411B,13.54B,,1.172B,5.651B,,2.566B,,,,-797.00M,3.46B,,AOR,Restated
2019-03,603.00M,,603.00M,949.00M,936.00M,1.885B,690.00M,656.00M,1.275B,,,184.00M,4.399B,0.00,159.00M,1.306B,5.069B,236.00M,510.00M,7.28B,-2.684B,4.596B,4.41B,2.137B,6.547B,285.00M,,198.00M,319.00M,12.52B,16.92B,,2.739B,,,2.739B,224.00M,2.963B,399.00M,399.00M,54.00M,453.00M,,,619.00M,4.035B,6.719B,181.00M,6.90B,625.00M,625.00M,1.479B,,103.00M,,235.00M,9.239B,13.27B,,1.154B,5.504B,,2.323B,,,,-789.00M,3.546B,,AOR,Restated
2018-12,721.00M,,721.00M,802.00M,1.00B,1.802B,727.00M,614.00M,1.271B,,,146.00M,3.94B,0.00,159.00M,1.359B,5.25B,,509.00M,7.277B,-2.735B,4.542B,4.475B,2.188B,6.663B,302.00M,,237.00M,311.00M,12.61B,16.55B,,3.095B,,,3.095B,289.00M,3.384B,,219.00M,,219.00M,,,492.00M,4.095B,6.51B,,6.51B,645.00M,645.00M,1.455B,,104.00M,,287.00M,8.897B,12.99B,,1.157B,5.341B,,2.205B,,,,-835.00M,3.458B,,AOR,Restated
2018-09,598.00M,,598.00M,1.041B,831.00M,1.872B,694.00M,617.00M,1.243B,,,147.00M,3.86B,0.00,171.00M,1.324B,5.12B,,567.00M,7.182B,-2.674B,4.508B,4.497B,2.247B,6.744B,314.00M,,202.00M,334.00M,12.61B,16.47B,,2.953B,,,2.953B,260.00M,3.213B,,150.00M,,150.00M,,,450.00M,3.813B,6.523B,,6.523B,672.00M,672.00M,1.421B,,105.00M,,296.00M,8.912B,12.72B,,1.142B,5.224B,,1.926B,,,,-800.00M,3.64B,,AOR,Restated
2018-06,549.00M,,549.00M,1.25B,763.00M,2.013B,727.00M,587.00M,1.257B,,,206.00M,4.875B,0.00,170.00M,1.318B,5.034B,,554.00M,7.076B,-2.603B,4.473B,4.516B,2.305B,6.821B,274.00M,,266.00M,318.00M,12.66B,17.54B,,2.739B,,,2.739B,256.00M,2.995B,,176.00M,,176.00M,,,783.00M,3.954B,7.171B,,7.171B,666.00M,666.00M,1.452B,,106.00M,,297.00M,9.586B,13.54B,,1.12B,5.199B,,1.663B,,,,-767.00M,3.889B,,AOR,Restated
2018-03,477.00M,,477.00M,1.322B,768.00M,2.09B,719.00M,794.00M,1.447B,,,146.00M,4.16B,0.00,174.00M,1.391B,5.378B,,666.00M,7.609B,-2.882B,4.727B,4.97B,2.432B,7.402B,281.00M,,316.00M,313.00M,13.57B,17.73B,,2.822B,,,2.822B,221.00M,3.043B,,337.00M,,337.00M,,,525.00M,3.905B,7.131B,,7.131B,690.00M,690.00M,1.484B,,105.00M,,383.00M,9.688B,13.59B,,1.10B,5.114B,,1.508B,,,,-673.00M,4.033B,,AOR,Restated
2017-12,448.00M,,448.00M,1.196B,438.00M,1.634B,691.00M,902.00M,1.526B,,,150.00M,3.758B,0.00,172.00M,1.39B,5.282B,,542.00M,7.386B,-2.776B,4.61B,4.933B,2.462B,7.395B,274.00M,,325.00M,303.00M,13.41B,17.17B,,2.762B,,,2.762B,352.00M,3.114B,,453.00M,,453.00M,,,540.00M,4.107B,6.518B,,6.518B,695.00M,695.00M,1.463B,,105.00M,,340.00M,9.016B,13.12B,,1.084B,4.987B,,1.474B,,,,-656.00M,3.941B,,AOR,Restated
2017-09,556.00M,,556.00M,1.425B,368.00M,1.793B,654.00M,820.00M,1.433B,,,148.00M,3.93B,0.00,173.00M,1.377B,5.075B,,549.00M,7.174B,-2.649B,4.525B,4.908B,2.49B,7.398B,257.00M,,409.00M,312.00M,13.07B,17.00B,,2.419B,,,2.419B,298.00M,2.717B,,452.00M,,452.00M,,,609.00M,3.778B,7.104B,,7.104B,655.00M,655.00M,1.406B,,109.00M,,422.00M,9.587B,13.36B,,1.072B,4.863B,,1.481B,,,,-925.00M,3.529B,,AOR,Restated
2017-06,433.00M,,433.00M,1.332B,305.00M,1.637B,665.00M,896.00M,1.524B,,,171.00M,3.765B,0.00,171.00M,1.357B,4.986B,,432.00M,6.946B,-2.522B,4.424B,4.858B,2.512B,7.37B,252.00M,,447.00M,300.00M,12.96B,16.72B,,2.146B,,,2.146B,291.00M,2.437B,,322.00M,,322.00M,,,591.00M,3.35B,7.226B,,7.226B,633.00M,633.00M,1.429B,,106.00M,,373.00M,9.661B,13.01B,,1.06B,4.849B,,1.386B,,,,-919.00M,3.604B,,AOR,Restated
2017-03,458.00M,,458.00M,1.354B,341.00M,1.695B,653.00M,930.00M,1.554B,,,200.00M,3.907B,0.00,101.00M,1.313B,4.872B,,454.00M,6.74B,-2.337B,4.403B,5.152B,1.917B,7.069B,213.00M,,575.00M,323.00M,12.74B,16.64B,,1.83B,,,1.83B,264.00M,2.094B,,497.00M,,497.00M,,,427.00M,3.018B,7.476B,,7.476B,855.00M,855.00M,1.487B,,104.00M,,85.00M,9.903B,12.92B,,1.04B,4.784B,,1.392B,,,,-813.00M,3.619B,,AOR,Restated
2016-12,597.00M,,597.00M,1.158B,333.00M,1.491B,607.00M,839.00M,1.413B,,,152.00M,3.653B,0.00,105.00M,1.301B,4.723B,,503.00M,6.632B,-2.245B,4.387B,5.095B,1.934B,7.029B,204.00M,,443.00M,310.00M,12.52B,16.17B,,2.033B,,,2.033B,315.00M,2.348B,,222.00M,,222.00M,,,399.00M,2.969B,7.31B,,7.31B,439.00M,439.00M,1.497B,,106.00M,,417.00M,9.663B,12.63B,,1.038B,4.739B,,1.401B,,,,-941.00M,3.435B,,AOR,Restated
2016-09,645.00M,,645.00M,1.474B,315.00M,1.789B,626.00M,834.00M,1.418B,,,252.00M,4.104B,0.00,107.00M,1.259B,4.735B,,553.00M,6.654B,-2.214B,4.44B,5.211B,2.046B,7.257B,210.00M,,409.00M,276.00M,12.96B,17.06B,,1.864B,,,1.864B,302.00M,2.166B,,373.00M,,373.00M,,,404.00M,2.943B,7.724B,,7.724B,1.065B,1.065B,1.508B,,107.00M,,,10.30B,13.24B,,1.019B,4.708B,,1.398B,,,,-616.00M,3.713B,,AOR,Restated
2016-06,6.399B,,6.399B,1.524B,386.00M,1.91B,624.00M,892.00M,1.483B,,294.00M,,10.09B,0.00,101.00M,1.201B,4.722B,,508.00M,6.532B,-2.136B,4.396B,5.183B,2.052B,7.235B,201.00M,,557.00M,2.602B,14.99B,25.08B,,2.168B,,3.825B,5.993B,361.00M,6.354B,,3.125B,,3.125B,,,874.00M,10.35B,8.234B,,8.234B,1.129B,1.129B,1.527B,,103.00M,,,10.89B,21.24B,,995.00M,4.733B,,1.404B,,,,-593.00M,3.731B,,AOR,Restated
2016-03,205.00M,,205.00M,908.00M,114.00M,1.022B,402.00M,599.00M,956.00M,,140.00M,,2.323B,0.00,71.00M,1.036B,4.037B,,360.00M,5.504B,-2.774B,2.73B,2.251B,200.00M,2.451B,34.00M,,204.00M,2.317B,7.736B,10.06B,,1.259B,,,1.259B,158.00M,1.417B,,391.00M,,391.00M,,,424.00M,2.232B,5.408B,,5.408B,215.00M,215.00M,1.126B,,10.00M,,,6.749B,8.981B,,978.00M,4.412B,,3.713B,,,,-609.00M,1.068B,,AOR,Restated
