,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2012-12,1.246B,,1.246B,2.791B,,2.171B,4.854B,106.00M,61.00M,844.00M,,1.011B,172.00M,151.00M,296.00M,416.00M,8.273B,0.0,61.00M,1.135B,4.785B,83.00M,74.00M,506.00M,6.644B,-4.553B,2.091B,9.062B,4.06B,13.12B,1.381B,,3.325B,,863.00M,925.00M,21.74B,30.02B,1.913B,69.00M,170.00M,2.152B,83.00M,2.235B,135.00M,0.00,0.00,1.042B,1.042B,,1.042B,438.00M,543.00M,105.00M,1.214B,5.91B,22.00M,7.447B,,7.447B,262.00M,134.00M,396.00M,3.867B,,143.00M,,360.00M,12.09B,18.00B,1.588B,7.991B,5.622B,104.00M,349.00M,,,-3.227B,11.87B
2012-09,882.00M,,882.00M,3.19B,,2.064B,5.254B,110.00M,74.00M,944.00M,,1.128B,,,,1.122B,8.386B,,,,,,,,,,2.092B,9.042B,2.857B,11.90B,1.442B,3.591B,,,454.00M,2.375B,21.85B,30.24B,1.591B,,,1.591B,,1.591B,,,,,1.893B,,1.893B,446.00M,446.00M,,1.488B,6.213B,,7.458B,,7.458B,,,,3.085B,,140.00M,349.00M,768.00M,11.66B,17.87B,1.322B,7.716B,6.095B,361.00M,,,,-2.546B,12.23B
2012-06,814.00M,,814.00M,2.776B,,2.136B,4.912B,101.00M,70.00M,902.00M,,1.073B,,,,1.213B,8.012B,,,,,,,,,,2.072B,8.848B,2.904B,11.75B,1.367B,,3.78B,,598.00M,2.26B,21.83B,29.84B,1.712B,,,1.712B,,1.712B,,,,,1.099B,,1.099B,404.00M,404.00M,,1.492B,5.382B,,8.061B,,8.061B,,,,3.11B,,136.00M,349.00M,793.00M,12.31B,17.70B,1.348B,7.496B,6.347B,303.00M,,,,-2.878B,12.01B
2012-03,1.514B,,1.514B,2.909B,,2.294B,5.203B,112.00M,56.00M,897.00M,,1.065B,,,,1.10B,8.882B,,,,,,,,,,2.139B,8.918B,2.989B,11.91B,1.338B,,3.976B,,638.00M,2.271B,22.27B,31.15B,1.758B,,,1.758B,,1.758B,,,,,1.145B,,1.145B,407.00M,407.00M,,1.691B,5.795B,,8.483B,,8.483B,,,,3.299B,,132.00M,349.00M,834.00M,12.96B,18.76B,1.348B,7.25B,6.318B,3.00M,,,,-2.654B,12.26B
2011-12,902.00M,,902.00M,2.473B,,2.56B,4.931B,97.00M,58.00M,866.00M,,1.021B,175.00M,97.00M,261.00M,370.00M,7.912B,0.0,60.00M,1.121B,4.583B,99.00M,93.00M,461.00M,6.417B,-4.272B,2.145B,8.803B,4.137B,12.94B,1.395B,,4.031B,,764.00M,853.00M,22.20B,30.12B,2.016B,74.00M,150.00M,2.24B,84.00M,2.324B,131.00M,,100.00M,1.445B,1.545B,,1.545B,432.00M,515.00M,83.00M,1.109B,6.381B,23.00M,7.088B,,7.088B,290.00M,82.00M,372.00M,3.412B,,149.00M,,466.00M,11.36B,17.74B,1.702B,7.046B,6.317B,124.00M,349.00M,,,-2.716B,12.22B
2011-09,785.00M,,785.00M,3.001B,,2.348B,5.349B,105.00M,74.00M,1.03B,,1.209B,,,,1.138B,8.481B,,,,,,,,,,2.15B,8.786B,3.172B,11.96B,1.388B,,4.007B,,414.00M,2.143B,22.06B,30.54B,1.811B,,,1.811B,,1.811B,,,,,2.096B,,2.096B,375.00M,375.00M,,1.618B,6.652B,,7.099B,,7.099B,,,,2.633B,,166.00M,349.00M,888.00M,10.97B,17.62B,1.425B,6.736B,6.788B,309.00M,,,,-1.886B,12.75B
2011-06,1.098B,,1.098B,2.921B,,2.443B,5.364B,98.00M,67.00M,964.00M,,1.129B,,,,1.104B,8.695B,,,,,,,,,,2.204B,8.83B,3.245B,12.08B,1.318B,,4.21B,,477.00M,2.116B,22.40B,31.10B,1.693B,,,1.693B,,1.693B,,,,,2.197B,,2.197B,355.00M,355.00M,,1.649B,6.638B,,7.113B,,7.113B,,,,3.016B,,161.00M,349.00M,838.00M,11.32B,17.95B,1.403B,6.482B,6.67B,,,,,-1.575B,12.98B
2011-03,1.00B,,1.00B,3.068B,,3.005B,6.073B,100.00M,58.00M,942.00M,,1.10B,,,,1.046B,9.219B,,,,,,,,,,2.202B,8.73B,3.304B,12.03B,1.297B,,3.68B,,541.00M,1.886B,21.64B,30.86B,1.70B,,,1.70B,,1.70B,,,,,1.382B,,1.382B,369.00M,369.00M,,1.751B,6.116B,,7.228B,,7.228B,,,,3.037B,,155.00M,349.00M,1.465B,12.08B,18.20B,1.401B,6.23B,6.626B,,,,,-1.748B,12.51B
2010-12,1.211B,0.00,1.211B,2.826B,,2.485B,5.311B,87.00M,46.00M,858.00M,,991.00M,133.00M,91.00M,345.00M,198.00M,8.639B,0.0,63.00M,1.133B,4.474B,115.00M,67.00M,455.00M,6.307B,-4.106B,2.201B,8.649B,3.371B,12.02B,1.291B,,4.135B,11.00M,632.00M,1.579B,21.96B,30.60B,1.968B,74.00M,177.00M,2.219B,122.00M,2.341B,,,,1.37B,1.37B,,1.37B,371.00M,430.00M,59.00M,1.375B,6.417B,,7.237B,,7.237B,200.00M,36.00M,236.00M,2.991B,,153.00M,349.00M,1.211B,12.02B,18.44B,1.398B,6.016B,6.58B,0.00,,,,-1.988B,12.01B
2010-06,1.082B,,1.082B,2.974B,2.183B,210.00M,5.367B,99.00M,57.00M,870.00M,,1.026B,,,,1.023B,8.498B,0.0,1.622B,,504.00M,,,,2.126B,,2.126B,8.446B,3.495B,11.94B,1.15B,3.999B,,,635.00M,1.665B,21.52B,30.01B,1.67B,,,1.67B,830.00M,2.50B,,,,,358.00M,,358.00M,,,,1.834B,4.692B,,9.259B,,9.259B,,,,2.993B,,150.00M,649.00M,1.086B,13.99B,18.68B,1.384B,5.729B,6.475B,,,,,-2.403B,11.18B
2010-03,1.01B,,1.01B,3.198B,2.299B,233.00M,5.73B,101.00M,56.00M,861.00M,,1.018B,,,,1.022B,8.78B,0.0,1.663B,,528.00M,,,,2.191B,,2.191B,8.463B,3.584B,12.05B,1.111B,4.203B,,,733.00M,1.558B,21.84B,30.62B,1.659B,,,1.659B,937.00M,2.596B,,,,,1.296B,,1.296B,,,,1.982B,5.874B,,8.668B,,8.668B,,,,3.012B,,145.00M,349.00M,1.377B,13.41B,19.28B,1.38B,5.568B,6.443B,,,,,-2.193B,11.20B
2009-12,3.799B,0.00,3.799B,1.85B,,2.622B,4.324B,85.00M,43.00M,772.00M,,900.00M,105.00M,31.00M,328.00M,228.00M,9.731B,0.0,45.00M,1.192B,4.263B,100.00M,33.00M,328.00M,5.961B,-4.101B,1.86B,3.422B,962.00M,4.384B,1.056B,,4.405B,10.00M,1.64B,791.00M,14.30B,24.03B,1.451B,41.00M,161.00M,1.653B,114.00M,1.767B,,,,988.00M,988.00M,,988.00M,201.00M,269.00M,68.00M,742.00M,4.461B,,8.276B,,8.276B,167.00M,,167.00M,2.883B,9.00M,141.00M,0.00,1.045B,12.38B,16.84B,871.00M,5.674B,2.493B,,,,,-1.988B,7.05B
2009-09,1.159B,,1.159B,1.863B,2.386B,256.00M,4.505B,102.00M,54.00M,913.00M,,1.069B,,,,707.00M,7.44B,0.0,1.351B,,550.00M,,,,1.901B,,1.901B,3.405B,609.00M,4.014B,1.051B,4.381B,,,1.673B,1.293B,14.31B,21.75B,1.292B,,,1.292B,616.00M,1.908B,,,,,1.149B,,1.149B,,,,1.373B,4.43B,,6.297B,,6.297B,,,,2.743B,,133.00M,,1.252B,10.29B,14.72B,870.00M,5.532B,2.463B,,,,,-1.967B,6.898B
2009-06,1.221B,,1.221B,1.872B,2.385B,243.00M,4.50B,103.00M,66.00M,972.00M,,1.141B,,,,776.00M,7.638B,0.0,1.373B,,566.00M,,,,1.939B,,1.939B,3.445B,621.00M,4.066B,979.00M,4.413B,,,1.797B,1.224B,14.42B,22.06B,1.214B,,,1.214B,563.00M,1.777B,,,,,1.342B,,1.342B,,,,1.498B,4.617B,,6.695B,,6.695B,,,,2.727B,,128.00M,,1.26B,10.68B,15.30B,870.00M,5.448B,2.44B,,,,,-2.129B,6.629B
2009-03,549.00M,,549.00M,1.93B,2.326B,257.00M,4.513B,118.00M,77.00M,1.10B,,1.295B,,,,725.00M,7.082B,0.0,1.38B,,566.00M,,,,1.946B,,1.946B,3.275B,635.00M,3.91B,947.00M,4.379B,,,1.667B,1.109B,13.96B,21.04B,1.282B,,,1.282B,561.00M,1.843B,,,,,641.00M,,641.00M,,,,1.368B,3.852B,,7.258B,,7.258B,,,,2.626B,,124.00M,,1.235B,11.12B,14.97B,866.00M,5.345B,2.464B,,,,,-2.73B,5.945B
2008-12,1.229B,,1.229B,2.184B,,2.715B,4.899B,108.00M,80.00M,1.044B,,1.232B,119.00M,20.00M,305.00M,346.00M,8.15B,0.0,45.00M,1.528B,3.164B,100.00M,95.00M,,4.932B,-2.919B,2.013B,3.182B,610.00M,3.792B,,,,,1.692B,6.80B,14.30B,22.45B,1.446B,,,1.446B,625.00M,2.071B,,,,,1.61B,,1.61B,,,,1.769B,5.45B,,6.774B,,6.774B,,,,,,,,3.985B,10.76B,16.21B,0.00,5.341B,3.313B,,,,,-2.416B,6.238B
2008-09,873.00M,,873.00M,2.786B,2.544B,,5.33B,141.00M,76.00M,1.16B,-1.00M,1.376B,,,,1.17B,8.749B,,,,,,,,5.041B,-2.922B,2.119B,3.446B,625.00M,4.071B,,,,,1.522B,7.164B,14.88B,23.62B,1.303B,,,1.303B,608.00M,1.911B,,,,,1.457B,,1.457B,,,,2.229B,5.597B,,6.783B,,6.783B,,,,,,,637.00M,3.106B,10.53B,16.12B,0.00,5.378B,3.393B,91.00M,,,,-1.178B,7.502B
2008-06,843.00M,,843.00M,2.598B,2.944B,,5.542B,157.00M,75.00M,1.204B,,1.436B,,,,967.00M,8.788B,,,,,,,,5.148B,-2.922B,2.226B,3.591B,624.00M,4.215B,,,,,1.599B,7.484B,15.52B,24.31B,1.326B,,,1.326B,573.00M,1.899B,,,,,1.218B,,1.218B,,,,2.449B,5.566B,,6.73B,,6.73B,,,,,,,636.00M,3.426B,10.79B,16.36B,0.00,5.157B,3.678B,313.00M,,,,-568.00M,7.954B
2008-03,842.00M,,842.00M,2.842B,2.679B,,5.521B,154.00M,77.00M,1.20B,,1.431B,,,,877.00M,8.671B,,,,,,,,5.137B,-2.922B,2.215B,3.456B,611.00M,4.067B,,,,,1.61B,7.556B,15.45B,24.12B,1.334B,,,1.334B,547.00M,1.881B,,,,,1.354B,,1.354B,,,,2.414B,5.649B,,6.334B,,6.334B,,,,,,,642.00M,3.339B,10.32B,15.96B,0.00,4.99B,4.029B,308.00M,,204.00M,-760.00M,-556.00M,8.155B
2007-12,1.099B,,1.099B,2.761B,2.693B,,5.454B,136.00M,70.00M,1.099B,,1.305B,120.00M,45.00M,200.00M,317.00M,8.54B,0.0,48.00M,1.579B,3.295B,86.00M,88.00M,,5.096B,-2.922B,2.174B,3.448B,891.00M,4.339B,,,,,1.349B,7.141B,15.00B,23.54B,1.367B,,,1.367B,673.00M,2.04B,,,,,525.00M,,525.00M,242.00M,242.00M,,1.27B,4.077B,,6.939B,,6.939B,,,,,,,632.00M,3.307B,10.88B,14.96B,0.00,5.288B,4.096B,31.00M,,-31.00M,-734.00M,-765.00M,8.588B
2007-09,848.00M,,848.00M,2.572B,2.951B,,5.523B,162.00M,80.00M,1.208B,,1.45B,,,,955.00M,8.776B,,,,553.00M,5.081B,,,5.634B,-3.502B,2.132B,3.482B,622.00M,4.104B,,,,,1.472B,6.913B,14.62B,23.40B,1.26B,,,1.26B,595.00M,1.855B,,,,,1.021B,,1.021B,,,,1.401B,4.277B,,7.038B,,7.038B,,,,,,,620.00M,3.604B,11.26B,15.54B,0.00,4.953B,4.375B,212.00M,,,,-1.258B,7.858B
2007-06,850.00M,20.00M,870.00M,2.73B,2.636B,,5.366B,147.00M,71.00M,1.198B,,1.416B,,,,941.00M,8.593B,0.0,1.562B,,4.032B,,,,5.594B,-3.502B,2.092B,3.427B,638.00M,4.065B,,,,,1.514B,6.742B,14.41B,23.01B,1.153B,,,1.153B,554.00M,1.707B,,,,,1.258B,,1.258B,,,,1.394B,4.359B,,6.733B,,6.733B,,,,,,,608.00M,3.757B,11.10B,15.46B,0.00,4.699B,4.401B,64.00M,,,,-1.487B,7.549B
2007-03,1.218B,65.00M,1.283B,2.218B,2.87B,,5.088B,153.00M,74.00M,1.063B,,1.29B,,,,915.00M,8.576B,0.0,1.525B,,3.994B,,,,5.519B,-3.502B,2.017B,2.026B,278.00M,2.304B,,,,,1.753B,6.741B,12.82B,21.39B,1.177B,,,1.177B,486.00M,1.663B,,,,,1.518B,,1.518B,,,,1.338B,4.519B,,5.436B,,5.436B,,,,,,,624.00M,3.672B,9.732B,14.25B,951.00M,4.433B,3.625B,218.00M,,,,-1.651B,7.14B
2006-12,1.399B,137.00M,1.536B,2.199B,,2.922B,5.121B,129.00M,67.00M,967.00M,,1.163B,119.00M,236.00M,271.00M,308.00M,8.754B,0.0,46.00M,1.458B,3.808B,73.00M,125.00M,,5.51B,-3.502B,2.008B,2.024B,286.00M,2.31B,,,,,1.79B,6.847B,12.96B,21.71B,1.133B,,,1.133B,663.00M,1.796B,,,,,1.485B,,1.485B,194.00M,194.00M,,1.223B,4.698B,,5.66B,,5.66B,,,,,,,624.00M,3.647B,9.931B,14.63B,0.00,4.202B,4.666B,141.00M,,,,-1.647B,7.08B
2006-09,1.336B,120.00M,1.456B,5.088B,,,5.088B,158.00M,76.00M,1.163B,,1.397B,,,,1.094B,9.035B,,,,455.00M,4.258B,,,4.713B,-2.676B,2.037B,1.917B,288.00M,2.205B,,,,,1.529B,7.554B,13.32B,22.36B,1.126B,,,1.126B,570.00M,1.696B,,,,,1.499B,,1.499B,195.00M,195.00M,,1.216B,4.606B,,5.904B,,5.904B,,,,,,,620.00M,3.269B,9.793B,14.40B,0.00,3.988B,5.069B,225.00M,,,,-871.00M,7.961B
2006-06,982.00M,199.00M,1.181B,2.218B,,2.897B,5.115B,155.00M,92.00M,1.085B,,1.332B,,,,1.098B,8.726B,,,,439.00M,4.276B,,,4.715B,-2.676B,2.039B,1.748B,270.00M,2.018B,,,,,1.535B,7.563B,13.16B,21.88B,1.076B,,,1.076B,533.00M,1.609B,,,,,1.273B,,1.273B,190.00M,190.00M,,1.158B,4.23B,,5.846B,,5.846B,,,,,,,604.00M,3.65B,10.10B,14.33B,1.809B,3.452B,3.445B,225.00M,889.00M,,,-930.00M,7.551B
2006-03,1.598B,196.00M,1.794B,2.074B,,2.865B,4.939B,151.00M,108.00M,1.001B,,1.26B,,,,1.13B,9.123B,,,,435.00M,4.275B,,,4.71B,-2.676B,2.034B,1.688B,279.00M,1.967B,,,,,1.532B,7.517B,13.05B,22.17B,1.066B,,,1.066B,696.00M,1.762B,,,,,1.309B,,1.309B,195.00M,195.00M,,1.12B,4.386B,,6.373B,,6.373B,,,,,,,,4.118B,10.49B,14.88B,1.824B,3.207B,3.62B,217.00M,889.00M,,,-1.138B,7.296B
2005-12,1.322B,244.00M,1.566B,2.037B,,2.90B,4.937B,146.00M,99.00M,956.00M,,1.201B,133.00M,270.00M,290.00M,339.00M,8.736B,0.0,51.00M,1.489B,2.604B,76.00M,83.00M,,4.303B,-2.676B,1.627B,,1.96B,1.96B,,,,,1.547B,8.083B,13.22B,21.95B,1.043B,,,1.043B,621.00M,1.664B,,,,,1.139B,,1.139B,191.00M,191.00M,,1.352B,4.346B,,6.139B,,6.139B,,,,,,,626.00M,3.634B,10.40B,14.74B,889.00M,3.021B,4.741B,203.00M,889.00M,,,-1.24B,7.208B
2005-09,1.345B,235.00M,1.58B,2.088B,,2.915B,5.003B,190.00M,107.00M,1.133B,,1.43B,,,,1.088B,9.101B,,,,,,,,4.335B,-2.683B,1.652B,,1.998B,1.998B,,,,,1.518B,8.001B,13.17B,22.27B,1.131B,,,1.131B,556.00M,1.687B,,,,,1.253B,,1.253B,192.00M,192.00M,,1.171B,4.303B,,6.198B,,6.198B,,,,,,,728.00M,3.585B,10.51B,14.81B,1.849B,2.754B,3.988B,,889.00M,-936.00M,-199.00M,-1.135B,7.456B
2005-06,1.912B,190.00M,2.102B,2.07B,,3.002B,5.072B,195.00M,73.00M,949.00M,,1.217B,,,,1.081B,9.472B,,,,,,,,4.341B,-2.683B,1.658B,,2.03B,2.03B,,,,,1.524B,8.021B,13.23B,22.70B,1.111B,,,1.111B,511.00M,1.622B,,,,,1.529B,,1.529B,191.00M,191.00M,,1.164B,4.506B,,6.624B,,6.624B,,,,,,,736.00M,3.425B,10.78B,15.29B,1.848B,2.705B,3.971B,,889.00M,-910.00M,-200.00M,-1.11B,7.414B
2005-03,3.298B,,3.298B,2.047B,,3.056B,5.103B,190.00M,72.00M,967.00M,,1.229B,,,,1.038B,10.67B,,,,,,,,4.78B,-2.683B,2.097B,,2.091B,2.091B,,,,,1.45B,7.967B,13.60B,24.27B,1.075B,,,1.075B,724.00M,1.799B,,,,,2.727B,,2.727B,218.00M,218.00M,,1.157B,5.901B,,6.896B,,6.896B,,,,,,,719.00M,3.578B,11.19B,17.09B,5.798B,2.297B,,,889.00M,,,-916.00M,7.179B
2004-12,3.218B,,3.218B,2.076B,,3.309B,5.385B,183.00M,65.00M,895.00M,,1.143B,,,,1.182B,10.93B,0.0,53.00M,1.48B,2.739B,74.00M,96.00M,,4.442B,-2.683B,1.759B,,2.145B,2.145B,,,,,1.521B,8.531B,13.96B,24.88B,1.037B,,,1.037B,637.00M,1.674B,,,,,3.074B,,3.074B,243.00M,243.00M,,1.309B,6.30B,,7.05B,,7.05B,,,,,,,717.00M,3.684B,11.45B,17.75B,1.845B,2.101B,3.925B,,889.00M,,,-738.00M,7.133B
2004-09,3.395B,,3.395B,2.026B,,3.156B,5.182B,232.00M,81.00M,1.036B,,1.349B,,,,1.064B,10.99B,,,,,,,,4.386B,-2.663B,1.723B,,2.038B,2.038B,,,,,1.505B,8.278B,13.54B,24.53B,959.00M,,,959.00M,465.00M,1.424B,,,,,4.063B,,4.063B,226.00M,226.00M,,1.367B,7.08B,,6.731B,,6.731B,,,,,,,1.782B,3.545B,12.06B,19.14B,1.73B,1.875B,2.971B,,889.00M,,,-1.18B,5.396B
2004-06,2.542B,,2.542B,2.037B,,3.304B,5.341B,204.00M,93.00M,928.00M,,1.225B,,,,1.15B,10.26B,,,,,,,,4.744B,-2.663B,2.081B,,2.053B,2.053B,,,,,1.468B,7.637B,13.24B,23.50B,901.00M,,,901.00M,422.00M,1.323B,,,,,4.219B,,4.219B,223.00M,223.00M,,1.356B,7.121B,,6.051B,,6.051B,,,,,,,1.751B,3.494B,11.30B,18.42B,4.69B,1.726B,,,889.00M,,,-1.336B,5.08B
2004-03,2.298B,,2.298B,2.114B,,3.308B,5.422B,222.00M,79.00M,898.00M,,1.199B,,,,1.199B,10.12B,,,,,,,,4.439B,-2.663B,1.776B,,2.079B,2.079B,,,,,1.495B,8.567B,13.92B,24.04B,957.00M,,,957.00M,632.00M,1.589B,,,,,3.852B,,3.852B,227.00M,227.00M,,1.36B,7.028B,,6.764B,,6.764B,,,,,,,1.783B,3.501B,12.05B,19.08B,4.668B,1.539B,,,1.378B,,,-1.248B,4.959B
2003-12,2.477B,,2.477B,2.159B,,3.442B,5.601B,167.00M,74.00M,911.00M,,1.152B,,,,1.105B,10.34B,0.0,56.00M,1.577B,2.669B,74.00M,114.00M,,4.49B,-2.663B,1.827B,,2.047B,2.047B,,,,,1.526B,8.856B,14.26B,24.59B,1.01B,,,1.01B,632.00M,1.642B,,,,,4.236B,,4.236B,251.00M,251.00M,,1.54B,7.669B,,6.93B,,6.93B,,,,,,,1.809B,3.504B,12.24B,19.91B,4.627B,1.315B,,,1.388B,,,-1.263B,4.679B
2003-09,2.27B,,2.27B,2.034B,,3.44B,5.474B,200.00M,74.00M,1.005B,,1.279B,,,,1.283B,10.31B,,,,,,,,4.747B,-2.63B,2.117B,,1.958B,1.958B,,,,,1.557B,8.436B,14.07B,24.37B,798.00M,,,798.00M,404.00M,1.202B,,,,,4.15B,,4.15B,227.00M,227.00M,,1.40B,6.979B,,7.664B,,7.664B,,,,,,77.00M,1.023B,4.594B,13.28B,20.26B,4.584B,1.118B,,,1.355B,,,-1.665B,4.037B
2003-06,2.279B,,2.279B,2.149B,,3.484B,5.633B,,,,,1.232B,,,,1.297B,10.44B,,,,,,,,4.792B,-2.63B,2.162B,,1.951B,1.951B,,,,,1.61B,8.385B,14.11B,24.55B,767.00M,,,767.00M,,767.00M,,,,,3.87B,,3.87B,243.00M,243.00M,,1.93B,6.81B,,7.928B,,7.928B,,,,,,71.00M,1.716B,4.15B,13.79B,20.60B,4.639B,1.025B,,,1.41B,,,-1.79B,3.874B
2003-03,3.035B,,3.035B,2.167B,,3.431B,5.598B,,,,,1.225B,,,,1.222B,11.08B,,,,,,,,4.378B,-2.63B,1.748B,,1.893B,1.893B,,,,,,10.62B,14.26B,25.34B,704.00M,,,704.00M,,704.00M,,,,,5.122B,,5.122B,246.00M,246.00M,,1.913B,7.985B,,9.193B,,9.193B,,,,,,73.00M,1.708B,4.121B,15.02B,23.01B,3.293B,950.00M,,,536.00M,,,-1.978B,2.265B
2002-12,2.887B,,2.887B,2.072B,,3.652B,5.724B,194.00M,67.00M,970.00M,,1.231B,,,1.186B,1.00M,11.03B,0.0,54.00M,1.489B,2.608B,107.00M,129.00M,,4.387B,-2.63B,1.757B,,1.924B,1.924B,,,,,1.592B,9.248B,14.52B,25.55B,839.00M,,,839.00M,481.00M,1.32B,,,,,4.377B,,4.377B,,,,2.09B,7.787B,,9.794B,,9.794B,,,,,,,1.793B,3.775B,15.36B,23.15B,3.247B,1.025B,,,508.00M,,,-1.871B,2.401B
2002-09,2.281B,,2.281B,1.822B,,3.704B,5.526B,222.00M,75.00M,910.00M,,1.207B,,,1.436B,,10.45B,,,,,,,,4.485B,-2.712B,1.773B,,1.587B,1.587B,,,,,,10.66B,14.02B,24.47B,716.00M,,,716.00M,,716.00M,,,,,3.514B,,3.514B,,,,2.535B,6.765B,,10.47B,,10.47B,,,,,,68.00M,1.698B,2.896B,15.06B,21.83B,1.294B,1.116B,1.977B,,559.00M,,,-1.818B,2.569B
2002-06,1.891B,,1.891B,1.935B,,3.593B,5.528B,212.00M,91.00M,942.00M,,1.245B,,,1.488B,,10.15B,,,,,,,,4.584B,-2.712B,1.872B,,1.559B,1.559B,,,,,,11.43B,14.86B,25.02B,,,,,,,,,,,3.904B,,3.904B,,,,3.256B,7.16B,,10.35B,,10.35B,,,,,,78.00M,1.694B,3.15B,15.20B,22.36B,1.302B,1.078B,1.93B,,573.00M,,,-1.729B,2.581B
2002-03,4.747B,,4.747B,1.882B,,3.827B,5.709B,214.00M,92.00M,977.00M,,1.283B,,,1.338B,,13.08B,,,,,,,,4.59B,-2.712B,1.878B,,5.91B,5.91B,,,,,,6.89B,14.68B,27.76B,761.00M,,,761.00M,714.00M,1.475B,,,,,6.704B,,6.704B,,,,1.63B,9.809B,,10.71B,,10.71B,2.054B,,2.054B,,,75.00M,1.691B,1.108B,15.56B,25.37B,3.227B,985.00M,,,593.00M,,,-1.906B,2.306B
2001-12,3.99B,,3.99B,1.896B,,3.922B,5.818B,307.00M,97.00M,960.00M,,1.364B,,,1.428B,,12.60B,0.0,58.00M,1.505B,2.872B,147.00M,129.00M,,4.711B,-2.712B,1.999B,,1.902B,1.902B,,,,,,11.14B,15.04B,27.64B,704.00M,,,704.00M,451.00M,1.155B,,,,,6.637B,,6.637B,,,,2.195B,9.987B,,10.11B,,10.11B,,,,,,73.00M,1.687B,3.524B,15.32B,25.30B,3.227B,1.008B,,,605.00M,,,-1.968B,2.267B
2001-09,2.427B,,2.427B,1.994B,4.828B,,6.822B,391.00M,112.00M,1.038B,,1.541B,,,1.409B,573.00M,12.77B,,,,,,,,4.943B,-2.844B,2.099B,,5.003B,5.003B,,,,,,7.157B,14.26B,27.03B,710.00M,,,710.00M,720.00M,1.43B,,,,,2.696B,,2.696B,,,,2.251B,6.377B,,13.38B,,13.38B,1.822B,,1.822B,,,76.00M,686.00M,1.003B,16.89B,23.27B,1.332B,3.105B,1.861B,,613.00M,,,-2.611B,3.687B
2001-06,2.177B,,2.177B,2.006B,4.837B,,6.843B,374.00M,141.00M,1.051B,,1.566B,,,1.221B,621.00M,12.43B,,,,,,,,5.004B,-2.844B,2.16B,,4.939B,4.939B,,,,,,7.771B,14.87B,27.30B,824.00M,,,824.00M,654.00M,1.478B,,,,,2.754B,,2.754B,,,,2.038B,6.27B,,13.51B,,13.51B,1.839B,,1.839B,,,116.00M,639.00M,995.00M,16.98B,23.26B,1.337B,3.316B,1.842B,,620.00M,,,-2.568B,3.927B
2001-03,2.778B,,2.778B,2.07B,5.004B,,7.074B,363.00M,173.00M,1.236B,,1.772B,,,1.539B,643.00M,13.81B,,,,,,,,5.223B,-2.844B,2.379B,,4.677B,4.677B,,,,,,8.335B,15.39B,29.20B,839.00M,,,839.00M,574.00M,1.413B,,,,,2.966B,,2.966B,,,,2.292B,6.671B,,14.62B,,14.62B,2.027B,,2.027B,,,124.00M,639.00M,984.00M,18.27B,24.94B,1.325B,3.596B,1.676B,,630.00M,,,-2.462B,4.135B
2000-12,1.75B,,1.75B,2.269B,,4.392B,6.661B,351.00M,147.00M,1.485B,,1.983B,,,1.078B,,11.47B,0.0,70.00M,1.487B,3.289B,199.00M,295.00M,,5.34B,-2.813B,2.527B,,5.312B,5.312B,,,,,,8.942B,16.78B,28.25B,1.05B,,,1.05B,645.00M,1.695B,,,,,3.08B,,3.08B,,,,1.769B,6.544B,,15.56B,,15.56B,1.925B,,1.925B,,,-102.00M,684.00M,1.197B,19.36B,25.91B,2.878B,1.15B,,,647.00M,,,-1.58B,2.448B
