,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-12,1.293B,,1.293B,1.16B,,1.685B,2.829B,89.00M,49.00M,777.00M,,915.00M,70.00M,1.00M,,120.00M,5.23B,0.0,22.00M,909.00M,3.411B,54.00M,30.00M,192.00M,4.618B,-3.535B,1.083B,3.93B,487.00M,4.417B,1.404B,,2.333B,1.00M,1.044B,241.00M,10.72B,15.95B,1.108B,73.00M,98.00M,1.279B,254.00M,1.533B,112.00M,6.00M,,276.00M,282.00M,,282.00M,170.00M,170.00M,,200.00M,2.741B,12.00M,5.235B,,5.235B,42.00M,,42.00M,2.257B,,37.00M,,131.00M,7.698B,10.44B,469.00M,4.856B,3.893B,0.00,214.00M,,,-3.748B,5.47B
2017-09,1.781B,,1.781B,817.00M,,1.647B,2.407B,104.00M,55.00M,880.00M,,1.039B,,,,402.00M,5.629B,,,,456.00M,636.00M,,,1.092B,,1.092B,3.922B,276.00M,4.198B,1.441B,,2.296B,,1.477B,684.00M,11.19B,16.82B,1.183B,,,1.183B,,1.183B,,,,,763.00M,,763.00M,191.00M,191.00M,,910.00M,3.452B,,5.235B,,5.235B,,,,2.348B,,34.00M,,178.00M,7.761B,11.21B,469.00M,5.116B,3.88B,,214.00M,,,-3.895B,5.57B
2017-06,1.246B,,1.246B,797.00M,,1.658B,2.399B,102.00M,59.00M,783.00M,,944.00M,,,,389.00M,4.978B,,,,464.00M,636.00M,,,1.10B,,1.10B,3.893B,286.00M,4.179B,1.398B,,2.341B,,1.481B,690.00M,11.19B,16.17B,1.202B,,,1.202B,,1.202B,,,,,765.00M,,765.00M,191.00M,191.00M,,883.00M,3.414B,,4.236B,,4.236B,,,,2.957B,,35.00M,,188.00M,7.381B,10.80B,468.00M,5.004B,3.875B,,214.00M,,,-4.01B,5.337B
2017-03,1.045B,,1.045B,761.00M,,1.641B,2.346B,97.00M,61.00M,740.00M,,898.00M,,,,426.00M,4.715B,,,,472.00M,641.00M,,,1.113B,,1.113B,3.808B,280.00M,4.088B,1.477B,,2.345B,,1.489B,689.00M,11.20B,15.92B,1.148B,,,1.148B,,1.148B,,,,,13.00M,,13.00M,176.00M,176.00M,,878.00M,2.624B,,4.988B,,4.988B,,,,2.933B,,40.00M,,191.00M,8.112B,10.74B,1.231B,4.987B,3.101B,,214.00M,,,-4.179B,5.14B
2016-12,2.223B,,2.223B,741.00M,,1.63B,2.307B,81.00M,47.00M,713.00M,,841.00M,,,,619.00M,6.992B,0.0,20.00M,892.00M,3.35B,70.00M,33.00M,238.00M,4.603B,-3.468B,1.135B,3.787B,290.00M,4.077B,1.294B,,2.398B,,1.472B,683.00M,11.06B,18.05B,1.126B,,,1.126B,,1.126B,,4.00M,,1.007B,1.011B,,1.011B,,,,2.097B,4.654B,,5.305B,,5.305B,,,,2.938B,,38.00M,,193.00M,8.436B,13.09B,468.00M,4.934B,3.858B,,214.00M,,,-4.337B,4.923B
2016-09,1.423B,,1.423B,2.279B,,1.639B,3.844B,102.00M,58.00M,859.00M,,1.019B,,,,721.00M,7.007B,,,,488.00M,958.00M,,,1.446B,,1.446B,8.688B,1.528B,10.22B,1.524B,,2.457B,,,1.992B,17.64B,24.64B,1.312B,,,1.312B,,1.312B,,,,,2.033B,,2.033B,401.00M,401.00M,,1.389B,5.782B,,5.346B,,5.346B,,,,3.482B,,40.00M,,389.00M,9.217B,15.00B,1.363B,9.801B,3.071B,,349.00M,,,-4.632B,9.603B
2016-06,1.203B,,1.203B,2.307B,,1.64B,3.87B,97.00M,65.00M,855.00M,,1.017B,,,,761.00M,6.851B,,,,484.00M,973.00M,,,1.457B,,1.457B,8.726B,1.605B,10.33B,1.471B,,2.508B,,,2.023B,17.79B,24.64B,1.379B,,,1.379B,,1.379B,,,,,2.029B,,2.029B,404.00M,404.00M,,1.437B,5.895B,,5.355B,,5.355B,,,,3.432B,,38.00M,,394.00M,9.181B,15.08B,1.362B,9.704B,3.047B,,349.00M,,,-4.586B,9.527B
2016-03,1.189B,,1.189B,2.325B,,1.619B,3.863B,99.00M,59.00M,876.00M,,1.034B,,,,722.00M,6.808B,,,,489.00M,1.00B,,,1.489B,,1.489B,8.814B,1.684B,10.50B,1.432B,,2.565B,,,2.065B,18.05B,24.86B,1.445B,,,1.445B,,1.445B,,,,,2.029B,,2.029B,421.00M,421.00M,,1.541B,6.146B,,5.359B,,5.359B,,,,3.409B,,37.00M,,431.00M,9.199B,15.34B,1.362B,9.635B,3.032B,,349.00M,,,-4.554B,9.475B
2015-12,1.228B,,1.228B,838.00M,,1.716B,2.48B,99.00M,51.00M,751.00M,,901.00M,,,,458.00M,6.685B,0.0,21.00M,919.00M,3.452B,63.00M,28.00M,244.00M,4.727B,-3.515B,1.212B,3.951B,340.00M,4.291B,1.382B,,2.576B,,,9.395B,18.86B,25.54B,1.342B,,,1.342B,,1.342B,,3.00M,,959.00M,962.00M,,962.00M,202.00M,202.00M,,2.342B,5.254B,,6.317B,,6.317B,,,,3.144B,,43.00M,,238.00M,10.82B,16.08B,1.362B,9.686B,3.017B,,349.00M,,,-4.642B,9.423B
2015-09,804.00M,,804.00M,2.514B,,1.608B,4.041B,111.00M,63.00M,936.00M,,1.11B,,,,1.044B,6.999B,,,,491.00M,1.044B,,,1.535B,,1.535B,8.839B,1.84B,10.68B,1.387B,,2.57B,,,1.776B,17.95B,24.95B,1.477B,,,1.477B,,1.477B,,,,,1.183B,,1.183B,435.00M,435.00M,,1.591B,5.382B,,6.393B,,6.393B,,,,3.262B,,44.00M,,403.00M,10.06B,15.44B,1.427B,9.493B,3.632B,691.00M,349.00M,,,-4.399B,9.462B
