,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.767B,1.767B,1.116B,651.00M,444.00M,76.00M,13.00M,15.00M,30.00M,1.00M,-29.00M,,533.00M,118.00M,1.00M,30.00M,-29.00M,30.00M,-29.00M,119.00M,29.00M,90.00M,0.00,,0.00,4.00M,90.00M,78.66M,239.00M,90.00M,149.00M,0.41,0.0,,,0.3563,0.41,0.41,0.0,,,0.3567,0.41,211.17M,212.71M,0.25
2020-06,1.465B,1.465B,901.00M,564.00M,426.00M,76.00M,10.00M,-10.00M,18.00M,3.00M,-15.00M,,512.00M,52.00M,3.00M,18.00M,-15.00M,-2.00M,-15.00M,35.00M,8.00M,27.00M,0.00,,0.00,3.00M,27.00M,36.25M,141.00M,88.00M,53.00M,0.11,0.0,,,0.1534,0.11,0.11,0.0,,,0.1529,0.11,212.95M,215.57M,0.25
2020-03,1.86B,1.86B,1.148B,712.00M,541.00M,84.00M,11.00M,-60.00M,21.00M,8.00M,-13.00M,,636.00M,76.00M,8.00M,21.00M,-13.00M,-68.00M,-13.00M,-5.00M,-1.00M,-2.00M,0.00,,0.00,4.00M,-2.00M,47.60M,110.00M,94.00M,16.00M,-0.03,0.0,,,0.2031,-0.03,-0.03,0.0,,,0.2031,-0.03,212.75M,212.75M,0.25
2019-12,2.444B,2.444B,1.428B,1.016B,512.00M,93.00M,10.00M,-55.00M,24.00M,7.00M,-17.00M,,615.00M,401.00M,7.00M,24.00M,-17.00M,-48.00M,-17.00M,336.00M,73.00M,266.00M,553.00M,,-1.00M,3.00M,818.00M,308.83M,458.00M,98.00M,360.00M,1.22,2.56,,,1.4240000000000002,3.78,1.17,2.44,,,1.364,3.61,215.10M,226.28M,0.25
2019-09,2.179B,2.179B,1.307B,872.00M,510.00M,100.00M,9.00M,-8.00M,27.00M,2.00M,-25.00M,,619.00M,253.00M,2.00M,27.00M,-25.00M,-5.00M,-25.00M,223.00M,66.00M,158.00M,64.00M,,-1.00M,4.00M,221.00M,157.00M,354.00M,104.00M,250.00M,0.7,0.29,,,0.7,0.99,0.68,0.28,,,0.68,0.96,220.27M,231.07M,0.25
2019-06,2.263B,2.263B,1.378B,885.00M,517.00M,88.00M,11.00M,-41.00M,26.00M,3.00M,-23.00M,,616.00M,269.00M,3.00M,26.00M,-23.00M,-56.00M,-23.00M,190.00M,50.00M,142.00M,42.00M,,-3.00M,3.00M,181.00M,169.22M,326.00M,110.00M,216.00M,0.62,0.17,,,0.7551,0.79,0.6,0.17,,,0.7284,0.77,223.61M,235.28M,0.25
2019-03,2.18B,2.18B,1.303B,877.00M,546.00M,92.00M,15.00M,-112.00M,28.00M,4.00M,-24.00M,,653.00M,224.00M,4.00M,28.00M,-24.00M,-127.00M,-24.00M,73.00M,-10.00M,85.00M,51.00M,,-3.00M,4.00M,133.00M,165.22M,219.00M,118.00M,101.00M,0.35,0.22,,,0.7141,0.57,0.34,0.21,,,0.6972,0.55,228.57M,232.98M,0.25
2018-12,2.365B,2.365B,1.409B,956.00M,544.00M,94.00M,12.00M,-115.00M,30.00M,3.00M,-27.00M,,650.00M,306.00M,3.00M,30.00M,-27.00M,-189.00M,-27.00M,90.00M,27.00M,77.00M,,,-4.00M,3.00M,137.00M,155.60M,248.00M,128.00M,120.00M,0.56,0.0,,,0.9119,0.56,0.56,0.0,,,0.895,0.56,234.75M,246.56M,0.25
2018-09,2.352B,2.352B,1.41B,942.00M,583.00M,102.00M,12.00M,5.00M,28.00M,5.00M,-23.00M,,697.00M,245.00M,5.00M,28.00M,-23.00M,-30.00M,-23.00M,192.00M,142.00M,93.00M,,,-4.00M,4.00M,89.00M,87.54M,342.00M,122.00M,220.00M,0.34,,,,0.3342,0.34,0.34,,,,0.3342,0.34,251.29M,251.29M,0.25
2018-06,2.51B,2.51B,1.509B,1.001B,624.00M,101.00M,12.00M,-76.00M,27.00M,4.00M,-23.00M,,737.00M,264.00M,4.00M,27.00M,-23.00M,-108.00M,-23.00M,133.00M,38.00M,114.00M,,,-2.00M,3.00M,112.00M,166.98M,298.00M,138.00M,160.00M,0.42,,,,0.6357,0.42,0.42,,,,0.6331,0.42,254.90M,257.95M,0.25
