,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,559.30M,,559.30M,1.02B,413.50M,1.434B,737.70M,357.90M,684.10M,,1.780B,,,163.70M,3.936B,,,,,,2.284B,-679.90M,1.604B,8.366B,3.890B,12.26B,,648.80M,14.51B,18.44B,962.00M,962.00M,927.00M,1.889B,,454.80M,454.80M,640.90M,640.90M,,3.229B,3.800B,3.800B,163.10M,163.10M,,106.10M,35.50M,1.094B,5.163B,8.392B,2.00M,3.524B,7.882B,909.40M,,,-482.20M,10.02B
2020-06,587.90M,,587.90M,964.40M,445.90M,1.410B,724.60M,414.80M,660.10M,,1.800B,,,172.00M,3.970B,,,,,,2.240B,-628.10M,1.612B,8.310B,3.935B,12.25B,,638.00M,14.50B,18.47B,1.006B,1.006B,929.50M,1.936B,,697.10M,697.10M,619.50M,619.50M,,3.483B,3.769B,3.769B,155.60M,155.60M,,106.60M,35.00M,1.071B,5.102B,8.585B,2.00M,3.419B,7.872B,909.30M,,,-537.80M,9.846B
2020-03,615.90M,,615.90M,1.149B,522.90M,1.672B,767.20M,370.00M,648.50M,,1.786B,,,167.50M,4.241B,,,,,,2.209B,-585.90M,1.623B,8.274B,4.01B,12.28B,,625.30M,14.53B,18.77B,1.087B,1.087B,941.40M,2.029B,,92.80M,92.80M,602.80M,602.80M,,2.982B,4.655B,4.655B,151.40M,151.40M,,109.20M,35.90M,1.078B,5.994B,8.975B,2.00M,3.356B,7.875B,910.20M,,,-560.60M,9.762B
2019-12,604.20M,,604.20M,1.150B,514.00M,1.664B,786.40M,374.00M,612.70M,,1.773B,0.00,,150.90M,4.192B,0.00,78.00M,774.20M,1.364B,,2.216B,-560.20M,1.656B,8.361B,4.104B,12.46B,,631.70M,14.75B,18.94B,1.158B,1.158B,1.057B,2.214B,,95.70M,95.70M,604.20M,604.20M,,3.258B,4.334B,4.334B,145.30M,145.30M,,113.00M,37.10M,1.101B,5.693B,8.951B,2.00M,3.267B,7.877B,807.10M,,,-382.60M,9.956B
2019-09,587.40M,,587.40M,1.213B,460.20M,1.673B,786.30M,521.70M,649.30M,,1.957B,0.00,,192.40M,4.410B,,,,,,2.177B,-554.40M,1.623B,8.103B,4.207B,12.31B,,557.60M,14.49B,18.90B,1.146B,1.146B,982.40M,2.129B,,111.80M,111.80M,670.60M,670.60M,,3.199B,4.634B,4.634B,72.60M,72.60M,30.80M,92.60M,33.00M,1.143B,5.973B,9.172B,2.00M,3.155B,7.816B,807.60M,,,-468.60M,9.696B
2019-06,461.37M,,461.37M,1.247B,459.96M,1.707B,786.28M,434.73M,660.78M,,1.882B,0.00,,178.57M,4.229B,,,,,,2.171B,-524.52M,1.646B,8.151B,4.364B,12.52B,,552.33M,14.71B,18.94B,1.233B,1.233B,937.93M,2.171B,,104.41M,104.41M,648.50M,648.50M,,3.211B,4.529B,4.529B,169.86M,169.86M,32.25M,95.62M,33.40M,1.070B,5.896B,9.107B,1.981M,3.087B,7.807B,805.62M,,,-289.18M,9.802B
2019-03,512.87M,,512.87M,1.271B,455.63M,1.727B,822.18M,435.56M,689.48M,,1.947B,0.00,,194.22M,4.381B,,,,,,2.134B,-498.81M,1.635B,8.142B,4.364B,12.51B,,555.31M,14.70B,19.08B,1.187B,1.187B,899.17M,2.086B,,321.31M,321.31M,573.24M,573.24M,,3.254B,4.641B,4.641B,176.12M,176.12M,31.56M,96.53M,92.60M,1.098B,6.043B,9.297B,1.981M,3.006B,7.796B,807.21M,,,-309.00M,9.688B
2018-12,580.90M,,580.90M,801.20M,345.60M,1.147B,465.90M,154.50M,224.50M,,844.90M,1.761B,,115.60M,4.450B,0.00,38.70M,248.10M,749.80M,,1.037B,-472.80M,563.80M,2.396B,1.130B,3.526B,,109.40M,4.200B,8.649B,589.40M,589.40M,446.40M,1.036B,,64.10M,64.10M,373.50M,373.50M,,1.647B,3.793B,3.793B,198.30M,198.30M,,95.40M,3.90M,47.00M,4.134B,5.780B,1.30M,3.022B,914.60M,816.10M,,,-256.60M,2.865B
2018-09,411.38M,,411.38M,851.24M,389.28M,1.241B,465.92M,173.62M,226.66M,,866.20M,1.724B,,111.44M,4.354B,,,,,,1.026B,-468.76M,557.42M,2.413B,1.157B,3.570B,,72.28M,4.200B,8.553B,557.45M,557.45M,386.51M,943.96M,,47.04M,47.04M,374.10M,374.10M,,1.530B,3.818B,3.818B,153.55M,153.55M,18.10M,95.31M,15.18M,27.56M,4.113B,5.643B,1.323M,2.999B,916.77M,816.33M,,,-205.73M,2.895B
2018-06,245.57M,,245.57M,835.15M,378.08M,1.213B,454.68M,187.87M,221.24M,,863.79M,,,124.29M,2.447B,,,,,,1.009B,-453.36M,555.83M,2.429B,1.174B,3.603B,,71.89M,4.231B,6.678B,615.68M,615.68M,409.97M,1.026B,,27.12M,27.12M,390.13M,390.13M,,1.606B,1.858B,1.858B,155.61M,155.61M,16.78M,98.74M,17.35M,67.57M,2.197B,3.803B,1.323M,2.923B,910.35M,821.18M,,,-156.20M,2.857B
